English,Arabic,Description
Acquisition Offer,الاستحواذ,المحاولة أو الطلب لتملك أسهم تؤدي إلى سيطرة على شركة مدرجة في البورصة أو شركة غير مدرجة فى حال الاستحواذ العكسي
Affiliate company,شركة تابعة,"هى شركة ممتلكة من شركة مستقلة أكبر منها . وقد تكون الشركة شركة خاصة أو شركة محدودة ، وتسمي الشركة المالكة ""الشركة الأم"
Ally,الحليف,الشخص الذي يتبع شخصا آخر أو أشخاصا آخرين أو يخضع لسلطتهم
Alpha (α),عامل ألفا,"وحدة مقياس لنسبة إداء المحافظ المالية بالنسبة لأداء مؤشر السوق . وتتفاوت قيمة ""ألفا"" من 0 إلى 1 وتوفر المبادئ الإرشادية الرابعة منهجية لتقدير قيمة ""ألفا"" لاستخدامها عند تطبيق الطريقة الإشرافية في حساب كفاية رأس مال ."
Amortization,إطفاء(1) أو تخفيض(2),"(1) تخفيض أصل غير ملموس بمبالغ دورية على مدى عمره المتوقع أو فترة محددة، تقابلها كلمة (Depreciation) للأصول الملموسة.
(2) تخفيض دين بمبالغ دورية تشمل الأصل والفائدة حتى السداد الكامل في تاريخ الاستحقاق."
Annual assembly,اجتماع سنوي,اجتماع سنوي رسمي للمساهمين ومجلس الإدارة تتم فيه مناقشة البيانات المالية وتقرير مدقق الحسابات وتقرير مجلس الإدأرة وتحديد كيفية توزيع الأرباح وأمور أخرى
Annual audit,تدقيق سنوي,تدقيق البيانات المالية لمنشأة سنويا من قبل مدقق حسابات معتمد وإصدار تقريره حول البيانات المالية
Annual financial statements,بيانات مالية سنوية,مجموعة البيانات المالية المطلوب إصدارها سنويا والتي تبين الأوضاع المالية للمنشأة، وتتكون عادة من الميزانية العمومية وبيان الدخل وبيان التغيير في حقوق الملكية وبيان التدفقات النقدية
Anti trust laws,قوانين مكافحة الاحتكارات,قوانين وضعت لتحسين كفاءة السوق والمنافسة والحد من الممارسات التجارية غير العادلة في الولايات المتحدة الأمريكية
Appraisal,تسعير,تقييم الممتلكات
Arbitrage,مراجحة,بيع وشراء نفس السلعة في نفس الوقت في سوقين أو أكثر بقصد تحقيق الربح والاستفادة من الفروق الآنية للأسعار
Arbitrage in stocks,المتاجرة في الأسهم,المتاجرة في الأسهم للاستفادة من فروق الأسعار
Arrears,مبالغ متأخرة الدفع,التزامات استحق دفعها ولم تسدد في موعدها وكذلك أرباح المساهمين المعلنة وغير المسددة
Articles of agreement,مذكرة اتفاق,"(1) مذكرة تمهيدية حول اتفاقية بانتضار ابرامها بشكل نهائي رسمي
(2) في الشحن البحري عبارة عن وثيقة تضم تفاصيل عقد توضيف بين قبطان السفينة وطاقمها"
Articles of association,نظام الشركة الأساسي,الأحكام الأساسية التي يخضع لها نظام الشركة وشكلها مثل عدد الأعضاء وعدد الأسهم ورأس المال وقيمة السهم وتوزيع الأرباح وطريقة الإدارة ومجلس الإدارة وغير ذلك من الشروط والأحكام
Articles of incorporation,عقد تأسيس الشركة,عقد اتفاق مكتوب بين مجموعة أشخاص يضم بنود وأحكام وشروط تأسيس الشركة وفقا للقانون
Articles of partnership,عقد شركة تضامن,عقد اتفاق بين الشركاء يضم البنود الأساسية في الاتفاق مثل اسم الشركة، ورأس المال، ونسب توزيع الربح أو الخسارة
Ascending Triangle,شكل المثلث الصاعد,من الأشكال السعرية الكلاسيكية وهو شكل إيجابي بصفة عامة ويعتبر شكل مكمل للاتجاه إذا جاء بعد إتجاه صاعد ولكنه يقوم بتغيير الإتجاه إذا جاء بعد إتجاه هابط. وما يحدث في هذا النموذج أن البائع يكون ثابت عند مستوى معين (مستوى مقاومة ثابت أفقي) أما المشتري يقوى تدريجياً بتكوين قاع أعلى من قاع. ويكتمل الشكل باختراق الحد العلوي (أو مستوى المقاومة الأفقي) لأعلى.
Ask Offer,عرض البيع,الرغبة بالتنازل عن ملكية ورقة مالية مدرجة في السوق ومن خلاله مقابل قيمة نقدية
Asset–Liability Management,إدارة الموجودات والمطلوبات,هي العملية المستمرة لوضع وتنفيذ ومراقبة ومراجعة الإستراتيجيات المتعلقة بالموجودات والمطلوبات من أجل تحقيق أهداف المؤسسة المالية.
Assets,الأصول,هي موارد ذات قيمة اقتصادية يملكها الفرد أو المؤسسة أو البلد ويُتوقع أن تحقق عوائد في المستقبل. يتم تسجيل الأصول التي شراؤها أو إنشاؤها لزيادة قيمة الشركة في الميزانية العمومية حيث يمكنها توليد تدفقات نقدية في المستقبل.
Associate Company,شركة زميلة,تعتبر شركة زميلة عندما تمتلك بها شركة أخرى بشكل مباشر أو غير مباشر لنسبة ملكية تزيد على 20% ولا تتجاوز 50% من رأس مالها، أو إذا كانت تملك تأثيراً هاماً على قراراتها
Auction,مزاد,طريقة للبيع العلني من خلال تجميع المهتمين والسماح لهم بتقديم عروض أسعار والمزايدة على السعر إلى أن يرسو المزاد على أعلى سعر مقدم
Audit,تدقيق حسابات - يدقق حسابياً,فحص الحسابات وفقاً لاجراءات تدقيق متعارف عليها من قبل مدقق حسابات مستقل للوصول إلى رأي حول مدى عدالة البيانات المالية وتمثيلها للموقف المالي للمنشأة وأداءها وتدفقاتها النقدية
Audit bureau,ديوان المحاسبة,مكتب مراجع قانونى
Audit committee,لجنة تدقيق,لجنة يعينها مجلس الإدارة وتتكون عادة من الأعضاء غير العاملين بهدف الإشراف على عملية التدقيق ودراسة تقارير التدقيق وحل الخلافات في الرأي بين المدقق والإدارة ودراسة تقارير المدقق الداخلي
Audit compliance,تدقيق التزام,عملية تدقيق هدفها فحص مدى الالتزام بتنفيذ بنود اتفاقية معينة أو عقد معين أو شروط معينة يتطلبها القانون أو العقد المبرم بين الأطراف
Audit internal,تدقيق داخلي (مراقبة داخلية),اختبار وفحص اجراءات المنشأة وعملياتها من قبل المدقق الداخلي للتحقق من امتثالها لسياسات المنشأة
Audit opinion,رأي تدقيق,الرأي الصادر حول البيانات المالية لمنشأة والمبين في تقرير مدقق الحسابات والناتج عن القيام باجراءات التدقيق اللازمة وفقا لمعايير التدقيق ذات العلاقة.
Auditing of financial statements,تدقيق البيانات المالية,الهدف من تدقيق البيانات المالية لمنشأة هو الوصول إلى رأي حول ما إذا كانت البيانات المالية قد أعدت من كافة النواحي الجوهرية وفقا لإطار اعداد البيانات المالية المعتمد
Auditing standards,معايير التدقيق,المبادئ والإجراءات الأساسية والتوجيهات التي يتبعها المدقق عند تنفيذ أعمال التدقيق. وتصدر هذه المعايير عن هيئات مهنية مخولة.
Auditor,مراقب الحسابات,الشخحص الطبيعي المسجل لدى الهيئة في سجل مراقبي الحسابات الذي يبدي الرأي الفني المحايد والمستقل حول مدى عدالة ووضوح القوائم المالية للشركة المعدة وفقأ لمعايير المحاسبة الدولية المعتمدة لدى الهيئة
Awareness,إدراك، معرفة، وعي، اطلاع,في التسويق تعني هذه العبارة مستوى المعلومات المتوفرة لدى المستهلكين عن سلعة معينة
Balance of payments,ميزان المدفوعات,صافي تدفق الأموال إلى أو خارج البلد بما في ذلك قيمة الواردات والصادرات والقروض والاستثمارات والمساعدات الخارجية ودخل السياحة والودائع الأجنبية داخل البلد وسحب هذه الودائع.
Balance sheet,الميزانية العمومية,بيان مالي يظهر المركز المالي لمنشأة في تاريخ محدد ويبين أصول المنشأة وإلتزاماتها وحقوق مالكيها، ويتم تصنيف بنودها في مجموعات حسب طبيعتها
Bank statement,كشف حساب مصرفي,"(1) كشف حركة حساب العميل الذي يرسله البنك لعملائه
(2) تقرير في الولايات المتحدة الأمريكية يقدم إلى السلطات حول الوضع المالي للبنك"
Bankruptcy,إفلاس,وضع أموال المدين تحت الحراسة القضائية وتدار وتستغل لمصلحة الدائنين وتباع باشراف مأمور التفليسة ويوزع ثمنها عليهم حتى الوفاء بالتزاماته
Bar Chart,رسم بياني عمودي,هو نوع من أنواع الرسوم البيانية وهو عبارة عن عمود صغير (يمثل يوم أو أسبوع أو شهر أو أي فترة زمنية مستخدمة). أعلى نقطة له تمثل أعلى سعر، وأقل نقطة له تمثل أقل سعر، وسعر الفتح يتم رسمه كعلامة في الجانب الأيسر وسعر الإغلاق يتم رسمه كعلامة في الجانب الأيمن. فهو يقوم برسم وتوضيح سعر الفتح وسعر الإغلاق وأعلى سعر وأقل سعر.
Bayʻ al-‘Īnah,بيع العينة والعينة العكسية,بيع سلعة بثمن حال ثم شراؤها بثمن مؤجل أكثر منه. والعينة العكسية بيع سلعة بثمن مؤجل ثم شراؤها نقداً بثمن أقل من الثمن المؤجل.
Bayʻ al-Dayn,بيع الدين,بيع الدائن دينه إلى طرف ثالث. ويمكن أن يكون الدين نقوداً أو سلعاً موصوفة في الذمة بالضوابط الشرعية.
Bayʻ al-Istijrār,بيع الاستجرار,عقد بيع يحصل فيه المشتري على السلع تدريجياً دون اتفاق على الثمن أو تسليم شيء منه غالباً وتتم المحاسبة على أثمانها بعد استهلاكها لاحقاً، ويشبه عقد التوريد.
Bearer securities,أوراق مالية لحاملها,أوراق مالية ليس لها سجل ملكية أي أن ملكيتها تعود لمن يحتفض بها
Bearer share,سهم لحامله,هو سهم يصدر بدون اسم المستثمر – لحامله – يعتبر حامل ذلك السهم مالكا له
Bearish Market,سوق هابط,"هو السوق السلبي ويطلق عليه كلمة ""Bearish"" كتشبيه للبائعين في السوق بالدب الذي يقوم بالهجوم عن طريق الوقوف على قدميه ومهاجمة الخصم بالضرب من أعلى لأسفل، أي أن البائعين يقومون بضرب الأسعار من أعلى والإنخفاض بها لأسفل."
Benchmark bond,سند أساس - تستخدم أحكامه لأغراض المقارنة مع الإصدارات اللاحقة إما من قبل نفس الجهة المصدرة أو في نفس قطاع السوق,تستخدم أحكامه لأغراض المقارنة مع الإصدارات اللاحقة إما من قبل نفس الجهة المصدرة أو في نفس قطاع السوق
benchmarks,معايير قياسية ، مؤشرات,معايير تستخدم لغاية قياس نتائج تحقيق الأهداف
Beneficiary,الشخص المستفيد,كل شخحس له مصلحة تمثل خمسة بالمائة (5%) فأكثر من رأسمال شركة مدرجة فى البورصة سواء بشكل مباشر أو غير مباشر أو كمجموعة أو بالتحالف مع آخرين
Block Trading,التداول الزائد عن الحد المسموح,شراء أو بيع حجم ضخم من الخيارات أو العقود الآجلة تفوق الحد المسموح به (الطبيعي) كثير من البورصات لا تجيز مثل هذا التداول
Block Trading,شراء أو بيع محافظ أو أوراق مالية بكاملها أو جزء منها,أحيانا تتم المتاجرة في مجموعات الأوراق المالية بدون المعرفة الدقيقة لطبيعة هذه الأوراق المالية، وهذا الأسلوب يسمح لمدراء المحافظ باجراء تغييرات رئيسية في تكوين أموالهم
Blue chip securities,أوراق مالية من الدرجة الأولى,أوراق مالية خاصة بشركة مستقرة ولها سجل أرباح ممتاز وصدارة في المجال الذي تعمل به وفرص نمو واستقرار جيدة في المستقبل، ولذلك فإن أسعار أوراقها المالية لا تتعرض لتقلبات كبيرة
Board Member,عضومجلس الإدارة,الشخص الطبيعى أو ممثل الشخص الطبيعى أو الاعتباري الذي يتم اختياره لشغل عضوية مجلس إدارة الشركة، ويدخل في ذلك ممثل الشخص الاعتباري
Board of Directors 'Secretary,أمين سر مجلس الإدارة,الشخص المُعين من قبل مجلس الإدارة من بين موظفي الشركة ليقوم بمهمة تدوين وتسجيل وحفظ جميع محاضر الاجتماعات، وأية مهام أخرى توكل إليه من قبل المجلس في هذا الشأن
Boards of director  (or directors),مجلس الادارة  (أو إدارة الشركة - بحسب الاحوال),مجلس الادارة  (أو إدارة الشركة - بحسب الاحوال)
Bond,السندات,أداة مالية تمثل مديونية على المصدر لصالح حامل السند، يحصل بموجبه حامل السند على توزيعات دورية خلال أجل السند أو دفعة أو أكثر من سداد الاستهلاك أو كلاهما الذى يؤدى عند استحقاقه إلى انقضاء السند
Bond fund,صناديق استثمار فى السندات,صندوق استثمار تقوم بالاستثمار بالسندات - استثمار مخصص لإطفاء سندات الدين
Bond indenture,عقد السند,عقد بين مصدر السندات ومالكيها يغطي شروط إصدار السندات مثل المبلغ، الأصول المرهونة، متطلبات رأس المال العامل، حالات عدم اتلسداد...إلخ
Bonds,السندات,هي أداة من أدوات الاستثمار ذات الدخل الثابت حيث يقوم المستثمر من خلالها بتقديم قروض إلى كيان (عادة شركة أو حكومة) يقترض الأموال لفترة محددة من الزمن بسعر فائدة متغير أو ثابت وتكون هذه الأداة متداولة في سوق المال.
Bonds sinking fund,مال السداد,أموال مستثمرة لتوفير المبالغ اللازمة لسداد قيمة السندات عند استحقاقها
Bonus issues,أسهم المنحة,هي أسهم مجانية تصدر للمساهمين، هي في الواقع عملية من عمليات تجميل السهم لمزيد من ترويجه في السوق، تعرف أيضاً (بالرسملة)
Book entry,تسجيل الأصول إلكترونياً,تسجيل الأصول إلكترونياً
Book even point,نقطة تعادل,مستوى المبيعات الذي يكون عنده الدخل الناتج من بيع البضاعة مساويا للتكاليف وبالتالي لا يوجد ربح أو خسارة
Book value,القيمة الدفترية,هي القيمة التي يظهر بها القرض في كشف حساب الشركة المقترضة، لكنه ليس بالضرورة أن يكون نفس القيمة السوقية
Bookbuilding,بناء سجل الأوامر,بناء سجل الأوامر - هي طريقة تحضير عرض للاكتتاب أو عرض البيع، في حد ذاتها تعتبر طريقة الحل الوسط للإصدار. تجمع بين عرض السعر الثابت والمناقصة. قبل عملية الإصدار يقوم بيت الإصدار بممارسة وإجراء عملية التسعير. تبدأ عملية التسعير بحصوله على إلتزام من عدد من المستثمرين بشراء السهم عند سعر معين. وبمجرد أن ينشأ الطلب على السهم، يقوم مدير الإصدار بوضع السعر المحدد للسهم تبعاً لمستويات الطلب المتقدمة للسهم. غالباً ما تستخدم طريقة التسعير للعروض والإصدارات الضخمة التي يصعب معها تحديد سهر الإصدار مسبقاً. وأيضاٌ في حالة عدم توفر متعهد وضامن الاكتتاب المناسب
Bookkeeping,الحفظ,تسجيل المعاملات المالية في السجلات المحاسبية وترحيلها إلى دفتر الأستاذ وإعداد ميزان المراجعة وما يتبع ذلك من أعمال مساندة
Bottom,قاع,هو المستوى الذي وصلت له الأسعار وإرتفعت منه مرةً أخرى، فتكون الحركة التي قبله إنخفاض وتكون الحركة التي تليه إرتفاع.
Brain of the crowd,العقل الجمعي,هو عقل إفتراضي لمجموع عقول الجمهور الذين يجمعهم هدف واحد وهو تحقيق الأرباح، فهو عقل يفكر فقط في الأرباح وبالتالي تفكيره غير عقلاني ويفكر فقط بالطمع في تحقيق المزيد من الأرباح أو الخوف من خسارة هذه الأرباح.
Breadth Indicators,مؤشرات اتساع السوق,هي مؤشرات حسابية محسوبة من بيانات مختلفة غير الأسعار نفسها، وتقوم بتوضيح إذا كان مؤشر السوق يتحرك بكل مكوناته (أسهمه) أم لا. وتستخدم مع مؤشرات الأسواق فقط ولاتستخدم مع الأسهم. من أمثلة البيانات المستخدمة في حساب هذه المؤشرات: عدد الأسهم الصاعدة – عدد الأسهم المنخفضة - عدد الأسهم التي لم تتحرك – أحجام تداول الأسهم الصاعدة - أحجام تداول الأسهم الهابطة - أحجام تداول الأسهم التي لم تتغير - عدد الأسهم التي حققت سعر جديد أعلى للـ52 أسبوع - عدد الأسهم التي حققت سعر جديد أقل للـ52 أسبوع.
Breakaway gap,فجوة الإختراق,هي فجوة سعرية تظهر في بداية حركة، وعادةً تظهر عند إكتمال شكل سعري أو منطقة تجميع / تصريف. فهي تشير لبداية حركة قوية في السهم سواء كانت هذه الحركة لأعلى أو لأسفل. وعادةً تظهر مع إختراق مستوى مقاومة / دعم مهم سواء في شكل سعري أو خط إتجاه أساسي. يصاحبها أحجام تداول ضخمة ولا يتم تغطيتها لمدة طويلة وأخيراً ليس لها هدف سعري.
Breakout,الإختراق,هو إغلاق السعر فوق مستوى مقاومة أو أسفل مستوى دعم.
Breakthrough rule,قاعدة التعطيل المؤقت لبعض البنود الواردة فى العقود أو النظم الأساسية للشركات,قاعدة التعطيل المؤقت لبعض البنود الواردة فى العقود او النظام الأساسية للشركات
Broker,الوسيط,شخص اعتباري يزاول أعمال شراء وبيع الأوراق المالية لحساب الغير مقابل عمولة
Bubble market,سوق يشهد سيناريوهات وهمية,سوق يشهد سيناريوهات وهمية - أشهر الفقاعات في سوق الأسهم هي أزمة (فقاعة) البحر الجنوبي في عام 1720 التي أدت إلى انهيار سوق لندن للأسهم وإفلاس كثير من المسنثمرين.
Bullish Market,سوق صاعد,"هو السوق الإيجابي ويطلق عليه كلمة ""Bullish"" كتشبيه للمشترين في السوق بالثور الذي يقوم بالهجوم على خصمه عن طريق النطح من أسفل إلى أعلى، أي أن المشترين يقومون برفع الأسعار من أسفل إلى أعلى."
Business trust,"(1) شركة لإدارة أموال وأملاك 
(2) ثقة في التعامل","(1) توضع الأموال والأملاك في يد أمناء لإدارتها لصالح المستفيدين 
(2) ثقة في التعامل"
Buyback offer,شراء الشركة لأسهمها,هي وسيلة لتعزيز سهر سهم الشركة في السوق، وأيضاُ لتجنب إمتلاك صغار المستثمرين، غالباً يتم في حالة تدني سعر سهم الشركة وهو نوع من أنواع التجميل
Call,"(1) دعوة
(2) خيار 
(3) طلب تسديد 
(4) استدعاء","(1) دعوة لتسديد قيمة أقساط أسهم رأس المال
(2) خيار شراء أسهم أو أصول بأسعار محددة خلال فترة محددة
(3) طلب تسديد المبالغ المستحقة فوراً
(4) استدعاء السندات أو الأسهم الممتازة للسداد قبل تاريخ استحقاقها المعتاد"
Call option,خيار شراء في المستقبل,خيار شراء أسهم أو سلع بسعر محدد وخلال فترة معينة
Call premium,علاوة الاستدعاء، علاوة الاسترداد,الزيادة التي يدفعها مصدر الورقة المالية عن قيمتها الاسمية عند استدعلئها للسداد قبل تاريخ استحقاقها
Call price,سعر الاستدعاء، سعر الاسترداد,السعر الذي تستوفى به الأوراق المالية القابلة للاسترداد ويعادل القيمة الإسمية زائد علاوة الاسترداد
Callable bond,سند قابل للاستدعاء,"السند الذي تصدره شركة ويكون لها الحق في سداده قبل تاريخ استحقاقه، ويدعى أيضا ""Redeemable bond"""
Callable preferred stock,أسهم ممتازة قابلة للاستدعاء,أسهم ممتازة قابلة للاستدعاء
Called bond,السند الذي تم طلب سداده,في اليوم المحدد للسداد ولا تستحق فائدة عليه بعد ذلك التاريخ
Candlestick Chart,رسم بياني بالشموع اليابانية,هو رسم بياني يتكون من شموع، تتكون الشمعة من نفس بيانات الرسم البياني العمودي. فهو يقوم برسم سعر الفتح وسعر الإغلاق وأعلى سعر وأقل سعر. الفرق بين سعر الفتح والإغلاق يُعبر عنه بجسم مستطيل (يطلق عليه جسم الشمعة). الفرق بين أعلى/أقل سعر وجسم الشمعة يُعبر عنه بخط عمودي. (يُطلق عليه الظل العلوي/السفلي). إذا كان سعر الإغلاق أعلى من سعر الفتح، الجسم يكون أبيض اللون. إذا كان سعر الإغلاق أقل من سعر الفتح، الجسم يكون أسود اللون.
Capital,"(1) رأس المال 
(2) المال المستثمر في مشروع 
(3) الأصول الثابتة طويلة الأجل المشتراة بهدف إنتاج السلع أو الخدمات","(1) حصة الملكية أي زيادة الموجودات عن المطلوبات في منشأة 
(2) المال المستثمر في مشروع 
(3) الأصول الثابتة طويلة الأجل المشتراة بهدف إنتاج السلع أو الخدمات"
Capital Adequacy Ratio (CAR),الحد الأدنى من الملاءة المالية التي يطلبها المراقبون من البنك مقابل التمويل (رأس المال المتاح والاحتياطي),الحد الأدنى من الملاءة المالية التي يطلبها المراقبون من البنك مقابل التمويل (رأس المال المتاح والاحتياطي)
Capital asset pricing model (CAPM),نموذج تسعير الاصول الرأسمالية,"يركز نموذج تسعير أصل رأس المال ""CAPM""على النظر إلى النسبة بين المخاطرة والعائد ومن ثم يقارن بينها وبين سوق الأسهم المالية ككل"
Capital Gain,الربح الرأسمالي للورقة المالية,"هو الربح الناتج عن بيع كميات معينة من ورقة مالية في حال ارتفاع سعرها، ويحسب عادة وفقأ للمعادلة التالية: 
الربح الرأسمالي = (سعر بيع الورقة - سعر شراء الورقة) X الكميات المباعة من الورقة المالية. 
وفي حال ما إذا كان سعر الشراء أعلى من سعر البيع فإن المستثمر سوف يحقق خسائر رأسمالية"
Capital loss,خسارة رأسمالية,الخسارة الناجمة عن بيع أو استبدال الأصول الرأسمالية
Capital market,سوق رأس المال,حيث يكون النشاط الرئيسي هو الاستثمار في رؤوس الأموال على مستوى القطاعات المختلفة بما فيهم سوق الأسهم والسندات
Capital Markets,أسواق رأس المال,"والتي يتم فيها التوفيق بين العرض والطلب على رؤوس الأموال والتمويل طويل الأجل من قبل الأفراد وشركا ت القطاع الخاص والهيئات الحكومية، وتمثل الأسهم والسندات أهم الأدوات المالية المستخدمة فيها. وتعتبر أسواق رأس المال القناة الطبيعية لتوظيف الفوائض المالية (المدخرات) التي يمتلكها أفراد المجتمع ككل في استثمارات طويلة الأجل، مثلا تأسيس شركات جديدة وتمول أنشطة الشركات القائمة ومشاريعها المستقبلية وتموبل برامج الجهات الحكومية التنموية.
وتنقسم أسواق رأس المال إلى جزئين رئيسيين وهما: سوق الأوراق المالية وسوق السندات وا لصكوك ٠ كما ينقسم سوق الأوراق المالية بدوره إلى سوقين فرعيين وهما: سوق الطرح الأولي والسوق الثانوي"
Capitalization,"(1) رسملة
(2) إجمالي القيمة السوقية للأوراق المالية المختلفة التي تصدرها الشركة من الأسهم والسندات","(1) في المحاسبة تعني تسجيل النفقة في حساب الموجودات لأنها تعود بمنفعة لفترة تزيد عن سنة
(2) إجمالي القيمة السوقية للأوراق المالية المختلفة التي تصدرها الشركة من الأسهم والسندات"
Capitalization issue,إصدار أسهم المنحة,إصدار أسهم مجانية مدفوعة بالكامل للمساهمين الحاليين لللشركة
Captive (Takāful),الكيان الحصري (التكافل),شركة تكافل أو شركة إعادة تكافل مُنشَأة ومملوكة بصورة مباشرة أو غير مباشرة من قبل كيان صناعي أو تجاري أو مالي واحد أو أكثر. الغرض منها توفير غطاء تكافل أو إعادة تكافل لمخاطر الكيان أو الكيانات التي تنتمي إليها، أو لكيانات مرتبطة بتلك الكيانات، ولا يكون سوى جزء صغير من تعرضاتها للمخاطر، إن وجد، مرتبطاً بتوفيرها غطاء تكافل أو إعادة تكافل لأطراف أخرى.
Cash basis,الأساس النقدي,طريقة تسجيل الإيرادات والمصاريف فور استلامها ودفعها دون اعتبار للفترة التي تحققت فيها الإيرادات أو تكبدت فيها المصاريف
Cash Dividend,أرباح موزعة نقدا,هي الأرباح التي تقوم الشركة بتوزيعها على مساهميها نقدا وفقا لمواعيد محددة قد تكون ربع أو نصف سنوية أو سنوية
Cash flow,تدفق نقدي,حركة النقد الداخل أو الخارج من المنشأة
Cash flow from financing,التدفقات النقدية من الأنشطة التمويلية,هو البند الثالث والأخير من قائمة التدفقات النقدية الذي يشير إلى  التغيرات التي طرأت على النقدية الناتجة عن أنشطة مثل إصدار الأسهم والسندات لرفع رأس المال ودفع الأرباح والقروض المصرفية، وإعادة تمويل القروض، وإعادة شراء الأسهم، وتوزيعات الأرباح على المساهمين.
Cash flow from investing,التدفقات النقدية من الأنشطة الاستثمارية,هو البند الثاني من بنود قائمة التدفقات النقدية الذي يشير إلى التغير في المركز النقدي للشركة الناتج عن أي أرباح (أو خسائر) من الاستثمارات في الأوراق المالية والشركات التابعة العاملة والتغيرات الناتجة عن المبالغ المنفقة على الاستثمارات الرأسمالية مثل الآلات والمعدات والمباني.
Cash flow from operations,التدفقات النقدية من الأنشطة التشغيلية,هو البند  الأول من بنود قائمة التدفقات النقدية  يشير إلى التغير فى المركز النقدى للشركة الناتج عن الأرباح (أو الخسائر) التي تجلبها المنشأة من الأنشطة التجارية الجارية والمنتظمة، مثل التصنيع وبيع السلع أو تقديم الخدمة. ولا يشمل التدفق النقدي من الأنشطة التشغيلية رأس المال طويل الأجل أو تكاليف الاستثمار.
Cash Flow Statement,قائمة التدفقات النقدية,هى إحدى القوائم المالية التى توضح كيفية تأثير التغييرات في حسابات قائمة المركز المالى وكذا قائمة الدخل على بند النقدية وما في حكمها، وتتعلق قائمة التدفقات النقدية أساساً بتدفق النقدية من خلال أنشطة التشغيل والاستثمار والتمويل داخل وخارج المنشأة.
Cash inflows,التدفق النقدي الداخل إلى النشاط التجاري,التدفق النقدي الداخل إلى النشاط التجاري
Cash margin,التأمين النقدي,مبلغ يحتجز في المصرف لضمان جدية عملية التنفيذ
cash offer,عرض شراء نقدى,عرض شراء نقدى
Cedant (Takāful),الشركة المُسنِدة,الطرف المشارك في عقد إعادة التكافل أو إعادة التأمين الذي يتم به إسناد جزء من المخاطر وفق عقد إعادة التكافل أو إعادة التأمين.
Central Caunterparty,وسيط مركزي,كيان يقوم بدور بين الأطراف المتعاقدة، بحيث يصبح الوسيط المركزي المشتري لكل بائع وكذلك البائع لكل مشترى
Certificate of deposit,شهادة إيداع,وثيقة يمنحها البنك للمودع تبين مبلغ الإيداع ومدته والفائدة عليه
