%.1f (35mm film),%.1f (film 35mm),%.1f (35mm-Film),%I.1f (فيلم 35مم)
EXIF not supported for this file format.,EXIF n’est pas pris en charge dans ce format de fichier.,EXIF wird für dieses Dateiformat nicht unterstützt.,إكسيف (EXIF) غير مدعوم لهذا النسق من الملفّات.
Expand images to fit screen,Étendre les images pour remplir l’écran,Bild auf Bildschirmgröße bringen,وسع الصور لتلائم الشاشة
East,Est,Ost,شرق
Enlarge the image,Agrandit l’image,Das Bild vergrößern,كبّر الصورة
Enter/Leave fullscreen,Quitter le plein écran,Vollbild ein- oder ausschalten,ادخل أو غادر ملء الشاشة
Error launching System Settings:,Erreur de lancement des paramètres du système :,Fehler beim Aufruf der Systemeinstellungen:,حدث عطل أثناء بدء تفضيلات النظام:
Error on deleting image %s,Erreur lors de la suppression de l’image %s,Fehler beim Löschen von Bild %s,خطأ أثناء حذف الصّورة %s
"Error printing file:
%s","Erreur lors de l’impression du fichier :
%s","Fehler beim Drucken der Datei:
%s","خطأ أثناء طباعة الملف:
%s"
Exposure,Durée d’exposition,Belichtung,زمن التعرض
Exposure Time:,,,زمن التعرض:
Extrapolate Image,Extrapoler l’image,Bild interpolieren,استوفي الصورة
Eye of GNOME,Visionneur d’images,Eye of GNOME,عين جنوم
File Name Preview,Aperçu du nom de fichier,Dateinamen-Vorschau,معاينة أسماء الملفّات
File Path Specifications,Spécifications du chemin,Dateipfad-Angaben,مواصفات مسارات الملفّات
File Size,Taille de fichier,Dateigröße,حجم الملف
File format is unknown or unsupported,Le format de fichier est inconnu ou non pris en charge,Dateiformat ist unbekannt oder wird nicht unterstützt,نمط الملف مجهول أو غير مدعوم
Flash:,,,فلاش:
Focal Length,Distance focale,Brennweite,البعد البؤري
Focal Length:,,,البعد البؤري:
Folder,Dossier,Ordner,المجلد
Folder:,,,المجلد:
Fullscreen,Plein écran,Vollbild,ملء الشّاشة
Fullscreen with double-click,Plein écran sur double-clic,Vollbildmodus durch Doppelklick,املأ الشاشة عند النقر المزدوج
GNOME Image Viewer,,,عارض صور جنوم
GPS Data,Données GPS,Standortdaten (GPS),بيانات GPS
General,Général,Allgemein,عامّ
Go to a random image in the folder,Afficher une image choisie au hasard dans le dossier,Zu einem zufälligen Bild im Ordner gehen,اذهب لصورة عشوائية في المجلد
Go to the first image in the folder,Afficher la première image du dossier,Zum ersten Bild im Ordner gehen,اذهب للصورة الأولى في المجلد
Go to the first image of the gallery,Affiche la première image de la galerie,Zum ersten Bild in der Sammlung gehen,اذهب للصورة الأولى في المعرض
Go to the last image in the folder,Afficher la dernière image du dossier,Zum letzten Bild im Ordner gehen,اذهب للصورة الأخيرة في المجلد
Go to the last image of the gallery,Affiche la dernière image de la galerie,Zum letzten Bild in der Sammlung gehen,اذهب للصورة الأخيرة في المعرض
Go to the next image in the folder,Afficher la prochaine image du dossier,Zum nächsten Bild im Ordner gehen,اذهب للصورة التالية في المجلد
Go to the next image of the gallery,Affiche la prochaine image de la galerie,Zum nächsten Bild in der Sammlung gehen,اذهب للصورة التالية في المعرض
Go to the previous image in the folder,Afficher l’image précédente du dossier,Zum vorherigen Bild im Ordner gehen,اذهب للصّورة السّابقة في المجلد
Go to the previous image of the gallery,Affiche l’image précédente de la galerie,Zum vorherigen Bild in der Sammlung gehen,اذهب للصّورة السّابقة في المعرض
Height:,,,الارتفاع:
Hide,Masquer,Verbergen,أخفِ
Horizontal,Horizontal,Horizontal,أفقيا
ISO,ISO,ISO,أيزو
ISO Speed Rating:,,,ترتيب ISO للسرعة:
"If activated and no image is loaded in the active window, the file chooser will display the user’s pictures folder using the XDG special user directories. If deactivated or the pictures folder has not been set up, it will show the current working directory.","Si activé et qu’il n’y a pas d’image chargée dans la fenêtre principale, le sélecteur de fichiers affiche le dossier des images de l’utilisateur en utilisant les répertoires utilisateurs spéciaux selon la norme XDG. Si désactivé ou si le répertoire des images n’est pas configuré, il affiche le répertoire de travail actuel.","Wenn dieser Schlüssel auf »Wahr« gesetzt ist und kein Bild im aktiven Fenster geladen ist, zeigt die Dateiauswahl den Bilderordner des Benutzers unter Verwendung der speziellen XDG-Benutzerordner. Wenn dieser Schlüssel auf »Falsch« gesetzt ist oder der Bilderordner nicht eingerichtet ist, wird der aktuelle Arbeitsordner angezeigt.",إذا فُعّل ولم تُحمّل أي صورة في النافذة النشطة فسيعرض مخير الملفات مجلد صور المستخدم باستخدام مجلدات XDG الخاصة. إذا عُطّل أو لم يكن مجلد الصور موجودا فسيستخدم المجلد الحالي.
"If activated, Eye of GNOME won’t ask for confirmation when moving images to the trash. It will still ask if any of the files cannot be moved to the trash and would be deleted instead.","Si activé, Visionneur d’images ne demande pas de confirmation lorsque les images sont mises à la corbeille. Il demande toujours si un fichier ne peut être mis à la corbeille et devrait donc être directement supprimé.","Legt fest, ob Eye of GNOME nicht nach Bestätigung fragt, wenn Bilder in den Papierkorb verschoben werden. Es wird aber in jedem Fall nachgefragt, wenn das Bild nicht in den Papierkorb verschoben werden kann und stattdessen gelöscht wird.",إذا فُعّل فلن تسأل «عين جنوم» تأكيد نقل الصور إلى المهملات. لكن ستظل تسأل إذا تعذّر نقل أي ملف إلى المهملات وكان سيُحذف بدلا من هذا.
"If activated, the detailed metadata list in the properties dialog will be moved to its own page in the dialog. This should make the dialog more usable on smaller screens, e.g. as used by netbooks. If disabled, the widget will be embedded on the “Metadata” page.",,,إذا فُعّل ستُنقل قائمة البيانات الفوقية المفصّلة في حوار الخصائص إلى صفحة مستقلة. سيجعل هذا الحوار مناسبا أكثر للشاشات الصغيرة مثل حواسيب النت. إذا عُطّل فستضمن القائمة في صفحة ”البيانات الفوقية“.
"If the transparency key has the value COLOR, then this key determines the color which is used for indicating transparency.","Si la clé transparency a la valeur COLOR, alors cette clé détermine la couleur qui sera utilisée pour indiquer la transparence.","Falls der Transparenzschlüssel den Wert »COLOR« hat, legt dieser Schlüssel fest, welche Farbe zum Anzeigen der Transparenz verwendet werden soll.",إذا كان لمفتاح الشّفافيّة القيمة COLOR، فسيحدد هذا المفتاح اللّون الذي سيستخدم للإشارة إلى الشّفافيّة.
If this is set to FALSE small images will not be stretched to fit into the screen initially.,"Si ceci est défini à FAUX, alors les petites images ne seront pas étirées pour remplir l’écran initialement.","Wenn dieser Wert auf FALSCH gesetzt ist, werden kleine Bilder anfangs nicht vergrößert, um auf den Bildschirm zu passen.","إذا عيّن هذا على أنّه ""خطأ"" فلن تمدّد الصّور الصّغيرة مبدئيًّا لملائمة الشّاشة."
"If you don’t save, all your changes will be lost.","Si vous n’enregistrez pas, toutes vos modifications seront perdues.","Alle Änderungen werden verloren gehen, wenn Sie nicht speichern.",إذا لم تحفظ ستضيع جميع تغييراتك.
"If you don’t save, your changes will be lost.","Si vous n’enregistrez pas, vos modifications seront perdues.","Alle Änderungen werden verloren gehen, wenn Sie nicht speichern.",إذا لم تحفظ ستضيع تغييراتك.
Image,Image,Bild,صورة
Image Data,Données de l’image,Bilddaten,بيانات الصّورة
Image Enhancements,Améliorations de l’image,Bildverbesserungen,تحسينات الصور
Image Properties,Propriétés de l’image,Bildeigenschaften,خصائص الصورة
Image Properties,,,خصائص الصورة
Image Settings,Paramètres de l’image,Bildeinstellungen,إعدادات الصورة
Image Taking Conditions,Conditions de prise de l’image,Aufnahmebedingungen,ظروف أخذ الصّورة
Image View,Vue Image,Bildansicht,عرض الصورة
Image Viewer,,,عارض الصّور
Image Viewer could not determine a supported writable file format based on the filename.,,,لم يتمكن عارض الصور من تعيين نمط صور مدعوم قابل للكتابة من اسم الملف.
Image Zoom,Zoom de l’image,Bildvergrößerung,تقريب الصّورة
Image Gallery,Galerie d’images,Bildersammlung,معرض الصور
Image gallery pane position. Set to 0 for bottom; 1 for left; 2 for top; 3 for right.,Position du volet de la galerie d’images. Définir à 0 pour bas ; 1 pour gauche ; 2 pour haut ; 3 pour droite.,"Die Position der Bildersammlungsleiste. Gültige Werte sind: 0 (unten), 1 (links), 2 (oben), 3 (rechts)",مكان لوح معرض الصور. 0 للأسفل؛ 1 للجهة اليسرى؛ 2 للأعلى؛ 3 للجهة اليمني.
Image loading failed.,Le chargement de l’image a échoué.,Laden des Bildes ist gescheitert.,فشل تحميل الصورة.
Inches,Pouces,Zoll,بوصات
Interpolate Image,Interpoler l’image,Bild interpolieren,استوفي الصورة
Keywords:,,,الكلمات الأساسية:
Leave fullscreen mode,Quitter le mode plein écran,Vollbildmodus verlassen,غادر ملء الشاشة
List of active plugins. It doesn’t contain the “Location” of the active plugins. See the .eog-plugin file for obtaining the “Location” of a given plugin.,Liste des greffons actifs. Elle ne contient pas l’« emplacement » des greffons actifs. Référez-vous au fichier .eog-plugin pour obtenir l’« emplacement » d’un greffon donné.,"Liste aktivierter Erweiterungen. Sie enthält nicht den »Ort« aktiver Erweiterungen. Sehen Sie in der ».eog-plugin«-Datei einer Erweiterung nach, um den »Ort« (»Location«) zu erfahren.",قائمة الملحقات النشطة. لا تحتوي على قيمة ”المكان“ للملحقات النشطة. انظر ملف .eog-plugin لتحصل على ”مكان“ أي ملحق.
Location:,,,المكان:
Loop through the image sequence,Répéter la suite d’images,Endlosschleife durch die Bildabfolge,تّحلّق عبر تتالي الصّور
Maker Note,Note du fabricant,Herstellernotizen,ملحوظة الصانع
Metadata,,,البيانات الإضافية
Metering,Mode de mesure,Messung,نمط القياس
Metering Mode:,,,نمط القياس:
Millimeters,Millimètres,Millimeter,ملي مترات
Move to Trash,Mettre à la corbeille,In den Papierkorb verschieben,انقل إلى المهملات
Name:,,,الاسم:
Next,,,التّالية
No image loaded.,Aucune image chargée.,Kein Bild geöffnet.,لم تحمّل صورة.
No images found in “%s”.,Aucune image trouvée dans « %s ».,In »%s« konnten keine Bilder gefunden werden.,لا توجد صور في ’%s‘.
None,Aucun,Keine,لا شيء
North,Nord,Nord,شمال
Open With,,,افتح باستخدام
Open Folder,Ouvrir un dossier,Ordner öffnen,افتح مجلّدا
Open Image,Ouvrir une image,Bild öffnen,افتح صورة
Open with,,,افتح بـاستخدام
Open an image file,Ouvrir un fichier image,Eine Bilddatei öffnen,افتح ملف صورة
"Open in a single window, if multiple windows are open the first one is used","Ouvrir dans une seule fenêtre, si plusieurs fenêtres sont ouvertes, la première est utilisée","In einem einzelnen Fenster öffnen. Wenn mehrere Fenster geöffnet sind, wird das erste verwendet.",يفتح في نافذة فريدة، إن كانت عدة نوافذ مفتوحة فسيستعمل الأولى
Open in fullscreen mode,Ouvrir en mode plein écran,Im Vollbildmodus anzeigen,افتح في نمط ملء الشاشة
Open in slideshow mode,Ouvrir en mode diaporama,Als Diaschau anzeigen,اعرض في نمط عرض الشرائح
Open the application manual,Ouvrir le manuel de cette application,Das Handbuch zu dieser Anwendung öffnen,افتح دليل استخدام التطبيق
Open with Document Viewer,Ouvrir avec Visionneur de documents,Mit Dokumentenbetrachter öffnen,افتح في عارِض المستندات
Opening image “%s”,Ouverture de l’image « %s »,Bild »%s« wird geöffnet,يفتح الصورة ”%s“
Options,Options,Optionen,الخيارات
Other,Autre,Andere,أخرى
Page Setup,Mise en page,Seite einrichten,إعداد الصفحة
Pause or resume the slideshow,Met en pause ou reprend le diaporama,Die Diaschau anhalten oder fortsetzen,ألبث أو استأنف عرض الشرائح
Pause slideshow,Mettre en pause le diaporama,Diaschau unterbrechen,ألبث عرض الشرائح
Picture;Slideshow;Graphics;,Image;Diaporama;Graphiques;Photographie;,Bild;Diaschau;Diashow;Grafik;,صورة;رسوميات;عرض شرائح;
Please try a different file extension like .png or .jpg.,Essayez une extension de fichier différente telle que .png ou .jpg.,Bitte probieren Sie eine andere Dateierweiterung wie .png oder .jpg.,الرجاء اختيار نمط صور مختلف مثل .png أو .jpg.
Plugins,Greffons,Erweiterungen,ملحقات
Position,Position,Position,الموضع
Preferences,Préférences,Einstellungen,التّفضيلات
Preferences,Préférences,Einstellungen,التّفضيلات
Preview,Aperçu avant impression,Vorschau,مُعاينة
Previous,,,السّابقة
Print the current image,Imprimer l’image actuelle,Das gewählte Bild drucken,اطبع الصورة الحالية
Properties,Propriétés,Eigenschaften,خصائص
Properties,Propriétés,Eigenschaften,الخصائص
Reload Image,Recharger l’image,Bild neu laden,أعد تحميل الصّورة
Reload current image,Recharge l’image en cours,Aktuelles Bild neu laden,أعد تحميل الصورة الحالية
Rename from:,Renommer à partir de :,Umbenennen von:,غيّر الاسم من:
Rotate Counterclockwise,Rotation antihoraire,Gegen den Uhrzeigersinn drehen,أدِر عكس عقارب الساعة
Rotate clockwise,Rotation horaire,Im Uhrzeigersinn drehen,أدِر مع عقارب الساعة
Rotate counterclockwise,Rotation antihoraire,Gegen den Uhrzeigersinn drehen,أدِر عكس عقارب الساعة
Rotate the image 90 degrees to the left,Fait pivoter l’image de 90 degrés vers la gauche,Das Bild um 90 Grad nach links drehen,أدِر الصورة 90 درجة لليسار
Rotate the image 90 degrees to the right,Fait pivoter l’image de 90 degrés vers la droite,Das Bild um 90 Grad nach rechts drehen,أدِر الصورة 90 درجة لليمين
Rotation,Rotation,Drehung,الاستدارة
Run “%s --help” to see a full list of available command line options.,Lancez « %s --help » pour voir la liste complète des options disponibles en ligne de commande.,Führen Sie »%s --help« für eine vollständige Liste der verfügbaren Optionen aus.,نفّذ ”%s --help“ لرؤية قائمة كاملة بخيارات سطر الأوامر المتوفرة.
Select the images you want to save:,Sélectionnez les images que vous souhaitez enregistrer :,"Wählen Sie die Bilder, die Sie speichern möchten:",اختر الصور التي تريد حفظها:
Side Pane,Panneau latéral,Seitenleiste,اللوحة الجانبية
Status Bar,Barre d’état,Statusleiste,شريط الحالة
Save As,Enregistrer sous,Speichern unter,احفظ باسم
Save Image,Enregistrer l’image,Bild speichern,احفظ الصّورة
Save As,Enregistrer sous,Speichern unter,احفظ باسم
Save As…,Enregistrer sous…,Speichern unter …,احفظ باسم…
Save changes to image “%s” before closing?,Voulez-vous enregistrer les modifications apportées à l’image « %s » avant de fermer ?,Sollen die Änderungen am Bild »%s« vor dem Schließen gespeichert werden?,أأحفظ التغييرات على الصورة ”%s“ قبل الإغلاق؟
Save the image,Enregistrer l’image,Das Bild speichern,احفظ الصورة
Save the image with a new file name,Enregistrer l’image sous un autre nom,Das Bild unter einem anderen Namen speichern,احفظ الصورة المحددة باسم ملف جديد
Saving image locally…,Enregistrement de l’image en local…,Bild wird lokal gespeichert …,يحفظ الصورة محليا…
Saving image “%s” (%u/%u),Enregistrement de l’image « %s » (%u/%u),Bild »%s« (%u/%u) wird gespeichert,يحفظ الصورة ‏”%s“ ‏(%Iu‏/%Iu)
Scroll wheel zoom,Zoom à la molette de la souris,Vergrößerung per Mausrad,تحجيم بالعجلة
Sequence,Suite,Abfolge,متتالية
Set as Wallpaper,Définir comme papier peint,Als Hintergrund festlegen,اجعلها الخلفية
Set the image as desktop background,Définir l’image comme arrière-plan du bureau,Das Bild als Hintergrundbild festlegen,اجعل الصورة خلفية سطح المكتب
Show,Afficher,Anzeigen,اعرض
Show Containing Folder,Afficher le dossier conteneur,Beinhaltenden Ordner anzeigen,اعرض المجلّد الذي يحوي الملف
Show image properties dialog,,,اعرض حوار خصائص الصورة
Show the application’s version,Afficher la version de l’application,Version der Anwendung anzeigen,أظهر نسخة التطبيق
Show the current image in fullscreen mode,Affiche l’image actuelle en mode plein écran,Das momentane Bild im Vollbildmodus anzeigen,اعرض الصورة الحالية في نمط ملء الشاشة
Show the folder which contains this file in the file manager,Affiche le dossier qui contient ce fichier dans le gestionnaire de fichiers,"Den Ordner, der diese Datei enthält, in der Dateiverwaltung anzeigen",اعرض المجلّد الذي يحوي هذا الملف في مدير الملفات
Show/Hide the image gallery,Afficher/masquer la galerie d’images,Bildersammlung anzeigen/verbergen,أظهر أو أخفِ معرض الصور.
Show/Hide the image gallery pane scroll buttons.,Afficher/masquer les boutons de défilement du volet de la galerie d’images.,Bildlaufknöpfe der Bildersammlungsleiste zeigen/verbergen.,أظهر\أخفِ أزرار لوحة معرض الصور.
Show/Hide the image gallery pane.,Afficher/masquer le volet de la galerie d’images.,Bildersammlungsleiste anzeigen/verbergen.,أظهر\أخفِ لوحة معرض الصور.
Show/Hide the sidebar,Afficher/masquer la barre latérale,Seitenleiste anzeigen/verbergen,أظهِر أو أخفِ الشريط الجانبي
Show/Hide the window side pane.,Afficher/masquer le panneau latéral de la fenêtre.,Seitenleiste anzeigen/verbergen.,أظهر\أخفِ لوح النافذة الجانبي.
Show/Hide the window statusbar.,Afficher/masquer la barre d’état de la fenêtre.,Statusleiste anzeigen/verbergen.,أظهر\أخفِ شريط حالة النّافذة.
Shows the image date in the window statusbar,Affiche la date de l’image dans la barre d’état de la fenêtre,Datum des Bildes in der Statusleiste anzeigen,أظهرالتاريخ في شريط حالة النّافذة
Shrink or enlarge the current image,,,صغّر أو كبّر الصورة الحالية
Shrink the image,Réduit l’image,Das Bild verkleinern,صغّر الصورة
Size,Taille,Größe,المقاس
Slideshow,Diaporama,Diaschau,عرض شرائح
Slideshow,Diaporama,Diaschau,عرض شرائح
Smooth images when zoomed in,Lisser l’image lors du zoom avant,Bild bei Vergrößerung glätten,اجعل الصور ناعمة عند تقريبها
Smooth images when zoomed out,Lisser l’image lors du zoom arrière,Bild bei Verkleinerung glätten,اجعل الصور ناعمة عند تبعيدها
Some of the selected images can’t be moved to the trash and will be removed permanently. Are you sure you want to proceed?,Certaines des images sélectionnées ne peuvent pas être mises à la corbeille et vont être définitivement supprimées. Voulez-vous vraiment continuer ?,"Einige der zu löschenden Bilder können nicht in den Papierkorb verschoben werden und werden daher unwiderruflich gelöscht. Sind Sie sicher, dass Sie fortfahren wollen?",بعض الصورة المختارة لا يمكن نقلها إلى المهملات وستحذف بشكل دائم. أمتأكد أنك تريد المتابعة؟
South,Sud,Süd,جنوب
Start a new instance instead of reusing an existing one,Créer une nouvelle instance plutôt que d’en réutiliser une existante,"Eine neue Instanz starten, anstatt eine vorhandene zu verwenden",ابدأ سيرورة جديدا بدلا من استخدام الموجودة
Start/Stop slideshow,Démarrer/arrêter le diaporama,Diaschau starten oder stoppen,ابدأ أو أوقف عرض شرائح
Supported image files,Fichiers image pris en charge,Unterstützte Bilddateien,ملفات الصور المدعومة
Tag,Étiquette,Attribut,وسم
Taken on,Pris le,Aufgenommen am,أخذت على
Temporary file creation failed.,Impossible de créer le fichier temporaire.,Erzeugung temporärer Datei gescheitert.,فشل إنشاء الملف المؤقّت.
The GNOME image viewer.,,,عارِض صور جنوم.
The given locations contain no images.,Les emplacements indiqués ne contiennent pas d’images.,Der angegebene Ort enthält keine Bilder.,الأمكنة المعطاة لا تحتوي على أية صور.
The image whose printing properties will be set up,L’image dont les propriétés d’impression seront configurées,"Das Bild, dessen Druckoptionen eingestellt werden",الصورّة التي ستعد خصائص طباعتها
"The image “%s” has been modified by an external application.
Would you like to reload it?",,,"عدّل تطبيق خارجي الصورة ”%s“.
أتريد إعادة تحميلها؟"
"The image “%s” has been set as Desktop Background.
Would you like to modify its appearance?",,,"لقد جعلت الصورة ”%s“ خلفية سطح المكتب.
أتريد تغيير مظهرها؟"
The information for the page where the image will be printed,Les informations de la page sur laquelle l’image sera imprimée,Wo soll das Bild auf der Seite gedruckt werden?,معلومات الصفحة حيث ستطبع الصورة
"The multiplier to be applied when using the mouse scroll wheel for zooming. This value defines the zooming step used for each scroll event. For example, 0.05 results in a 5% zoom increment for each scroll event and 1.00 result in a 100% zoom increment.","Le multiplicateur à appliquer lors de l’utilisation de la molette de la souris pour zoomer. Cette valeur définit le pas de zoom utilisé pour chaque évènement de défilement. Par exemple, 0,05 permet un incrément de 5 % du zoom pour chaque évènement de défilement et 1,00 un incrément de 100 % du zoom.","Der anzuwendende Faktor, wenn mit dem Mausrad vergrößert werden soll. Dieser Wert definiert den Vergrößerungsschritt, der bei jedem Weiterschalten des Rades verwendet wird. 0.05 vergrößert die Ansicht des Bildes um 5%, 1.00 um 100%.",قيمة الضعف المطبقة عند استعمال عجلة الفأرة عند التحجيم. هذه القيمة تعرف الخطوة التحجيمية عند كل تدوير. مثلا، 0.05 تؤدي إلى 5% زيادة لكل تدوير، و 1.00 تؤدي إلى 100% زيادة.
"This image contains multiple pages. Image Viewer displays only the first page.
Do you want to open the image with the Document Viewer to see all pages?",,,"تحتوي هذه الصورة على أكثر من صفحة، لكن عارض الصور لن يعرض إلا الصفحة الأولى.
أتريد فتح الصورة في عارض المستندات لرؤية كل الصفحات؟"
"This image contains multiple pages. Image Viewer displays only the first page.
You may want to install the Document Viewer to see all pages.",,,"تحتوي هذه الصورة على أكثر من صفحة، لكن عارض الصور لن يعرض إلا الصفحة الأولى.
تحتاج إلى تثبيت عارض المستندات لرؤية كل الصفحات."
Time,Heure,Zeit,الوقت
To:,En :,Nach:,إلى:
Transformation failed.,La transformation a échoué.,Transformation ist gescheitert.,فشل التحويل.
