
%s (%s roaming),%s (itinérance %s),%s (%s-Roaming),‏%s (تجوال %s)
%s (roaming),%s (itinérance),%s (Roaming),‏%s (تجوال)
%s connection,Connexion à %s,Verbindung mit %s,إتّصالات VPN
%u (%u MHz),%u (%u MHz),%u (%u MHz),%u (%u م.هرتز)
%u Mb/s,%u Mb/s,%u Mb/s,%u م.بايت\ث
(none),(aucun),(keine),(لا شيء)
Automatic (DHCP) addresses only,Adresses automatiques uniquement (DHCP),"Automatisch (DHCP), nur Adressen",عناوين (DHCP) تلقائية فقط
Automatic (PPPoE),Automatique (PPPoE),Automatisch (PPPoE),تلقائي (PPPoE)
Automatic (PPPoE) addresses only,Adresses automatiques uniquement (PPPoE),"Automatisch (PPPoE), nur Adressen",عناوين (PPPoE) تلقائية فقط
Automatic (VPN),Automatique (VPN),Automatisch (VPN),تلقائي (VPN)
Automatic (VPN) addresses only,Adresses automatiques uniquement (VPN),"Automatisch (VPN), nur Adressen",عناوين (VPN) تلقائية فقط
Automatic with manual DNS settings,Automatique avec paramétrage manuel du DNS,Automatisch mit manuellen DNS-Einstellungen,تلقائي مع إعدادات DNS يدوية
"Automatic, DHCP only","Automatique, DHCP uniquement","Automatisch, nur DHCP","تلقائي, (DHCP)فقط"
"Automatic, addresses only","Automatique, adresses uniquement","Automatisch, nur Adressen",تلقائي، عناوين فقط
Available,Disponible,Verfügbar,متاح
Base Connection,Connexion de base,Zugordnete Verbindung,الاتصال:
Basic,Basique,Grundlegend,أساسي
Bluetooth connection %d,Connexion Bluetooth %d,Bluetooth-Verbindung %d,الاتصال السلكي %d
Bond connection %d,Connexion lien %d,Bond-Verbindung %d,الاتصال السلكي %d
Bonded connections,Connexions liées,Gebündelte Verbindungen,الاتصال:
Bridge connection %d,Connexion pont %d,Bridge-Verbindung %d,الاتصال السلكي %d
Bridged connections,Pont entre connexions,Bridge-Verbindungen,الاتصال:
Broadcast,Broadcast,Broadcast,عنوان البثّ:
Broadcast Address,Adresse de broadcast,Broadcast-Adresse,عنوان البثّ
CDMA,CDMA,CDMA,CDMA
CDMA (%s),CDMA (%s),CDMA (%s),CDMA (%s)
CHAP,CHAP,CHAP,CHAP
CHAP,CHAP,CHAP,CHAP
Claim interface,Réclamer l’interface,Schnittstelle beanspruchen,الواجهة:
Cloned MAC address,Adresse MAC clonée,Duplizierte MAC-Adresse,عنوان MAC:
Connect,Se connecter,Verbinden,اتّصل
Create…,Créer…,Erstellen …,أُنشئ…
Cannot export VPN connection,Impossible d’exporter la connexion VPN,Die VPN-Verbindung konnte nicht exportiert werden,لا يمكن تصدير اتصال ال VPN
Change…,Modifier…,Ändern …,غيّر...
Choose a Connection Type,Sélectionner un type de connexion,Verbindungstyp wählen,اختر نوع اتصال VPN
Choose a VPN Connection Type,Sélectionner un type de connexion VPN,VPN-Verbindungstyp wählen,اختر نوع اتصال VPN
Cloned MAC address,Adresse MAC clonée,Duplizierte MAC-Adresse,عنوان MAC:
Compression,Compression,Komprimierung,الضغط
Configure Methods…,Configurer les méthodes…,Methoden konfigurieren …,اضبط الطُُرق…
Configuring Wi-Fi network connection “%s”…,Configuration de la connexion au réseau Wi-Fi « %s »…,Funknetzwerkverbindung »%s« wird konfiguriert …,يعِدّ اتصال الشبكة السلكية '%s'...
Configuring ethernet network connection “%s”…,Configuration de la connexion au réseau Ethernet « %s »…,Ethernet-Netzverbindung »%s« wird konfiguriert …,يعِدّ اتصال الشبكة السلكية '%s'...
Configuring mobile broadband connection “%s”…,Configuration de la connexion mobile « %s »…,Mobile Breitbandverbindung »%s« wird konfiguriert …,يعِدّ اتصال شبكة الهاتف المحمول '%s'...
Connect automatically with priority,Se connecter automatiquement avec priorité,Automatisch mit Priorität verbinden,اتصل تلقائيا
Connected,Connecté,Verbunden,اتّصل
Connection Established,Connexion établie,Verbindung hergestellt,تم الاتصال
Connection Information,Informations sur la connexion,Verbindungsinformationen,معلومات الاتصال
Connection Information,Informations sur la connexion,Verbindungsinformationen,معلومات الاتصال
Connection name,Nom de la connexion,Verbindungsname,اسم الاتصال:
Connection activation failed,L’activation de la connexion a échoué,Aktivierung der Verbindung fehlgeschlagen,فشل اضافة اتصال
Connection add failed,L’ajout de la connexion a échoué,Hinzufügen der Verbindung fehlgeschlagen,فشل اضافة اتصال
Connection cannot be deleted,La connexion ne peut pas être supprimée,Verbindung kann nicht gelöscht werden,فشل اضافة اتصال
Connection cannot be modified,La connexion ne peut pas être modifiée,Verbindung kann nicht bearbeitet werden,فشل اضافة اتصال
Connection delete failed,La suppression de la connexion a échoué,Löschen der Verbindung fehlgeschlagen,فشلت إزالة الاتصال
Connection failure,Échec de la connexion,Verbindung fehlgeschlagen,فشل اضافة اتصال
Connection had no VPN setting,La connexion n’avait pas de réglage VPN,Die Verbindung hat keine VPN-Einstellungen,معلومات الاتصال
Connection type not specified.,Le type de connexion n’est pas défini.,Verbindungstyp nicht angegeben.,فشل اضافة اتصال
Could not create connection,Impossible de créer une connexion,Verbindung konnte nicht erstellt werden,تعذّر إنشاء اتصال جديد
Could not create new connection,Impossible de créer une nouvelle connexion,Neue Verbindung konnte nicht erstellt werden,تعذّر إنشاء اتصال جديد
Could not edit connection,Impossible de modifier la connexion,Verbindung konnte nicht bearbeitet werden,تعذّر تعديل الاتصال
Could not find VPN plugin for “%s”.,Impossible de trouver le greffon VPN pour « %s ».,VPN-Plugin für »%s« konnte nicht gefunden werden.,تعذر ايجاد ملحق خدمة VPN ل  '%s'.
Could not load 802.1X Security user interface.,Impossible de charger l’interface utilisateur de sécurité 802.1X.,Die Benutzeroberfläche für die 802.1X-Sicherheit konnte nicht geladen werden.,تعذر تحميل الواجهة اللاسلكية الأمنية
Could not load Bluetooth user interface.,Impossible de charger l’interface utilisateur du Bluetooth.,Die Bluetooth-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load DCB user interface.,Impossible de charger l’interface utilisateur DCB.,Die DCB-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load General user interface.,Impossible de charger l’interface utilisateur principale.,Die allgemeine Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load IP tunnel user interface.,Impossible de charger l’interface utilisateur de tunnel IP.,Die IP-Tunnel-Benutzeroberfläche konnte nicht geladen werden.,لم اتمكن من تحميل الاسلكي الامنية
Could not load IPv4 user interface.,Impossible de charger l’interface utilisateur IPv4.,Die IPv4-Benutzeroberfläche konnte nicht geladen werden.,لم اتمكن من تحميل الاسلكي الامنية
Could not load IPv6 user interface.,Impossible de charger l’interface utilisateur IPv6.,Die IPv6-Benutzeroberfläche konnte nicht geladen werden.,تعذّر تحميل واجهة المستخدم لـIPv6
Could not load InfiniBand user interface.,Impossible de charger l’interface utilisateur InfiniBand.,Die InfiniBand-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل الواجهة اللاسلكية
Could not load MACsec user interface.,Impossible de charger l’interface utilisateur MACsec.,Die MACsec-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load PPP user interface.,Impossible de charger l’interface utilisateur PPP.,Die PPP-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load VPN user interface.,Impossible de charger l’interface utilisateur VPN.,Die VPN-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة VPN
Could not load Wi-Fi security user interface.,Impossible de charger l’interface utilisateur de sécurité Wi-Fi.,Die Benutzeroberfläche für die Sicherheit des Funknetzwerks konnte nicht geladen werden.,تعذر تحميل الواجهة اللاسلكية الأمنية
Could not load Wi-Fi security user interface; missing Wi-Fi setting.,Impossible de charger l’interface utilisateur de sécurité Wi-Fi ; paramètre Wi-Fi manquant.,"Die Benutzeroberfläche für die Sicherheit des Funknetzwerks konnte nicht geladen werden, weil Funknetzwerkeinstellungen fehlen.",تعذر تحميل الاواجهة اللاسلكية؛ إعداد الشبكة اللاسلكية مفقود
Could not load Wi-Fi user interface.,Impossible de charger l’interface utilisateur Wi-Fi.,Die Benutzeroberfläche für Funknetzwerke konnte nicht geladen werden.,تعذر تحميل الواجهة اللاسلكية
Could not load WireGuard user interface.,Impossible de charger l'interface utilisateur de WireGuard.,Die WireGuard-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load bond user interface.,Impossible de charger l’interface utilisateur du lien.,Die Bond-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load bridge port user interface.,Impossible de charger l’interface utilisateur du port de pont.,Die Bride-Port-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل الواجهة اللاسلكية
Could not load bridge user interface.,Impossible de charger l’interface utilisateur du pont.,Die Bridge-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل الواجهة اللاسلكية
Could not load editor VPN plugin for “%s” (%s).,Impossible de charger le greffon d’édition VPN pour « %s » (%s).,Editor-VPN-Plugin für »%s« konnte nicht gefunden werden (%s).,تعذر ايجاد ملحق خدمة VPN ل  '%s'.
Could not load ethernet user interface.,Impossible de charger l’interface utilisateur Ethernet.,Die Ethernet-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load mobile broadband user interface.,Impossible de charger l’interface utilisateur de la connexion mobile.,Die Benutzeroberfläche für mobile Breitbandverbindungen konnte nicht geladen werden.,تعذّر تحميل واجهة المستخدم لاتصال المحمول.
Could not load proxy user interface.,Impossible de charger l’interface utilisateur de proxy.,Die Proxy-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load team port user interface.,Impossible de charger l’interface utilisateur du port d’équipe.,Die Team-Port-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load team user interface.,Impossible de charger l’interface utilisateur de connexion en équipe.,Die Team-Benutzeroberfläche konnte nicht geladen werden.,تعذر تحميل واجهة PPP
Could not load vlan user interface.,Impossible de charger l’interface utilisateur VLAN.,Die VLAN-Benutzeroberfläche konnte nicht geladen werden.,لم اتمكن من تحميل الاسلكي الامنية
Create New Wi-Fi Network…,Créer un nouveau réseau Wi-Fi…,Neues Funknetzwerk erstellen …,أنشئ شبكة لاسلكيّة جديدة
DNS servers,Serveurs DNS,DNS-Server,خواديم DNS:
DSL authentication,Authentification DSL,DSL-Legitimierung,استيثاق DSL
DSL connection %d,Connexion DSL %d,DSL-Verbindung %d,اتصال DSL‏ %d
DHCP client ID,ID de client DHCP,DHCP Client-Kennung,معرف عميل DHCP:
Default,Par défaut,Vorgabe,المبدئي
Default,Par défaut,Vorgabe,المبدئي
Default Route,Route par défaut,Vorgaberoute,السبيل الافتراضي
Delete the selected connection,Supprime la connexion sélectionnée,Die ausgewählte Verbindung löschen,احذف الاتصال المحدد.
Device disconnect failed,La déconnexion du périphérique a échoué,Trennen des Gerätes schlug fehl,غير متَّصل
Device name,Nom du périphérique,Gerätename,الخدمة:
Disconnect,Se déconnecter,Verbindung trennen,اقطع الاتصال
Disconnect failure,Échec de la déconnexion,Trennen schlug fehl,غير متّصل
Disconnected,Déconnecté,Verbindung getrennt,غير متّصل
Do you want to replace %s with the VPN connection you are saving?,Voulez-vous remplacer %s par la connexion VPN que vous êtes en train d’enregistrer ?,"Möchten Sie %s durch die VPN-Verbindung ersetzen, die Sie gerade speichern?",هل تريد استبدال %s مكان اتصال VPN الذي تحفظه
Domains used when resolving host names. Use commas to separate multiple domains.,Domaines utilisés lors de la résolution des noms d’hôtes. Utilisez des virgules pour séparer plusieurs domaines.,Beim Auflösen von Rechnernamen verwendete Domänen. Mehrere Domänen werden durch Kommata getrennt.,المجالات تستخدم عند حل اسماءالمضيف . استخدم الفواصل لتفريق المجالات المتعددة.
Don’t know how to create “%s” connections,La méthode pour créer des connexions « %s » est inconnue,"Es ist unbekannt, wie »%s«-Verbindungen erstellt werden können",لا توجد اتصالات نشطة!
Don’t know how to import “%s” connections,La méthode pour importer des connexions « %s » est inconnue,"Es ist unbekannt, wie die »%s«-Verbindungen importiert werden können",لا توجد اتصالات نشطة!
Don’t show this message again,Ne plus afficher ce message,Diesen Hinweis nicht mehr anzeigen,لا تظهر هذه الرسالة مرة أخرى
Driver,Pilote,Treiber,المُشغّل
Dynamic WEP,WEP dynamique,Dynamisches WEP,Dynamic WEP
Dynamic WEP (802.1X),WEP dynamique (802.1X),Dynamisches WEP (802.1X),Dynamic WEP (802.1X)
EAP,EAP,EAP,EAP
Edit Connections…,Modifier les connexions…,Verbindungen bearbeiten …,حرر الاتصالات...
Edit JSON configuration,Éditer la configuration JSON,JSON-Konfiguration bearbeiten,خطأ إعداد VPN
Edit the selected connection,Modifie la connexion sélectionnée,Die ausgewählte Verbindung bearbeiten,حرّر الاتصال المحدد
Editing %s,Modification de %s,%s bearbeiten,يحرر %s
Editing un-named connection,Modification de la connexion anonyme,Unbenannte Verbindung bearbeiten,يحرر اتصالا غير مُسمى
Editor initializing…,Initialisation de l’éditeur…,Editor wird initialisiert …,خطأ في بدء المحرر
Enable IGMP snooping,Activer le snooping IGMP,IGMP-Schnüffeln aktivieren,فعّل الاتصال الشبكي
Enable Notifications,Activer les notifications,Benachrichtigungen aktivieren,فعّل التنبيهات
Enable Mobile Broadband,Activer la connexion mobile,Mobiles Breitband aktivieren,فعّل شبكة الهاتف المحمول
Enable Networking,Activer le réseau,Netzwerke aktivieren,فعّل الاتصال الشبكي
Enable Wi-Fi,Activer le réseau Wi-Fi,Funknetzwerk aktivieren,فعّل اللاسلكي
Error creating connection,Erreur lors de la création de la connexion,Fehler beim Erstellen der Verbindung,خطأ أثناء عرض معلومات الاتصال:
Error displaying connection information:,Erreur lors de l’affichage des informations de connexion :,Die Verbindungsinformationen konnten nicht angezeigt werden:,خطأ أثناء عرض معلومات الاتصال:
Error editing connection,Erreur lors de la modification de la connexion,Fehler beim Bearbeiten der Verbindung,خطأ أثناء عرض معلومات الاتصال:
Error importing connection,Erreur lors de l’importation de la connexion,Fehler beim Importieren der Verbindung,خطأ أثناء عرض معلومات الاتصال:
Error initializing editor,Erreur lors de l’initialisation de l’éditeur,Fehler beim Initialisieren des Editors,خطأ في بدء المحرر
Ethernet,Ethernet,Ethernet,إيثرنت تلقائي
Ethernet (%s),Ethernet (%s),Ethernet (%s),إيثرنت (%s)
Ethernet Network,Réseau Ethernet,Ethernet-Netz,شبكة سلكية
Ethernet Network (%s),Réseau Ethernet (%s),Ethernet-Netz (%s),شبكة سلكية (%s)
Ethernet Networks,Réseaux Ethernet,Ethernet-Netze,شبكات سلكية
Ethernet Networks (%s),Réseaux Ethernet (%s),Ethernet-Netze (%s),شبكات سلكية (%s)
Ethernet connection %d,Connexion Ethernet %d,Ethernet-Verbindung %d,الاتصال السلكي %d
Ethernet device,Périphérique Ethernet,Ethernet-Gerät,إيثرنت (%s)
Ethernet network connection “%s” active,Connexion au réseau Ethernet « %s » active,Ethernet-Netzverbindung »%s« ist aktiv,الاتصال الشبكي السلكي '%s' يعمل
Ethernet port state,État du port Ethernet,Status des Ethernet-Ports,شبكات سلكية
Export VPN connection…,Exporter la connexion VPN…,VPN-Verbindung exportieren …,صدّر اتصال VPN...
Extensible Authentication Protocol,Extensible Authentication Protocol,Erweiterbares Legitimierungsprotokoll,برتوكول الاستيثاق الممتد
Failed to activate connection,L’activation de la connexion a échoué,Aktivierung der Verbindung schlug fehl,لا توجد اتصالات نشطة!
Failed to add new connection,L’ajout de la nouvelle connexion a échoué,Hinzufügen einer neuen Verbindung schlug fehl,تعذّر تعديل الاتصال الجديد
Failed to add/activate connection,Échec de l’ajout/création de la connexion,Hinzufügen/Aktivierung der Verbindung schlug fehl,لا توجد اتصالات نشطة!
Failed to write connection to VPN UI: %s (%d),Échec d’écriture de la connexion vers l’interface VPN : %s (%d),Verbindungsmeldung an die VPN Benutzeroberfläche fehlgeschlagen: %s (%d),لا توجد اتصالات نشطة!
From the team device,Depuis le périphérique en équipe,Vom Team-Gerät,إيثرنت (%s)
GSM,GSM,GSM,GSM
GSM (%s),GSM (%s),GSM (%s),GSM (%s)
Gateway,Passerelle,Gateway,البوّابة
General,Général,Allgemein,عام
HW address,Adresse matérielle,Hardware-Adresse,العنوان
Hardware,Matériel,Hardware,عنوان العتاد:
Hardware Address,Adresse matérielle,Hardware-Adresse,عنوان العتاد
Home network,Réseau domestique,Heimnetzwerk,شبكة منزلية
Home network (%s),Réseau domestique (%s),Heimnetzwerk (%s),شبكة منزلية (%s)
IP,IP,IP,IPv4
IP Address,Adresse IP,IP-Adresse,عنوان IP
IP addresses identify your computer on the network. Click the “Add” button to add an IP address.,Les adresses IP identifient votre ordinateur sur le réseau. Cliquez sur le bouton « Ajouter » pour ajouter une adresse IP.,"IP-Adressen identifizieren Ihren Rechner im Netzwerk. Klicken Sie auf den Knopf »Hinzufügen«, um eine IP-Adresse hinzuzufügen.","تحدّد عناوين IP هويّة حاسوبك على الشبكة .اضغط زر ""إضافة"" لإضافة  عنوان IP."
IP addresses identify your computer on the network. Click the “Add” button to add static IP address to be configured in addition to the automatic ones.,Les adresses IP identifient votre ordinateur sur le réseau. Cliquez sur le bouton « Ajouter » pour ajouter une adresse IP statique en plus de celle assignée automatiquement.,"IP-Adressen identifizieren Ihren Rechner im Netzwerk. Klicken Sie auf den Knopf »Hinzufügen«, um eine statische IP-Adresse hinzuzufügen, die zusätzlich zu den automatisch vergebenen Adressen eingerichtet wird.","تحدّد عناوين IP هويّة حاسوبك على الشبكة .اضغط زر ""إضافة"" لإضافة  عنوان IP."
IP addresses of domain name servers used to resolve host names. Use commas to separate multiple domain name server addresses.,Adresses IP des serveurs DNS utilisées pour la résolution des noms d’hôtes. Utilisez des virgules pour séparer plusieurs adresses DNS.,"IP-Adressen von Domänennamen-Servern, die zum Auflösen von Rechnernamen verwendet werden. Verwenden Sie Kommata zum Trennen mehrerer Server-Adressen.",عناوين IP لخوادم أسماء النطاقات التي تستخدم لمعالجة اسماء المضيفات .استخدم فواصل لتفريق أسماء خوادم أسماء النطاقات.
IP addresses of domain name servers used to resolve host names. Use commas to separate multiple domain name server addresses. Link-local addresses will be automatically scoped to the connecting interface.,Adresses IP des serveurs DNS utilisées pour la résolution des noms d’hôtes. Utilisez des virgules pour séparer plusieurs adresses DNS. Les adresses de lien local seront automatiquement liées à l’interface de connexion.,"IP-Adressen von Domänennamen-Servern, die zum Auflösen von Rechnernamen verwendet werden. Verwenden Sie Kommata zum Trennen mehrerer Server-Adressen. Link-lokal-Adressen werden automatisch zur entsprechenden Schnittstelle weitergeleitet.",عناوين IP لخوادم أسماء النطاقات التي تستخدم لمعالجة اسماء المضيفات .استخدم فواصل لتفريق أسماء خوادم أسماء النطاقات.
IP tunnel connection %d,Connexion tunnel IP %d,IP-Tunnel-Verbindung %d,الاتصال السلكي %d
IPv4,IPv4,IPv4,IPv4
IPv4 Settings,Paramètres IPv4,IPv4-Einstellungen,إعدادات IPv4
IPv6,IPv6,IPv6,IPv6
IPv6 Settings,Paramètres IPv6,IPv6-Einstellungen,إعدادات IPv6
"If enabled, this connection will never be used as the default network connection.","Si activé, cette connexion ne sera jamais utilisée comme connexion réseau par défaut.","Falls aktiviert, wird diese Verbindung niemals als Standard-Netzwerkverbindung verwendet.","اذا ممكّن ,هذا الاتصال لن يتم استخدامة ابدا كاتصال مبدئي."
Ignore,Ignorer,Ignorieren,متروك
Import a saved VPN configuration…,Importer une configuration VPN enregistrée…,Gespeicherte VPN-Konfiguration importieren …,صدّر اتصال VPN...
InfiniBand connection %d,Connexion InfiniBand %d,InfiniBand-Verbindung %d,الاتصال السلكي %d
Interface,Interface,Schnittstelle,الواجهة
LACP port key,Clé de port LACP,LACP-Port-Schlüssel,المفتاح السري:
LEAP,LEAP,LEAP,LEAP
Last Used,Dernière utilisation,Zuletzt verwendet,آخر استخدام
Link-Local,Lien-local,Link-Local,ربط-محلي
MAC address,Adresse MAC,MAC-Adresse,العنوان
MACSEC connection %d,Connexion MACSEC %d,MACSEC-Verbindung %d,الإتّصال بالـ VPN '%s'
MSCHAP,MSCHAP,MSCHAP,MSCHAP
MSCHAP v2,MSCHAP v2,MSCHAP v2,MSCHAP v2
MSCHAPv2,MSCHAPv2,MSCHAPv2,MSCHAPv2
MTU,MTU,MTU,MTU:
Manage and change your network connection settings,Gérer et modifier les paramètres des connexions réseau,Verwaltung von Einstellungen für Netzwerkverbindungen,أدِر وغيّر إعدادات الاتصالات الشبكية
Manage your network connections,Gérer vos connexions réseau,Verwaltung der Netzwerkverbindungen,إدارة اتصالات الشبكة
Manual,Manuel,Manuell,يدويا
Method,Méthode,Methode,الطريقة:
Missing connection name,Nom de la connexion manquant,Fehlender Verbindungsname,اسم الاتصال:
Missing resources,Ressources manquantes,Fehlende Ressourcen,موارد ناقصة
Mobile Broadband,Connexion mobile,Mobiles Breitband,شبكة هاتف محمول
Mobile Broadband (%s),Connexion mobile (%s),Mobiles Breitband (%s),شبكة هاتف محمول (%s)
Mobile Broadband network.,Réseau mobile.,Mobiles Breitbandnetzwerk.,كلمة سر شبكة الهاتف المحمول
Mobile broadband connection “%s” active,Connexion mobile « %s » active,Mobile Breitbandverbindung »%s« ist aktiv,اتصال شبكة الهاتف المحمول '%s' يعمل
Mobile broadband connection “%s” active: (%d%%%s%s),Connexion mobile « %s » active : (%d %%%s%s),Mobile Breitbandverbindung »%s« ist aktiv: (%d%%%s%s),اتصال شبكة الهاتف المحمول '%s' يعمل: (%d%%%s%s)
Mobile broadband network password,Mot de passe du réseau mobile,Passwort der mobilen Breitbandverbindung,كلمة سر شبكة الهاتف المحمول
More addresses,Plus d’adresses,Weitere Adressen,العناوين
"My provider uses CDMA-based technology (i.e. 1xRTT, EVDO)","Mon fournisseur utilise une technologie de type CDMA (1xRTT, EVOD, etc.)","Mein Dienstanbieter verwendet CDMA-basierte Technologien (z.B. 1xRTT, EVDO)",مقدم الخدمة يستخدم تقنية CDMA (‏1xRTT، EVDO)
"My provider uses GSM-based technology (i.e. GPRS, EDGE, UMTS, HSDPA)","Mon fournisseur utilise une technologie de type GSM (GPRS, EDGE, UMTS, HSDPA, etc.)","Mein Dienstanbieter verwendet GSM-basierte Technologien (z.B. GPRS, EDGE, UMTS, HSDPA)",مقدم الخدمة يستخدم تقنية GSM‏ (GPRS، EDGE، UMTS، HSDPA)
Network ID,Identifiant réseau,Netzwerkkennung,معرف الشبكة:
Name,Nom,Name,الاسم
Netmask,Masque de réseau,Netzmaske,قناع الشبكة
Network,Réseau,Netzwerk,شبكة
Network Connections,Connexions réseau,Netzwerkverbindungen,الاتصالات الشبكية
Network connection “%s” active,Connexion réseau « %s » active,Netzwerkverbindung »%s« ist aktiv,الاتصال الشبكي '%s' يعمل
NetworkManager,NetworkManager,NetworkManager,مدير الشبكة
NetworkManager Applet,Applet NetworkManager,Netzwerk-Manager-Applet,بريمج مدير الشبكة
NetworkManager Website,Site web de NetworkManager,Netzwerk-Manager-Website,موقع مدير الشبكة
NetworkManager connection editor,Éditeur de connexion NetworkManager,Netzwerkverwaltung-Verbindungseditor,لا يوجد اتصال شبكي
NetworkManager is not running…,NetworkManager n’est pas lancé…,Der Netzwerk-Manager läuft zur Zeit nicht …,مدير الشبكة لا يعمل
Networking disabled,Réseau désactivé,Netzwerke deaktiviert,الشبكات معطلة
New Mobile Broadband connection…,Nouvelle connexion mobile…,Neue mobile Breitbandverbindung …,اتصال شبكة هاتف محمول جديد...
New PIN code:,Nouveau code PIN :,Neuer PIN-Code:,رمز PIN جديد:
New connection…,Nouvelle connexion…,Neue Verbindung …,لا يوجد اتصال شبكي
No,Non,Nein,بدون
No network connection,Aucune connexion réseau,Keine Netzwerkverbindung,لا يوجد اتصال شبكي
No network devices available,Aucun périphérique réseau disponible,Es sind keine Netzwerkgeräte verfügbar,لا تتوفر أي أجهزة شبكة.
