
"%s: Invalid variable name, can not start with a digit","%s : nom de variable invalide, ne peut commencer par un chiffre","%s: Ungültiger Variablenname, darf nicht mit einer Ziffer beginnen",%s: اسم متغير غير صالح. يجب ألا يبدأ برقم
"%s: Invalid variable name, can only contain digits, letters and underscores","%s : nom de variable invalide, ne peut contenir que des chiffres, des lettres et tirets du bas","%s: Ungültiger Variablenname, darf nur Ziffern, Buchstaben und Unterstriche enthalten",%s: اسم متغير غير صالح. يجب أن يحوي أرقام وأحرف وتسطير سفلي فقط
"MJ,megajoules,megajoule","MJ,mégajoules,mégajoule","MJ,Megajoule","ميغاجول,ميغاجول,ميغاجول"
Main Menu,Menu principal,Hauptmenü,القائمة الرئيسية
Malaysian Ringgit,Ringgit malaisien,Malaysische Ringgit,رينغيت ماليزي
Malformed expression,Expression incorrecte,Fehlerhafter Ausdruck,تعبير غير صالحة
Margin,Marge,,الهامش
Mass,Masse,Masse,الكتلة
Mauritian Rupee,Roupie mauricienne,Mauritius-Rupien,روبية موريشيوسية
Mebibits,Mébibits,Mebibit,ميبيبت
Mebibytes,Mébioctets,Mebibyte,ميبيبايت
Megabits,Mégabits,Megabit,ميغابت
Megabytes,Mégaoctets,Megabyte,ميغابايت
Megahertz,Mégahertz,Megahertz,ميغاهرتز
Megajoules,Mégajoules,Megajoule,ميغاجول
Memory,Mémoire,Speicher,الذاكرة
Meters,Mètres,Meter,متر
Meters per second,Mètres par seconde,Meter pro Sekunde,متر في الثانية
Metric Cups,Tasses métriques,Metrische Tassen,كوب متري
Mexican Peso,Peso mexicain,Mexikanische Peso,بيزو مكسيكي
Microliters,Microlitres,Mikroliter,ميكرولتر
Micrometers,Micromètres,Mikrometer,ميكرومتر
Microseconds,Microsecondes,Mikrosekunden,ميكرو ثانية
Miles,Milles,Meilen,ميل
Miles per hour,Milles par heure,Meilen pro Stunde,ميل في الساعة
Milliliters,Millilitres,Milliliter,مليلتر
Millimeters,Millimètres,Millimeter,ميليمتر
Millimetre of Mercury,Millimètre de mercure,,ميليمتر زئبق
"Millimetre of Mercury,millimetre of mercury,mmHg","Millimètre de mercure,millimètre de mercure,mmHg",,"ميليمتر زئبق,ميليمتر زئبق,مم.زئبق"
Milliseconds,Millisecondes,Millisekunden,ميلي ثانية
Minutes,Minutes,Minuten,دقيقة
Mode Selection,Sélection du mode,Modusauswahl,إختيار الوضع
Modulus Divide,Modulo de division,Modulo-Division,قسمة البواقي
Modulus division is only defined for integers,Le modulo de la division n’est défini que sur des entiers,Modulo-Divisionen sind nur für Ganzzahlen definiert,تقسيم المعامل يكون معرف للأعداد الصحيحة فقط
Months,Mois,Monate,شهر
Multiply (×),Multiplication [×],Multiplizieren (×),اضرب (x)
Multiply [*],Multiplication [*],Multiplizieren [*],ضرب [*]
Nanometers,Nanomètres,Nanometer,نانومتر
Nanoseconds,Nanosecondes,,نانو ثانية
Natural Logarithm,Logarithme népérien (base e),Natürlicher Logarithmus,لوغاريتم طبيعي
Natural logarithm,Logarithme népérien,Natürlicher Logarithmus,لوغاريتم طبيعي
Nautical Miles,Milles marins,Seemeilen,ميل بحري
Need an integer to factorize,Seuls les nombres entiers sont factorisables,Es können nur Ganzzahlen faktorisiert werden,بحاجة إلى عدد صحيح لتحليله
Negative [-],Négatif [-],,سالب [-]
Nepalese Rupee,Roupie népalaise,Nepalesische Rupien,روبيه نيبالية
Never,Jamais,Niemals,أبداً
New Romanian Leu,Nouveau leu roumain,Neue rumänische Leu,ليو روماني جديد
New Taiwan Dollar,Nouveau dollar de Taïwan,Neuer Taiwan-Dollar,دولار تايواني
New Zealand Dollar,Dollar néo-zélandais,Neuseeländische Dollar,دولار نيوزيلندي
New function,Nouvelle fonction,Neue Funktion,دالة جديدة
Next equation,Équation suivante,Nächste Gleichung,المعادلة التالية
Nibbles,Quartets (nibbles),Nibble,نايبل
Nigerian Naira,Naira nigérian,Nigerianische Naira,نايرا نيجيري
No redo history,Aucun historique à rétablir,Keine Wiederherstell-Chronik,لا تاريخ تكرار
No sane value to store,Aucune valeur correcte à mémoriser,Kein vernünftiger Wert zum Speichern,لا قيمة صالحة للحفظ
No undo history,Aucun historique d’annulation,Keine Rückgängig-Chronik,لا تاريخ تراجع
Norwegian Krone,Couronne norvégienne,Norwegische Kronen,كرونة نرويجية
Number Base Conversion,Conversion de base numérique,,تحويل نطام العدّ
Number format,Format des nombres,Zahlenformat,هيئة الرقم
Number of Periods,Nombre d’échéances,,عدد الفترات
Number of Decimals,Nombre de décimales,,عدد الفواصل
Numeric Base,Base de numération,Numerische Basis,أساس رقمي
Octal,Octal,Oktal,ثماني
Omani Rial,Rial omanais,Oman-Rial,ريال عماني
One's complement,Complément à un,Einerkomplement,المتمم الأحادي
One’s Complement,Complément à un,,المتمم الأحادي
Open a new window,Ouvrir une nouvelle fenêtre,Ein neues Fenster öffnen,افتح نافذة جديدة
Open menu,Ouvrir le menu,Menü öffnen,فتح القائمة
Others,Autres,Andere,أخرى
Ounces,Onces,Unzen,أوقية
Overflow error,Erreur de dépassement de capacité vers le haut,Überlauffehler,خطأ فيض
Overflow. Try a bigger word size,Dépassement de capacité. Essayez avec une taille de mot plus grande,Überlauf. Versuchen Sie eine höhere Wortlänge zu verwenden,تجاوز السعة. حاول حجم كلمة أكبر
Overflow: the result couldn’t be calculated,Débordement : le résultat n’a pas pu être calculé,Überlauf: Das Ergebnis kann nicht berechnet werden,فيض: لا يمكن حساب النتيجة
Pakistani Rupee,Roupie pakistanaise,Pakistanische Rupien,روبية باكستانية
Parsecs,Parsecs,Parsecs,فرسخ فلكي
Pascal,Pascal,,باسكال
"Pascal,pascal,Pa","Pascal,pascal,Pa",,"باسكال,باسكال,باسكال"
Paste,Coller,Einfügen,لصق
Payment Period,Période de paiement,Zahlungsperiode,مدة الدفع
Pebibits,Pébibits,Pebibit,بيبيبت
Pebibytes,Pébioctets,Pebibyte,بيبيبايت
Percentage [%],Pourcentage [%],Prozentsatz [%],نسبة مئوية [%]
"Perform arithmetic, scientific or financial calculations","Effectue des calculs arithmétiques, scientifiques ou financiers","Arithmetische, wissenschaftliche und finanztechnische Berechnungen durchführen",قم بحسابات رياضيّة وعلميّة وماليّة
Period,Période,,الفترة
Periodic Interest Rate,Taux d’intérêt périodique,Periodischer Zinssatz,معدل الفائدة الدوري
Periodic Payment,Paiement périodique,Periodische Zahlung,الدفع الدوري
Peruvian Nuevo Sol,Nuevo sol péruvien,Peruanische Neue Sol,سول بيروفي
Petabits,Pétabits,Petabit,بيتابت
Petabytes,Pétaoctets,Petabyte,بيتابايت
Philippine Peso,Peso philippin,Philippinische Peso,بيزو فلبيني
Pi (π),Pi (π),Pi (π),ط (π)
Pi [Ctrl+P],Nombre pi [Ctrl+P],Pi [Strg+P],ط [Ctrl+P]
Pmt,Annuité,Zhlg,مد
Polish Zloty,Zloty polonais,Polnische Złoty,زلوتي بولندي
Pound per Square Inch,Livre-force par pouce carré,,رطل لكل بوصة مربعة
"Pound per Square Inch,pound per square inch,psi","Livre-force par pouce carré,livre-force par pouce carré,psi",,"رطل لكل بوصة مربعة,رطل لكل بوصة مربعة,رطل\بوصة²"
Pounds,Livres,Pfund,رطل
Preferences,Préférences,Einstellungen,التفضيلات
Present Value,Valeur actuelle,Barwert,القيمة الحالية
Pressure,Pression,,الضغط
Previous equation,Équation précédente,Vorherige Gleichung,المعادلة السابقة
Principal,Principal,,المبدأي
Programming,Programmation,Informatik,برمجي
Programming Mode,Mode programmation,Informatik-Modus,الوضع البرمجة
Programming mode,Mode programmation,Informatik-Modus,وضع البرمجة
"Programming mode supports conversion between common bases (binary, octal, decimal, and hexadecimal), boolean algebra, one’s and two’s complementation, character to character code conversion, and more.","Le mode programmation permet la conversion entre des bases usuelles (binaire, octal, décimal et hexadécimal), l’algèbre de Boole, les compléments à un et à deux, la conversion de code de caractère, et d’autres.","Der Informatik-Modus unterstützt die Umwandlung zwischen weit verbreiteten Zahlensystemen (Binär, Oktal, Dezimal und Hexadezimal), boolesche Algebra, Einer- und Zweierkomplement und weiteres.",يدعم وضع البرمجة التحويل بين القواعد الشائعة (الثنائي، والثماني، والعشري، والسداسي العشري)، والجبر البولي، والمتمم الأحادي والثنائي، وتحويل الرمز من محرف لآخر، والمزيد.
Pv,VA,Bw,قح
Qatari Riyal,Riyal qatari,Katar-Riyal,ريال قطري
Quit the application,Quitter l’application,Die Anwendung beenden,أغلق التطبيق
Rack Units,Unités de rack,Höheneinheit,وحدة راك
Radians,Radians,Bogenmaß,راديان
Rankine,Rankine,Rankine,رانكين
Rate,Taux,Zins,النسبة
Real,Réel,Reell,حقيقي
Real Component,Partie réelle,Reeller Teil,جزء حقيقي
Redo,Rétablir,Wiederherstellen,أعد
Result Format,Format des résultats,,هيئة النتيجة
Root [Ctrl+R],Racine [Ctrl+R],Wurzel [Strg+R],جذر [Ctrl+R]
Round,Arrondi,Rundung,تقريب
Russian Ruble,Rouble russe,,روبل روسي
Salvage,Valeur résiduelle,,المسترد
Saudi Riyal,Riyal saoudien,Saudi-Rial,ريال سعودي
Scientific Exponent [Ctrl+E],Exposant scientifique [Ctrl+E],Wissenschaftlicher Exponent [Strg+E],أس علمي [Ctrl+E]
Seconds,Secondes,Sekunden,ثانية
Select no. of arguments,Sélectionner le nombre d’arguments,Wählen Sie die Anzahl Argumente,اختر عدد المعطيات
Serbian Dinar,Dinar serbe,Serbische Dinar,دينار الصربي
Shift Left,Maj. gauche,Nach links verschieben,نقل لليسار
Shift Right,Maj. droite,Nach rechts verschieben,نقل لليمين
Shift is only possible on integer values,Le décalage n’est possible que sur des valeurs entières,Verschiebung ist nur mit Ganzzahlen möglich,التحويل ممكن فقط على القيم الصحيحة
Show Thousands Separators,Afficher le séparateur de milliers,Tausender-Trennzeichen anzeigen,أظهر فواصل الآلاف
Show Trailing Zeroes,Afficher les zéros après la virgule,Nachfolgende Nullen anzeigen,أظهر الأصفار الذيلية
Show help,Afficher l’aide,Hilfe anzeigen,اعرض محتويات المساعدة
Show preferences,Afficher les préférences,Einstellungen anzeigen,أظهر التفضيلات
Show release version,Afficher les informations de version,Version anzeigen,أظهر إصدار النسخة
Signum,Fonction signe,Vorzeichen,الإشارة
Sine,Sinus,Sinus,جيب
Singapore Dollar,Dollar de Singapour,Singapur-Dollar,دولار سنغافوري
Sln,Amort.L,Sln,إقث
Solve given equation,Résoudre l’équation donnée,Eine gegebene Gleichung lösen,حل المعادلة المعطاة
Source currency,Devise source,Ursprungswährung,العملة المصدر
Source units,Unités sources,Ursprungseinheiten,وحدات المصدر
South African Rand,Rand sud-africain,Südafrikanische Rand,راند جنوب أفريقيا
South Korean Won,Won de Corée du Sud,Südkoreanische Won,وون كوريا الجنوبية
Speed,Vitesse,Geschwindigkeit,السرعة
Square Centimeters,Centimètres carrés,Quadratzentimeter,سنتيمتر مربع
Square Foot,Racine carrée,Quadratfuß,قدم مربع
Square Meters,Mètres carrés,Quadratmeter,متر مربع
Square Millimeters,Millimètres carrés,Quadratmillimeter,ميليمتر مربع
Square [Ctrl+2],Carré [Ctrl+2],Quadrat [Strg+2],تربيع [Ctrl+2]
Square root,Racine carrée,Quadratwurzel,الجذر التربيعي
Square root (√),Racine carrée (√),Quadratwurzel (√),الجذر التربيعي (√)
Sri Lankan Rupee,Roupie srilankaise,Sri-Lanka-Rupien,روبية سريلانكية
Standard Atmosphere,Atmosphère standard,,ضغط جوي
"Standard Atmosphere,Standard atmosphere,standard atmosphere,Atm,atm","Atmosphère standard,atmosphère standard,Atm,atm",,"ضغط جوي,ضغط جوي,ضغط جوي,ضغط جوي,ضغط جوي"
Start Group [(],Début de groupement [(],Block öffnen [(],بداية مجموعة [(]
"Start in given mode (basic, advanced, financial, programming, keyboard)","Démarrer dans le mode indiqué (basic, advanced, financial, programming, keyboard)","Im gegebenen Modus starten (basic, advanced, financial, programming, keyboard)",البدء في الوضع المحدد (أساسي، متقدم، مالي، برمجة، لوحة المفاتيح)
Start with given equation,Démarrer avec l’équation donnée,Mit einer gegebenen Gleichung anfangen,ابدأ بالمعادلة المعطاة
Stone,Stone,Stone,حجر
Store value into existing or new variable,Enregistrer la valeur dans une variable existante ou en créer une nouvelle,Wert in vorhandener oder neuer Variable speichern,تخزين القيمة في متغير موجود أو جديد
Straight Line Depreciation,Amortissement linéaire,Lineare Abschreibung,إهلاك القسط الثابت
Straight-Line Depreciation,Amortissement linéaire,Lineare Abschreibung,إهلاك القسط الثابت
Subscript Mode [Alt],Mode indice [Alt],Modus für Tiefstellung [Alt],وضع الحرف التحتي [Alt]
Subtract [-],Soustraction [-],Subtrahieren [-],اطرح [-]
Sum of the Years Digits Depreciation,Amortissement Softy,Digitale Abschreibung,إهلاك مجموع أرقام السنوات
Sum-of-the-Years’-Digits Depreciation,Amortissement Softy,Digitale Abschreibung,إهلاك مجموع أرقام السنوات
Superscript Mode [Ctrl],Mode exposant [Ctrl],Modus für Hochstellung [Strg],وضع الحرف الفوقي [Ctrl]
Swedish Krona,Couronne suédoise,Schwedische Kronen,كرونة سويدية
Swiss Franc,Franc suisse,Schweizer Franken,فرنك سويسري
Switch Conversion Units,Inverse les unités de conversion,,تبديل وحدات التحويل
Switch to Advanced mode,Basculer vers le mode avancé,In erweiterten Modus wechseln,بدل إلى الوضع المتقدم
Switch to Basic mode,Basculer vers le mode basique,In Standardmodus wechseln,بدل إلى الوضع الأساسي
Switch to Conversion mode,Basculer vers le mode de conversion,,بدل إلى وضع التحويل
Switch to Financial mode,Basculer vers le mode financier,In finanztechnischen Modus wechseln,بدل إلى الوضع المالي
Switch to Keyboard mode,Basculer vers le mode clavier,In Tastaturmodus wechseln,بدل إلى الوضع لوحة المفاتيح
Switch to Keyboard mode (alt.),Basculer vers le mode clavier (alt.),In Tastaturmodus wechseln (alt.),بدل إلى وضع لوحة المفاتيح (البديل)
Switch to Programming mode,Basculer vers le mode programmation,In Informatik-Modus wechseln,بدل إلى الوضع البرمجة
Switch to binary,Basculer vers la représentation binaire,In Binärmodus wechseln,بدل إلى النظام الثنائي
Switch to decimal,Basculer vers la représentation décimale,In Dezimalmodus wechseln,بدل إلى النظام العشري
Switch to hexadecimal,Basculer vers la représentation hexadécimale,In Hexadezimalmodus wechseln,بدل إلى النظام الست عشري
Switch to octal,Basculer vers la représentation octale,In oktalen Modus wechseln,بدل إلى النظام الثماني
Switching modes,Modes,Modi umschalten,تبديل بين الاوضاع
Syd,Amort.Softy,Syd,مأس
T&T Dollar (TTD),Dollar de Trinité-et-Tobago (TTD),Trinidad-und-Tobago-Dollar (TTD),دولار ترينداد وتوباغو
Tangent,Tangente,Tangens,ظل
Tangent is undefined for angles that are multiples of π (180°) from π∕2 (90°),La tangente n’est pas définie pour les angles égaux à π∕2 (90°) + ou - un nombre entier de fois π (180°),"Tangens ist nicht für Winkel definiert, die ein Vielfaches von π (180°) ab π∕2 (90°) sind",الظل غير معرف للزوايا التي تكون مضاعفات ط (١٨٠°) من ط\٢ (٩٠°)
Target currency,Devise cible,Zielwährung,العملة الهدف
Target units,Unités cibles,Zieleinheiten,وحدات الهدف
Tebibits,Tébibits,Tebibit,تيبيبت
Tebibytes,Tébioctets,Tebibyte,تيبيبايت
Temperature,Température,Temperatur,الحرارة
Terabits,Térabits,Terabit,تيرابت
Terabytes,Téraoctets,Terabyte,تيرابايت
Terahertz,Térahertz,Terahertz,تيراهرتز
Term,Échéances,Term,فصل
Thai Baht,Baht thaïlandais,Thailändische Baht,باخت تايلاندي
"The Advanced calculator supports many operations, including: logarithms, factorials, trigonometric and hyperbolic functions, modulus division, complex numbers, random number generation, prime factorization and unit conversions.","La calculatrice avancée prend en charge beaucoup d’opérations, y compris les logarithmes, les factorielles, les fonctions trigonométriques et hyperboliques, le modulo de division, les nombres complexes, la génération de nombres aléatoires, la factorisation en nombres premiers et la conversion entre unités.","Der erweiterte Taschenrechner unterstützt viele Operationen, darunter: Logarithmus, Fakultät, trigonometrische und hyperbolische Funktionen, Modulo-Division, Berechnung komplexer Zahlen, Zufallszahlengeneration, Primfaktorzerlegung und Einheitenumrechnungen.",الآلة الحاسبة المتقدمة تدعم العديد من العمليات مثل: اللوغاريتمات، المضروب، الدوال المثلثية والزائدة، باقي قسمة، الأعداد المركبة، توليد الأرقام العشوائية، التحليل الأولي، وتحويلات الوحدات.
The GNOME Project,Le projet GNOME,Das GNOME-Projekt,مشروع GNOME «غنوم»
The angle units to use,L’unité d’angle à utiliser,Die zu verwendenden Winkeleinheiten,وحدات الزوايا المتستخدمة
The button mode,Le mode des boutons,Der Knopfmodus,وضع الزر
The format to display numbers in,Le format d’affichage des nombres,Das Format für die Anzeige von Zahlen,هيئة عرض الأرقام
The internal precision used with the MPFR library,Précision interne utilisée par la bibliothèque MPFR,"Die interne Genauigkeit, die mit der MPFR-Bibliothek verwendet wird",الدقة الداخلية المستخدمة مع مكتبة MPFR
The number of digits displayed after the numeric point,Le nombre de chiffres affichés après la virgule,Die Anzahl der Ziffern nach dem numerischen Punkt,عدد الأرقام الظاهرة بعد النقطة الرقمية
The numeric base,La base de numération,Die numerische Basis,الأساس الرقمي
The power of zero is undefined for a negative exponent,La puissance de zéro n’est pas définie pour des exposants négatifs,Die Potenz von null ist nicht für einen negativen Exponenten definiert,قوة الصفر غير معرفة بالنسبة للأس السالب
The size of the words used in bitwise operations,La taille de mot informatique utilisée pour les opérations bit à bit,Die Wortgröße bei bitweisen Operationen,حجم الكلمات المستخدمة في العمليات البتّية
The zeroth root of a number is undefined,La racine zéro d’un nombre n’est pas définie,Die 0-te Wurzel einer Zahl ist nicht definiert,الجذر الصفري للرقم غير معرف
Tonnes,Tonnes,Tonnen,طن
Trailing Zeroes,Zéros après la virgule,,الأصفار الزائدة
Troy Ounces,Onces de Troyes,Feinunzen,أوقية تروي
"Troy ounce,Troy ounces,ozt","once de Troyes,onces de Troyes,ozt","Feinunze,Feinunzen,oz.tr.","أوقية تروي,أوقية تروي,أوقية تروي"
Tunisian Dinar,Dinar tunisien,Tunesische Dinar,دينار تونسي
Turkish Lira,Livre turque,Türkische Lira,ليرة تركية
Two's complement,Complément à deux,Zweierkomplement,المتمم الثنائي
Two’s Complement,Complément à deux,Zweierkomplement,المتمم الثنائي
U,U,HE,وحدة راك
UAE Dirham,Dirham émirati,VAE-Dirham,درهم إماراتي
US Dollar,Dollar US,US-Dollar,دولار أمريكي
US Gallons,Gallons US,US-Gallonen,غالون أمريكي
US Pints,Pintes US,US-Pinte,نصف لتر أمريكي
US Quarts,Quarts US,US-Quarts,كوارتات أمريكية
Ukrainian Hryvnia,Hryvnia ukrainienne,Ukrainische Hrywnja,هريفنيا أوكراني
Underflow error,Erreur de dépassement de capacité vers le bas,Unterlauffehler,خطأ غيض
Undo,Annuler,Rückgängig,تراجع
United Nations Treasury,Trésor des Nations Unies,Schatzamt der Vereinten Nationen,خزانة الأمم المتحدة
Units of the current calculation,Unités des calculs actuels,Einheit der aktuellen Berechnung,وحدات الحساب الحالي
Units to convert the current calculation into,Unité de conversion du calcul en cours,"Einheit, in welche die aktuelle Berechnung umgewandelt werden soll",الوحدات التي يحول الحساب الحالي لها
Unknown conversion,Conversion inconnue,Unbekannte Umrechnung,تحويل مجهول
Unknown variable “%s”,Variable « %s » inconnue,Unbekannte Variable »%s«,متغير مجهول «%s»
Uruguayan Peso,Peso uruguayen,Uruguayische Peso,بيزو اوروغواي
Variable name,Nom de variable,Variablenname,اسم المتغير
Vietnamese Dong,Dong Vietnamien,Vietnamesischer Dong,دونج فيتنامي
Volume,Volume,Volumen,الحجم
Weekly,Toutes les semaines,Wöchentlich,أسبوعي
Weeks,Semaines,Wochen,أسبوع
Whether the last closed window was maximized.,Indique si la dernière fenêtre fermée était maximisée.,"Gibt an, ob das zuletzt geschlossene Fenster maximiert war.",إذا ما تم تكبير آخر نافذة مغلقة.
Window maximized,Fenêtre maximisée,Fenster maximiert,نافذة مكبرة
Window position,Position de la fenêtre,Fensterposition,موضع النافذة
Window position (x and y) of the last closed window.,Position de la dernière fenêtre fermée (abscisse et ordonnée).,Position (x und y) des zuletzt geschlossenen Fensters.,موضع النافذة (س و ص) لآخر نافذة مغلقة.
Window size,Taille de la fenêtre,Fenstergröße,حجم النافذة
Window size (width and height) of the last closed window.,Taille de la dernière fenêtre fermée (largeur et hauteur).,Fenstergröße (Breite und Höhe) des zuletzt geschlossenen Fensters.,حجم النافذة (العرض والارتفاع) لآخر نافذة مغلقة.
Word Size,Taille de mot,,حجم الكلمة
Word size,Taille de mot,Wortlänge,حجم الكلمة
Yards,Yards,Yard,ياردة
Years,Années,Jahre,سنة
Yobibits,Yobibits,Yobibit,يوبيبت
Yobibytes,Yobioctets,Yobibyte,يوبيبايت
Yottabits,Yottabits,Yottabit,يوتابت
Yottabytes,Yottaoctets,Yottabyte,يوتابايت
Zebibits,Zebibits,Zebibit,زيبيبت
Zebibytes,Zebioctets,Zebibyte,زيبيبايت
Zero raised to zero is undefined,Zéro élevé à zéro n’est pas défini,Null hoch null ist nicht definiert,الصفر المرفوع إلى الصفر غير معرف
Zettabits,Zettabits,Zettabit,زيتابت
Zettabytes,Zettaoctets,Zettabyte,زيتابايت
Angle Units,Unités d’angle,,وحدات الزاوية
Automatic,Automatique,Automatisch,تلقائي
Cancel,Annuler,Abbrechen,إلغاء
Clear History,Effacer l’historique,,مسح السجل
Copy,Copier,,نسخ
Engineering,Ingénierie,Ingenieurwissenschaftlich,هندسة
Fixed,Fixe,Festkomma,ثابت
Help,Aide,Hilfe,مساعدة
Insert,Insérer,Einfügen,ادرج
New Window,Nouvelle fenêtre,Neues Fenster,نافذة جديدة
Paste,Coller,,لصق
Scientific,Scientifique,Wissenschaftlich,علميّ
Thousands Separators,Séparateur des milliers,,الفواصل الألفية
Undo,Annuler,Rückgängig,تراجع
"acre,acres","acre,acres","Acre,Acre","فدان,أفدنة"
au,ua,au,وحدة فلكية
"bit,bits,b","bit,bits,b","Bit,Bit,b","بت،بتات,بت"
"btu,BTU","btu,BTU","btu,BTU","وحدة حرارية بريطانية,وحدة حرارية بريطانية"
"byte,bytes,B","octet,octets,o","Byte,Byte,B","بايت,بايتات,بايت"
"cable,cables,cb","encablure,encablures","Kabel,Kabel,cb","كابل,كابلات,كبل"
calculation;arithmetic;scientific;financial;,calcul;arithmétique;scientifique;finances;financier;,Taschenrechner;Rechner;Arithmetisch;Wissenschaftlich;Finanztechnisch;,calculation;arithmetic;scientific;financial;الحسابية;الرياضية;العلمية;المالية;
"calories,calorie,cal","calories,calorie,cal","Kalorien,Kalorie,cal","سعرة حرارية,سعرة حرارية,سعرة حرارية"
"centimeter,centimeters,cm,cms","centimètre,centimètres,centimetres,centimetres,cm","Zentimeter,Zentimeter,cm,cm","سنتيمتر,سنتيمتر,سم,سم"
"century,centuries","siècle,siècles","Jahrhundert,Jahrhunderte",قرن،قرون
cm²,cm²,cm²,سم²
"cup,cups,cp","tasse,tasses","Tasse,Tassen,cp","كوب متري,أكواب مترية,كوب متري"
"day,days","jour,jours","Tag,Tage",يوم،أيام
"decade,decades","décennie,décennies","Jahrzehnt,Jahrzehnte","عقد,عقود"
"degC,˚C,C,c,Celsius,celsius","degC,˚C,C,c,Celsius,celsius","degC,˚C,C,c,Celsius,celsius","درجة مئوية,درجة مئوية,درجة مئوية,درجة مئوية,درجة مئوية,درجة مئوية"
"degF,˚F,F,f,Fahrenheit,fahrenheit","degF,˚F,F,f,Fahrenheit,fahrenheit","degF,˚F,F,f,Fahrenheit,fahrenheit","درجة فهرنهايت,فهرنهايت,فهرنهايت,فهرنهايت,فهرنهايت,فهرنهايت"
"degR,˚R,˚Ra,r,R,Rankine,rankine","degR,˚R,˚Ra,r,R,Rankine,rankine","degR,˚R,˚Ra,r,R,Rankine,rankine","درجة رانكين,رانكين,رانكين,رانكين,رانكين,رانكين,رانكين"
"degree,degrees,deg","degré,degrés,degres,deg","Grad,Grad,Grad","درجة,درجات,درجة"
eV,eV,eV,إلكترون فولت
"electronvolt,electronvolts,ev","électronvolt,électronvolts,eV","Elektronvolt,Elektronvolt,eV","إلكترون فولت,إلكترون فولت,إلكترون فولت"
"ergs,erg","ergs,erg","Erg,Erg","إرغ,إرغ"
"exabit,exabits,Eb","exabit,exabits,Eb","Exabit,Exabits,Eb","إكسابت,إكسابت,إكسابت"
"exabyte,exabytes,EB","exaoctet,exaoctets,Eo","Exabyte,Exabytes,EB","إكسابايت,إكسابايت,إكسابايت"
"exbibit,exbibits,Eib","exbibit,exbibits,Eib","Exbibit,Exbibits,Eib","إكسبيبت,إكسبيبت,إكسبيبت"
"exbibyte,exbibytes,EiB","exbioctet,exbioctets,Eio","Exbibyte,Exbibytes,EiB","إكسبيبايت,إكسبيبايت,إكسبيبايت"
"fathom,fathoms,ftm","brasse,brasses","Klafter,Klafter,ftm","قامة,قامات,قامة"
"foot,feet,ft","pied,pieds,pi","Fuß,Fuß,ft","قدم,أقدام,قدم"
"foot-pound,foot-pounds,ft-lb,ft-lbs","pied-livre,pied-livres,fb-lb,ft-lbs","foot-pound,foot-pounds,ft-lb,ft-lbs","قدم-رطل,قدم-رطل,قدم-رطل,قدم-رطل"
"fps,feet per second,feetps","pips,pieds par seconde","fps,Fuß pro Sekunde,fußps","قدم/ث,قدم في الثانية,قدم في الثانية"
ft²,pi²,ft²,قدم²
"gallon,gallons,gal","gallon,gallons,gal","Gallone,Gallonen,gal","غالون,غالونات,غالون"
"gibibit,gibibits,Gib","gibibit,gibibits,Gib","Gibibit,Gibibits,Gib","غيبيبت,غيبيبتات,غيبيبت"
"gibibyte,gibibytes,GiB","gibioctet,gibioctets,Gio","Gibibyte,Gibibytes,GiB","غيبيبايت,غيبيبايت,غيبيبايت"
"gigabit,gigabits,Gb","gigabit,gigabits,Gb","Gigabit,Gigabit,Gb","غيغابت,غيغابت,غيغابت"
"gigabyte,gigabytes,GB","gigaoctet,gigaoctets,Go","Gigabyte,Gigabyte,GB","غيغابايت,غيغابايتات,غيغابايت"
"gigahertz,GHz","gigahertz,GHz","Gigahertz,GHz",غيغاهرتز،غيغاهرتز
"gradian,gradians,grad","grade,grades,grad","Gon,Gon,gon","غراديان,غراديان,غراد"
"gram,grams,gramme,grammes,g","gramme,grammes,g","Gramm,Gramm,Gramm,Gramm,g","غرام,غرام,غرام,غرام,غ"
"hectare,hectares,ha","hectare,hectares,ha","Hektar,Hektar,ha","هكتار,هكتار,هكتار"
"hertz,Hz","hertz,Hz","Hertz,Hz","هرتز,هرتز"
"hour,hours","heure,heures","Stunde,Stunden","ساعة,ساعات"
in,en,in,لكل
"inch,inches,in","pouce,pouces,in","Zoll,Zoll,in","بوصة,بوصات,بوصة"
"k,K,Kelvin,kelvin","k,K,Kelvin,kelvin","k,K,Kelvin,kelvin","كلفن,كلفن,كلفن,كلفن"
"kibibit,kibibits,Kib","kibibit,kibibits,Kib","Kibibit,Kibibit,Kib","كيبيبت,كيبيبت,كيبيبت"
"kibibyte,kibibytes,KiB","kibioctet,kibioctets,Kio","Kibibyte,Kibibyte,KiB","كيبيبايب,كيبيبايت,كيبيبايت"
"kilobit,kilobits,kb,Kb","kilobit,kilobits,kb,Kb","Kilobit,Kilobits,kb,Kb","كيلوبت,كيلوبت,كيلوبت,كيلوبت"
"kilobyte,kilobytes,kB,KB","kilooctet,kilooctets,ko,Ko","Kilobyte,Kilobytes,kB,KB","كيلوبايت,كيلوبايت,كيلوبايت,كيلوبايت"
"kilogram,kilograms,kilogramme,kilogrammes,kg,kgs","kilogramme,kilogrammes,kg","Kilogramm,Kilogramm,Kilogramm,Kilogramm,kg,kg","كيلوغرام,كيلوغرامات,كيلوغرام,كيلوغرامات,كغم,كغم"
"kilohertz,kHz","kilohertz,kHz","Kilohertz,kHz","كيلوهرتز,كيلوهرتز"
