
%'d / %'d,%'d / %'d,%'d / %'d,%'d / %'d
%'dnd link to %s,,,الوصلة %I'd إلى %s
%'drd link to %s,,,الوصلة %I'd إلى %s
%'dst link to %s,,,الوصلة %I'd إلى %s
%'dth link to %s,,,الوصلة %I'd إلى %s
%-e %b,,,%-e %B
%-e %b %H:%M,,,%-e %B %H:%M
%-e %b %Y,%-e %b %Y,%-e. %b %Y,%-e %B %Y
%-e %b %Y %H:%M,,,%-e %B %Y %H:%M
%-e %b %Y %l:%M %p,,,%-e %B %Y %l:%M %p
%-e %b %l:%M %p,,,%-e %B %l:%M %p
%H:%M,,,%OH:%OM
%a,,,%A
%a %H:%M,,,%A %H:%M
%a %l:%M %p,,,%A %l:%M %p
%c,,,%-e %B %Y %-l:%M %p
%d MB,,,%d م.ب
%f N / %f W (%.0f m),,,%f ش / %f ج (%.0f م)
%l:%M %p,,,%l:%M %p
"%s %s, %s %s",,,%s %s، %s %s
%s (%'dnd copy)%s,,,%s (نسخة %I'd)%s
%s (%'drd copy)%s,,,%s (نسخة %I'd)%s
%s (%'dst copy)%s,,,%s (نسخة %I'd)%s
%s (%'dth copy)%s,,,%s (نسخة %I'd)%s
%s (%s),%s (%s),%s (%s),%s (%s)
%s (another copy)%s,,,%s (نسخة أخرى)%s
%s (copy)%s,,,%s (نسخة)%s
%s / %s,%s / %s,%s / %s,%s / %s
%s Properties,,,خصائص %s
%s Visible Columns,,,‏%s أعمدة مرئية
%s document,,,مستند ‏%s
%s more space is required to copy to the destination.,%s d’espace supplémentaire est requis pour copier vers la destination.,"%s zusätzlicher Platz ist nötig, um zum Zielort zu kopieren.",النسخ إلى الوجهة المطلوبة يحتاج مساحة إضافية %s.
"A string specifying how parts of overlong file names should be replaced by ellipses, depending on the zoom level. Each of the list entries is of the form “Zoom Level:Integer”. For each specified zoom level, if the given integer is larger than 0, the file name will not exceed the given number of lines. If the integer is 0 or smaller, no limit is imposed on the specified zoom level. A default entry of the form “Integer” without any specified zoom level is also allowed. It defines the maximum number of lines for all other zoom levels. Examples: 0 — always display overlong file names; 3 — shorten file names if they exceed three lines; smallest:5,smaller:4,0 — shorten file names if they exceed five lines for zoom level “smallest”. Shorten file names if they exceed four lines for zoom level “smaller”. Do not shorten file names for other zoom levels. Available zoom levels: small, standard, large.",,,"قيمة نصيّة تحدد كيفية إبدال الأجزاء الطويلة من أسماء الملفات بأقواس، بالاعتماد على مستوى التكبير. إن كل قيمة في القائمة هي من الشكل ""Zoom Level:Integer"" (مستوى التكبير:عدد صحيح). لكل مستوى تكبير، إذا كان العدد الصحيح أكبر من 0، لن يتجاوز اسم الملف الرقم المعطى من الأسطر. إذا كان العدد 0 أو أصغر، لن تطبق أية حدود على مستوى التكبير المحدد. القيمة الافتراضية لصيغة ""Integer"" دون تحديد أي مستوى تقريب أيضاً مسموحة. وهي تعرّف العدد الأعلى للأسطر لجميع مستويات التكبير الأخرى. أمثلة: 0- أعرض اسماء الملفات الطويلة دائماً؛ 3- اختصر اسماء الملفات في حال تجاوزها ثلاثة أسطر؛ smallest:5,smaller:4,0 - اختصر اسماء الملفات في حال تجاوزها خمسة أسطر لمستوى التكبير ""smallest"" (الأصغر). اختصر أسماء الملفات في حال تجاوزها أربعة أسطر لمستوى التكبير ""smaller"" (أصغر). لا تختصر أسماء الملفات لمستويات التكبير الأخرى. مستويات التكبير المتوفّرة هي: الأصغر (smallest)  (33%)، أصغر (smaller) (50%) ، صغير (small) (66%)، قياسي (standard) (100%)، كبير (large) (150%)، أكبر (larger) (200%)، الأكبر (400%) (largest)"
All files,,,كل الملفات
Access and organize files,Accéder aux fichiers et les organiser,Auf Dateien zugreifen und diese organisieren,نظم الملفات وصِل إليها
Access and organize your files,,,نظم ملفاتك وتعامل معها
Access files,,,النفاذ للملفات
Access:,,,وصول:
Accessed,Dernier accès,Zugegriffen,آخر وصول
Accessed:,,,نُفِذ إليه:
Add,Ajouter,Hinzufügen,أضف
Add information to be displayed beneath file and folder names. More information will appear when zooming closer.,Ajoute des informations à afficher au-dessous des noms de fichier et de dossier. Plus d’informations apparaîtront en fonction du zoom avant.,"Geben Sie Informationen an, die unterhalb der Datei- und Ordnernamen angezeigt werden sollen. Je mehr Sie die Ansicht vergrößern, desto mehr Informationen werden angezeigt.",أضف معلومات لتظهر أسفل أسماء الملفات و المجلدات. تظهر المزيد من المعلومات عند التكبير.
Add to Bookmarks,Ajouter aux signets,Zu Lesezeichen hinzufügen,أضِف إلى العلامات
Administrator Root,Racine d’administration,Administratoren-Wurzelordner,جذر مدير النظام
Album Name,Nom de l’album,Albumname,اسم الالبوم
Album name,Nom de l’album,Albumname,اسم الألبوم
All file operations have been successfully completed,,,اكتملت كل عمليات الملفات
All folders,,,كل المجلدات
All items in the Trash will be permanently deleted.,,,ستحذف نهائيا كل العناصر الموجودة في المهملات.
Allow executing file as program,,,اسمح بتنفيذ الملف كبرنامج
Allow folders to be expanded,,,اسمح بتمديد المجلدات
Always,,,دائمًا
Always open a new window for browsing specified URIs,Toujours créer de nouvelles fenêtres pour la navigation des URI précisées,"Immer ein neues Fenster öffnen, um angegebene Adressen zu besuchen",أنشئ نوافذ فقط للعناوين المحددة صراحة.
"Always use the location entry, instead of the pathbar",Toujours afficher l’emplacement avec un champ texte plutôt qu’avec des boutons,Immer das Adressfeld anstatt der Pfadleiste verwenden,استخدم دائما مُدخل الموقع بدلا من شريط المسار
An archive cannot be called “..”.,,,لا يمكن أن يحتوي اسم الملف المضغوط على ”..“.
An archive cannot be called “.”.,,,لا يمكن أن يحتوي اسم الملف المضغوط على ”.“.
An invalid drag type was used.,Un type de glisser non valide a été utilisé.,Es wurde ein ungültiger Zieh-Typ verwendet.,استُخدم نوع سحب غير صحيح.
An older file with the same name already exists in “%s”.,Un fichier plus ancien portant le même nom existe déjà dans « %s ».,Eine ältere Datei gleichen Namens existiert bereits in »%s«.,هناك ملف أقدم بنفس الاسم موجود في ”%s“.
An older folder with the same name already exists in “%s”.,Un dossier plus ancien portant le même nom existe déjà dans « %s ».,Ein älterer Ordner gleichen Namens existiert bereits in »%s«.,هناك مجلّد أقدم بنفس الاسم موجود في ”%s“.
Another file with the same name already exists in “%s”.,Un autre fichier portant le même nom existe déjà dans « %s ».,Eine weitere Datei gleichen Namens existiert bereits in »%s«.,هناك ملف آخر بنفس الاسم موجود في ”%s“.
Another folder with the same name already exists in “%s”.,Un autre dossier portant le même nom existe déjà dans « %s ».,Ein weiterer Ordner gleichen Namens existiert bereits in »%s«.,هناك مجلّد آخر بنفس الاسم موجود في ”%s“.
Another link to %s,,,وصلة أخرى إلى %s
Any time,Toujours,Beliebige Zeit,أي وقت
Anything,N’importe lequel,Alles,أي شيء
Aperture Value,Ouverture focale,Blendenwert,قيمة الفتحة
AppleTalk,AppleTalk,AppleTalk,AppleTalk
Apply this action to all files and folders,,,طبق هذا الإجراء على كل المجلدات
Archive,Archive,Archiv,أرشيف
Archive name,,,اسم الأرشيف
Archive name is too long.,,,اسم الأرشيف طويل.
Archive names cannot contain “/”.,,,لا يمكن أن يحتوي اسم الملف المضغوط على ”/“.
Archives with “.” at the beginning of their name are hidden.,,,الأرشيف الذي يبدأ اسمه برمز ”.“ يصبح خفيا.
Are you sure you want to open all files?,Souhaitez-vous vraiment ouvrir tous les fichiers ?,"Sind Sie sicher, dass Sie alle Fenster öffnen wollen?",أمتأكد من أنك تريد فتح كل الملفات؟
Are you sure you want to permanently delete “%s” from the trash?,,,أمتأكد أنك تريد حذف ”%s“ من المهملات؟
Are you sure you want to permanently delete “%s”?,,,أمتأكد من أنك تريد حذف ”%s“؟
Artist Name,Nom de l’artiste,Künstlername,اسم الفنان
Artist name,Nom de l’artiste,Künstlername,اسم الفنان
Ask before emptying the Trash,,,اسأل قبل إفراغ المهملات
Audio,Audio,Audio,اسطوانة صوتية
Audio CD,,,اسطوانة صوتية
Audio DVD,,,دي‌ڤي‌دي صوتي
Automatic Numbering Order,Ordre de numérotation automatique,Reihenfolge für automatische Nummerierung,ترتيب عددي تلقائي
Automatic Numbers,Nombres automatiques,Automatische Nummerierung,أرقام تلقائية
Available Protocols,Protocoles disponibles,Verfügbare Protokolle,البروتوكولات المتاحة
Back,En arrière,Zurück,إلى الخلف
Basic,,,أساسي
Behavior,,,السلوك
Binary,Binaire,Binärdatei,ثنائى
Bookmark current location,,,علّم المكان الحاليّ
By Access Date,,,بتاريخ الوصول
By Modification Date,,,بتاريخ التعديل
By Name,,,بالاسم
By Size,,,بالحجم
By Trashed Date,,,بتاريخ النقل إلى المهملات
By Type,,,بالنوع
Compress…,Compresser…,Komprimieren …,اضغط…
Calendar,Agenda,Kalender,تقويم
Camera Brand,Marque de l’appareil photo,Kameramarke,صنف الكاميرا
Camera Model,Modèle de l’appareil photo,Kameramodell,طِراز الكاميرا
Camera model,Modèle de l’appareil photo,Kameramodell,طِراز الكاميرا
Cancel,Annuler,Abbrechen,ألغِ
Cancel,Annuler,Abbrechen,ألغِ
Cancel Group Change?,Annuler le changement de groupe ?,Soll der Gruppenwechsel abgebrochen werden?,أألغي تغيير المجموعة؟
Cancel Owner Change?,Annuler le changement de propriétaire ?,Soll der Besitzerwechsel abgebrochen werden?,أألغي تغيير المالك؟
Canceled,,,أُلغِيَ
Change,,,غيّر
Change Permissions for Enclosed Files,Changer les permissions des fichiers inclus,Zugriffsrechte auf enthaltene Dateien übertragen,غيّر تصاريح الملفات المضمنة
Change Permissions for Enclosed Files…,,,غيّر تصاريح الملفات المضمنة…
Choose the order of information to appear in the list view.,,,اختر ترتيب ظهور المعلومات في منظور القائمة.
Choose the order of information to appear in this folder:,,,اختر ترتيب ظهور المعلومات في هذا المجلد:
Clear the currently selected date,,,امسح التاريخ المحدد حاليا
Close current view,Fermer la vue actuelle,Aktuelle Ansicht schließen,أغلق المنظور الحالي
Close tab,,,أغلق اللسان
Close window or tab,,,أغلق النافذة أو اللسان
Column order in list view,Ordre des colonnes dans la vue en liste,Spaltenreihenfolge der Listenansicht,ترتيب الأعمدة المبدئي في منظور القائمة
Columns visible in list view,Colonnes visibles dans la vue en liste,Anzuzeigende Spalten der Listenansicht,القائمة المبدئية للأعمدة المرئية في منظور القائمة
Compatible with all operating systems.,Compatible avec tous les systèmes d’exploitation.,Kompatibel mit allen Betriebssystemen.,متوافق مع كل أنظمة التشغيل.
Compress “%s”,Compresser « %s »,»%s« komprimieren,اضغط ”%s“
Compressed “%s” into “%s”,« %s » compressé dans « %s »,»%s« wurde in »%s« komprimiert,ضغط ”%s“ إلى ”%s“
Compressing Files,Compression des fichiers,Dateien werden komprimiert,يضغط الملفات
Compressing “%s” into “%s”,Compression de « %s » dans « %s »,»%s« wird in »%s« komprimiert,يضغط ”%s“ إلى ”%s“
Computer,,,الحاسوب
Connect,Se connecter,Verbinden,اتّصل
Connect to Server,,,اتصل بخادوم
Contacts,Contacts,Kontakte,متراسلين
Contains digital photos,Contient des photos numériques,Enthält Digitalfotos,تحتوي صورا فوتوغرافية رقمية
Contains music,Contient de la musique,Enthält Musik,تحتوي موسيقى
Contains music and photos,Contient de la musique et des photos,Enthält Musik und Fotos,تحتوي موسيقى وصور فوتوغرافية
Contains photos and music,Contient des photos et de la musique,Enthält Fotos und Musik,تحتوي صورا فوتوغرافية وموسيقى
Contains software,,,تحتوي برمجيات
Content View,Vue du contenu,Inhaltsansicht,عرض المحتوى
Contents:,Contenus :,Inhalt:,المحتويات:
Coordinates,Coordonnées,Koordinaten,الإحداثيات
Copied “%s” to “%s”,« %s » copié vers « %s »,»%s« wurde nach »%s« kopiert,نسخ ”%s“ إلى ”%s“
Copy,Copier,Kopieren,انسخ
Copy Anyway,Copier quand même,Trotzdem kopieren,انسخ على أي حال
Copy to…,Copier vers…,Kopieren nach …,انسخ إلى…
Copy “%s” to “%s”,Copier « %s » vers « %s »,»%s« nach »%s« kopieren,انسخ ”%s“ إلى ”%s“
Copying Files,Copie des fichiers,Dateien werden kopiert,نسخ الملفات
Copying “%s” to “%s”,Copie de « %s » vers « %s »,»%s« wird nach »%s« kopiert,ينسخ ”%s“ إلى ”%s“
Copyright,Copyright,Copyright,حقوق النشر
Could not add application,,,تعذر إضافة التطبيق
Could not determine original location of “%s”,Impossible de déterminer l’emplacement d’origine de « %s »,Ursprünglicher Ort von »%s« konnte nicht ermittelt werden,تعذّر تحديد مكان ”%s“ الأصلي
Could not display “%s”.,,,تعذّر عرض ”%s“.
Could not forget association,,,تعذّر نسيان الارتباط
Could not remove the already existing file with the same name in %s.,Impossible de supprimer le fichier préexistant portant le même nom dans %s.,Die bereits in %s bestehende Datei mit demselben Namen konnte nicht entfernt werden.,تعذّر إزالة الملف الموجود فعلا بنفس الاسم في %s.
Could not remove the source folder.,Impossible de supprimer le dossier source.,Der Quellordner konnte nicht entfernt werden.,تعذر حذف المجلد المصدر.
Could not set as default,Impossible de définir par défaut,Konnte nicht als Voreinstellung festgelegt werden,تعذر جعله التطبيق المبدئي
Count number of files in folders:,,,عُدّ الملفات في المجلدات:
Create,,,أنشئ
Create Archive,,,أنشئ أرشيفًا
Create Link,Créer un lien,Verknüpfung erstellen,أنشئ وصلة
Create a new folder “%s”,Créer un nouveau dossier « %s »,Einen neuen Ordner »%s« anlegen,أنشئ مجلدا جديدا ”%s“
Create an empty file “%s”,Créer un fichier vide « %s »,Eine leere Datei »%s« erstellen,أنشئ ملفا فارغا ”%s“
Create and delete files,,,إنشاء وحذف الملفات
Create folder,,,أنشئ مجلّدا
Create link to “%s”,Créer un lien vers « %s »,Verknüpfung zu »%s« erstellen,أنشئ رابط إلى ”%s“
Create new file “%s” from template,Créer le nouveau fichier « %s » à partir d’un modèle,Eine neue Datei »%s« aus Vorlage anlegen,أنشئ ملفا جديدا ”%s“ من قالب
Create the initial window with the given geometry.,,,أنشئ النافذة الأولية بالأبعاد المعطاة.
Created On,Créé le,Erstellt Am,تاريخ الإنشاء
Creating Properties window.,Création de la fenêtre Propriétés.,Eigenschaftsfenster wird erzeugt.,يُنشئ نافذة الخصائص.
Creating links in “%s”,Création des liens dans « %s »,Verknüpfungen werden in »%s« angelegt,يُنشئ وصلات في ”%s“
Creation Date,Date de création,Erstellungsdatum,تاريخ الإنشاء
Creation date,Date de création,Erstellungsdatum,تاريخ الإنشاء
Creator,Auteur,Ersteller,المُنشئ
Cut,Couper,Ausschneiden,قص
Cut,Couper,Ausschneiden,قص
Date when file was moved to the Trash,Date à laquelle le fichier a été mis à la corbeille,"Datum, an dem die Datei gelöscht wurde",تاريخ نقل الملف إلى المهملات
Default folder viewer,Visionneur de dossiers par défaut,Voreingestellte Ordneransicht,عارض المجلدات المبدئي
Default icon view zoom level,Niveau de zoom par défaut pour la vue en icônes,Voreingestellte Symbolansicht-Vergrößerungsstufe,مستوى تكبير الأيقونات المبدئي
Default list view zoom level,Niveau de zoom par défaut pour la vue en liste,Voreingestellte Listenansicht-Vergrößerungsstufe,مستوى تكبير القائمة المبدئي
Default sort order,Ordre de tri par défaut,Voreingestellte Sortierreihenfolge,ترتيب التصنيف المبدئي
Delete All,Tout supprimer,Alle löschen,احذف الكل
Delete all items in the Trash,,,احذف كل العناصر في المهملات
Delete link to “%s”,Supprimer le lien vers « %s »,Verknüpfung zu »%s« löschen,احذف الرابط إلى ”%s“
Delete permanently,,,احذف نهائيا
Delete “%s”,Supprimer « %s »,»%s« löschen,احذف ”%s“
Deleted “%s”,« %s » supprimé,»%s« wurde gelöscht,حُذِف ”%s“
Deleting Files,Suppression des fichiers,Dateien werden gelöscht,حذف الملفات
Deleting “%s”,Suppression de « %s »,»%s« wird gelöscht,يحذف ”%s“
Description,Description,Beschreibung,الوصف
Detailed Type,Type détaillé,Detaillierter Dateityp,النوع التفصيلي
Details:,Détails :,Details:,التفاصيل:
Details: %s,Détails : %s,Details: %s,التفاصيل: %s
Detected as “%s”,Détecté comme « %s »,Erkannt als »%s«,تُعرف على أنها ”%s“
Disconnect,Déconnecter,Trennen,اقطع الاتصال
Do not Empty Trash,,,لا تُفرغ المهملات
Do you want to empty the trash before you unmount?,,,أترغب في إفراغ المهملات قبل الفصْل؟
"Do you want to run “%s”, or display its contents?",,,هل تريد تشغيل ”%s“ أم عرض محتوياته؟
Document,Document,Dokument,مستند
Documents,Documents,Dokumente,مستندات
Don’t have permission to access the requested location.,Vous n’avez pas la permission d’accéder au dossier demandé.,"Sie besitzen nicht die nötigen Zugriffsrechte, um auf den angeforderten Ort zuzugreifen.",لا تملك الصلاحيات الكافية للوصول إلى المكان المطلوب.
Drag and drop is not supported.,Le glisser-déposer n’est pas pris en charge.,Ziehen und Ablegen wird nicht unterstützt.,السحب والإفلات غير مدعوم.
Dropped Text.txt,Texte déposé.txt,Kopierter Text.txt,النص المفلت.txt
Duplicate “%s” in “%s”,Dupliquer « %s » dans « %s »,»%s« in »%s« duplizieren,كرر ”%s“ في ”%s“
Duplicated “%s”,« %s » dupliqué,»%s« wurde dupliziert,ضاعف ”%s“
Duplicating “%s”,Duplication de « %s »,»%s« wird dupliziert,يضاعف ”%s“
Extract to…,Extraire vers…,Entpacken nach …,استخرج إلى…
Editing,Modification,Bearbeitung,التحرير
Empty Trash,Vider la corbeille,Papierkorb leeren,أفرغ المهملات
Empty all items from Trash?,,,أأحذف كل العناصر من المهملات؟
Emptying Trash,Vidage de la corbeille,Papierkorb wird geleert,إفراغ المهملات
Enter location,,,أدخل مكانا
Enter server address…,,,أدخل عنوان الخادوم…
Episode Number,Numéro d’épisode,Nummer der Folge,رقم الحلقة
Episode number,Numéro d’épisode,Nummer der Folge,رقم الحلقة
Error compressing “%s” into “%s”,Erreur lors de la compression de « %s » dans « %s »,Fehler beim Komprimieren von »%s« in »%s«,خطأ أثناء ضغط ”%s“ إلى ”%s“
Error extracting “%s”,Erreur lors de l’extraction de « %s ».,Fehler beim Entpacken von »%s«,خطأ أثناء استخراج ”%s“.
Error while adding “%s”: %s,,,خطأ أثناء إضافة ”%s“‏: %s
Error while compressing files.,Erreur lors de la compression des fichiers.,Fehler beim Komprimieren der Dateien.,خطأ أثناء ضغط الملفات.
Error while copying to “%s”.,Erreur lors de la copie vers « %s ».,Fehler beim Kopieren nach »%s«.,خطأ أثناء النسخ إلى ”%s“.
Error while copying “%s”.,Erreur lors de la copie de « %s ».,Fehler beim Kopieren von »%s«.,خطأ أثناء نسخ ”%s“.
Error while copying.,Erreur lors de la copie.,Fehler beim Kopieren.,خطأ أثناء النسخ.
Error while creating directory %s.,,,خطأ أثناء إنشاء المجلد %s.
Error while creating file %s.,,,خطأ أثناء إنشاء الملف %s.
Error while creating link to %s.,,,خطأ أثناء إنشاء وصلة إلى %s.
Error while deleting.,Erreur lors de la suppression.,Fehler beim Löschen.,خطأ أثناء الحذف.
Error while moving files to trash.,Erreur lors de la mise à la corbeille des fichiers.,Fehler beim Verschieben von Objekten in den Papierkorb.,حدث خطأ أثناء نقل الملفات إلى المهملات.
Error while moving “%s”.,Erreur lors du déplacement de « %s ».,Fehler beim Verschieben von »%s«.,خطأ أثناء نقل ”%s“.
Error while moving.,Erreur lors du déplacement.,Fehler beim Verschieben.,خطأ أثناء النقل.
Error while setting “%s” as default application: %s,,,عُطل أثناء ضبط ”%s“ ليكون التطبيق المبدئي: %s
Examples:,Exemples :,Beispiele:,أمثلة:
Executable Text Files,,,ملفات نصية تنفيذية
Executable files in this folder will appear in the Scripts menu.,,,ستظهر الملفات التنفيذية في هذا المجلد في قائمة النصوص الشفرية.
Execute:,,,تنفيذ:
Existing Text,Texte existant,Bestehender Text,النص الحالي
Exposure Program,Mode d’exposition,Belichtungsprogramm,برنامج التعرض
Exposure Time,Temps de pose,Belichtungszeit,زمن التعرض
Extract Here,,,استخرج هنا
Extract to…,Extraire vers…,Entpacken nach …,استخرج إلى…
Extract “%s”,Extraire « %s »,»%s« entpacken,استخرج ”%s“
Extracted “%s” to “%s”,« %s » extrait vers « %s »,»%s« wurde nach »%s« entpackt,استخرج ”%s“ إلى ”%s“
Extracting Files,Extraction des fichiers,Dateien werden entpackt,يستخرج الملفات
Extracting “%s”,Extraction de « %s »,»%s« wird entpackt,يستخرج ”%s“
Folders on this computer only,,,المجلدات على هذا الحاسوب فقط
Failed to load image information,Impossible de charger les informations de l’image,Bildinformationen konnten nicht geladen werden,فشل تحميل معلومات الصورة
File Name,Nom du fichier,Dateiname,اسم الملف
File Operations,Opérations sur les fichiers,Dateioperationen,عمليات الملفات
File Transfer Protocol,Protocole de transfert de fichiers (FTP),File Transfer Protocol (Dateiübertragungsprotokoll),بروتوكول نقل الملفات
File access:,,,النفاذ للملف:
File and Folder conflict,,,تعارض في الملفات و المجلدات
File conflict,,,تعارض في الملفات
File count,,,عدد الملفات
File name,,,اسم الملف
File name is too long.,,,اسم الملف طويل.
File names cannot contain “/”.,,,لا يمكن أن يحتوي اسم الملف على ”/“.
File not found,Fichier non trouvé,Datei nicht gefunden,الملف غير موجود
Files,Fichiers,Dateien,الملفات
Files in the folder “%s” cannot be copied because you do not have permissions to see them.,Impossible de copier les fichiers du dossier « %s » car vous n’avez pas la permission de les lire.,"Dateien im Ordner »%s« können nicht kopiert werden, weil Sie nicht die nötigen Lesezugriffsrechte besitzen.",تعذّر نسخ الملفات الموجودة بالمجلد ”%s“ لأنك لا تملك التصاريح الكافية لقراءتها.
Files in the folder “%s” cannot be handled because you do not have permissions to see them.,Impossible de traiter les fichiers du dossier « %s » car vous n’avez pas la permission de les lire.,"Auf Dateien im Ordner »%s« kann nicht zugegriffen werden, weil Sie nicht die nötigen Lesezugriffsrechte besitzen.",تعذّر التعامل مع الملفات الموجودة بالمجلد ”%s“ لأنك لا تملك التصاريح الكافية لقراءتها.
Files with “.” at the beginning of their name are hidden.,,,الملف الذي يبدأ اسمه برمز ”.“ يصبح خفيا.
Filesystem type:,,,نوع نظام الملفات:
Find and replace text,Rechercher et remplacer un texte,Text suchen und ersetzen,ابحث و استبدل النص
First,,,أول
First Created,Premier créé,Zuerst erstellt,أول إنشاء
First Modified,Premier modifié,Zuerst geändert,أول تعديل
Flash Fired,Flash déclenché,Blitzlicht,أُطلق الوميض
Focal Length,Distance focale,Brennweite,الطول البؤري
Folder,Dossier,Ordner,مجلد
Folder access:,,,النفاذ للمجلد:
Folder is Empty,Le dossier est vide,Ordner ist leer,المجلد فارغ
Folder name,,,اسم المجلد
Folder name is too long.,,,اسم المجلد طويل.
Folder names cannot contain “/”.,,,لا يمكن أن يحتوي اسم المجلّد على ”/“.
Folders,Dossiers,Ordner,مجلدات
Folders with “.” at the beginning of their name are hidden.,,,المجلد الذي يبدأ اسمه برمز ”.“ يصبح خفيا.
Font,Police,Schriftart,خط
Forget association,,,انس الارتباط
