
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Other:,Autre :,Sonstiges:,أخرى
Output Formatting,Formatage de la sortie,Ausgabeformatierung,الأخراج
Output Placement,Emplacement de la sortie,Ausgabeplatzierung,البديل
Owner:,Propriétaire :,Eigentümer:,أخرى
Page Order,Ordre des pages,Seitenabfolge,المنتج:
Paper:,Papier :,Papier:,لوح ألوان
Paste type,Type de collage,Typ einfügen,لوح ألوان
Pattern,Motif,Muster,لوح ألوان
Permissions,Droits d'accès,Zugriffsrechte,الأذون
Print,Imprimer,Drucken,طابعات
Read,Lecture,Lesen,أعِد
Region operation,Opération de région,Bereichsoperation,معلومات
Sample,Aperçu,Beispiel,المجال
Scale,Échelle,Skalierung,المجال
Simulation summary:,Résumé de la simulation :,Simulationszusammenfassung:,المعجم
Style,,,العنوان
Summary of results:,Résumé des résultats : ,Ergebniszusammenfassung:,عدد الصفحات:
Titles To Print,Titres à imprimer,Zu druckende Titel,العنوان
Vertical alignment,Alignement vertical,Vertikale Ausrichtung,ترصيف عمودي
Write,Écriture,Schreiben,العنوان
<cells>,<cells>,<Zellen>,خلية
F4 to complete,F4 pour compléter,F4 zum Vervollständigen,تكملة آلية
<new name>,<nouveau nom>,<Neuer Name>,لعبة جديدة
<pages>,<pages>,<Seiten>,صفحات
<sheets>,<sheets>,<Blätter>,كل الصفحات
"Change Cells Containing","Change les cellules contenant","Zellen ändern, die enthalten","إعدادات متقدّمة"
"Changing Cells","Change les cellules","Zellen ändern","تحميل الصور"
"Comment","Commentaires","Kommentar","تعليقات:"
"Criteria","Critères",Kriterien,"عنوان:"
"Delete Method","Mode de suppression",Löschmethode,"حذف البريد"
"Goal","Objectif","Ziel","عام"
"Insert Method","Méthode d'insertion",Einfügemethode,"تنبيهات"
"Last Result","Dernier résultat","Letztes Resultat","إخراج"
"Limits","Limites","Einschränkungen","الروابط"
"Miscellaneous","Divers","Verschiedenes","متفرّقات"
"Reporting","Rapport","Bericht","خيارات"
"Rounds","Séquences","Runden","الملفات الصوتية"
"Scenarios","Scénarios","Szenarien","المصادر"
"Search Text Type","Type de texte recherché","Typ des Suchtextes","نسق"
"Sort Options","Options de tri",Sortiereinstellungen,"خيارات"
"Sort Specification","Spécifications de tri",Sortierangabe,"الموقع"
A 3D list template,Un modèle de liste 3D,Eine 3D-Listenvorlage,حذف القالب
A banana coloured template,Un modèle de couleur canari,Eine bananenfarbige Vorlage,علم لتمكين المربعات الملونة.
A basic formal style,Un style de base,Ein einfacher formaler Stil,اظهر الرّسائل بالأسلوب العادي
A basic list,Une liste simple,Eine einfache Liste,عرض كقائمة
A button like template,Un modèle style bouton,Eine knopfähnliche Vorlage,نوع زر العمل
A fully empty template,Un modèle sans décor,Eine vollständig leere Vorlage,إضافة كل الأسطر الفارغة
A green list template,Un modèle de liste vert,Eine grüne Listenvorlage,إنشاء صورة جديدة
A short description of the template,Une courte description du modèle,Kurze Beschreibung der Vorlage,وصف للحالة بصورة مفهومة للبشر
A simple list template,Modèle de liste simple,Eine einfache Listenvorlage,الملف فارغ
A single selection is required.,Une sélection unique est requise.,Eine einzelne Auswahl ist notwendig.,بحاجة لإسم.
A workbook cannot have two sheets with the same name.,Un classeur ne peut pas avoir deux feuilles avec le même nom.,Ein Arbeitsbuch kann nicht zwei Blätter gleichen Namens beinhalten.,لا يمكنك إنشاء حسابين بالإسم ذاته.
ANOVA,ANOVA,Varianzanalyse,مساحة رسم
Active workbook sheet,Feuille active du classeur,Aktives Blatt des Arbeitsbuchs,خدمات الشّبكة النّشطة
Add,Addition,Addieren,أضف
All Filtered Rows,Toutes les lignes filtrées,Alle gefilterten Spalten,جميع الملفات
Append,Ajouter,Anfügen,إلحاق
Auto Complete Text in Cells,Complétion automatique du texte dans les cellules,Text in Zellen automatisch vervollständigen,إعدادات التكملة التلقائية
Autofit columns,Ajustement automatique des colonnes,Spalten automatisch anpassen,متعدد العمود
Automatic,Automatique,Automatisch,تلقائي
Aaron Weber,Aaron Weber,Aaron Weber,الصدر الأوسط
Ab,av,Ab,أداء
About Gnumeric,À propos de Gnumeric,Info zu Gnumeric,حول راديو جينوم
About this application,À propos de cette application,Info zu dieser Anwendung,حوْل هذا البرنامج
Action:,Action :,Aktion:,أفعال
Accept change,Accepter le changement,Änderungen anwenden,إقبل الترخيص
Accounting,Comptabilité,Buchhaltung,الحساب
Activate New Plugins,Activer les nouveaux greffons,Neue Plugins sofort aktivieren,نشِّط ملحقات أكثر
Activate new plugins by default,Activer les nouveaux greffons par défaut,Neue Plugins sofort aktivieren,نشِّط ملحقات أكثر
Active,Activer,Aktiv,نشط
Add Autofilter to %s,Ajouter un filtre automatique à %s,Auto-Filter zu %s hinzufügen,أضِف للمفضّلة
Add Borders,Ajouter des bordures,Ränder hinzufügen,إضافة حدود...
Add Filter,Ajouter un filtre,Filter hinzufügen,أضف ملفات
Add Hyperlink,Ajouter un hyperlien,Verknüpfung hinzufügen,وصله
Add Scenario,Ajouter un scénario,Szenario hinzufügen,اضف فاصل
Add Auto Filter,Ajouter un filtre automatique,Auto-Filter hinzufügen,أضِف للمفضّلة
Add Comment,,,التعليق:
Add Data Slicer,Ajouter un extrait de données,Demodulator hinzufügen,تقطيع
Add Hyperlink,,,وصله
Add a border around the selection,Ajoute un encadrement autour de la sélection,Einen Rand um die Auswahl hinzufügen,أضف حدوداً حول صورة
Add a filter,Ajoute un filtre,Einen Filter hinzufügen,أضف مجلّد
Add a new scenario,Ajoute un nouveau scénario,Ein neues Szenario hinzufügen,أضف مُدْخَل جديد
Add an outline group,Ajoute un groupe,Eine Übersichtsgruppe hinzufügen,أضف قاعدة جديدة
Add or remove a filter,Ajoute ou supprime un filtre,Einen Filter hinzufügen oder entfernen,أضف أو أزل مستخدمين و مجموعات
Add scenario,Ajouter un scénario,Szenario hinzufügen,أضف خيار بحث
AddBorders,Ajouter des encadrements,Ränder hinzufügen,إضافة حدود...
Adding %d sheets,,,الصفحات الفردية
Adding sheet,,,الصفحات الفردية
Address,Adresse,Adresse,العنوان
Adjust a data slicer,Ajuste un extrait de données,Demodulator korrigieren,لائم حجم النص
Adjust the root data directory,Définit le répertoire de base pour les données,Wurzelverzeichnis für Datenmaterial anpassen,لائم حجم النص
Adjustment Properties,Propriétés de l'ajustement,Justierungseigenschaften,خصائص
Adrian Custer,Adrian Custer,Adrian Custer,ادرايان
Adrian Likins,Adrian Likins,Adrian Likins,ادرايان
Advanced,Avancée,Erweitert,متقدم
Advanced,Avancée,Komplex,متقدم
Advanced Filter,Filtre avancé,Komplexer Filter,ألوان متقدمة
Advanced Filter (%s),Filtre avancé (%s),Komplexer Filter (%s),ألوان متقدمة
Advanced Filter...,Filtre avancé...,Komplexer Filter …,بحث متقدم...
Alexander Kirillov,Alexander Kirillov,Alexander Kirillov,الكسندر
Align Bottom,Aligne en bas,Nach unten ausrichten,الأسفل:
Align Top,Aligne en haut,Nach oben ausrichten,حاذي
Align Bottom,Aligner en bas,Nach unten ausrichten,قاع
Align Top,Aligner en haut,Nach oben ausrichten,على القمة
Align left,Aligne à gauche,Links ausrichten,مرصوف
Align right,Aligne à droite,Rechts ausrichten,Alt اليميني
Alignment,Alignement,Ausrichtung,محاذاة:
All Borders,Tous les encadrements,Alle Ränder,حدود الجداول
All Files,Tous les fichiers,Alle Dateien,جميع الملفات
All Functions,Toutes les fonctions,Alle Funktionen,الوظيفة
All files,,,جميع الملفات
Allow:,Autoriser :,Zulassen:,اصفر:
Allocate memory for column name.,Allocation de mémoire pour le nom de la colonne.,Speicher für Spaltenname reservieren,لم يمكن تحديد ذاكرة للواجهة
Allocate memory for record data.,Allocation de mémoire pour les données de l'enregistrement.,Speicher für die Datenerfassung reservieren.,لم يمكن تحديد ذاكرة للواجهة
Allow Unfocused Range Selections,Autoriser des sélections de plage sans focus,Nicht fokussierte Bereichsmarkierungen zulassen,إظهار تحديد الصورة
Also print hidden sheets,Imprimer aussi les feuilles masquées,Auch verborgene Blätter drucken,طبق التصاريح على الملفات المضمّتة
An advanced colorless template,Un modèle avancé sans couleurs,Eine erweiterte farblose Vorlage,ألوان متقدمة
An array must have at least 1 element,Un tableau doit avoir au moins 1 élément,Ein Datenfeld muss mindestens ein Element enthalten,%s يجب ان يكون لديك على الاقل عنصر واحد لاختياره
An error occurred while reading the category list,Une erreur est apparue lors de la lecture de la liste des catégories,Beim Lesen der Kategorienliste trat ein Fehler auf,حدث خطأ عند تحميل المحفوظة.
An unexpected error has occurred.,Une erreur inattendue s'est produite.,Ein unerwarteter Fehler ist aufgetreten.,حصل خطأ شبكي.
An unexpected error has occurred: %d.,Une erreur inattendue s'est produite : %d.,Ein unerwarteter Fehler ist aufgetreten: %d.,حصل خطأ شبكي.
An unexplained error happened while opening %s,Une erreur inexpliquée est survenue lors de l'ouverture de %s,Beim Öffnen von %s ist ein nicht erklärter Fehler aufgetreten,حدث خطأ خلال فتح %s.
Analytics,Analytique,Analysen,ضد التهدّب
Anova,Anova,Varianzanalyse,أنغولا
Any,Tous,Beliebig,أيّ
Append,Concaténer,Anfügen,إلحاق
Append a new sheet,Insère une nouvelle feuille de calcul après celle-ci,Ein neues Blatt anfügen,افتح لسان جديد
Applix,Applix,Applix,تطبيق
Apply Alignment,Appliquer l'alignement,Ausrichtung anwenden,المحاذاة
Apply Borders,Appliquer les bordures,Ränder anwenden,حدود الجداول
Apply Fonts,Appliquer les polices,Schrift anwenden,استخدم الخط
Apply Number Formats,Appliquer les formats de nombre,Zahlenformat anwenden,أشكال الأعداد
Apply Patterns,Appliquer les motifs,Muster anwenden,العينات
Apply to:,Appliquer à :,Anwenden auf:,استخدم الخط
Apply change to all sheets,Appliquer le changement à toutes les feuilles,Änderungen auf alle Blätter anwenden,طبق التصاريح على الملفات المضمّتة
Apply print-setup to all sheets,Appliquer la mise en page à toutes les feuilles,Druckeinstellungen auf alle Blätter anwenden,طبق التصاريح على الملفات المضمّتة
Apply to all sheets of this workbook.,Appliquer à toutes les feuilles de ce classeur.,Auf alle Blätter in diesem Arbeitsbuch anwenden.,تغيير خواص هذا المجلّد
Area,Zone,Bereich,قراءة
Area %d,Zone %d,Bereich %d,انشيء %s
Area %i,Zone %i,Bereich %i,انشيء %s
Arguments:,Paramètres :,Argumente:,المعاملات:
Ariel Rios,Ariel Rios,Ariel Rios,ديل ريو
Array,Tableau,Datenfeld,مصفوفة
Arrays must be rectangular,Les matrices doivent être rectangulaires,Datenfelder müssen symmetrisch sein,أنشئ فرشاة مستطيلة
Arrow,Flèche,Pfeil,سهم
Art,Art,Künstlerische Beiträge,فن
As Value,Comme valeur,Als Wert,القيمة:
As value,Comme valeur,Als Wert,القيمة:
Ask before each change,Demander confirmation avant chaque changement,Vor jeder Änderung nachfragen,اسأل لكل رسالة
At least one sheet must remain visible!,Au moins une feuille doit rester visible !,Es muss wenigstens ein Blatt sichtbar bleiben!,تحتاج إلى حاضرٍ واحد على الأقل.
Author:,Auteur :,Autor:,المؤلف:
Auto,Auto,Automatisch,المؤلف:
Auto Completion,Complétion automatique,Auto-Vervollständigung,تكملة آلية
Auto Correct,Correction automatique,Automatische Korrektur,انتقاء تلقائي
Auto Expression,Expression automatique,Automatischer Ausdruck,تعبير
Auto Expression (%s),Expression automatique (%s),Automatischer Ausdruck (%s),معالج النصوص
Auto Filter blocked by %s,Filtre automatique bloqué par %s,Auto-Filter wurde von %s blockiert,أضِف للمفضّلة
Auto Fit Height,Ajustement automatique en hauteur,Höhe automatisch einpassen,ارتفاع القصاصة
Auto Fit Width,Ajustement automatique en largeur,Breite automatisch einpassen,لائم العرض
Auto Save,Enregistrement automatique,Automatisch speichern,احفظ آلياً
Auto Correct...,Correction automatique...,Auto-Korrektur …,تدرج مخصص...
Auto fit,Ajustement auto,Automatisch einpassen,الملء الآلي
Auto-complete text,,,تكملة آلية
Auto-expression Attributes,,,معالج النصوص
Auto-expression description,,,الضغط والتعمية
Auto-expression function,,,دالات محولة
Auto-expression text,,,معالج النصوص
AutoFilter,Filtre automatique,Auto-Filter,تصفية
Autofill,Remplissage auto,Auto-Füllen,الملء الآلي
Autocomplete,Complétion automatique,Auto-Vervollständigung,تكملة آلية
Autocorrect replace,Correction automatique du remplacement,Ersetzen automatisch korrigieren,الكلمة التي ستتغيّر
Autofill,Remplissage auto,Auto-Füllen,الملء الآلي
Autofilling %s,Remplissage auto de %s,Auto-Füllen: %s,الملء الآلي
Autofitting column %s,Ajustement automatique de la colonne %s,Spalte %s wird automatisch angepasst,يجري تخزين الحساب '%s'
Autofitting columns %s,Ajustement automatique des colonnes %s,Spalten %s werden automatisch angepasst,يجري تخزين الحساب '%s'
Autofitting height of %s,Ajustement automatique de la hauteur de %s,Höhe von %s wird automatisch angepasst,يجري تحرير الملف الشخصي %s
Autofitting row %s,Ajustement automatique de la ligne %s,Zeile %s wird automatisch angepasst,يجري تحرير الملف الشخصي %s
Autofitting rows %s,Ajustement automatique des lignes %s,Zeilen %s werden automatisch angepasst,يجري إطفاء %s (%s)
Autofitting width of %s,Ajustement automatique de la largeur de %s,Breite von %s wird automatisch angepasst,يجري تحرير الملف الشخصي %s
Autoformat,Formatage automatique,Auto-Formatierung,تهيئة خاصة
Autoformatting %s,Formatage automatique de %s,Auto-Formatierung: %s,تنسيق
Automatic,Automatique,Automatisch,تلقائي
Automatic Categories,Catégories automatiques,Automatische Kategorien,مسح آلي
Automatic Scaling,Échelle automatique,Automatische Skalierung,مسح آلي
Automatically detected,Détecté automatiquement,Auto-Erkennung,مكتشف تلقائيا
Automatically fill the current selection,Remplit automatiquement la sélection actuelle,Automatisch den aktuellen Absatz füllen,قم بملأ المربع الحالي أوتوماتيكيا
Automatically perform simple spell checking,Réalise automatiquement une vérification orthographique simple,Automatisch einfache Überprüfung der Rechtschreibung durchführen,أدرج التعابير المرسومة آلياً
Automatically save the current document at regular intervals,Enregistre automatiquement le document à intervalles réguliers,Das aktuelle Dokument automatisch in regelmäßigen Intervallen speichern,دقق الهجاء آلياً في المستند الحالي
Autosave frequency,Périodicité de la sauvegarde automatique,Häufigkeit des automatischen Speicherns,محث تسجيل الخروج
Autosave prompt,,,محث تسجيل الخروج
Autosave time in seconds,,,اعرض الوقت بالثواني
Average,Moyenne,Durchschnitt,متوسط
By Changing Cells:,En changeant les cellules :,Durch Ändern der Zellen:,القناة:
Background,Arrière-plan,Hintergrund,الخلفية
Banana,Canari,Banane,موزة
Basic,Basique,Einfach,بسيط
Bernoulli,Bernoulli,Bernoulli,برلين
Beta,Bêta,Beta,الأحسن
Bin %i,Valeurs %i,Klasse %i,خط الادخال
Binomial,Binomiale,Binomial,الهند
Bitwise Operations,Opérations bit à bit,Bitweise Operationen,عمليات رياضية على الببتات
Black,Noir,Schwarz,أسود
Blue,Bleu,Blau,أزرق
Bold,Gras,Fett,المتن
Bold italic,,,إيطالي قديم
Book%d.%s,Classeur %d.%s,Buch%d.%s,%d. %s
Bool,Booléen,Boolsch,المتن
Boolean,Booléen,Wahrheitswert,منطقي
Border,Encadrement,Rand,حد:
Borders,Encadrements,Ränder,حد:
Bottom,Bas,Unten,الأسفل:
Bottom margin:,Marge inférieure :,Unterer Rand:,تحديد طبقة القاع
Bricks,Briques,Backsteine,برنيك
Broken function,Fonction défectueuse,Fehlerhafte Funktion,وصلة مكسورة
Browse to Gnumeric's website,Navigue vers la page Web de Gnumeric,Die Gnumeric-Internetseite anzeigen,تصفح الويب
Browse to the specified URL,Naviguer jusqu'à l'URL spécifiée,Zur angegebenen Adresse gehen,%s: لم يحدد مُرِحّب.
Bruno Unna,Bruno Unna,Bruno Unna,اسم الفرشاة
Button,Bouton,Knopf,زر
Button Properties,Propriétés du bouton poussoir,Knopf-Eigenschaften,خصائص
By,Par,Durch,المتن
By Row,,,صف
By Value,Par valeur,Nach Wert,القيمة:
CORBA Interface,,,الواجهة
CSV,CSV,CSV,HSV
Calculated cutoffs,Limites calculées,Berechnete Unterbrechung,احسب النتيحة
Cancel,Annuler,Abbrechen,إلغي
Categories,Catégories,Kategorien,الصنف:
Category:,Catégorie :,Kategorie:,الصنف:
Cells...,Cellules...,Zellen …,المستويات...
Center,Centré,Zentrieren,المركز
Chart...,Diagramme...,Diagramm …,كروم...
Clear,Effacer,Leeren,مسح
Clear output range,Effacer la plage de sortie,Ausgabebereich leeren,إمسح نافذة الخَرْج
Colon (:),Deux points (:),Doppelpunkt (:),نقطتان
Color:,Couleur :,Farbe:,اللون:
Column,Colonne,Spalte,العمود
Column major,Colonne principale,Spaltenweise,عمود لاحق
Columns,Colonnes,Spalten,الأعمدة
Command:,Commande :,Befehl:,الأمر:
Copy labels,Copier les étiquettes,Beschriftungen kopieren,للعلامة
Cumulative answers,Réponses cumulatives,Gesammelte Antworten,نسبة الشحن
Custom,Personnalisé,Benutzerdefiniert,مخصص:
Cutoffs,Limites,Unterbrechungen,مخصص:
Calculate residuals,Calculer les résidus,Reste berechnen,احسب النتيحة
Calculation,Calcul,Berechnung,آلة حاسبة
Can't open '%s' for writing,Impossible d'ouvrir « %s » en écriture,»%s« konnte nicht zum Schreiben geöffnet werden,لا يمكن فتح %s للكتابة
Can't open '%s' for writing: %s,Impossible d'ouvrir « %s » en écriture : %s,»%s« konnte nicht zum Schreiben geöffnet werden: %s,لا يمكن فتح %s للكتابة
Cancel change,Annuler le changement,Änderungen verwerfen,إلغاء تغيير المجموعة؟
Cancelled,Annulé,Abgebrochen,إلغي
Cannot allocate memory for field definitions.,Impossible d'allouer de la mémoire pour les définitions de champs.,Für Felddefinitionen konnte kein Speicher reserviert werden.,لم يمكن تحديد ذاكرة للواجهة
Cannot create file %s,,,تعذر ايجاد الملف %s
Cannot create new Python interpreter.,Impossible de créer un nouvel interpréteur python.,Neuer Python-Interpreter konnte nicht erstellt werden.,تعذر إنشاء ملاحظة جديدة
Cannot get default sheet.,Impossible d'ouvrir la feuille par défaut.,Das Vorgabeblatt ist nicht verfügbar.,يحدد السِمة الإفتراضية
Cannot parse export options.,Interprétation des options d'exportation impossible.,Exportoptionen können nicht verarbeitet werden.,إختر كلمة سر للحلقة الإفتراضية
Cannot read UI description from XML file %s: %s,,,فشلت قراءة البيانات من الملف
Capitalize first letter of sentence,Première lettre des phrases en majuscules,Den ersten Buchstaben im Satz groß schreiben,كبّر أوّل حرف من كلّ كلمةٍ منتقاة
Case Sensitive,Sensible à la casse,Groß-/Kleinschreibung berücksichtigen,حساس لحالة الأحرف
Category range:,Intervalle de la catégorie :,Kategoriebereich:,الصنف:
Category:,Catégorie :,Kategorie:,الصنف:
Cauchy,Cauchy,Cauchy,مخزن:
Center,Centré,Zentrieren,وسط
Cell,Cellule,Zelle,خلية
Cell %s is not permitted to contain error values,La cellule %s ne peut pas contenir de valeurs d'erreur,Zelle %s darf keine Fehlerwerte enthalten,منع المستخدم %s من النفاذ الآن
Cell %s is not permitted to contain strings,La cellule %s ne peut pas contenir de chaîne,Zelle %s darf keine Zeichenketten enthalten,منع المستخدم %s من النفاذ الآن
Cell Comment,Commentaire de cellule,Zellkommentar,تعليقات الشفرة
Cell Markers,Marqueurs de cellule,Zellmarkierungen,فلطية البطارية
Cell Range,Plage de cellules,Zellbereich,فلطية البطارية
Censor column:,Colonne de censure :,Zensurspalte:,أعمدة مجموعة الإطارات
Center Vertically,,,غير عمودي أبدا
Center across selection,Centré au milieu de la sélection,Über der Markierung zentrieren,انتقاء التقويم
Center horizontally,Centre horizontalement,Horizontal zentrieren,غشاوة أفقية
Center horizontally across the selection,Centre horizontalement au milieu de la sélection,Innerhalb der Auswahl horizontal zentrieren,فيما اذا كان المشروع له اختيار
Central moving average,Moyenne centrale glissante,Zentraler gleitender Mittelwert,متوسط التغير
Change Gnumeric Preferences,Modifie les préférences de Gnumeric,Gnumeric-Einstellungen ändern,غيّر تفضيلاتك
Change Paper Type,Changer le type de papier,Papiertyp ändern,مجموعة التغييرات
Change Scope of Name %s,Changement de la portée du nom %s,Namensbereich von %s ändern,ترتيب أبناء %s
Change height of the selected rows,Change la hauteur des lignes sélectionnées,Höhe der markierten Zeilen ändern,غير خصائص المجلد المنتقى
Change the default column width,Change la largeur par défaut de la colonne,Die voreingestellte Spaltenbreite ändern,إجعل هذا حسابي الافتراضي
Change the default row height,Change la hauteur par défaut de la ligne,Die voreingestellte Zeilenhöhe ändern,ارتفاع نافِذة الرسائل الإفتراضي
Change the size of the current sheet,Modifie la taille de la feuille actuelle,Die Größe des aktuellen Blattes ändern,استبدل التحديد الحالي
Change widget,Évènement widget,Widget verändern,قطعة صورة
Change width of the selected columns,Change la largeur des colonnes sélectionnés,Breite der markierten Spalten ändern,غير خصائص المجلد المنتقى
Changing Cells:,En changeant les cellules :,Durch Ändern der Zellen:,القنوات
Changing Format,Changement de format,Format wird geändert,لايمكن التهيئة
Changing Hyperlink,Modification de l'hyperlien,Hyperlink wird geändert,وصله
Changing cells should be on the current sheet only.,Les cellules changeantes doivent uniquement être dans la feuille active.,Das Ändern von Zellen sollte ausschließlich auf dem momentan geöffneten Blatt stattfinden.,لا يمكن الاقتصاص لأن التحديد الحالي فارغ
Changing format of %s,Changement de format de %s,Format von %s wird geändert,التعديلات في الملف الشخصي %s
Changing hyperlink of %s,Modification de l'hyperlien de %s,Hyperlink von %s wird geändert,التعديلات في الملف الشخصي %s
Changing sheet order,Changement de l'ordre des feuilles,Ändern der Blattanordnung,غيٌر وضعية الإظهار
Changing sheet properties,Changement des propriétés de la feuille,Ändern der Blatteigenschaften,خصائص الاتصال
Changing sheet tab colors,Changement des couleurs des onglets de la feuille,Ändern der Blattregister-Farbe,لون القناة
Changing solver parameters,Changement des paramètres du solveur,Ändern der Parameter des Lösers,خصائص الاتصال
Changing workbook properties,Changement des propriétés du classeur,Eigenschaften des Arbeitsbuchs ändern,خصائص الرابط
Character encoding:,Codage des caractères :,Zeichenkodierung:,ترميز المحارف
Character set,,,المحرف:
Chart%d,Graphique%d,Diagramm%d,دردشة
Check this to apply the new size to all sheets in the workbook,Cocher cette case pour appliquer la nouvelle dimension à toutes les feuilles du classeur,"Überprüfe Sie dies, um es auf die neue Größe der Blätter des Arbeitsbuches anzuwenden",تغيير خواص هذا المجلّد
CheckBox %d,Case à cocher %d,Ankreuzfeld %d,مربعخيار
Checkbox,Case à cocher,Ankreuzfeld,إطار ضبط
