
%s (default),,,%s (مبدئيّ)
%s theme installed successfully,Le thème %s a été installé avec succès,Thema %s wurde erfolgreich installiert,تم تثبيت السِمة %s بنجاح
%s theme updated successfully,Le thème %s a été mis à jour avec succès,Thema %s wurde erfolgreich aktualisiert,تم تحديث السِمة %s بنجاح
(%s mode),(mode %s),,(وضع %s)
"Workspaces can be created on demand, and are automatically removed when empty.",,,يمكن إنشاء مساحات العمل حسب الحاجة، ثم إزالتهم عند خلوهم.
Workspaces on primary display only,,,مساحات العمل على الشاشة الرئيسية فقط
Workspaces span displays,,,مساحات العمل عبر الشاشات
Your session needs to be restarted for settings to take effect,Votre session doit être redémarrée pour que les paramètres prennent effet,"Die Sitzung muss neu gestartet werden, damit die Änderungen wirksam werden",يجب إعادة تشغيل الجلسة لتطبيق الإعدادات
About,,,عن
Add,Ajouter,Hinzufügen,أضف
Close,Fermer,Schließen,أغلق
Quit,,,أنهِ
Reset to Defaults,Réinitialiser aux valeurs par défaut,Auf Voreinstellungen zurücksetzen,استعد المبدئيات
org.gnome.tweaks,,,org.gnome.tweaks
running,lancé,läuft,يعمل
