
%s (on %s),%s (sur %s),%s (auf %s),%s (على %s)
Activate the window menu,Activer le menu fenêtre,Das Fenstermenü aktivieren,فعّل قائمة النافذة
"Raise window if covered, otherwise lower it","Mettre la fenêtre au premier plan si elle est cachée, sinon à l’arrière-plan","Fenster anheben, falls es verdeckt ist, andernfalls absenken",ارفع النافذة إذا كانت أخرى تغطيها، أو أخفضها في ما عدا ذلك
Replace the running window manager,Remplacer le gestionnaire de fenêtres en cours de fonctionnement,Den aktuellen Fensterverwalter ersetzen,استبدل بمدير النوافذ الذي يعمل
Resize window,Redimensionner la fenêtre,Fenstergröße ändern,حجّم النّافذة
Restore the keyboard shortcuts,Restaurer les raccourcis clavier,Die Tastenkombinationen wiederherstellen,استعد اختصارات لوحة المفاتيح
Restore window,Restaurer la fenêtre,Fenstergröße wiederherstellen,استعد النّافذة
Screen %d on display “%s” is invalid,L’écran %d sur l’affichage « %s » n’est pas valide,Bildschirm %d auf Anzeige »%s« ist ungültig,الشاشة %d على العرض ”%s“ غير صحيحة
Show on-screen help,Afficher l’aide à l’écran,Bildschirmhilfe anzeigen,اعرض المساعدة على الشاشة
Show the activities overview,,,أظهر نظرة عامة على الأنشطة
Show the run command prompt,Afficher la fenêtre pour lancer une commande,Den »Befehl ausführen«-Dialog anzeigen,أظهر محث تشغيل أمر
Specify session management ID,Indiquer l’ID de gestion de sessions,Kennung der Sitzungsverwaltung angeben,حدّد رقم هويّة إدارة الجلسة
Switch applications,Changer d’application,Anwendungen wechseln,تنقل بين التطبيقات
Switch directly to previous system control,Passer directement au contrôle système précédent,Direkt zur vorherigen Systemsteuerungen wechseln,انتقل مباشرة إلى تحكم النظام السابق
Switch directly to previous window,Passer directement à la fenêtre précédente,Direkt zum vorherigen Fenster wechseln,انتقل مباشرة إلى النافذة السابقة
Switch directly to previous window of an app,Passer directement à la fenêtre précédente d’une application,Direkt zum vorherigen Fenster einer Anwendung wechseln,انتقل مباشرة إلى نافذة التطبيق السابقة
Switch monitor,Changer de moniteur,Bildschirm wechseln,غيّر الشاشة
Switch monitor configurations,Changer de configuration de moniteur,Bildschirmkonfigurationen wechseln,غيّر الشاشة
Switch system controls,Changer les contrôles système,Systemsteuerungen umschalten,تنقل بين تحكمات النظام
Switch system controls directly,Changer les contrôles système directement,Systemsteuerungen sofort umschalten,تنقل مباشرة بين تحكمات النظام
Switch to VT 1,Passer à l’émulateur de terminal 1,Zum virtuellen Terminal 1 wechseln,انتقل إلى مساحة العمل 1
Switch to VT 10,Passer à l’émulateur de terminal 10,Zum virtuellen Terminal 10 wechseln,انتقل إلى مساحة العمل 10
Switch to VT 11,Passer à l’émulateur de terminal 11,Zum virtuellen Terminal 11 wechseln,انتقل إلى مساحة العمل 11
Switch to VT 12,Passer à l’émulateur de terminal 12,Zum virtuellen Terminal 12 wechseln,انتقل إلى مساحة العمل 12
Switch to VT 2,Passer à l’émulateur de terminal 2,Zum virtuellen Terminal 2 wechseln,انتقل إلى مساحة العمل 2
Switch to VT 3,Passer à l’émulateur de terminal 3,Zum virtuellen Terminal 3 wechseln,انتقل إلى مساحة العمل 3
Switch to VT 4,Passer à l’émulateur de terminal 4,Zum virtuellen Terminal 4 wechseln,انتقل إلى مساحة العمل 4
Switch to VT 5,Passer à l’émulateur de terminal 5,Zum virtuellen Terminal 5 wechseln,انتقل إلى مساحة العمل 5
Switch to VT 6,Passer à l’émulateur de terminal 6,Zum virtuellen Terminal 6 wechseln,انتقل إلى مساحة العمل 6
Switch to VT 7,Passer à l’émulateur de terminal 7,Zum virtuellen Terminal 7 wechseln,انتقل إلى مساحة العمل 7
Switch to VT 8,Passer à l’émulateur de terminal 8,Zum virtuellen Terminal 8 wechseln,انتقل إلى مساحة العمل 8
Switch to VT 9,Passer à l’émulateur de terminal 9,Zum virtuellen Terminal 9 wechseln,انتقل إلى مساحة العمل 9
Switch to last workspace,Passer au dernier espace de travail,Zur letzten Arbeitsfläche wechseln,انتقل إلى مساحة العمل الأخيرة
Switch to previous application,Passer à l’application précédente,Zur vorherigen Anwendung wechseln,انتقل إلى التطبيق السابق
Switch to previous system control,Passer au contrôle système précédent,Zur vorherigen Systemsteuerungen wechseln,انتقل إلى تحكم النظام السابق
Switch to previous window,Passer à la fenêtre précédente,Zum vorherigen Fenster wechseln,انتقل إلى النافذة السابقة
Switch to previous window of an application,Passer à la fenêtre précédente d’une application,Zum vorherigen Fenster einer Anwendung wechseln,انتقل إلى نافذة التطبيق السابقة
Switch to workspace 1,Passer à l’espace de travail 1,Zur Arbeitsfläche 1 wechseln,انتقل إلى مساحة العمل 1
Switch to workspace 2,Passer à l’espace de travail 2,Zur Arbeitsfläche 2 wechseln,انتقل إلى مساحة العمل 2
Switch to workspace 3,Passer à l’espace de travail 3,Zur Arbeitsfläche 3 wechseln,انتقل إلى مساحة العمل 3
Switch to workspace 4,Passer à l’espace de travail 4,Zur Arbeitsfläche 4 wechseln,انتقل إلى مساحة العمل 4
Switch windows,Changer de fenêtre,Fenster wechseln,تنقل بين النوافذ
Switch windows directly,Changer de fenêtre directement,Fenster sofort wechseln,تنقل مباشرة بين النوافذ
Switch windows of an app directly,Changer de fenêtre d’une application directement,Sofort zwischen den Fenstern einer Anwendung wechseln,تنقل مباشرة بين نوافذ التطبيق
Switch windows of an application,Changer de fenêtre d’une application,Zwischen den Fenstern einer Anwendung wechseln,تنقل بين نوافذ التطبيق
System,Système,System,النظام
These windows do not support “save current setup” and will have to be restarted manually next time you log in.,,,هذه النوافذ لا تدعم ” الضبط الحالي&quot; إعادة تشغيلها يدويا عند الولوج المرة القادمة.
Toggle fullscreen mode,Basculer le mode plein écran,Vollbildmodus ein-/ausschalten,بدّل نمط ملء الشاشة
Toggle maximization state,Basculer l’état d’agrandissement,Maximierungszustand ein-/ausschalten,بدّل حالة التكبير
Toggle window on all workspaces or one,"Placer la fenêtre sur tous les espaces de travail, ou sur un seul","Festlegen, ob das Fenster auf allen Arbeitsflächen sichtbar ist oder nur auf einer",بدّل حالة ظهور النافذة على جميع مساحات العمل أو واحدة منها
Unknown,Inconnu,Unbekannt,غير معروفة
Unknown Display,Affichage inconnu,Unbekannte Anzeige,شاشة غير معروفة
View split on left,Vue divisée sur la gauche,Ansicht links teilen,المنظور مقسوم على اليمين
View split on right,Vue divisée sur la droite,Ansicht rechts teilen,المنظور مقسوم على اليسار
Windows,Fenêtres,Fenster,النوافذ
Workspace %d,Espace de travail %d,Arbeitsfläche %d,مساحة العمل %d
X Display to use,Affichage X à utiliser,Zu verwendende X-Anzeige,معراض س الذي سيستعمل
You may choose to wait a short while for it to continue or force the application to quit entirely.,,,ربما ترغب في الانتظار قليلا ليُكمِل أو إجبار التطبيق على الإنهاء كُلّية.
Force Quit,,,أجبر الإنهاء
Wait,,,انتظر
