"%s requires a password, but none is set.","%s exige un mot de passe, mais aucun n'est défini.","%s benötigt ein Passwort, dieses ist nicht gesetzt.",الموسيقى المشتركة '%s' تتطلب كلمة سر للإتصال
"Error reading from %s: unknown group ""%s""",Erreur lors de la lecture depuis %s : groupe « %s » inconnu,Fehler beim Lesen von %s: Unbekannte Gruppe »%s«,خطأ عند القراءة من الابن: %s.
"Error saving ""%s"":
%s.","Erreur lors de l'enregistrement de « %s » :
%s.","Fehler beim Speichern von »%s«:
%s.","فشل في قراءة ""%s"": %s"
Error setting custom spellchecker: %s,Erreur de paramétrage du vérificateur d'orthographe personnalisé : %s,Fehler beim Festlegen der benutzerdefinierten Rechtschreibprüfung: %s,خطأ ضبط القيمة: %s
Error setting spellchecker: %s,Erreur de paramétrage du vérificateur d'orthographe : %s,Fehler beim Einstellen der Rechtschreibprüfung: %s,خطأ ضبط القيمة: %s
Error starting URL: %s (Command was: %s),Erreur de lancement de l'URL : %s (la commande était : %s),Fehler beim Starten der URL: %s (Befehl war: %s),خطأ ضبط مفناح الإعداد %s:%s
Error starting external editor: %s,Erreur lors du démarrage de l'éditeur externe : %s,Fehler beim Aufruf des externen Editors: %s,%s: خطأ أثناء تشغيل المرحب على العرض %s
Error writing article to temporary file: %s,Erreur lors de l'écriture de l'article dans le fichier temporaire : %s,Fehler beim Schreiben des Artikels in temporäre Datei: %s,خطأ أثناء كتابة ملف البريد المؤقّت: %s
Error: Bad email address.,Erreur : mauvaise adresse électronique.,Fehlerhafte E-Mail-Adresse.,أدخل عنوان بريدك الالكتروني
Error: Message is empty.,Erreur : le message est vide.,FEHLER: Die Nachricht ist leer.,خطاء حجم الرسالة%d كبير جدا
Error: No Recipients.,Erreur : aucun destinataire.,FEHLER: Keine Empfänger angegeben.,اختر المستلمين
Error: No Subject specified.,Erreur : aucun sujet spécifié.,FEHLER: Kein Betreff angegeben.,%s: لم يحدد مُرِحّب.
Expand threads upon selection,Déplier les fils sélectionnés,Stränge zur Auswahl ausklappen,ألفا إلى تحديد
From,De,Von,مِن
Fallback,Secondaire,Ausweichserver,اتصال معاكس
"File %s, Lines %d - %d","Fichier %s, lignes %d - %d","Datei %s, Zeilen %d - %d",فشل عند الرّسالة %d من أصل %d
File extension for Cached Articles:,,,حدد عنوان صندوق الحوار
Filename,Nom du fichier,Dateiname,/ملف
Filter,Filtre,Filter,فلاتر
Followup-To,Faire suivre à,Fortschrift in,متابعة
Followup to Newsgroup,Transmettre au groupe de discussion,Fortschrift in der Gruppe erstellen,مجموعات أخبار
Followup-To,Faire suivre à,Fortschrift in,متابعة
Fonts,Polices,Schriften,خطوط
From,De,Von,مِن
Groups,Groupes,Gruppen,المجموعات
Get Headers...,Récupérer les en-têtes...,Kopfzeilen herunterladen …,ترويسة عنوان ويب...
Get New Headers in Selected Groups,Récupérer les nouveaux en-têtes des groupes sélectionnés,Neue Kopfzeilen ausgewählter Gruppen herunterladen,أدلة جديدة من الاختيار
Get New Headers in Subscribed Groups,Récupérer les nouveaux en-têtes des groupes abonnés,Neue Kopfzeilen abonnierter Gruppen herunterladen,أدلة جديدة من الاختيار
Get New Headers in Selected Groups,Récupérer les nouveaux en-têtes des groupes sélectionnés,Neue Kopfzeilen ausgewählter Gruppen herunterladen,أدلة جديدة من الاختيار
Get Headers...,Récupérer les en-têtes...,Kopfzeilen herunterladen …,ترويسة عنوان ويب...
Get all headers,Récupérer tous les en-têtes,Alle Kopfzeilen herunterladen,اجلب كل الترويسات
Get new headers,Récupérer les nouveaux en-têtes,Neue Kopfzeilen herunterladen,احذف الترويسات
Get the latest N headers:,Récupérer les N derniers en-têtes :,Neueste Kopfzeilen herunterladen:,حدد ترويسة العمود
"Getting all headers for ""%s""",Récupération de tous les en-têtes pour « %s »,Alle Kopfzeilen für »%s« werden abgerufen,"يجري جلب معلومات كافّة المستخدمين على ""%s"""
"Getting group list from ""%s""",Récupération de la liste des groupes depuis « %s »,Gruppenliste des Servers »%s« wird heruntergeladen,استرجاع %s من %s
"Getting header counts for ""%s""",Récupération du nombre d'en-têtes pour « %s »,,"يجري جلب معلومات كافّة المستخدمين على ""%s"""
"Getting new headers for ""%s""",Récupération des nouveaux en-têtes pour « %s »,Neue Kopfzeilen für »%s« werden abgerufen,"خطأ تلقي قيمة جديدة لـ ""%s"": %s"
Go Back,Revenir,Zurückblättern,تراجُع إلى الخلف
Go Online,Se connecter,Online gehen,متصل
Greek,Grec,Griechisch,أخضر
Group,Groupes,Gruppe,المجموعات
Group (regex),Groupe (expression régulière),Gruppe (regex),اسم المجمعة:
Groups,Groupes,Gruppen,المجموعات
Header Pane,Panneau des en-têtes,Kopfzeilenliste,حشو الرأس
Header Pane Columns,Colonnes du panneau des en-têtes,Spalten der Kopfzeilenliste,عمود تسطير
Headers,En-têtes,Kopfzeilen,ترويسات
If the group name,,,اسم المجموعة
Ignore Author,Ignorer l'auteur,Autor ignorieren,تجاهل الكل
Import NZB Files,Importer des fichiers NZB,NZB-Dateien importieren,إستيراد ملف
Invalid email address.,Adresse de courriel non valide.,Ungültige E-Mail-Adresse.,عنوان غير صحيح.
Japanese,Japonais,Japanisch,ض-ي|ياباني
Jump to Body Tab,Aller à l'onglet du corps,Artikeltext-Reiter aufschlagen,أعد تحميل اللسان تلقائيا
Jump to Group Tab,Aller à l'onglet des groupes,Gruppen-Reiter aufschlagen,اقفز إلى الصفحة:
Jump to Header Tab,Aller à l'onglet des en-têtes,Kopfzeilen-Reiter aufschlagen,أعد تحميل اللسان تلقائيا
Korean,Coréen,Koreanisch,ض-ي|كوري
Language Settings,Réglages linguistique,Spracheinstellungen,الإعدادات
Layout,Agencement,Anordnung,تخطيط
Line Count,Nombre de lignes,Zeilenanzahl,تعليق عن السطر
Lines,Lignes,Zeilen,سطور
Loaded data backend in %.1f seconds,Moteur de données chargé en %.1f secondes,Daten-Backend wurde in %.1f Sekunden geladen,"حُمِّلت السِمة ""%s"" في %g ثواني"
Location,Emplacement,Ort,الموقع
Login (if Required),Identifiant (si requis),Anmelden (falls erforderlich),فشل الولوج
Mail To,Écrire à,Nachricht an,بريد
Mark Article as Unread,Marquer l'article comme non lu,Artikel als ungelesen markieren,علّم كغير مقروء
Mark Selected Groups Read,Marquer les groupes sélectionnés comme lus,Ausgewählte Gruppen als gelesen markieren,علّم المهام المنتقاة كمكتملة
Mark Thread as Unread,Marquer le fil comme non lu,Den aktuellen Diskussionsfaden als ungelesen markieren,علّم كغير مقروء
Match Only Cached Articles,Afficher seulement les articles mis en cache,Nur zwischengespeicherte Artikel treffen,خصائص القيم الرياضية
Match Only Complete Articles,Afficher seulement les articles complets,Nur vollständige Artikel treffen,خصائص القيم الرياضية
Match Only My Articles,Afficher seulement mes articles,Nur eigene Artikel treffen,خصائص القيم الرياضية
Match Only Unread Articles,Afficher seulement les articles non lus,Nur neue Artikel treffen,خصائص القيم الرياضية
Match Only Watched Articles,Afficher seulement les articles surveillés,Nur überwachte Artikel treffen,خصائص القيم الرياضية
Match Only Complete Articles,Afficher seulement les articles complets,Nur vollständige Artikel treffen,خصائص القيم الرياضية
Message,Message,Nachricht,رسائل
Message-ID,ID du message,Nachrichtenkennung,رسائل
Message-ID Domain Name:,Nom de domaine de l'ID de message :,Domain für Nachrichtenkennungen:,اسم النطاق:
Minutes to autosave the current Article Draft:,Minutes avant l'enregistrement automatique du brouillon de l'article actuel :,Minuten zum automatischen Speichern des aktuellen Artikelentwurfs:,افتح ملف
Monospace font:,Police à largeur fixe :,Dicktengleiche Schrift:,خط ثابت العرض
More Headers,En-têtes supplémentaires,Weitere Kopfzeilen,ترويسات حية
Mouse,Souris,Maus,الفأرة
Mute Quoted Text,Cacher le texte cité,Zitierten Text ausblenden,أصمت عند الخروج
NZB Files,Fichiers NZB,NZB-Dateien,احفظ ملف
Name,Nom,Name,الإسم
Never Expire Old Articles,Ne jamais expirer les anciens articles,Immer gültig,لا ينتهي
New Article's Content Transfer Encoding:,Codage du transfert du contenu des nouveaux articles :,Übertragungs-Zeichenkodierung des neuen Artikels:,اضبط ترميز المحارف
New Article's Encoding:,Codage des nouveaux articles :,Kodierung des neuen Artikels:,اضبط ترميز المحارف
New Articles!,Nouveaux articles !,Neue Artikel!,تدوير النص...
New Profile,Nouveau profil,Neues Profil,طور جديد
New Score,Nouvelle note,Neue Wertung,نيويورك
New Scoring Rule,Nouvelle règle de notation,Neue Wertung,مستوى التسجيل
Newsgroups,Groupe de discussion,Gruppen,مجموعات أخبار
Next Article,Article suivant,Nächster Artikel,تدوير النص...
Next Thread,Fil de discussion suivant,Nächster Strang,النّقاش التالي
Next Unread Article,Article non lu suivant,Nächster ungelesener Artikel,الرّسالة غير المقروءة التالية
Next Unread Thread,Fil de discussion non lu suivant,Nächster ungelesener Strang,الرّسالة غير المقروءة التالية
Next Unread Thread,Fil de discussion non lu suivant,Nächster ungelesener Strang,النّقاش التالي
Next Article,Article suivant,Nächster Artikel,تدوير النص...
Next Group,Groupe suivant,Nächste Gruppe,مجموعة جديدة
Next Unread Article,Article non lu suivant,Nächster ungelesener Artikel,الرّسالة غير المقروءة التالية
Next Unread Group,Lire le groupe non lu suivant,Nächste ungelesene Gruppe,الرّسالة غير المقروءة التالية
No Connections,Aucune connexion,Keine Verbindungen,إتّصالات VPN
No Tasks,Aucune tâche,Keine Aufgaben,مهام
None of these tests pass:,Aucun de ces tests ne réussit :,Keiner dieser Tests war erfolgreich:,اسم الصنف
Offline,Hors ligne,Offline,غير متّصلل
"On %d, %n wrote:","Le %d, %n a écrit :",Am %d schrieb %n:,ملاحظة واحدة
Open Draft Article,Ouvrir un brouillon d'article,Artikelentwurf öffnen,افتح ملف
Open an Article Draft,Ouvrir le brouillon d'un article,Artikelentwurf öffnen,افتح ملف
Open the Event Log,Ouvrir le journal d'événements,Statusprotokoll öffnen,افتح المجلد الأب
Open the Task Manager,Ouvrir le gestionnaire de tâches,Aufgabenplaner öffnen,يفتح مدير الأدوات الخارجية
Optional Information,Informations facultatives,Optionale Informationen,معلومات اختيارية:
Other Groups,Autres groupes,Andere Gruppen,تحرير المجموعات
PGP Signature,Signature PGP,PGP-Signatur,توقيعات
Pan,Pan,Pan,خطّة
Pan %s started,Pan %s démarré,Pan %s gestartet,أضيفت لوحة المهام '%s'
Pan Newsreader,Lecteur de nouvelles Pan,Pan Newsreader,تعلم القراءة
Pan is Offline.,Pan est hors ligne.,Pan ist offline.,غير متّصلل
Pan: Article's Scores,Pan : notes des articles,Pan: Artikelwertungen,نتائج نيبلس
Pan: Events,Pan : événements,Pan: Aufgaben,أحداث
Pan: Group Preferences,Pan : préférences du groupe,Pan: Gruppeneinstellungen,تفضيلات إيغنو
Pan: Preferences,Pan : préférences,Pan: Einstellungen,تفضيلات إيغنو
Pan: Save Articles,Pan : enregistrer les articles,Pan: Artikel speichern,احفظ الملف كـ
Pan: Save Attachments,Pan : enregistrer les pièces jointes,Pan: Artikelanlagen speichern,احفظ المرفقات
Pan: Tasks,Pan : tâches,Pan: Aufgabenplaner,اطبع المهام
Pane Layout,Agencement des panneaux,Layout,مخطط القائمة
Please specify the server's address.,Veuillez spécifier l'adresse du serveur.,Bitte geben Sie die Serveradresse an.,رجاء اختر خادماً.
Port:,Port :,Port:,منفد:
Post Anyway,,,حرّر على أي حال
Post Article,Poster l'article,Artikel veröffentlichen,غير حرِج
Post to Newsgroup,Poster dans le groupe de discussion,Eine neue Nachricht in die Gruppe schreiben,مجموعات أخبار
"Posting ""%s""",Postage de « %s »,»%s« wird veröffentlicht,"الخيار ""%s"""
Posting Profile,Profil de postage,Profil,تحرير ملف شخصي
Posting Profiles,Profils de postage,Profile,فشل النشر: %s
Posting profile:,Profil de postage :,Profil:,تحرير الملف الشخصي:
"Posting of ""%s"" failed: %s",Échec du postage de « %s » : %s,Veröffentlichung von »%s« ist gescheitert: %s,فشل النشر: %s
Posting of File %s (Part %d of %d) failed: %s,,,فشل النشر: %s
Posting of file %s succesful: %s,,,فشل النشر: %s
Previous Article,Article précédent,Vorheriger Artikel,المقطوعة السابقة
Preferred Applications,Applications préférées,Bevorzugte Anwendungen,التطبيقات المفضّلة
Previous Thread,Fil de discussion précédent,Vorheriger Strang,المقطوعة السابقة
Primary,Principal,Primär,أوّلي
Profile Information,Informations du profil,Profil-Informationen,معلومات الملف
Profiles,Profils,Profile,ملفات التعريف
Properties for %s,Propriétés pour %s,Eigenschaften von %s,خصائص
Properties for Groups,Propriétés pour les groupes,Eigenschaften für Gruppen,خصائص
Queued,En attente,In der Warteschlange,طابور
Quoted text:,Texte cité :,,مقتبس
Quoted-Printable Encoding,Codage « quoted-printable »,Quoted-Printable Kodierung,اللوحة السفلية
Read Article,Lire l'article,Artikel lesen,تعلم القراءة
Read Back,Lire en arrière,Zurückblättern,رد أوك
Read Group,Lire le groupe,Gruppe lesen,اضف مجموعة
Read More,Lire la suite,Weiterlesen,أحمر أو تدرج
Read Back,Lire en arrière,Zurückblättern,رد أوك
Read More,Lire la suite,Weiterlesen,أحمر أو تدرج
Reading %s,Lecture de %s,%s wird gelesen,جاري القراءة من %s
"Really delete ""%s""?",Vraiment supprimer « %s » ?,Wollen Sie »%s« wirklich löschen?,"أتريد حقاً حذف الملف ""%s""؟"
"Really delete certificate for ""%s""?",Voulez-vous vraiment effacer le certificat pour « %s »?,Möchten Sie wirklich das Zertifikat für »%s« löschen?,"أتريد حقاً حذف الملف ""%s""؟"
References,Références,Bezugsartikel,تفضيلات
Refresh Group List,Actualiser la liste des groupes,Gruppenliste erneuern,حدِّث القائمة
Remember Character Encoding for this Group,,,تذكّر كلمة سر هذه الجلسة
Remove Certificate,Supprimer le certificat,Zertifikat entfernen,احذف الخادم
Remove a Server,Supprimer un serveur,Einen Server entfernen,احذف الخادم
Remove from Queue,Enlever de la liste d'attente,Aus der Warteschlange entfernen,احذف الخادم
Remove the Selected Scoring Rule,Supprimer la règle de notation sélectionnée,Die ausgewählte Wertung entfernen,احذف شريط الأدوات المحدد
Removing,Suppression en cours,Es wird entfernt,يجري حذف:
Reply-To,Répondre à,Mailantwort an,رُد إلى
Required Information,Informations requises,Benötigte Informationen,معلومات مطلوبة
Restart Task,Redémarrer la tâche,Aufgabe neu starten,ريسيا الممر
Restart Tasks,Redémarrer les tâches,Aufgaben neu starten,ريسيا الممر
Revise and send this article to replace the old one.,Réviser cet article et le renvoyer pour remplacer l'ancien.,"Diesen Artikel revidieren und versenden, um die vorherige Version zu ersetzen.",الإسم الجديد مساو للاسم القديم.
Rot13 Selected Text,Appliquer rot13 au texte sélectionné,Rot13 auf Textauswahl anwenden,ابحث عن النص المنتقى
Run Editor,Lancer l'éditeur,Editor starten,محرر القوائم
Run Editor,Lancer l'éditeur,Editor starten,محرر القوائم
Running,Exécution en cours,Läuft,يجري تشغيل...
Save Draft,Enregistrer le brouillon,Entwurf speichern,احفظ مسودّة
"Sampling headers for ""%s""",Échantillonnage des en-têtes pour « %s »,Kopfzeilen für »%s« werden probeweise abgerufen,"مسح الرسائل في ""%s"""
Save Articles,Enregistrer les articles,Artikel speichern,احفظ ملف
Save Articles from Selected NZB,Enregistrer les articles du NZB sélectionné,Artikel des ausgewählten NZB speichern,حفظ إلى ملف
Save Articles from Selected NZB...,Enregistrer les articles du NZB sélectionné...,Artikel des ausgewählten NZB speichern …,حفظ إلى ملف
Save Articles to an NZB File,Enregistrer les articles dans un fichier NZB,Artikel in eine NZB-Datei speichern,حفظ إلى ملف
Save Articles to an NZB File...,Enregistrer les articles dans un fichier NZB...,Artikel in eine NZB-Datei speichern …,حفظ إلى ملف
Save Articles...,Enregistrer les articles...,Artikel speichern …,حفظ إلى ملف
Save Draft Article,Enregistrer un brouillon d'article,Artikelentwurf speichern,احفظ مسودّة
Save Event List,Enregistrer la liste des événements,Aufgabenliste speichern,احفظ التفاصيل
Save NZB File as...,Sauvegarder les fichiers NZB sous...,NZB-Datei speichern unter …,احفظ ملف
Save NZB's Files,Enregistrer les fichiers NZB,NZB-Dateien speichern,احفظ ملف
Save all attachments,,,احفظ المرفقات
Save attachment as ....,,,احفظ المرفقات
Save attachments,Enregistrer les pièces jointes,Artikelanlagen speichern,احفظ المرفقات
Save attachments and text,Enregistrer les pièces jointes et le texte,Anlagen und Text speichern,احفظ المرفقات
Save text,Enregistrer le texte,Artikeltext speichern,نص مُوقّع
"Saved ""%s""",« %s » enregistré,»%s« wurde gespeichert,احفظ باسم
Saving %s,Enregistrement de %s,%s wird gespeichert,حفظ %s
Score,Note,Wertung,النّتيجة:
Select Article Body,Sélectionner le corps de l'article,Artikeltext auswählen,انتقاء هذا اليوم
Select Needed Parts,Sélectionner les parties nécessaires,Benötigte Teile auswählen,اختر كل الملفات
Select Parts,Sélectionner les parties,Teile auswählen,اختر كل الملفات
Select All Articles,Sélectionner tous les articles,Alle Artikel auswählen,اختر كل الملفات
Send Article Now,Envoyer l'article immédiatement,Artikel jetzt senden,أرسل تنبيه
Send and Save Articles to NZB,Envoyer et enregistrer les articles vers NZB,Artikel senden und in NZB speichern,احفظ الملف كـ
"Sending ""%s"" to %s returned an error: %s",L'envoi de « %s » à %s a renvoyé une erreur : %s,Das Versenden von »%s« an %s ergab einen Fehler: %s,ضبط %s لـ %s إلى %s
Server Rank:,Rang du serveur :,Server-Wertung:,الخادم:
Servers,Serveurs,Server,الخوادم
Set Character Encoding...,Définir le codage des caractères...,Zeichenkodierung festlegen …,اضبط ترميز المحارف
Set Content Transfer Encoding...,Définir le codage du transfert des contenus...,Zeichenkodierung für die Übertragung festlegen …,اضبط ترميز المحارف
Set Editor,Définir l'éditeur,Editor festlegen,محرر التحديد
Set Focus to Images,Mettre le focus sur les images,Fokus auf Bilder setzen,اختر صورة الشعار
Settings,Paramètres,Einstellungen,الإعدادات
Show Article Information,Afficher les informations de l'article,Artikel-Informationen anzeigen,اعرض معلومات الصورة
Show Body Pane,Afficher le panneau du corps,Artikeltext anzeigen,اعرض الشريط الجانبي
Show Group Pane,Afficher le panneau des groupes,Gruppenliste anzeigen,اعرض الشريط الجانبي
Show Header Pane,Afficher le panneau des en-têtes,Kopfzeilenliste anzeigen,اعرض الشريط الجانبي
Show Matching Articles,Afficher les articles correspondants,Zutreffende Artikel anzeigen,بمطابقة الفنان
Show Smilies as Graphics,Afficher les frimousses comme des graphismes,Smilies als Grafiken anzeigen,لا تعرض سوى قائمة المهام هذه
Show Toolbar,Afficher la barre d'outils,Werkzeugleiste anzeigen,أظهر شريط الأدوات
Show icons and text,Afficher les icônes et le texte,Text und Symbole anzeigen,احفظ المرفقات
Show notifications,Afficher les informations,Benachrichtigungen anzeigen,اعرض معلومات الصورة
