(Empty),(Vide),(Leer),(فارغة)
Basic,Général,Standard,الأساسي
"Before running Nemo, please create the following folder, or set permissions such that Nemo can create it.","Avant de lancer Nemo, veuillez créer ce dossier ou définir les permissions de telle sorte que Nemo puisse le créer.","Bevor Sie Nemo benutzen, erstellen Sie bitte folgenden Ordner oder erteilen Sie Nemo die Zugriffsrechte, diesen anzulegen.",قبل تشغيل Nemo، يرجى إنشاء المجلد التالي، أو تعيين أذونات بحيث يمكن لـNemo إنشائها.
Behavior,Comportement,Verhalten,السلوك
Binary,Binaire,Binär,الثنائي
Binary (long format),Binaire (format long),Binär (langes Format),ثنائي (تنسيق طويل)
Bookmark current location,Marquer l’emplacement en cours,Lesezeichen für den aktuellen Ort anlegen,علّم المكان الحاليّ
Bookmark for Nonexistent Location,Marque-page pour un emplacement inexistant,Lesezeichen für nicht existierenden Ort,إشارة مرجعية لموقع غير موجود
Bookmarks,Marque-pages,Lesezeichen,الإشارات المرجعية
Browse all local and remote disks and folders accessible from this computer,Parcourt tous les disques locaux et distants ainsi que les dossiers accessibles depuis cet ordinateur,"Alle lokalen und entfernten Laufwerke und Ordner durchsuchen, die von diesem Rechner aus erreichbar sind",تصفح جميع الأقراص والمجلدات المحلية والبعيدة الوصول إليها من هذا الكمبيوتر
Browse bookmarked and local network locations,Parcourir les emplacements en marque-page et du réseau local,Lokale und als Lesezeichen gespeicherte Orte durchsuchen,تصفح الإشارات المرجعية ومواقع الشبكة المحلية
Browse for a folder to copy the selection to,Rechercher un dossier pour copier la selection,Nach einem Zielordner zum Kopieren der Auswahl suchen,استعرض بحثاً عن مجلد لنسخ التحديد إليه
Browse for a folder to move the selection to,Rechercher un dossier pour déplacer la selection,Nach einem Zielordner zum Verschieben der Auswahl suchen,استعرض بحثاً عن مجلد لنقل التحديد إليه
Browse the contents of the network,Parcourt le contenu du réseau,Inhalt des Netzwerks durchsuchen,تصفح محتويات الشبكة
Browse the file system with the file manager,Parcourir le système de fichiers avec le gestionnaire de fichiers,Das Dateisystem mit Hilfe der Dateiverwaltung durchsuchen,تصفح نظام الملفات مع مدير الملفات
Browse...,Parcourir…,Durchsuchen …,تصفَّح...
By Access Date,Par date d'accès,nach Zugriffsdatum,حسب تاريخ الوصول
By Detailed Type,Par catégories détaillées,nach datailliertem Dateityp,حسب النوع التفصيلي
By Modification Date,Par date de modification,nach Änderungsdatum,حسب تاريخ التعديل
By Modification Date,Par date de modification,Nach Änderungsdatum,حسب تاريخ التعديل
By Name,Par nom,nach Namen,حسب الاسم
By Size,Par taille,nach Größe,حسب الحجم
By Trash Time,Par date de mise à la corbeille,Nach Löschdatum,حسب وقت سلة المهملات
By Trashed Date,Par date de mise à la corbeille,nach Löschdatum,حسب تاريخ التمزيق
By Type,Par type,nach Typ,حسب النوع
By Detailed Type,Par catégories détaillées,Nach detailliertem Dateityp,حسب النوع المفصل
By Name,Par nom,Nach Name,حسب الاسم
By Size,Par taille,Nach Größe,حسب الحجم
By Type,Par type,Nach Typ,حسب النوع
Bypass the Trash when the Delete key is pressed,Ignorer la corbeille quand la touche Supprimer est pressée,"Den Papierkorb umgehen, wenn die Entfernentaste gedrückt wird",تجاوز سلة المهملات عند الضغط على مفتاح Delete
Connect,Se connecter,Verbinden,إتصال
Calendar,Calendrier,Kalender,التقويم
Camera Brand,Marque de l'appareil photo,Marke der Kamera,ماركة الكاميرا
Camera Model,Modèle de l'appareil photo,Modell der Kamera,طراز الكاميرا
"Can't load the supported server method list.
Please check your gvfs installation.","Impossible de charger la liste des méthodes prises en charge par le serveur.
Veuillez vérifier votre installation de gvfs.","Die Liste der unterstützten Servermethoden kann nicht geladen werden.
Bitte überprüfen Sie Ihre gvfs-Installation.","لا يمكن تحميل قائمة طريقة الخادم المعتمدة.
يرجى التحقق من تثبيت gvfs."
Cancel,Annuler,Abbrechen,إلغاء
Cancel Group Change?,Annuler le changement de groupe ?,Gruppenwechsel abbrechen?,إلغاء تغيير المجموعة؟
Cancel Owner Change?,Annuler le changement de propriétaire ?,Besitzerwechsel abbrechen?,إلغاء تغيير المالك؟
Cannot find the autorun program,Impossible de trouver le programme de lancement automatique,Das automatisch zu startende Programm konnte nicht gefunden werden,لا يمكن العثور على برنامج التشغيل التلقائي
"Cannot move file to trash, do you want to delete immediately?","Impossible de mettre le fichier dans la corbeille, voulez-vous le supprimer immédiatement ?",Die Datei konnte nicht in den Papierkorb verschoben werden. Soll sie unwiderruflich gelöscht werden?,لا يمكن نقل الملف إلى سلة المهملات، هل تريد حذفه على الفور؟
Case sensitive,Respecter la casse,Groß-/Kleinschreibung,حسّاس لحالة الأحرف
Change Desktop Background,Modifier l'arrière-plan du bureau,Hintergrund des Schreibtisches ändern,تغيير خلفية سطح المكتب
Change the Cinnamon desktop background,Changer le fond d'écran de Cinnamon,Cinnamons Schreibtischhintergrund ändern,تغيير خلفية سطح مكتب Cinnamon
Change the default visibility of the menubar,Changer la visibilité par défaut de la barre des menus,Die Standardsichtbarkeit der Menüleiste ändern,تغيير الرؤية الافتراضية لشريط القوائم
Change the visibility of this window's main toolbar,Modifie la visibilité de la barre d'outils principale de la fenêtre,Die Sichtbarkeit der Hauptwerkzeugleiste dieses Fensters ändern,تغيير الرؤية لشريط الأدوات الرئيسي لهذه النافذة
Change the visibility of this window's side pane,Modifie la visibilité du panneau latéral de la fenêtre,Die Sichtbarkeit der Seitenleiste dieses Fensters ändern,تغيير رؤية الجزء الجانبي لهذه النافذة
Change the visibility of this window's statusbar,Modifie la visibilité de la barre d'état de la fenêtre,Die Sichtbarkeit der Statusleiste dieses Fensters ändern,تغيير رؤية شريط الحالة لهذه النافذة
Check that the spelling is correct and that your proxy settings are correct.,Vérifiez que l'orthographe ainsi que vos paramètres de proxy sont corrects.,Rechtschreibung und Proxy-Einstellungen prüfen.,تحقق من صحة التدقيق الإملائي وأن إعدادات الخادم الوكيل لديك صحيحة.
Choose a program,Choisissez un programme,Ein Programm wählen,اختيار البرنامج
Choose a program with which to open the selected item,Choisir une application pour ouvrir l'élément sélectionné,"Ein Programm auswählen, mit dem das gewählte Objekt geöffnet werden soll.",اختيار برنامج لفتح العنصر المحدد
Choose another application with which to open the selected item,Choisit une autre application pour ouvrir l'élément sélectionné,"Eine andere Anwendung auswählen, mit der das gewählte Objekt geöffnet werden soll",اختيار تطبيق آخر لفتح العنصر المحدد
Choose the order of information to appear beneath icon names. More information will appear when zooming in closer.,"Choisissez l'ordre des informations à afficher sous le nom des icônes. Plus vous zoomez en avant, plus les informations sont nombreuses.","Legen Sie die Reihenfolge fest, in der Informationen unterhalb der Symbolnamen angezeigt werden sollen. Je mehr Sie die Ansicht vergrößern, desto mehr Informationen werden angezeigt.",اختيار ترتيب المعلومات لتظهر أسفل أسماء الأيقونات. سوف تظهر المزيد من المعلومات عند التقريب.
Choose the order of information to appear in the list view.,Choisissez l'ordre des informations apparaissant dans la vue en liste.,"Die Reihenfolge festlegen, in welcher, in der Listenansicht, Informationen angezeigt werden sollen.",اختيار ترتيب المعلومات لتظهر في عرض القائمة.
Click on a file's name twice to rename it,Cliquer sur le nom d'un fichier deux fois pour le renommer,"Auf einen Dateinamen zweimal klicken, um Datei umzubenennen",انقر على اسم الملف مرتين لإعادة تسميته
Close,Fermer,Schließen,أغلق
Close All Windows,Fermer toutes les fenêtres,Alle Fenster schließen,إغلاق كل النوافذ
Close all Navigation windows,Ferme toutes les fenêtres de navigation,Alle Navigationsfenster schließen,إغلاق كل نوافذ التنقل
Close all windows,Fermer toutes les fenêtres,Alle Fenster schließen,أغلق كل النوافذ
Close tab,Fermer l'onglet,Reiter schließen,إغلاق علامة التبويب
Close this folder,Ferme ce dossier,Diesen Ordner schließen,إغلاق هذا المجلد
Close window or tab,Fermer la fenêtre ou l’onglet,Reiter oder Fenster schließen,أغلق النافذة أو اللسان
Command,Commande,Befehl,الأمر
Command to invoke when renaming multiple items:,Commande à invoquer pour renommer plusieurs fichiers :,"Befehl, der beim Umbenennen mehrerer Elemente ausgeführt wird:",أمر للاستدعاء عند إعادة تسمية عناصر متعددة:
Comment,Commentaire,Bemerkung,التعليق
Compact,Compact,Kompakt,المحكم
Compact View,Vue compacte,Kompaktansicht,العرض المدمج
Computer,Poste de travail,Rechner,الكمبيوتر
Configure,Configurer,Konfigurieren,التكوين
Connect To This Server,Se connecter à ce serveur,Mit diesem Server verbinden,الإتصال بهذا الخادم
Connect to Server,Se connecter au serveur,Mit Server verbinden,الإتصال بالخادم
Connect to Server %s,Connexion au serveur %s,Mit Server %s verbinden,الإتصال بالخادم %s
Connect to Server...,Se connecter au serveur…,Mit Server verbinden …,الإتصل بالخادم...
Connect to a remote computer or shared disk,Se connecter à un ordinateur distant ou à un disque partagé,Verbinden mit einem entfernten Rechner oder freigegebenen Datenträger,الإتصال بجهاز كمبيوتر بعيد أو قرص مشترك
Connect to the drive associated with the open folder,Se connecte au volume associé au dossier ouvert,Verbinden mit dem zum geöffneten Ordner gehörenden Laufwerk,الإتصال بمحرك الأقراص المقترن بالمجلد المفتوح
Connect to the selected drive,Se connecte au volume sélectionné,Mit gewähltem Laufwerk verbinden,الإتصال بمحرك الأقراص المحدد
Connecting...,Connexion…,Verbindungsaufbau …,جاري التوصيل...
Contacts,Contacts,Kontakte,جهات الاتصال
Contains: %s,Contient : %s,Enthält: %s,يتضمن: %s
Content View,Vue du contenu,Inhaltsansicht,عرض المحتوى
Contents:,Contenus :,Inhalte:,المحتويات:
Continue,Continuer,Fortsetzen,متابعة
Copy to,Copier vers,Kopieren nach,نسخ إلى
Copy,Copier,Kopieren,نسخ
Copy '%s' to '%s',Copier « %s » vers « %s »,»%s« nach »%s« kopieren,نسخ '%s' إلى '%s'
Copy Anyway,Copier quand même,Trotzdem kopieren,نسخ على أي حال
Copy the current selection to the desktop,Copie la sélection actuelle vers le bureau,Die aktuelle Auswahl auf den Schreibtisch kopieren,نسخ التحديد الحالي إلى سطح المكتب
Copy the current selection to the home folder,Copie la sélection actuelle vers le dossier personnel,Die aktuelle Auswahl in den persönlichen Ordner kopieren,نسخ التحديد الحالي إلى المجلد الرئيسي
Copy the current selection to the other pane in the window,Copie la sélection actuelle vers l'autre panneau de cette fenêtre,Die aktuelle Auswahl in die andere Leiste dieses Fensters kopieren,نسخ التحديد الحالي إلى جزء آخر في النافذة
Copy the selected text to the clipboard,Copie le texte sélectionné dans le presse-papiers,Den markierten Text in die Zwischenablage kopieren,نسخ النص المحدد إلى الحافظة
"Copying ""%B"" to ""%B""",Copie de « %B » vers « %B »,»%B« wird nach »%B« kopiert,"نسخ ""%B"" إلى ""%B"""
Copying Files,Copie des fichiers,Dateien werden kopiert,نسخ الملفات
"Copying file %'d of %'d (in ""%B"") to ""%B""",Copie du fichier %'d sur %'d (de « %B ») vers « %B »,Datei %'d von %'d (in »%B«) wird nach »%B« kopiert,"نسخ %'d ملف من %'d (في ""%B"") إلى ""%B"""
"Copying file %'d of %'d to ""%B""",Copie du fichier %'d sur %'d vers « %B »,Datei %'d von %'d wird nach »%B« kopiert,"نسخ %'d ملف من %'d إلى ""%B"""
Copyright,Copyright,Urheberrecht,حقوق النشر
"Could not determine original location of ""%s""",Impossible de déterminer l'emplacement d'origine de « %s »,Ursprünglicher Ort von »%s« konnte nicht ermittelt werden,"لا يمكن تحديد الموقع الأصلي لـ""%s"""
"Could not display ""%s"", because the host could not be found.","Impossible d'afficher « %s », car l'hôte n'a pas été trouvé.","»%s« konnte nicht angezeigt werden, da der Rechner nicht gefunden werden konnte.","لا يمكن عرض ""%s""، لأنه تعذر العثور على المضيف."
"Could not display ""%s"".",Impossible d'afficher « %s ».,»%s« konnte nicht angezeigt werden.,"لا يمكن عرض ""%s""."
"Could not find ""%s"".",Impossible de trouver « %s ».,»%s« konnte nicht gefunden werden.,"تعذر العثور على ""%s""."
Could not forget association,Impossible de défaire l'association,Verknüpfung konnte nicht aufgehoben werden,لا يمكن نسيان الأقتران
Could not remove files from the already existing folder %F.,Impossible de supprimer les fichiers du dossier préexistant « %F ».,Die Dateien aus dem bereits bestehenden Ordner %F konnten nicht entfernt werden.,لا يمكن إزالة الملفات من المجلد الموجود بالفعل %F.
Could not remove the already existing file %F.,Impossible de supprimer le fichier préexistant « %F ».,Die bereits bestehende Datei %F konnte nicht entfernt werden.,لا يمكن إزالة الملف الموجود بالفعل %F.
Could not remove the already existing file with the same name in %F.,Impossible de supprimer le fichier préexistant portant le même nom dans « %F ».,Die bereits in %F bestehende Datei mit dem selben Namen konnte nicht entfernt werden.,لا يمكن إزالة ملف موجود بالفعل بنفس الاسم في %F.
Could not remove the folder %B.,Impossible de supprimer le dossier %B.,Ordner »%B« konnte nicht entfernt werden.,لا يمكن إزالة المجلد %B.
Could not remove the source folder.,Impossible de supprimer le dossier source.,Der Quellordner konnte nicht entfernt werden.,لا يمكن إزالة المجلد المصدر.
Count number of items:,Afficher le nombre d'éléments :,Anzahl der Objekte anzeigen:,عدد العناصر:
Create New Document,Créer un nouveau document,Neues Dokument anlegen,إنشاء مستند جديد
Create New Folder,Créer un nouveau dossier,Neuen Ordner anlegen,إنشاء مجلد جديد
"Create a new document from template ""%s""",Créer un nouveau document à partir du modèle « %s »,Ein neues Dokument aus Vorlage »%s« anlegen,"إنشاء مستند جديد من القالب ""%s"""
Create a new empty document inside this folder,Créer un nouveau document vide dans ce dossier,Ein neues leeres Dokument in diesem Ordner anlegen,إنشاء مستند فارغ جديد داخل هذا المجلد
Create a new empty folder inside this folder,Créer un nouveau dossier vide dans ce dossier,Einen neuen leeren Ordner in diesem Ordner anlegen,إنشاء مجلد فارغ جديد داخل هذا المجلد
Create a new folder,Créer un nouveau dossier,Neuen Ordner erstellen,إنشاء مجلد جديد
Create a new folder '%s',Créer un nouveau dossier « %s »,Neuen Ordner »%s« erstellen,إنشاء مجلد جديد '%s'
Create a new launcher here...,Créer un nouveau lanceur ici…,Neuen Starter hier erstellen …,إنشاء منصة إطلاق جديدة هنا ...
Create a new launcher in this folder,Créer un nouveau lanceur dans ce dossier,Einen neuen Starter in diesem Ordner erstellen,إنشاء منصة إطلاق جديدة في هذا المجلد
Create a new workspace and activate it,Créer et activer un nouvel espace de travail,Eine neue Arbeitsfläche erstellen und diese aktivieren,إنشاء مساحة عمل جديدة وتنشيطها
Create a symbolic link for each selected item,Créer un lien symbolique pour chaque élément sélectionné,Eine symbolische Verknüpfung für jedes gewählte Objekt anlegen,إنشاء رابط رمزي لكل عنصر محدد
Create an empty file '%s',Créer un fichier vide « %s »,Leere Datei »%s« erstellen,إنشاء ملف فارغ '%s'
Create and delete files,Création et suppression de fichiers,Dateien erstellen und löschen,إنشاء وحذف الملفات
Create folder,Créer un répertoire,Ordner erstellen,إنشاء مجلد
Create link to '%s',Créer le lien vers « %s »,Verknüpfung zu »%s« erstellen,إنشاء الرابط إلى '%s'
Create new file '%s' from template,Créer un nouveau fichier « %s » à partir d'un modèle,Neue Datei »%s« aus Vorlage erstellen,إنشاء ملف جديد '%s' من القالب
Created - Time,Créé - heure,Erstellt – Zeit,تاريخ - الإنشاء
Created By,Créé par,Erstellt Von,إنشاؤها بواسطة
Created On,Créé le,Erstellt am,إنشاؤها في
Created date,Date de création,Erstelldatum,تاريخ الإنشاء
Created:,Créé :,Erstellt:,تمّ إنشائه:
Created: %s,Créé : %s,Erstellt: %s,أُنشئ: %s
