English,French,German,Arabic
WARNING: This has security implications as it allows malicious URLs to be shown as another URL or hidden. Make sure you understand the implications before turning this on.,Attention : ceci a des implications de sécurité puisqu'il permet à des « URL » malveillants d'être affichées comme un autre « URL » ou masquées. Veuillez vous assurer que vous comprenez bien ces implications avant d'activer cette option.,"Warnung: Dies hat Auswirkungen auf die Sicherheit, da bösartige URLs als andere URLs angezeigt oder versteckt werden können. Stellen Sie sicher, dass Sie die Auswirkungen verstehen, bevor Sie diese Funktion aktivieren.", تحذير : هذا له تداعيات أمنية لأنه يسمح بإظهار عناوين URL الضارة كعنوان URL آخر أو بإخفائها.   تأكد من فهمك للآثار قبل تشغيل هذا.
" Settings → Configure Konsole → General → Remember window size must be disabled for these entries to work."," Configuration → Configurer Konsole → Général → Mémoriser la taille de la fenêtre doit être désactivé pour que ces options fonctionnent."," Einstellungen → Konsole einrichten → Allgemein → Fenstergröße speichern muss ausgeschaltet sein, damit diese Einstellungen funktionieren."," إعدادات ← ضبط كونسول ← عام ← تذكر حجم النافذة يجب أن تعطل لهذه المدخلات حتى تعمل."
" Applications that use KonsolePart share profiles. They do not share with Konsole or other applications:default profileshow in menushortcuts Feel free to open a Konsole bug report if you desire a change to how these are handled."," Les applications qui utilisent KonsolePart partagent les profils. Ils ne partagent pas avec Konsole ou d'autres applications :profil par défautafficher dans le menuraccourcis N'hésitez pas à ouvrir un rapport de bogue pour Konsole si vous souhaitez changer la façon dont cela est géré."," Programme, die KonsolePart benutzen, verwenden gemeinsame Profile. Eigene Einstellungen werden verwendet für:StandardprofilAnzeige im MenüKurzbefehle Schreiben Sie einen Fehlerbericht zu Konsole, wenn Sie dieses Verhalten geändert haben möchten.","   التطبيقات التي تستخدم جزء كونسول تتشارك التشكيلات.    لا تتشارك مع كونسول أو تطبيقات أخرى:   التشكيلة المبدئية   إظهار في القائمة   الاختصارات      لا تتردد في فتح كونسول  تقرير الخطأ  إذا كنت ترغب في تغيير كيفية التعامل معها.  "
 Complex Text Layout, Disposition complexe de texte, Komplexes Text-Layout, تخطيط النصوص المعقدة
" To use this feature, enableMouse-&gt;Miscellaneous-&gt;Underline files in your profile settings."," Pour utiliser cette fonctionnalité, veuillez activer l'optionSouris / Divers / Souligner les fichiers dans les paramètres de votre profil"," Um diese Funktion zu verwenden, aktivieren SieMaus-&gt;Verschiedenes-&gt;Dateienunterstreichen in Ihren Profileinstellungen"," لتستخدم هذه الميزة، مكنالفأرة-&gt;متنوع-&gt;تسطير الملفات في إعدادات التشكيلة"
" A ZModem file transfer attempt has been detected, but no suitable ZModem software was found on this system. You may wish to install the 'rzsz' or 'lrzsz' package.", Une tentative de transfert de fichier « ZModem » a été détectée mais aucune application « ZModem » n'a été trouvée sur ce système. Vous devriez installer les paquets « rzsz » ou « lrzsz ».," Der Versuch einer ZModem-Übertragung wurde erkannt, jedoch kann auf Ihrem System keine ZModem-Software gefunden werden. Sie sollten versuchen, die Software „rzsz“ oder „lrzsz“ zu installieren.", اكتشفت محالة لنقل ملف  ZModem ؛ ولكن لا يوجد برنامج ZModem مناسب في النظام. قد ترغب في تثبيت حزمة  'rzsz' أو 'lrzsz' .
 No suitable ZModem software was found on this system. You may wish to install the 'rzsz' or 'lrzsz' package., Aucune application « ZModem » n'a été trouvée sur ce système. Vous devriez installer les paquets « rzsz » ou « lrzsz ».," Auf Ihrem System kann keine passende ZModem-Software gefunden werden. Versuchen Sie, „rzsz“ oder „lrzsz“ zu installieren.", لا يوجد برنامج ZModem مناسب في النظام. قد ترغب في تثبيت حزمة  'rzsz' أو 'lrzsz' .
 The current session already has a ZModem file transfer in progress., La session actuelle possède déjà un transfert de fichier « ZModem » en cours., In der aktuellen Sitzung läuft bereits eine ZModem-Übertragung., الجلسة الحالية تحوي على عملية نقل ملف ZModem بالفعل.
"Output has been suspended by pressing Ctrl+S. Press Ctrl+Q to resume.","La sortie a été suspendue par l'utilisation de « Ctrl+S ». Veuillez appuyer sur « Ctrl+Q » pour reprendre.","Die Ausgabe ist durch Drücken von Strg+S angehalten worden. Drücken Sie Strg+Q, um fortzufahren.","المخرجات علقت بواسطة ضغط  Ctrl+S.  اضغط  Ctrl+Q للاستئنافها."
A descriptive name for the profile,Un nom décrivant le profil,Ein aussagekräftiger Name für das Profil,اسم وصفي للتشكيلة
A duplicate item exists,Un élément dupliqué existe.,Ein doppelter Eintrag existiert,كرّر عنصر موجود
A key bindings scheme cannot be saved with an empty description.,Impossible d'enregistrer le modèle de combinaisons de touches car sa description est vide.,Ein Schema mit Tasten-Zuordnungen ohne Beschreibung kann nicht gespeichert werden.,لا يمكن حفظ تشكيلة روابط المفاتيح مع وصف فارغ.
A name for this ssh entry,Un nom pour cette entrée « sh ».,Ein Name für diesen SSH-Eintrag,اسم لمدخلة ssh هذه
"A problem occurred when loading the Layout.
%1","Un problème est survenu durant le chargement de la disposition.
%1","Beim Laden des Layouts ist ein Fehler aufgetreten.
%1","حصلت مشكلة أثناء تحميل التخطيط.
%1"
"A problem occurred when saving the Layout.
%1","Un problème est survenu durant l'enregistrement de la disposition.
%1","Beim Speichern des Layouts ist ein Fehler aufgetreten.
%1","حصلت مشكلة أثناء حفظ التخطيط.
%1"
"A problem occurred when saving the output.
%1","Échec de l'enregistrement de la sortie.
%1","Beim Speichern der Ausgaben ist ein Fehler aufgetreten.
%1","حصلت مشكلة أثناء حفظ المخرجات.
%1"
"A profile with the name ""%1"" already exists.",Un profil avec ce même nom « %1 » existe déjà.,Ein Profil mit dem Namen „%1“ existiert bereits.,"يوجد تشكيلة باسم ""%1"" بالفعل."
A program in this session would not die.  Are you sure you want to kill it by force?,Un programme de cette session ne veut pas être arrêté. Voulez-vous vraiment forcer l'arrêt ?,"Ein Programm in dieser Sitzung kann nicht beendet werden. Sind Sie sicher, dass Sie das Beenden erzwingen möchten?",يوجد برنامج في هذه الجلسة لن يموت. هل أنت متأكد أنك تريد قتلها بالقوة؟
A program is currently running in this session.  Are you sure you want to close it?,Un programme est actuellement lancé dans cette session. Voulez-vous vraiment la fermer ?,"In dieser Sitzung läuft gerade ein Programm. Sind Sie sicher, dass sie geschlossen werden soll?",يوجد برنامج يعمل الآن في هذه الجلسة. هل أنت متأكد أنك تريد إغلاقها؟
A&lways,Tou&jours,Immer,&دائما
ASCII characters,Caractères « ASCII »,ASCII-Zeichen,محارف أسكي ASCII
AaZz09...,AaZz09...,AaZz09 ...,AaZz09...
Above terminal area,Au-dessus de l'affichage du terminal,Oberhalb der Terminalfenster,أعلى منطقة الطرفية
Activate Menu,Activer le menu,Menü aktivieren,القائمة الفعالة
Activation:,Activation :,Aktivierung:,التفعيل:
Active Terminals:,Terminaux actifs :,Inaktive Terminals:,الطرفية النشطة:
Activity in '%1' (Session '%2'),Activité de « %1 » (Session « %2 »),Aktivität in „%1“ (Sitzung „%2“),نشاط في '%1' (الجلسة '%2')
Adapt,Ajuster,Anpassen,متكيف
Add,Ajouter,Hinzufügen,أضف
Add a new SSH Entry,Ajouter une nouvelle entrée « SSH »,Neuen SSH-Eintrag hinzufügen,أضف مدخلة SSH جديدة
Add new SSH Configuration,Ajouter une nouvelle configuration « SSH »,Neue SSH-Konfiguration hinzufügen,أضف إعدادات  SSH جديدة
Adjust Scrollback,Ajuster l'historique,Verlaufsspeicher anpassen,اضبط التمرير للخلف
Adjust Scrollback...,Ajuster l'historique...,Verlaufsspeicher anpassen ...,اضبط التمرير الخلفي...
Advanced,Avancé,Erweitert,متقدم
After current &tab,Après l'onglet ac&tuel,Nach dem akt&uelles Unterfenster,&بعد اللسان الحالي
Ahmad Samir,Ahmad Samir,Ahmad Samir,Ahmad Samir
Alexander Neundorf,Alexander Neundorf,Alexander Neundorf,Alexander Neundorf
Align to center:,Aligner au centre :,Zentriert ausrichten,حاذِ إلى الوسط:
All dialogs will be shown again,Toutes les boîtes de dialogues seront affichées à nouveau,Alle Dialoge werden wieder angezeigt,سيتم عرض كل الحوارات مرة أخرى
Allow Ctrl+scrollwheel to zoom text size,Permettre « Ctrl » + molette de la souris pour modifier la taille du texte,Strg + Mausrad zum Ändern der Schriftgröße verwenden,اسمح لعجلة التمرير ومفتاح Ctrl بالتحكم بحجم الخط
Allow Mouse Tracking,Permettre le suivi de la souris,Mausverfolgung zulassen,مكّن تتبع الفأرة
Allow blinking text,Autoriser le texte clignotant,Blinkenden Text zulassen,اسمح بالنص الوماض
Allow escape sequences for links,Autoriser les séquences d'échappement pour les liens,Escape-Sequenzen für Verknüpfungen zulassen,اسمح بسلاسل الهروب للوصلات
Allow middle-clicking on open tabs to close them,Cliquer avec le bouton central sur un onglet pour le fermer,Klicken mit der mittleren Maustaste auf geöffneten Unterfenstern zum Schließen verwenden,اسمح بالنقر الأوسط على الألسنة المفتوحة لإغلاقها
Allow terminal applications to handle clicks and drags,Permettre aux applications de terminaux de gérer les clics et les glisser avec la souris,Erlaubt Terminalanwendungen die Verarbeitung von Klicks und Ziehbewegungen,اسمح لتطبيقات الطرفية بتعامل مع النقرات و السحب
Allow terminal programs to create blinking sections of text,Autoriser les programmes du terminal à créer des portions de texte clignotantes,Terminal-Programme dürfen blinkende Textbereiche ausgeben,اسمح لبرامج الطرفية أن تنشئ تحديد وماض للنص
Allow the output to be suspended by pressing Ctrl+S,Autoriser la suspension de la sortie par un « Ctrl+S »,"Ermöglicht es, laufende Ausgaben mit Strg+S vorübergehend anzuhalten",اسمح بتعليق المخرجات بواسطة الضغط على Ctrl+S
Allow users to access top menu through Alt+Key combination,Permettre aux utilisateurs d'accéder au menu principal par la combinaison de touches « Alt » + Touche,Benutzern den Zugriff auf das Hauptmenü durch die Tastenkombinationen Alt+Taste erlauben,اسمح للمستخدمين أن يصِلوا إلى القائمة العلوية باستخدام تركيبة مفتاح Alt
Allowed link formats:,Formats de liens autorisés :,Zulässige Verknüpfungs-Formate:,اسمح بتنسيقات الروابط:
Alt,Alt,Alt,Alt
Alternating background:,Arrière-plan alternatif :,Hintergrund verwischen,خلفية متناوبة:
Alternating bars:,Barres alternatives :,,أشرطة متناوبة:
Alwa&ys,&Toujours,&Immer,&دائما
Always,Toujours,Immer,دائما
Always invert the colors of selected text,Toujours inverser les couleurs du texte sélectionné,Die Farben des markierten Textes immer invertieren,دائما اعكس ألوان النص المحدد
"Always paste dropped files and URLs as text without offering move, copy and link actions.","Toujours coller les fichiers et les « URL » déposées comme du texte sans proposer les actions comme déplacer, copier et lier.","Abgelegte Dateien und Adressen immer als Text einfügen, ohne Aktionen zum Verschieben oder Kopieren bzw. verknüpfungsbezogene Aktionen anzubieten.",قم دائمًا بلصق الملفات وعناوين URL التي تم إسقاطها كنص بدون تقديم إجراءات النقل والنسخ والربط.
An SSH session must have a profile,Une session SSH doit posséder un profil.,Eine SSH-Sitzung muss ein Profil haben,جلسة SSH يجب أن تملك تشكيلة
Antonio Larrosa,Antonio Larrosa,Antonio Larrosa,Antonio Larrosa
Any adjustments are only temporary to this session.,L'ajustement n'est que temporaire pour cette session.,Diese Anpassungen sind nur für die Dauer dieser Sitzung gültig.,كل التغييرات مؤقتة لهذه الجلسة.
Appearance,Apparence,Erscheinungsbild,المظهر
Arguments passed to command,Arguments passés à la commande,Argumente für Befehl,المعاملات الممررة إلى أمر
At &the end,À la &fin,&Am Ende,عند ال&نهاية
At least Username or SSHKey must be set,Au moins un nom d'utilisateur ou une clé SSH doit être défini.,Mindestens ein Benutzername oder ein SSH-Schlüssel ist erforderlich,يجب على الأقل كتابة اسم المستخدم أو مفتاح SSH
Auto Save Output As...,Enregistrer automatiquement la sortie sous...,Ausgabe speichern &als ...,احفظ المخرجات آليا كـ...
Automatically copy selected text into clipboard,Copier automatiquement le texte sélectionné dans le presse-papier,Ausgewählten Text automatisch in die Zwischenablage kopieren,نسخ النص تلقائيًّا إلى الحافظة
"Autosave file has been modified externally, preventing further autosaves.","Le fichier d'enregistrement automatique a été modifié par un logiciel externe, ce qui empêche d'autres enregistrements automatiques.",,عُدل ملف الحفظ التلقائي خارجيًا، مما يمنع عمليات الحفظ التلقائي الإضافية.
Background,Arrière-plan,Hintergrund,الخلفية
Background (Faint),Arrière-plan (doux),Hintergrund (blass),الخلفية (باهتة)
Background (Intense),Arrière-plan (Intense),Hintergrund (kräftig),الخلفية (مكثف)
Background color transparency:,Transparence de la couleur d'arrière-plan :,Hintergrundfarbe-Transparenz:,شفافية لون الخلفية:
Background image:,Image d'arrière-plan :,Hintergrundbild:,صورة الخلفية:
Backspace,Retour arrière,Rücktaste,مسافة للخلف
Be&low terminal area,Sous &l'affichage du terminal,Unterha&lb der Terminalfenster,أ&سفل منطقة الطرفية
Behavior,Comportement,Verhalten,السّلوك
Bell in '%1' (Session '%2'),Avertissement sonore de « %1 » (Session « %2 »),Signalton in „%1“ (Sitzung „%2“),جرس في  '%1' ( الجلسة '%2')
Bell: will try to emit an audible warning,Cloche : essaie d'émettre un avertissement audible,"Signalton: versucht, eine akustische Warnung abzugeben",الجرس: سيحاول إصدار تحذير صوتي
Bi-Directional text rendering,Affichage bi-directionnel du texte,Bi-Direktionale Anzeige von Schriften,عرض ثنائي الاتجاه للنص
Black on Light Yellow,Noir sur jaune clair,Schwarz auf hellem Gelb,أسود على أصفر خفيف
Black on Random Light,Noir sur couleur claire aléatoire,Schwarz auf hellem Grund,أسود على لون خفيف
Black on White,Noir sur blanc,Schwarz auf Weiß,أسود على أبيض
Blinking:,Clignotement :,Blinkend:,الوميض:
Block,Bloc,Block,كتلة
Blue on Black,Bleu sur noir,Blau auf Schwarz,أزرق على أسود
Blur background,Flouter l'arrière-plan,Hintergrund verwischen,خلفية معماة
Border,Bordure,,الحدود
Both,Les deux,Beide,كليهما
Brahmic scripts characters,Caractères « brahmi » de script,Der aktuellen Zeichenfarbe anpassen,محارف الخط البراهمي
Breeze,Breeze,Breeze,النسيم
Bug fixes,Correction de bogues,Fehlerbereinigung,إصلاح العلل
Bug fixes and general improvements,Correction de bogues et améliorations générales,Fehlerbereinigung und allgemeine Verbesserungen,إصلاح علل وتحسينات عامة
Bug fixes and improved startup performance,Corrections de bogues et augmentation de la vitesse de démarrage,Fehlerbereinigung und Verkürzung der Startzeit,إصلاح علل و تحسين أداء البدء
Bug fixes and major improvements,Correction de bogues et améliorations majeures,Fehlerbereinigung und wichtige Verbesserungen,إصلاح علل وتحسينات كبيرة
Built-in,Intégré,,المضمّنة
Built-in profile is always available,Un profil intégré est toujours disponible.,Eingebautes Profil ist immer verfügbar,التشكيل المضمن دائما متوفر
"By its very nature, a terminal program requires font characters that are equal width (monospace). Any non monospaced font may cause display issues. This should not be necessary except in rare cases.","De par sa nature, un programme de terminal nécessite une police de caractères à largeur fixe (monospace). Une police non monospace pourra provoquer des problèmes d'affichage. Ceci ne devrait être nécessaire que dans des cas très rares.","Es liegt im Wesen eines Terminalprogramms, dass die Schriftzeichen gleich breit sein müssen (Monospace). Jede Schriftart, die proportional ist, kann zu Anzeigeproblemen führen. Dies sollte außer in seltenen Fällen nicht notwendig sein.",يتطلب البرنامج الطرفي ، بحكم طبيعته ، أحرف خط متساوية العرض (مسافة أحادية). قد يتسبب أي خط غير أحادي المسافة في حدوث مشكلات في العرض.لا ينبغي أن يكون هذا ضروريًا إلا في حالات نادرة.
Campbell,Campbell,,كامبل
"Can't issue SSH command outside the shell application (eg, bash, zsh, sh)","Impossible de lancer une commande « SSH » en dehors de l'application shell (ex : bash, zsh, sh).","SSH-Befehl kann nicht außerhalb der Shell-Anwendung (z. B. bash, zsh, sh) ausgeführt werden",لا يمكن إصدار أمرر SSH خارج تطبيق الصدفة (مثل bash و zsh و sh)
Cancel,Annuler,Abbrechen,ألغِ
Cancel Add or Edit,"Annuler, ajouter ou modifier",Hinzufügen oder Bearbeiten abbrechen,ألغ الإضافة أو التحرير
Cannot delete this folder,Impossible de supprimer ce dossier,Löschen von diesem Ordner ist nicht möglich,تعذر حذف هذا المجلد
Carlos Alves,Carlos Alves,Carlos Alves,Carlos Alves
Case sensitive,Sensible à la casse,Groß-/Kleinschreibung beachten,حسّاس لحالة الأحرف
Change &Directory To,Modifier le &dossier vers,Ordner &wechseln zu,غيّر ال&دليل إلى
Change profile on connect/disconnect,Changer de profil à la connexion / déconnexion,,غير التشكيلة عند الوصل/القطع
Change the value of a profile property.,Modifier la valeur d'une propriété du profil.,Den Wert einer Profil-Eigenschaft ändern.,غير قيمة خاصية تشكلية.
"Changes will take effect upon restart. If enabled, sustained memory consumption by Konsole
exceeding the specified value will cause systemd-oomd to eliminate the tab(s)
containing the memory-intensive process(es). Note: enabling
might cause greater slowdowns during high memory consumption and specifying
excessively low values might still cause Konsole to be killed.","Les modifications prendront effet au redémarrage. Si cette option est activée, la consommation de mémoire prise en
 compte par Konsole dépassant la valeur spécifiée conduira le module « systemd-oomd » a fermé les onglets
contenant le ou les processus(s) nécessitant beaucoup de mémoire. Remarque : activation de cette option
peut provoquer des ralentissements plus importants lors d'une consommation de mémoire élevée et la définition
 de valeurs excessivement basses pourraient ensuite provoquer la fermeture de Konsole.",,"ستصبح التغييرات سارية المفعول عند إعادة التشغيل. في حالة التمكين، سيؤدي استهلاك الذاكرة
 المستمر بواسطة كونسول الذي يتجاوز القيمة المحددة إلى قيام systemd-oomd بإزالة اللسان (الألسنة) 
التي تحتوي على العملية (العمليات) كثيفة الاستهلاك للذاكرة. ملاحظة: قد يؤدي التمكين إلى حدوث تباطؤ
 أكبر أثناء الاستهلاك العالي للذاكرة، وقد يؤدي تحديد قيم منخفضة للغاية
 إلى إيقاف تشغيل وحدة التحكم."
Characters which are considered part of a word when double-clicking to select whole words in the terminal.,Caractères considérés comme faisant partie d'un mot lors d'une sélection par double clic de mots entiers dans le terminal.,Diese Zeichen werden beim Doppelklick (zur Auswahl eines ganzen Wortes) als Teil des Wortes betrachtet.,المحارف التي تعتبر جزء من كلمة عند النقر المزدوج لتحديد كامل الكلمات في الطرفية
Choose the background image,Sélectionner l'image d'arrière-plan,Das Hintergrundergrundbild auswählen,اختر صورة الخلفية
Choose the initial directory,Sélectionner le dossier initial,Startordner auswählen,اختر الدليل المبدئي
Choose...,Choisir...,Auswählen ...,اختر...
Chris Machemer,Chris Machemer,Chris Machemer,Chris Machemer
Clear Scrollback,Effacer l'historique,Verlaufsspeicher leeren,امسح التمرير الخلفي
Clear Scrollback and Reset,Effacer l'historique et le réinitialiser,Verlaufspeicher leeren und zurücksetzen,امح التمرير الخلفي و أعد الضبط
Click to choose Faint color,Cliquer pour choisir une couleur douce,"Klicken Sie, um eine blasse Farbe auszuwählen",انقر للاختيار لون باهت
Click to choose color,Cliquer pour choisir la couleur,"Klicken Sie, um eine Farbe auszuwählen",انقر لانتقاء لون
Click to choose intense color,Cliquer pour choisir une couleur intense,"Klicken Sie, um eine kräftige Farbe auszuwählen",انقر لتختار تركيز اللون
Close &Window,Fermer la &fenêtre,&Fenster schließen,أغلق ال&نافذة
Close Current &Tab,Fermer l'ongle&t actuel,A&ktuelles Unterfenster schließen,أ&غلق اللسان الحالي
Close Program,Fermer un programme,Programm schließen,أغلق البرنامج
Close Tab,Fermer l'onglet,Unterfenster schließen,أغلق اللسان
Close Window,Fermer la fenêtre,Fenster schließen,أغلق النافذة
Close tab on middle-click,Fermer l'onglet lors d'un clic central,Unterfenster bei Klicken mit der mittleren Maustaste schließen,أغلق اللسان بالنقر الأوسط
Close terminal,Fermer le terminal,Terminal schließen,أغلق الطرفية
Close the search bar,Fermer la barre de recherche,Suchleiste schließen,أغلق شريط البحث
Close this tab,Fermer cet onglet,Dieses Unterfenster schließen,أغلق هذا اللسان
"Code from the kvt project
General improvements","Code du projet « kvt »
Améliorations générales","Code aus dem kvt-Projekt, allgemeine Verbesserungen","شفرة من مشروع kvt
تحسينات عامة"
Color,Couleur,Farbe,اللون
Color 1,Couleur 1,Farbe 1,اللون 1
Color 1 (Faint),Couleur 1 (douce),Farbe 1 (blass),اللون 1 (باهت)
Color 1 (Intense),Couleur 1 (Intense),Farbe 1 (kräftig),اللون 1 (مكثف)
Color 2,Couleur 2,Farbe 2,اللون 2
Color 2 (Faint),Couleur 2 (douce),Farbe 2 (blass),اللون 2 (باهت)
Color 2 (Intense),Couleur 2 (Intense),Farbe 2 (kräftig),اللون 2 (مكثف)
Color 3,Couleur 3,Farbe 3,اللون 3
Color 3 (Faint),Couleur 3 (douce),Farbe 3 (blass),اللون 3 (باهت)
Color 3 (Intense),Couleur 3 (Intense),Farbe 3 (kräftig),اللون 3 (مكثف)
Color 4,Couleur 4,Farbe 4,اللون 4
Color 4 (Faint),Couleur 4 (douce),Farbe 4 (blass),اللون 4 (باهت)
Color 4 (Intense),Couleur 4 (Intense),Farbe 4 (kräftig),اللون 4 (مكثف)
Color 5,Couleur 5,Farbe 5,اللون 5
Color 5 (Faint),Couleur 5 (douce),Farbe 5 (blass),اللون 5 (باهت)
Color 5 (Intense),Couleur 5 (Intense),Farbe 5 (kräftig),اللون 5 (مكثف)
Color 6,Couleur 6,Farbe 6,اللون 6
Color 6 (Faint),Couleur 6 (douce),Farbe 6 (blass),اللون 6 (باهت)
Color 6 (Intense),Couleur 6 (Intense),Farbe 6 (kräftig),اللون 6 (مكثف)
Color 7,Couleur 7,Farbe 7,اللون 7
Color 7 (Faint),Couleur 7 (douce),Farbe 7 (blass),اللون 7 (باهت)
Color 7 (Intense),Couleur 7 (Intense),Farbe 7 (kräftig),اللون 7 (مكثف)
Color 8,Couleur 8,Farbe 8,اللون 8
Color 8 (Faint),Couleur 8 (douce),Farbe 8 (blass),اللون 8 (باهت)
Color 8 (Intense),Couleur 8 (Intense),Farbe 8 (kräftig),اللون 8 (مكثف)
Color Preview,Aperçu de couleur,Vorschau:,معاينة اللون
Color of scrollbar markers:,Couleur des marqueurs de la barre de défilement :,,لون علامات شريط التمرير:
Color of scrollbar search highlighting lines:,Couleur des lignes de surbrillance de la barre de défilement :,,لون خطوط تمييز البحث في شريط التمرير:
Color scheme && font,Schéma de couleurs && police,Farbschema && Schrift,مخطط الألوان والخط
Color:,Couleur :,Farbe:,اللون:
Command,Commande,Befehl,الأمر:
Command and arguments: %c,Commande et paramètres : %c,Befehl und Argumente: %c,الأمر و المعاملات: %c
Command can not be empty,La commande ne peut être vide.,Die Befehlszeile darf nicht leer sein,الأمر لا يمكن أن يكون فارغاً
"Command to execute. This option will catch all following arguments, so use it as the last option.",Commande à exécuter. Cette option prendra en compte tous les arguments suivants. Veuillez donc l'utiliser comme dernière option.,Auszuführender Befehl. Diese Option übernimmt alle folgenden Argumente. Daher sollte diese Option immer zuletzt angegeben werden.,الأمر للتنفيذ. سيلتقط هذا الخيار كل المعامِلات اللاحقة، لذا استخدمه كخيار أخير.
Command:,Commande :,Befehl:,الأمر:
Complex Text Layout,Disposition complexe de texte,Komplexes Text-Layout,تخطيط النصوص المعقدة
Configure,Configurer,Einrichten,اضبط
Configure Web Shortcuts...,Configurer les raccourcis Web...,Web-Kurzbefehle festlegen ...,اضبط اختصارات الوِب...
Confirm Close,Confirmer la fermeture,Schließen bestätigen,أكد الغلق
Confirm Paste,Confirmer le collage,Einfügen bestätigen,تأكيد اللصق
Control the position of the tab bar,Contrôler la position de la barre des onglets,Steuert die Position der Unterfensterleiste,تحكّم في موقع شريط الألسنة
Control the size of the handle between panels,Contrôler la taille des poignées entre les panneaux,Steuert die Größe des Griffes zwischen den Fenstern,تحكم في حجم المقبض بين الألواح
Control the visibility of 'New Tab' button on the tab bar,Contrôler la visibilité du bouton « Nouvel onglet » de la barre des onglets,Steuert die Anzeige des Knopfs »Neues Unterfenster“ auf der Unterfensterleiste,تحكم برؤية زر 'لسان جديد' على شريط الألسنة
Control the visibility of 'Search Tabs' button on the tab bar,Contrôler la visibilité du bouton « Rechercher des onglets » de la barre des onglets,Steuert die Anzeige des Knopfs »Neues Unterfenster“ auf der Unterfensterleiste,تحكم برؤية زر 'ابحث في الألسنة' على شريط الألسنة
Control the visibility of the whole tab bar,Contrôler la visibilité de la totalité de la barre des onglets,Steuert die Anzeige der gesamten Unterfensterleiste,تحكم بعرض شريط الألسنة بأكمله
Control the visual style of the tab bar,Contrôler l'apparence visuelle de la barre des onglets,Steuert den Anzeigestil der Unterfensterleiste,تحكم بالشكل المرئي لشريط الألسنة
"Control where the ""Close tab"" button will be displayed",Contrôler la position de l'affichage du bouton « Fermer l'onglet »,Steuert die Anzeige des Knopfs „Unterfenster schließen“ auf der Unterfensterleiste,"تحكم في مكان عرض زر ""إغلاق لسان"""
Control where to put the new tab,Contrôler où mettre un nouvel onglet,"Legt fest, wo das neue Unterfenster eingefügt wird",تحكم بمكان وضع اللسان الجديد
