Arabic Term,Definition (Arabic),Definition (English),English Term
"الصابُونُ أَوْ المُنَظِّفاتُ","هي مواد تستخدم مع الماء لتنظيف اليدين من الأوساخ العالقة بهما كالغبار، والتراب، والكائنات الحية التي تسبب الإصابة بالكثير من الأمراض كنزلات البرد.","Substances used with water to clean the hands from the dirt, such as dust, dirt, and pathogenic organisms, such as those cause common cold.","Soap or Detergents"
"الطَلَبُ الحَيَوِيُّ عَلَى الأُكْسِجِينِ (BOD)","'كمية الأكسجين المستخدمة للأكسدة الكيميائية الحيوية بوحدة حجم الماء عند درجة حرارة معينة ولفترةزمنية معينة.  هو مؤشر لدرجة التلوث العضوي في الماء.  الأكسجين الذائب الذي تتطلبه الكائنات الحية للتحلل الهوائي للمواد العضوية الموجودة في المياه.'","The amount of oxygen used for biochemical oxidation by the unit of water volume at a given temperature and for a given period of time.  It is an indicator of the degree of organic contamination in water by calculating the dissolved oxygen required by organisms for aerobic degradation of organic substances found in water.","Biochemical oxygen demand (BOD)"
"الطَلَبُ الكِيمْيائِيُّ عَلَى الأُكْسِجِينِ (COD)","هو اختبار لقياس غير مباشر من كمية المركبات العضوية في الماء. معظم تطبيقات COD تحديد كمية الملوثات العضوية الموجودة في المياه السطحية (البحيرات والأنهار مثلا) أو مياه الصرف الصحي، مما يجعل COD مقياسا مفيدا لنوعية المياه.","A test for indirect measurement of the number of organic compounds in water. Most COD applications determine the number of organic pollutants found in surface water (e. g. lakes and rivers) or wastewater, making COD a useful measure of water quality.","Chemical oxygen demand (COD)"
"الطَلَبُ النيتروجينِيُّ عَلَى الأُكْسِجِينِ","مقياس كمي لمقدار الأكسجين المذاب اللازم للأكسدة البيولوجية للمادة النيتروجينية.","A quantitative measure of the amount of dissolved oxygen required for the biological oxidation of nitrogenous material.","Nitrogenous Oxygen Demand"
"الطَيَرانُ التِجارِيُّ","هو جزء من الطيران المدني يتضمن تشغيل الطائرات مقابل أجر أو استئجار، على عكس الطيران الخاص.","A part of civil aviation that involves operating airplane for hire or lease, unlike private aviation.","Commercial Aviation"
"المَحَطّاتُ الاِنْتِقَالِيَّةُ","المحطات التي يتم استخدامها في مرحلة من مراحل عملية نقل النفايات إلى مواقع ومنشآت معاجلة أو فرز النفايات أو إلى مواقع التخلص النهائي من أجل تقليل تكلفة النقل.","Stations that are used at some stage of waste transportation process to treatment sites and facilities, waste sorting or to final disposal sites in order to reduce the cost of transportation.","Transition Stations"
"المَشاعِرُ المُقَدَّسَةُ","هي أماكن جغرافية تقع في محيط مكة المكرمة ومنها ِمنى ومزدلفة وعرفات.","Geographical places located in the vicinity of Makkah, including Mina, Muzdalifah and Arafat.","Holy Places"
"المَصائِدُ الاِسْتِثْمارِيَّةُ","يقصد بها المصائد التي تشغل قوارب صيد أكبر من تسعة أمتار طوال، وعليها معدات حديثة مثل جهاز الباحث عن الأسماك، وأجهزة ملاحية إلكترونية، وأجهزة اتصالات، إضافة إلى ونش ووسائل صيد ذات كفاءة عالية .","Fisheries that operate fishing boats larger than nine meters in length and have modern equipment such as a fish finder, electronic navigation devices, communication devices, as well as a winch and highly efficient fishing means.","Investment Fisheries"
"المَناطِقُ الخَضْراءُ","هي مكان معد بالعشب أو الزهور أو الأشجار في الحدائق والمتنزهات والملاعب والساحات غير المخصصة للاستخدام الزراعي.","A place prepared with grass, flowers or trees in gardens, parks, playgrounds and squares that are not intended for agricultural use.","Green Spaces"
"المُسْتَلْزَماتُ الخَدَمِيَّةُ","هي قيم كافة المستلزمات الخدمية التي تستخدمها المنشأة في أعمالها من تكاليف البريد والهاتف ومصاريف تدريب وانتداب ومصاريف سفر، واستئجار الآلات والمعدات وإيجار المباني والأراضي غير الزراعية وما تتحمله المنشأة نظير الاستشارات القانونية أو خدمات مقدمة من الآخرين . . . إلخ، وأي مستلزمات خدمية أخرى مع ضرورة تحديد أنواع تلك المستلزمات الخدمية.","The values of all service requirements that the establishment uses including post office and telephone costs, training and secondment costs, travel costs, machines and equipment rent costs, premises, and non-agricultural lands rent costs, and what the establishment pays for legal consultations or for services provided by others . . . etc. , or any other service requirements with mentioning the types of such services for necessity.","Service Requirements"
"المُسْتَلْزَماتُ السِلْعِيَّةُ","هي قيم كافة المستلزمات السلعية المحلية والمستوردة المستخدمة من قبل المنشأة سواء داخلة في تركيب السلع المنتجة ) كالمواد الأولية (أو اللازمة لإنتاجها وكذلك الأدوات المكتبية وقطع الغيار والوقود والزيوت وتكاليف استهلاك الكهرباء والماء . . . إلخ، وأي مستلزمات سلعية أخرى مع ضرورة تحديد أنواع تلك المستلزمات السلعية.","The values of all local and imported goods supplies used by the establishment either in productive goods installation (such as raw materials) , or the goods required for their production. They also include the values of stationery, spare parts, fuel, oils, electricity, and water consumption costs . . . etc. , or any other goods supplies with mentioning the types of such goods for necessity","Commodity requirements"
"المُشارَكَةُ الثَقافِيَّةُ","مشاركة الأفراد في التجارب التي يكون فيها خلق المعنى وتقاسمه مع دلالة رمزية وجمالية قوية دور أساسي، ويمكن أن تكون المشاركة الثقافية مباشرة أو غير مباشرة، سواء كان الفرد «يخلق معنى» أو يتعرض للمعنى الذي أنشأه الآخرون.","Participation of individuals in experiences where the creation and sharing of meaning with symbolic connotation and strong aesthetic role is essential, and cultural participation can be direct or indirect whether the individual 'creates meaning' or is exposed to the meaning created by others.","Cultural Participation"
"المُنْتَجاتُ العُضْوِيَّةُ الحَيَوانِيَّةُ","المنتجات العضوية الحيوانية هي التي تتم دون إعطاء الحيوانات أو الطيور في المزارع أية مضادات حيوية، أو محفزات صناعية للنمو.","Organic animal products are made without giving animals or birds on farms any antibiotics or synthetic growth hormones.","Animal Organic Products"
"المُنْتَجاتُ العُضْوِيَّةُ النَباتِيَّةُ","المنتجات العضوية النباتية هي الأطعمة الناتجة من الزراعة العضوية، وهي الزراعة التي لا يستخدم فيها أي سماد صناعي، ولا أية مبيدات تحتوي على مواد كيميائية، كما ُيحظر في الزراعة العضوية استخدام أية مواد محسنة أو معدلة جينيًا.","Plant organic products are food produced from organic farming which does not use industrial fertilizers, pesticides containing chemicals, or genetically enhanced or modified materials.","Organic Plant Products"
"المِياهُ المُزالَةُ مُلُوحَتُها","هي إجمالي حجم المياه المتحصل عليها من إزالة ملوحة مياه البحر والمياه شبه المالحة.","The total volume of water obtained from desalination of seawater and brackish water.","Desalinated Water"
"المِياهُ المُعادُ اِسْتِعْمالُها","هي المياه المستعملة المتحصل عليها من مستعِمل آخر مباشرة، سواء كانت معالجة أو غير معالجة من أجل استعمالها في أغراض أخرى. وتشمل أيضا المياه العادمة المعالجة المتحصل عليها من محطات المعالجة استعمالها في أغراض أخرى. وال تشمل المياه التي تصرف في المجاري المائية وُتستخدم مرة أخرى في اتجاه المجرى، وُيستبعد منها إعادة تدوير المياه في المواقع الصناعية.","Used water directly received from another user with or without treatment to be used for other purposes. It also includes treated wastewater obtained from treatment plants for use for other purposes. It excludes wastewater discharged into a watercourse and used again downstream; and recycling of water within industrial sites.","Reused Water"
"اِنْقِطاعُ المِياهِ","عدم توفر المياه عند الحاجة له في المسكن.","Unavailability of water when needed at a dwelling.","Water Outage"
"تَدَهْوُرُ الأَرْضِ","انخفاض أو انعدام البيولوجية أو الاقتصادية وتعقد أراضي المحاصيل البعليةأو المروية، أو تربية الماشية، والمراعي العشبية، أو الغابات، أو الأحراج نتيجة عمليات طبيعية، أو استخدامات للأراضي، أو نشاطات بشرية وطابع الاستيطان كتلوث الأراضي، وتآكل التربة، وتخريب الغطاء النباتي.","The reduction or loss of the biological or economic productivity and complexity of rain-fed cropland, irrigated cropland, or range, pasture, forest or woodlands resulting from natural processes, land uses or other human activities and habitation patterns such as land contamination, soil erosion and the destruction of the vegetation cover.","Land Degradation"
"تَزايَدُ كَمِّيَّةِ النُفاياتِ","تزايد كمية النفايات في الشارع المحيط بالمنزل، مما يسبب انبعاث الروائح الكريهة والمزعجة.","The increase in the amount of waste in the street surrounding the house, which causes unpleasant and disturbing odors.","Increased Amount of Waste"
"تَوَفُّرُ المِياهُ فِي مِرْفَقِ غَسْلِ اليَدَيْنِ","توفر المياه في مغسلة اليدين.","Availability of water at a handwashing facility.","Water Availability of Handwashing Facility"
"تَوْزِيعُ المِياهِ (صَهارِيجُ)","هي شاحنات مزودة بصهاريج ينقلون كميات كبيرة من المياه لتوزيع المياه على المنازل.","The water supplied by tank trucks that transport large quantities of water to houses.","Distributed Water (in Tanks)"
"حُفْرَةُ الصَرْفِ الصِحِّيِّ (مُصْمَتَةٌ)","الخزان الذي يخزن مياه الصرف الصحي للمنزل أو المبنى ويسمى بالبيارة ويتم استخدام هذه البيارة عندما لا يتوفر نظام صرف مناسب , فيتم تصميم البيارة لاستيعاب الصرف الصحي ويتم تصميمها لاستيعاب الصرف لمدة 30-10 أيام ثم يتم سحب هذه المياه.","The tank that stores sewage water for the house or building and is called the septic tank. This septic tank is used when no sewerage system is available. The septic tank is designed to accommodate the sewage for a period of 10-30 days, then this water is withdrawn.","Solid Sewage Pit"
"دَفْنُ النُفاياتِ","هو وضع النفايات في مقرها الأخير تحت سطح الأرض، ويتم ذلك إما بطريقة منظمة أو غير منظمة. ويشمل التعريف الدفن في المواقع الداخلية (أي حيث تقوم الجهة المولدة للنفايات بالتخلص منها في المكان التي نشأت منه) والمواقع الخارجية.","Final placement of waste under the surface in a controlled or non-controlled manner. The definition covers both landfilling in internal sites (i. e. , where a generator of waste is carrying out its own waste disposal at the place of generation) and in external sites.","Landfilling"
"سُرْعَةُ الرِياحِ","تصف سرعة الرياح مدى سرعة تحرك الهواء بعد نقطة معينة. قد يكون هذا متوسطا على وحدة زمنية معينة، مثل الأميال في الساعة، أو سرعة فورية.","Wind speed describes how quickly air moves beyond a certain point. This may be an average on a certain unit of time, such as miles per hour, or instant speed.","Wind Speed"
"شاشاتٌ وَأَلْواحٌ وَمُعَدّاتٌ تَحْتَوِي عَلَى شاشاتٍ","تشمل الحواسيب اللوحية وشاشات العرض المسطحة مثل (LED ,LCD ) وشاشات البلازما.","includes tablet computers and flat screens such as LCD, LED and plasma screens.","Screens, Panels and Equipment Containing Screens"
"غَسّالَةُ صُحُونٍ أوتوماتيكِيَّةٌ","تقوم بعملية غسل الصحون بشكل آلي دون الاستخدام اليدوي.","A machine that washes dishes automatically.","Automatic Dishwasher"
"غَسّالَةُ مَلابِسَ أوتوماتِيكِيَّةٌ","تقوم بعملية غسل الملابس بشكل آلي دون الاستخدام اليدوي.","A washing machine that washes clothes automatically without manual use.","Automatic Washing Machine"
"قَضايا بِيئِيَّة","هي ما يتعلق بتأثيرات الإنسان الضارة على البيئة، والحفاظ على البيئة هي ممارسات تهدف لحماية البيئة الطبيعية على المستوى الفردي أو التنظيمي أو الحكومي، لصالح البيئة والبشر على حد سواء، وتعالج المفاهيم والقضايا البيئية من خلال الدعوة والتعلم والأنشطة.","The issues related to human harmful impact on the environment, and environment preservation is a practice that aims to protect the natural environment at the individual, organizational or governmental level, for the benefit of the environment and humans alike, and addresses environmental concepts and issues through advocacy, learning and activities.","Environmental Issues"
"لا يُوجَدُ مِرْحاضٌ فِي الخَلاءِ","التغوط في الغابة أو الحقول أو الحفر، ووضع الفضلات على الأرض وتغطيتها بطبقة من التراب (طريقة القطط) ، أو لف الفضلات ورميها في القمامة، أو التغوط في مصدر مياه سطحية (قناة صرف أو شاطئ أو نهر أو جدول أو بحر) .","Defecate in the woods, fields, or pits, leaving excrement on the ground and covering it with a layer of dust (cat method) , or rolling up the excrement and throwing it in the trash, or defecation in a surface water source (drainage, beach, river, spring, or sea) .","No Toilet / Open Defecation"
"لَيْلَةَ الإِسْنادِ الزَمَنِيِّ","هي الليلة التي يُشار إليها في البيانات الرئيسية للتعداد، والتي تشمل عدد الأفراد وبعض الخصائص الديموغرافية الأخرى مثل: العمر، والجنسية، والتعليم، والحالة الاجتماعية. وتكون في منتصف ليلة 09/10/1443 هـ، الموافق 10/05/2022.","The night on which the main census data is referred, which is the number of individuals and some other demographic characteristics such as: age, nationality, education and marital status. It falls on the midnight of 09/10/1443 AH, corresponding to 10/05/2022.","Time Reference Night"
"مُخَلَّفاتٌ إلكترونِيَّةٌ وَكَهْرُبائِيَّةٌ","هي عبارة عن فضلات الأجهزة والأدوات الإلكترونية والكهربائية التي أتمت عمرها أو مدة استخدامها 'التالفة'، مثل: التلفزيون، والحاسوب والهواتف، وغيرها من وسائل الاتصال وأجهزة التسجيل المرئي والصوتي، وأفران الموجة القصيرة، الأدوات المنزلية وغيرها من الأجهزة والأدوات والمنتجات المستخدمة في حياتنا تدخل ضمن هذه المجموعة. وتشمل ما يلي حسب التصنيف الأوروبي.","The waste that includes damaged or old electronic and electrical devices and tools that have completed their usable life cycle, such as: television, computers, phones, and other means of communication, video and audio recording devices, short-wave ovens, household appliances, and other devices, tools, and products used in our daily lives, including the following according to the European classification.","Electronic and Electrical Equipment Waste"
"مُعالَجَةُ النُفاياتِ","يقصد بعملية معالجة النفايات العمليات الفيزيائية أو الحرارية أو الكيميائية أو البيولوجية، التي تغير خصائص النفايات من أجل تقليل حجمها أو طبيعتها الخطرة، لتسهيل التعامل معها أو لتعزيز الاسترداد.","Physical, thermal, chemical or biological processes, which change the properties of wastes in order to reduce their size or hazardous nature, to facilitate their handling or to enhance recovery.","Waste Processing"
"مُعَدّاتٌ صَغِيرَةٌ' أَجْهِزَةٌ مَنْزِلِيَّةٌ صَغِيرَةٌ'","تشمل المعدات المنزلية الصغيرة مثل المراوح الصغيرة والساعات والمحولات، ومعدات تجهيز الطعام مثل المحمصات، والشوايات والمقالي، ومعدات تسخين المياه (الغلايات) والمكانس الكهربائية ومعدات العناية الشخصية مثل فرش الأسنان ومجففات الشعر وآلات الحلاقة والسماعات والكاميرات ومكبرات الصوت.","Includes small household appliances such as small fans, clocks, transformers, food processing equipment such as toasters, grills, frying pans, water heating equipment (kettles) , vacuum cleaners, and personal care equipment such as toothbrushes, hair dryers, shavers, headphones, cameras, and speakers.","Small Household Appliances"
"مُعَدّاتُ تَكْيِيفٍ وَتَدْفِئَةٍ","تشمل مكيفات الهواء، وأجهزة التجميد والثلاجات، ومعدات أخرى مثل المجففات المركبة في المنزل.","Includes air conditioners, freezers, refrigerators, and other equipment such as dryers installed at houses.","Air Conditioning and Heating Equipment"
"مِياهُ الصَرْفِ الصِحِّيِّ (المِياهُ العادِمَةُ)","تصريف النفايات السائلة من محطات معالجة مياه الصرف الصحي التي تتلقى مياه الصرف الصحي من المنازل والمؤسسات التجارية والصناعية.","Discharge of effluent from waste water treatment plants which receive waste water from households, commercial establishments, and industries .","Wastewater"
"نَبْعٌ مَكْشُوفٌ","ينابيع طبيعية تفتقد“صناديق” لحمايتها من المياه الجارية ومصادر التلوث الأخرى (بما فيها فضلات الطيور والحيوانات) .","Natural springs that does not have structures to protect them from running water and other contaminants such as the droppings of birds and small animals.","Open Spring"
"نَبْعُ مُغَطّىً","ينابيع طبيعية محمية بهيكل من الطوب/القرميد أو الحجارة أو الإسمنت تخرج مياه الينبوع منه مباشرة إلى أنبوب أو خزان دون الاختلاط بالمياه السطحية الجارية أو مصادر التلوث.","Natural springs protected by a structure of bricks, stones or cement. The spring water comes out directly into a pipe or tank without mixing with the running surface water or contaminants.","Covered Spring"
"نُفاياتٌ غَيْرُ عُضْوِيَّةٍ","هي نفايات لا تحتوي على مركبات عضوية مثل البلاستيك، والمعادن.","Waste that does not contain organic compounds such as plastics, metals.","Inorganic Waste"
"وَقْتُ اِنْتِظارِ المِياهِ","مدة وقت انقطاع المياه حتى وصول المياه للمسكن.","The period from the water outage until the supply is restored.","Water Waiting Time"
"آبارٌ اِرْتِوازِيَّةٌ","هي الآبار المحفورة آليا وفي أعماق مختلفة وفق طبيعة كل منطقة وتسمى آبار أنبوبية .","Wells drilled automatically and at different depths according to the nature of each region and are called tubular wells.","Artesian Wells"
"آبارٌ يَدَوِيَّةٌ","هي الآبار العادية المحفورة باليد في أغلب الأحيان، ويكون مستوى عمقها أقل عمقًا من مستوى الآبار الارتوازية عمومًا.","Ordinary wells dug by hand in most cases, and their depth level is lower than that of artesian wells in general.","Manual Wells"
"آثارٌ بِيئِيَّةٌ","التأثيرات المباشرة للأنشطة الاقتصادية والأحداث الطبيعية على مقومات البيئة.","Environmental impact refers to the direct effect of socio-economic activities and natural events on the components of the environment.","Environmental Impact"
"آلِيّاتٌ","المعدات والآلات التي تسير بالدفع الذاتي بما فيها المعدات الزراعية.","Equipment and machines that operate under self-propulsion, including agricultural equipment.","Machinery"
"أرْصِفَةُ المِيناءِ","هو هيكل أو منطقة تبنى على الميناء حيث ترسو السفن وتنزل حمولتها من البضائع أو المسافرين أو تقوم بتحميلهم.","A structure or area built at the port where ships dock to unload their cargo or passengers, or to load them.","Port Berths"
"أَجْهِزَةُ تَرْشِيدِ المِياهِ","تركيب أجهزة تدفق منخفضة الكفاءة في دورات المياه، المراحيض، والحمامات، ومصارف المطابخ.","Install low-efficiency flush devices in toilets, bathrooms, and kitchen drains.","Water Saving Devices"
"أَدَواتٌ اِقْتِصادِيَّةٌ","وسائل تؤثر من خلالها قرارات الحكومة أو أفعالها في تصرّف المنتجين والمستهلكين وذلك من خلال إحداث تغييرات في السعر الذي يدفع مقابل تلك النشاطات. نذكر من بين هذه الوسائل الضرائب البيئية والتعرفات المباشرة مقابل الخدمات البيئية التي تقدمها الحكومة اللتين تفصل بينهما حدود مرنة قد تتغير جذريًا خلال فترة زمنية قصيرة.","A means by which decisions or actions of government affect the behaviour of producers and consumers by causing changes in the prices to be paid for these activities. Environmental taxes fall into this category, as do direct charges for government provided environmental services. In fact the boundary between these two is rather fluid and may change noticeably over quite a short period of time.","Economic Instruments"
"أَراضٍ غَيْرُ صالِحَةٍ لِلزِراعَةِ","هي جزء من المساحة الكلية للحيازة لا تصلح لزراعة أي محصول نباتي لسبب دائم أو سبب مؤقت مثل الأراضي شديدة الملوحة والأراضي الصخرية.","A part of the total area of the holding that is not suitable for planting any plant crop permanently or temporarily due to reasons such as highly saline land and rocky land.","Non-Arable Lands"
"أَراضٍ غَيْرُ مُسْتَغِلَّةٍ وَلَها قُدْرَةٌ كامِنَةٌ عَلَى الإِنْتاجِ","هي جزء من المساحة الكلية للحيازة متروكة دون استغلال لعدة مواسم زراعية تزيد عن ثلاثة مواسم زراعية.","Part of the total area of the holdings left unexploited for several agricultural seasons exceeding three agricultural seasons.","Unused Lands with Potential Production Capacity"
"أَراضٍ لَمْ تُصَنَّفْ فِي مَكانٍ آخَرٍ","هي جزء من المساحة الكلية للحيازة عبارة عن المساحات الزراعية التي لم تدرج ضمن تصنيفات استخدامات الأراضي في الحيازة وبالعادة تكون ناتج طرح مساحات الحبوب والأعلاف والخضار المكشوفة والمحمية وأزهار القطف وأشجار النخيل والأشجار الدائمة والمباني والإنشاءات والمشاتل والمراعي الدائمة والمؤقتة وبور متروك للراحة وأراضي غير صالحة للزراعة أراضي غير مستغلة ولها قدرة كامنة على الإنتاج من المساحة الكلية للحيازة.","Part of the total area of tenure is the agricultural areas that were not included in the classifications of land uses in the tenure and are usually the result of subtracting the areas of grain, fodder and vegetables exposed and protected, cut flowers, palm trees, permanent trees, buildings, constructions, nurseries, permanent and temporary pastures, fallow left to rest, Non-arable lands, Unused lands with potential production capacity from the total area of possession.","Non Classified Lands (Not Mentioned) Elsewhere"
"أَرْباحُ الأَسْهُمِ","جزء من متحصلات الشركة التي توزع على مساهميها وتأتي بشكل مدفوعات نقدية أو أسهم. وفي معظم الحالات تدفع أرباح الأسهم على أساس فصلي أو ربعي. كما تدفع في بعض الأحيان سنويًا.","Dividends are the part of a company's profits that is paid out to the shareholders. They can be either cash payments or shares. In most cases, the dividends are paid seasonally, quarterly, or annually.","Dividends"
