English,French,German,Arabic
Replace Checked,Remplacer les éléments cochés,Markierte ersetzen,استبدل المُعلمة
Result,Résultat,Ergebnis,النتيجة
Search,Chercher,Suchen,ابحث
Search & Replace,Chercher et remplacer,Suchen und Ersetzen,ابحث واستبدل
Search As You Type,Rechercher pendant votre saisie,Während der Eingabe suchen,ابحث وأنت تكتب
Search Match,Rechercher une correspondance,Such-Übereinstimmung,تطابق البحث
Search in current tab; press and hold Ctrl to search in a new tab.,Rechercher dans l'onglet courant. Veuillez appuyer sur la touche « CTRL » et la maintenir enfoncée pour rechercher dans un nouvel onglet.,,ابحث في اللسان الحالي؛ اضغط مع الاستمرار على Ctrl للبحث في لسان جديد.
Search was not started as directory '%1' to search in doesn't exist.,La recherche n'a pas été affichée car le répertoire « %1 » dans lequel  doit s'effectuer la recherche n'existe pas.,,لم يبدأ البحث لأن الدليل '%1' المراد البحث فيه غير موجود.
Search: %1,Rechercher : %1,Suchen: %1,ابحث: %1
Searching while you type was interrupted. It would have taken too long.,La recherche instantanée a été interrompue. Elle aurait pris trop de temps.,"Die Suche bei der Eingabe wurde abgebrochen, da sie zu lange dauern würde.",قوطع البحث أثناء الكتابة. كان يمكن أن يستغرق وقتا طويلا.
Set of characters,Ensemble de caractères,Zeichengruppe,مجموعة محارف
Show more search options,Afficher plus d'options de recherche,Weitere Sucheinstellungen anzeigen,اعرض المزيد من خيارات البحث
Size limit,Limite de taille,,حدّ الحجم
Starting from first match,Continuer à partir de la première correspondance,Bei erstem Treffer beginnen,يبدأ من أوّل مطابقة
Starting from last match,Démarrage à partir de la première correspondance,Bei letzten Treffer beginnen,يبدأ من أخر مطابقة
Stop,Arrêter,Anhalten,أوقف
Tab,Tabulation,Tabulator,محرف جدولة
This will copy all highlighted search match lines in the current document to the clipboard,Cela copiera toutes les lignes correspondantes de recherche en surbrillance du document actuel vers le presse-papier.,,سيؤدي ذلك إلى نسخ جميع السطور المطابقة للبحث من المستند الحالي إلى الحافظة
This will cut all highlighted search match lines from the current document to the clipboard,Cela coupera toutes les lignes de recherche en surbrillance du document actuel vers le presse-papier.,,سيؤدي ذلك إلى قص جميع السطور المطابقة للبحث من المستند الحالي إلى الحافظة
Upper-cased capture 0-9,Capture 0-9 en majuscules,Groß geschriebene Gruppierung 0-9,التقط حروف كبيرة 0-9
Upper-cased capture 0-999,Capture 0-999 en majuscules,Groß geschriebene Gruppierung 0-999,التقط حروف كبيرة 0-999
Usage: grep [pattern to search for in folder],Utilisation : grep [motif à chercher dans un dossier],"Befehlsformat: grep [Muster, nach dem im Ordner gesucht werden soll]",الاستخدام: grep [النمط للبحث عنه في المجلّد]
Usage: newGrep [pattern to search for in folder],Utilisation : newGrep [motif à chercher dans un dossier],"Befehlsformat: newGrep [Muster, nach dem im Ordner gesucht werden soll]",الاستخدام: newGrep [النمط للبحث عنه في المجلّد]
Usage: newPGrep [pattern to search for in current project],Utilisation : newGrep [motif à chercher dans le projet actuel],"Befehlsformat: newPGrep [Muster, nach dem im aktuellen Projekt gesucht werden soll]",الاستخدام: newPGrep [النّمط للبحث عنه في المشروع الحاليّ]
Usage: pgrep [pattern to search for in current project],Utilisation : grep [motif à chercher dans le projet actuel],"Befehlsformat: grep [Muster, nach dem im aktuellen Projekt gesucht werden soll]",الاستخدام: pgrep [النّمط للبحث عنه في المشروع الحاليّ]
Usage: preg [regex pattern to search for in current project],Utilisation : preg [motif d'expression rationnelle à chercher dans le projet actuel],"Befehlsformat: preg [reguläres Muster, nach dem im aktuellen Projekt gesucht werden soll]",الاستخدام: preg [النّمط للبحث عنه في المشروع الحاليّ]
Usage: search [pattern to search for in open files],Utilisation : search [motif à chercher dans les fichiers ouverts],"Befehlsformat: search [Muster, nach dem in offenen Dateien gesucht werden soll]",الاستخدام: search [النّمط للبحث عنه في الملفّات المفتوحة]
Use the current document's path.,Utilisez l'emplacement du document actuel.,Aktuellen Dokumentpfad verwenden.,استخدم مسار المستند الحاليّ.
Whitespace (excluding line breaks),Caractère d'espacement (à l'exclusion des sauts de ligne),Leerraum (ohne Zeilenumbrüche),مسافة (عدى كاسر الأسطر)
Word boundary,Limite de mot,Wortgrenze,حدود الكلمة
Word character (alphanumerics plus '_'),Caractère mot (alphanumérique plus « _ »),Wortzeichen (alphanumerisch und „_“),محرف كلميّ (الأبجديّة مع '_')
Zero or more occurrences,Zéro occurrence ou plus,Kein oder mehrere Vorkommen,لا تكرار أو أكثر
Zero or one occurrences,Zéro ou une occurrence,Kein oder ein Vorkommen,لا تكرار أو تكرار واحد
