English,French,German,Arabic
PDF Backend Configuration,Configuration du moteur PDF,Einstellungen zum Anzeigemodul PDF,ضبط خلفية بي دي اف
PDF Options,Options « PDF »,PDF-Optionen,خيارات بي دي اف
PDF v. %1.%2,PDF version %1.%2,PDF v. %1.%2,PDF v. %1.%2
Print annotations,Imprimer les annotations,Anmerkungen drucken,اطبع الحواشي
Rasterize into an image before printing,Rastériser (convertir en image) avant l'impression,Vor dem Druck in ein Rasterbild umwandeln,حول إلى صورة قبل الطباعة
Restart needed,Redémarrage nécessaire,Neustart erforderlich,يلزم إعادة التشغيل
Scale mode:,Mode de mise à l'échelle :,Skalierungsmodus:,وضع الحجم:
Scaling mode for the printed pages,Mode de mise à l'échelle pour les pages imprimées,Skalierungsmodus für Druckseiten,وضع التحجيم للصفحات المطبوعة
Security,Sécurité,Sicherheit,الأمن
Shape,Forme,Form,الشكل
Signature backend:,Moteur de signature :,Signaturmodul:,توقيع الخلفية:
"Signed by: %1

Date: %2","Signé par : %1

Date : %2","Signiert von : %1

Datum: %2","وقع بواسطة: %1

التاريخ: %2"
Solid,Solide,Einfarbig,صلب
"Some errors were found in the document, Okular might not be able to show the content correctly",Des erreurs ont été trouvées dans le document. Okular pourrait ne pas être en mesure d'afficher le contenu correctement.,"Es wurden einige Fehler im Dokument gefunden, daher kann die Anzeige des Inhalts fehlerhaft sein.",عثر على بعض الأخطاء في المستند ، قد لا تتمكن اوكلار من إظهار المحتوى بشكل صحيح
These signatures can only be validated by modern Okular users with GnuPG backend activated,Ces signatures ne peuvent être validées que par les utilisateurs de versions récentes de Okular ayant le moteur GnuPG activé,,لا يمكن التحقق من صحة هذه التوقيعات إلا من قبل مستخدمي أوكلار الحديثين الذين نشطوا خلفية GnuPG لديهم
These signatures only work between modern versions of Okular with the GnuPG based backend activated,Ces signatures ne fonctionnent qu'entre les versions récentes de Okular ayant  le moteur  reposant sur GnuPG activé,,تعمل هذه التوقيعات فقط بين الإصدارات الحديثة من أوكلار مع تنشيط الواجهة الخلفية المستندة إلى GnuPG
Unencrypted,Non chiffré,Unverschlüsselt,غير مشفّرة
Using Poppler %1,Utilisation de Poppler %1,Verwendet Poppler %1,يستخدم Poppler %1
"Using Poppler %1

Built against Poppler %2","Utilisation de Poppler %1

Construit sur Poppler %2","Verwendet Poppler %1

Gebaut mit Poppler %2","يستخدم Poppler %1

بني على Poppler %2"
Yes,Oui,Ja,نعم
"You are using a Poppler library built without NSS support.
Adding Digital Signatures isn't available for that reason","Vous utilisez actuellement la bibliothèque « Poppler » compilée sans la prise en charge de « NSS ».
L'ajout de signatures numériques est indisponible pour cette raison.","Sie verwenden eine Poppler-Bibliothek ohne Unterstützung für NSS.
Daher ist es nicht möglich, digitale Signaturen hinzufügen","أنت تستخدم مكتبة Poppler تم إنشاؤها بدون دعم NSS. 
لا تتوفر إضافة التوقيعات الرقمية لهذا السبب"
You need to restart Okular after changing the NSS directory settings,Vous devez redémarrer Okular après modification des paramètres de dossier « NSS ».,Okular muss nach Änderungen des NSS-Ordners neu gestartet werden,تحتاج إلى إعادة تشغيل أوكلار بعد تغيير إعدادات دليل NSS
forever,pour toujours,,للأبد
