English,French,German,Arabic
Probe level:,Niveau de sonde :,,مستوى التحقيق:
Reduction core count:,Compte du cœur de réduction :,,عدد نوى التخفيض:
Replicode,Replicode,Replicode,ريبلكود
Replicode Config,Configuration du programme « replicode »,Replicode-Einstellung,ضبط ريبلكود
Replicode Executable Not Found,Impossible de trouver l'exécutable replicode,Das ausführbare Programm Replicode wurde nicht gefunden,لم يوجد تنفيذيّ ريبلكود
Replicode configuration,Configuration de « replicode »,Replicode-Einrichtung,ضبط ريبلكود
Replicode execution failed: %1,Erreur lors de l'exécution de replicode : %1,Die Ausführung von Replicode ist fehlgeschlagen: %1,فشل تنفيذ ريبلكود: %1
Replicode execution finished.,Exécution de replicode terminée.,Die Ausführung von Replicode wurde beendet.,انتهى تنفيذ ريبلكود.
Run,Exécuter,Ausführen,شغّل
Run (%1),Exécution (%1),Ausführen (%1),شغّل (%1)
Run replicode,Exécuter le programme « replicode »,Replicode ausführen,شغّل ريبلكود
Run time (milliseconds):,Temps d'exécution (milli-secondes) :,Laufzeit (Millisekunden),زمن التّشغيل (بالملّي ثانية):
Secondary time horizon:,Horizon de temps secondaire :,Sekundärer Zeithorizont:,أفق الوقت الثانوي:
Simulation time horizon:,Horizon de temps de simulation :,Zeithorizont der Simulation:,أفق وقت المحاكاة:
Stop (%1),Arrêt (%1),Anhalten (%1),أوقف (%1)
Stop replicode,Arrêter le programme « replicode »,Replicode anhalten,أوقف ريبلكود
System,Système,System,النّظام
Targeted pattern extractor delta success rate threshold:,Seuil du delta de taux de succès d'extraction du motif cible :,,عتبة معدل نجاح دلتا المستهدف المستهدف:
Targeted pattern extractor time horizon:,Horizon de temps d'extraction du motif cible :,,أفق وقت مستخرج النمط المستهدف:
Test models:,Modèles de test :,Testmodelle:,نماذج الاختبار:
Test objects:,Objets de test :,Testobjekte:,اختبار الكائنات:
Time core count:,Compte du cœur de temps :,,عدد نوى الوقت:
Timer tolerance:,Tolérance du chronomètre :,,تحمّل المؤقّت:
Traces:,Traces :,Traces:,الآثار:
"Unable to find replicode executor.
Please go to settings and set the path to the Replicode executable.","Impossible de trouver l'exécutable replicode.
Veuillez ouvrir les paramètres et définir l'emplacement de l'exécutable replicode.","Das Ausführungsprogramm Replicode wurde nicht gefunden.
Öffnen Sie die Einstellungen und korrigieren Sie den Pfad zum Programm Replicode.","تعذّر إيجاد تنفيذيّ ريبلكود.
فضلًا انتقل إلى الإعدادات واضبط مسار تنفيذيّ ريبلكود."
"Unable to find user operator library.
Please go to settings and set the path to the library.","Impossible de trouver la bibliothèque d'opérateurs personnalisés.
Veuillez ouvrir les paramètres et définir l'emplacement de la bibliothèque.",,"تعذر العثور على مكتبة مشغل المستخدم.
يرجى الانتقال إلى الإعدادات وتعيين المسار إلى المكتبة."
Unable to open source file for reading.,Impossible d'ouvrir le fichier source pour le lire.,Die Quelltextdatei kann nicht zum Lesen geöffnet werden.,تعذّر فتح الملفّ المصدر للقراءة.
User Operator Library Not Found,Impossible de trouver la bibliothèque d'opérateurs personnalisés,,لم يعثر على مكتبة مشغل المستخدم
User classes file:,Fichier de classes utilisateur :,,ملفّ أصناف المستخدم:
User operations layout module:,Module de disposition des opérations utilisateur :,,وحدة تخطيط عمليّات المستخدم:
