English Term,Arabic Term,Arabic Description
Application Data Management (ADM),إدارة بيانات التطبيقات,عملية الحوكمة والتأمين والصيانة للبيانات المستخدمة بواسطة تطبيقات برمجية محددة. .
Application Programming Interface )API(,واجهة برمجة التطبيقات,مجموعة من القواعد والبروتوكوالت التي ُتتيح للتطبيقات البرمجية المختلفة التواصل والتفاعل بعضها مع بعض. .
Approximate String Matching,مطابقة تقريبية للسالسل,عملية العثور على تطابق تقريبي للسالسل بدًال من المطابقة التامة. .
Approximation Error,خطأ التقريب,الفرق بين القيمة الحقيقية والقيمة المقدرة بواسطة النموذج. .
Area under the ROC Curve (AUC),مساحة تحت منحنى دّقة الأداء,مقياس أداء ُيستخدم لتقييم قدرة نموذج التصنيف الثنائي على التمييز بين الأصناف الإيجابية والسلبية عبر جميع حدود التصنيف. .
Argumentation Framework,إطار لا ُحجج,شبكة تشتمل على ُعَقد ُتمِّثل الُحجج، وحافات ُتمِّثل التعارضات بين هذه الُحجج. .
Artificial General Intelligence )AGI(,ذكاء عام اصطناعي,نظام حوسبي يمكنه أداء أي مهمة فكرية يمكن للإنسان أداؤها، مثل: حل المشكالت والإبداع والقدرة على الَّتَكُّيف. وُيطلق عليه أيًضا ذكاء اصطناعي عام، أو ذكاء اصطناعي  . قوي، أو ذكاء اصطناعي واسع. .
Artificial Immune System )AIS(,نظام المناعة الاصطناعي,نظام َتَكُّيف ّي لحل المشكالت، مستوحى من جهاز المناعة البشري. .
Artificial Intelligence )AI(,ذكاء اصطناعي,مجال من مجالات علوم الحاسب يركز على بناء أنظمة قادرة على أداء مهام تتطلب عادًة ذكاًء بشرًّيا، مثل: التعُّلم والاستدلال والتطوير الذاتي. وُيطلق عليه أيًضا ذكاء الآلة. . .
Artificial Intelligence Alignment,مواءمة الذكاء الاصطناعي,عملية جعل أنظمة الذكاء الاصطناعي تعمل بطرق تتماشى مع الأهداف والقيم الإنسانية. .
Artificial Intelligence as a Service )AIaaS(,ذكاء اصطناعي كخدمة,خدمة قائمة على السحابة، توفر إمكانات الذكاء الاصطناعي وأدواته، جاهزة لالستخدام من الأفراد والمؤسسات. .
Artificial Intelligence Bias,تحُّيز الذكاء الاصطناعي,تفضيل أو انحياز نظام الذكاء الاصطناعي لمجموعات ما على حساب مجموعات أخرى. وُيطلق عليه أيًضا تحُّيز خوارزمي.    . .
Artificial Intelligence Ethics,أخالقيات الذكاء الاصطناعي,مجموعة من القيم والمبادئ والأساليب لتوجيه السلوك الأخالقي في تطوير تقنيات الذكاء الاصطناعي واستخدامها. .
Artificial Intelligence Governance,حوكمة الذكاء الاصطناعي,السياسات والمبادئ والممارسات التي تضمن التطوير والاستخدام المسؤول والأخالقي والآمن للذكاء الاصطناعي. .
Artificial Intelligence Hallucination,هلوسة الذكاء الاصطناعي,حالة يوِّلد فيها نموذج الذكاء الاصطناعي نتائج غير صحيحة أو مضللة أو غير منطقية. .
Artificial Intelligence Markup Language )AIML(,لغة ترميز الذكاء الاصطناعي,لغة ترميزية مبنية على لغة الترميز الموسعة ()؛ لتطوير  () تطبيقات اللغات الطبيعية. .
Artificial Intelligence Operations )AIOps(,ذكاء اصطناعي للعمليات,تطبيق تقنيات الذكاء الاصطناعي ألتمتة عمليات تشغيل تقنية المعلومات وتحسينها، مثل: المراقبة والتحليل والإدارة. .
Artificial Intelligence Planning,تخطيط الذكاء الاصطناعي,فرع من فروع الذكاء الاصطناعي يهتم باختيار مجموعة من الأفعال المناسبة لتحقيق هدف معين. وُيطلق عليه أيًضا . تخطيط وجدولة مؤتمتة. .
Artificial Intelligence System,نظام ذكاء اصطناعي,نظام قادر على أداء مهام تتطلب عادًة ذكاًء بشرًّيا، مثل: التعُّلم والاستدلال والتطوير الذاتي. .
Artificial Narrow Intelligence )ANI(,ذكاء ضيق اصطناعي,نوع من أنظمة الذكاء الاصطناعي قادر على تنفيذ مهام محددة فقط. وُيطلق عليه أيًضا ذكاء اصطناعي ضيق أو      . ذكاء اصطناعي ضعيف. .    ()
Artificial Neural Network )ANN(,شبكة عصبية اصطناعية,نموذج حوسبي في الذكاء الاصطناعي مستوحى من الشبكات العصبية البيولوجية ألدمغة الحيوانات. وُيطلق عليه أيًضا  . شبكة عصبية. .()
Artificial Neuron,خلية عصبية اصطناعية,انظر خلية عصبية. .
Artificial Superintelligence )ASI(,ذكاء اصطناعي خارق,انظر ذكاء خارق. .
Artificial Synapse,ناقل عصبي اصطناعي,انظر ناقل عصبي. .
Association for the Advancement of Artificial,جمعية النهوض بالذكاء الاصطناعي,() جمعية علمية غير ربحية ُمكَّرسة للنهوض بالبحث العلمي، والتثقيف العام، وتدريب الممارسين، والحث على الاستخدام المسؤول للذكاء الاصطناعي. .
Associative Learning,تعُّلم ترابطي,أسلوب من أساليب تعُّلم الآلة قائم على قواعد الكتشاف العلاقات المهمة بين الخصائص أو المتغيرات في مجموعة البيانات. .
Attention Mechanism,آلية الانتباه,انظر نموذج الانتباه. .
Attention Model,نموذج الانتباه,أسلوب في الشبكة العصبية ُيتيح للشبكة التركيز على جانب واحد من الُمْدَخلات المعقدة في كل مرة حتى ُتصَّنف مجموعة البيانات بأكملها. وُيطلق عليه أيًضا آلية الانتباه. . .
Attribute,سمة,صفة أو ميزة لشيء ما بمقدور البشر أو الطرق المؤتمتة التعُّرف عليها، وغالًبا ما تستخدم كمرادف لكلمة خاصية.  . .
Audio Signal Processing,معالجة الإشارات الصوتية,مجال فرعي من معالجة الإشارات يركز على تحليل الإشارات الصوتية ومعالجتها. .
Auditability,قابلية التدقيق,القدرة على مراجعة البيانات والعمليات واتخاذ القرارات في نظام الذكاء الاصطناعي وتقييمها؛ لضمان الشفافية والمساءلة. .
Augmented Analytics,تحليالت ُمَعَّززة,استخدام تقنيات الذكاء الاصطناعي ألتمتة عمليات تحليالت البيانات، مثل: إعداد البيانات واكتشاف الرؤى. .
Augmented Data Quality,جودة البيانات الُمَعَّززة,استخدام تقنيات الذكاء الاصطناعي ألتمتة عمليات جودة البيانات، وتحسين دقة البيانات واتساقها وموثوقيتها. .
Augmented Intelligence,ذكاء ُمعَّزز,نمط تصميمي ُيكِّمل الذكاء البشري، ويساعد البشر ليكونوا أذكى وأسرع في أداء المهام. وُيطلق عليه أيًضا تعزيز الذكاء. . .
Augmented Research,بحث ُمعَّزز,تطبيق الذكاء الاصطناعي في تحليل البيانات واختبار الفرضيات؛ لدعم البحث في المجالات المختلفة. .
Auto-Regressive Model,نموذج انحدار ذاتي,نموذج يتنبأ بالقيم المستقبلية بناًء على القيم السابقة. .
Autoencoder,ُمرِّمز تلقائي,نوع من الشبكات العصبية الاصطناعية ُيستخدم لإنتاج تمثيالت بيانات فاعلة للتعُّلم غير الموَّجه. .
Automated Journalism,صحافة مؤتمتة,انظر صحافة روبوتية. .
Automated Machine Learning )AutoML(,تعُّلم الآلة المؤتمت,عملية أتمتة مهام تعُّلم الآلة؛ لبناء النماذج وتدريبها واختبارها ونشرها. .
Automated Planning and Scheduling,تخطيط وجدولة مؤتمتة,انظر تخطيط الذكاء الاصطناعي. .
Automated Reasoning,استدلال مؤتمت,عملية توفر إطاًرا منظًما لخوارزميات تعُّلم الآلة؛ ألجل تحديد المشكالت وحلها. .
Automated Vehicle,مركبة مؤتمتة,انظر مركبة ذاتية التحكم. .
Automatic Speech Recognition )ASR(,تعُّرف تلقائي على الكالم,انظر تعُّرف على الكالم. .
Automatic Summarization,تلخيص تلقائي,عملية اختصار جزء من اللغات الطبيعية مع الحفاظ على الدلالات المهمة. .
Automation,أتمتة,عملية أو نظام يعمل دون تدخل بشري. .
Automation Bias,تحُّيز الأتمتة,تفضيل صانع القرار البشري التوصيات التي ينتجها نظام صنع قرار مؤتمت على المعلومات التي ُتنَتج بدون أتمتة، حتى عندما يرتكب نظام صنع القرار المؤتمت أخطاء.
Autonomic Computing,حوسبة ذاتية,قدرة النظام على إدارة موارده دون تدخل المستخدم. .
Autonomous Car,سيارة ذاتية التحكم,انظر سيارة ذاتية القيادة. .
Autonomous Driving,قيادة ذاتية,عملية استشعار المحيط والتحرك بتحكم واكتفاء ذاتي. .
Autonomous Robot,روبوت ذاتي التحكم,روبوت يؤدي المهام بدرجة عالية من التحكم الذاتي. .
Autonomous System,نظام ذاتي التحكم,نظام يعمل بتحكم ذاتي، ويؤدي المهام، ويتخذ القرارات دون تدخل بشري. .
Autonomous Vehicle,مركبة ذاتية التحكم,مركبة قادرة على استشعار محيطها والتحرك بتحكم واكتفاء ذاتي. وُيطلق عليها أيًضا مركبة مؤتمتة.  . .
Autonomy,تحكم ذاتي,قدرة النظام على العمل وفًقا لقواعده و ُطُرق تعُّلمه. .
Autoregressive Model,نموذج الانحدار الذاتي,نموذج يتنبأ بالقيمة المستقبلية لمتغير ما، بناًء على ِقَيمه السابقة. .
Availability,توُّفر,خاصية إمكانية الوصول عند الطلب من كيان معتمد. .
Average Linkage,ربط متوسط,طريقة تجميع تحسب المسافة بين مجموعتين عن طريق متوسط المسافة بين جميع أزواج نقاط البيانات من كل مجموعة. .
Average Precision,متوسط الإحكام,مقياس يلخص أداء تسلسل ُمرَّتب للنتائج عن طريق حساب متوسط قيم الدقة لكل نتيجة ذات صلة. .
Backpropagation,انتشار عكسي,خوارزمية ُتستخدم عند تدريب الشبكات العصبية الاصطناعية لتقليل الأخطاء عن طريق إيجاد قيمة التدرج المطلوب لحساب أوزان الشبكة. .
Backpropagation Through Time )BPTT(,انتشار عكسي عبر الزمن,طريقة لتطبيق الانتشار العكسي على الشبكات العصبية التكرارية. .
Backward Chaining,تسلسل خلفي,طريقة استدلال منطقي تعمل بطريقة عكسية؛ من الهدف إلى تحديد البيانات أو الإثباتات المؤِّيدة لذلك الهدف. .
Bag of Words,حقيبة كلمات,تمثيل للكلمات في نص يصف تكرارها داخل مستند، بغض النظر عن ترتيبها. .
Baseline Model,نموذج أساس,نموذج مرجعي ُيستخدم لمقارنة مدى جودة أداء نموذج آخر أكثر تعقيًدا في مشكلة معينة. .
Batch,ُحزمة,مجموعة من الأمثلة المستخدمة لتدريب النموذج. .
Batch Inference,استنتاج ُحَزمي,انظر استنتاج غير مباشر. .
Batch Normalization,تسوية لا ُحزمة,أسلوب تعُّلم موَّجه لتحسين أداء الشبكة العصبية واستقرارها عن طريق تحويل مخرجات الطبقة البينية إلى صيغة موحدة. .
Batch Processing,معالجة لا ُحزمة,معالجة مجموعة من البيانات أو البرامج بأقل قدر من التفاعل البشري. .
Batch Size,حجم لا ُحزمة,عدد العِّينات التي ُتمَّرر إلى نموذج تعُّلم الآلة في كل تكرار لتدريب النموذج. .
Bayes's Law,قانون بايز,انظر نظرية بايز. .
Bayes’s Rule,قاعدة بايز,انظر نظرية بايز. .
Bayes's Theorem,نظرية بايز,صيغة رياضية لحساب الاحتمالات الشرطية التي تصف احتمالية وقوع حدث ما، بناًء على حدث سابق. وُيطلق عليها أيًضا قانون بايز أو قاعدة بايز.    . .
Bayesian Network,شبكة بايزية,نموذج شبكي يمثل المتغيرات وتوابعها الشرطية باستخدام الاستنتاج البايزي. .
Bayesian Neural Network,شبكة عصبية بايزية,شبكة عصبية احتمالية تعتمد على نظرية بايز لحساب أوجه عدم التيقن في الأوزان والمخرجات. .
Bayesian Programming,برمجة بايزية,طريقة إحصائية لبناء نماذج احتمالية، وحل المشكالت المفتوحة ذات المعلومات غير المكتملة. .
Bees Algorithm,خوارزمية النحل,خوارزمية تحاكي سلوك أسراب النحل في العثور على الغذاء عن طريق البحث العشوائي، ويمكن استخدامها لحل مشكالت التحسين. .
Behavior Informatics )BI(,معلوماتية السلوك,مجال يهتم بجمع البيانات غير المتجانسة وتحليلها وتفسيرها؛ لتمثيل السلوك البشري ونمذجته. .
Behavior Tree )BT(,شجرة السلوك,طريقة لهيكلة التبديل بين الأفعال المختلفة في وكيل ذاتي التحكم. .
Behavioral Analytics,تحليالت سلوكية,عملية استخدام البيانات المتعلقة بسلوكيات المستخدمين؛ لفهم نواياهم وأفعالهم والتنبؤ بها. .
Belief-Desire-Intention Software Model )BDI(,نموذج برمجي للمعتقدات والرغبات والمقاصد,إطار لتصميم وتنفيذ وكالء أذكياء يحاكون البشر في الاستدلال واتخاذ القرارات. .
Bellman Equation,معادلة بلمان,صيغة رياضية تكرارية ُتستخدم في عدد من خوارزميات التعُّلم التعزيزي؛ لحساب المكافأة الإجمالية المتوقعة إثر القيام بالفعل. .
Bias,تحُّيز,ُمعاِمل في الشبكة العصبية ُيتيح للخلايا العصبية تحويل دالة التنشيط. .
Bias Mitigation Algorithm,خوارزمية تخفيف التحيز,خوارزمية مصممة لتقليل التحيزات داخل مجموعات البيانات أو نماذج الذكاء الاصطناعي. .
Bias–Variance Tradeoff,موازنة التحُّيز-التباين,تعارض ينشأ عند محاولة تقليل التحُّيز والتباين، يمنع الخوارزميات الموَّجهة من التعميم خارج مجموعة التدريب. .
Bidirectional Encoder Representations From ),تمثيالت الترميز الثنائية الاتجاه من الُمحِّوالت (بيرت,)( أسلوب تعُّلم عميق يعتمد على معمارية الُمحِّوالت؛ لمعالجة اللغات الطبيعية. .()
Bidirectional Language Model,نموذج لغوي ثنائي الاتجاه,نموذج يحدد احتمالية وجود كلمة في نص ما بناًء على النص الذي يأتي قبلها وبعدها. .
Big Data,بيانات ضخمة,مجموعة بيانات كبيرة تتطلب تقنيات قابلة للتوسع لتخزينها ومعالجتها وإدارتها وتحليلها؛ نظًرا لخصائص حجمها وتنوعها وسرعتها وتباينها. .
Big Data Analytics,تحليالت البيانات الضخمة,عملية فحص كمية كبيرة من البيانات المتنوعة؛ الكتشاف الأنماط والارتباطات والاتجاهات التي ُتقِّدم رؤى وتدعم اتخاذ القرار. .
Big Data Intelligence,ذكاء البيانات الضخمة,استخدام تقنيات الذكاء الاصطناعي لتحليل مجموعات البيانات الكبيرة المعقدة وتفسيرها. .
Big O Notation,رمز (أو) الكبرى,مقياس نظري للوقت أو الذاكرة الالزمين لتنفيذ الخوارزمية بالنظر إلى حجم المشكلة. .
Bigram,وحدات ثنائية,تسلسل من عنصرين في نص ما. .
Bilingual Evaluation Understudy (BLEU),تقييم ثنائي اللغة,مقياس لتقييم جودة النص المترجم تلقائًّيا من لغة إلى أخرى.
Binary Classification,تصنيف ثنائي,نوع من أنواع التصنيف يتنبأ بفئة واحدة فقط من بين صنفين محتملين. .
Binary Tree,شجرة ثنائية,هيكل شجري، كل عقدة فيه تحتوي على عقدتين فرعيتين على الأكثر. .
Binning,تجميع صناديق,انظر تجميع وحدات. .
Biometrics,قياسات حيوية,الخصائص الجسدية والسلوكية القابلة للقياس التي يمكن استخدامها لتحديد هوية الأفراد والتحقق منها. .
Black Box,صندوق أسود,استعارة ُتستخدم لوصف نظام أو خوارزمية ذات بنية داخلية غير معروفة أو أعمال غير ظاهرة؛ تؤدي إلى عدم فهم كيفية عملها. .
Boltzmann Machine,آلة بولتزمان,شبكة عصبية من الُعَقد المتصلة المتماثلة، وتتخذ قراراتها الخاصة بشأن التنشيط. .
Boosting,تعزيز,طريقة تعُّلم تجميعي ُتستخدم في تعُّلم الآلة لتحسين دقة النماذج التنبؤية. .
Bootstrap Aggregating )Bagging(,تجميع بوتستراب,طريقة تعُّلم تجميعي ُتستخدم لتحسين الاستقرار والدقة في نماذج التصنيف والانحدار. .
Bot,بوت,برنامج مؤتمت يؤدي مهاَّم متكررة؛ لمحاكاة النشاط البشري. .
Bounding Box,إطار تحديد,إحداثيات تحدد إطاًرا مستطي ًال يحيط بمنطقة معينة أو شيء ما. .
Branching Factor,عامل التفرع,عدد الُعَقد الفرعية التي ُتوِّلدها العقدة. .
Broad Artificial Intelligence,ذكاء اصطناعي واسع,انظر ذكاء عام اصطناعي. .()
Broadcasting,بث,طريقة في تعُّلم الآلة لمطابقة أبعاد المصفوفات ذات الأحجام المختلفة، وإتاحة إجراء عمليات حسابية بين تلك المصفوفات.
Brute Force Search,بحث القوة الغاشمة,أسلوب لحل مشكلة ما عن طريق تجربة جميع الحلول الممكنة حتى العثور على الحل المناسب. .
Bucketing,تجميع وحدات,عملية تحويل خاصية مستمرة إلى خاصية ثنائية متعددة ُتسَّمى وحدات؛ بناًء على نطاق من القيم. وُيطلق عليها أيًضا تجميع صناديق. .   .
Burstiness,تباين نصي,التباين في طول الُجَمل وبنيتها في النص. .
Business Intelligence,ذكاء الأعمال,نظام مبني على البيانات، يشتمل على جمع البيانات وتخزينها وتحليلها وتصويرها؛ لدعم اتخاذ القرار. .
Calibration Layer,طبقة المعايرة,تعديل الحق للتنبؤ؛ لتقليل تحُّيزه. .
Candidate Generation,توليد الترشيحات,عملية اختيار التوصيات الأولية بواسطة نظام التوصية. .
Candidate Sampling,أخذ عِّينات الُمر َّشحين,طريقة لتحسين التدريب؛ عن طريق حساب الاحتمالات لجميع الأصناف المستهدفة، ولعينة عشوائية من الأصناف الأخرى. .
Capsule Neural Network )CapsNet(,شبكة عصبية كبسولية,شبكة عصبية اصطناعية تتكون من مجموعة من الخلايا العصبية (كبسوالت)، ُتمِّثل ُمعاِمالت إنشاء لكيان معين.     () .
Case-Based Reasoning (CBR),استدلال قائم على الحالة,طريقة لحل مشكالت جديدة باستخدام حلول لمشكالت سابقة مماثلة. .
Catastrophic Forgetting,نسيان كارثي,ظاهرة يفقد فيها النموذج المعلومات التي تعَّلمها سابًقا، وذلك عند تعُّلم مهام جديدة. وُيطلق عليه أيًضا تداخل كارثي.  . .
Catastrophic Interference,تداخل كارثي,انظر نسيان كارثي. .
Categorical Data,بيانات فئوية,الخصائص التي تشتمل على مجموعة منفصلة من القيم المحتملة. .
Causal Inference,استنتاج سببي,عملية تحديد علاقات السبب والنتيجة بين المتغيرات داخل البيانات. .
Causal Language Model,نموذج لغوي سببي,انظر نموذج لغوي أحادي الاتجاه. .
Central Limit Theorem,نظرية الحد المركزي,نظرية تنص على أن توزيع المتوسطات لمشاهدات مستقلة يقترب من نموذج التوزيع الطبيعي كلما أصبح حجم العينة أكبر، بغض النظر عن الشكل الإحصائي لتوزيع المجموعة التي ُأِخذت منها العينة. .
Central Processing Unit (CPU),وحدة المعالجة المركزية,دائرة إلكترونية تنفذ تعليمات البرنامج، وتتحكم في أداء الحاسب. .
Centroid,بؤرة تجميع,مركز مجموعة محدد بواسطة خوارزمية تجميع، مثل: خوارزميات تجميع بالمتوسط أو بالوسيط. .
Centroid-Based Clustering,تجميع تمحوري,خوارزمية تجميع، ترتب البيانات في مجموعات غير هرمية ُتمَّثل بواسطة ُمَّتجه مركزي أو بؤرة تجميع. .
Chain Rule,قاعدة التسلسل,نظرية أساسية في حساب التفاضل والتكامل، توفر طريقة لحساب مشتق دالة مركبة. وُتستخدم أيًضا في الاحتمالات؛ لحساب الاحتمال المشترك لتسلسل من الأحداث.       . .
Chain-of-Thought )CoT( Prompting,أوامر تسلسل الأفكار,أسلوب لهندسة الأوامر، يحث النموذج على تقسيم المهام المعقدة إلى خطوات أصغر؛ إلظهار عملية الاستدلال. .
Chatbot,بوت محادثة,برنامج ذكاء اصطناعي يستخدم أساليب معالجة اللغات الطبيعية للتفاعل مع المستخدمين عن طريق المحادثات الصوتية أو النصية. .
Checkpoint,نقطة حفظ,حفظ نسخة من متغيرات النموذج في نقطة زمنية معينة، على وجه ُيتيح تصدير أوزان النموذج وأداء التدريب عبر جلسات متعددة. .
Chunk Size,حجم القطعة النصية,عدد الأحرف في قطعة من النص. .
