A posteriori,بعدي
Cosmological Constant,ثابت كوني (كوسمولوجي)
Counterpart,نظير
Creationism,خلقوية
Criterion,معيار
Crush fault,خطأ التعطل
Curvature of Space-time,تحدب الزمكان
Customization,صنع حسب طلب العميل
Cyberspace,فضاء معلوماتي
Cystic fibrosis,مرض التليف الكيسي
D D T,د دت
Dark Matter,مادة داكنة
Darwinism,داروينية
Data ports,منافذ بيانات
Deduction,استنباط
Definiendum,معرف
Definiens,معرف به
Delivery vehicles,مركبات تسليم
Demarche,مسلك
Demography,علم السكان/ ديمغارفي
Denial/ Negation,نفي
Derivative,مشتق
Descendant,سليل
Description,وصف
Determination,حتمية
Determinism,حتمية
Development,تنامي
Diabetes,مرض السكري
Dialect,لغة محلية
Differentiation,تمايز
Digital speaking,تكلم رقمي
Dilemma,قياس الإحراج
Dimensions,أبعاد
Discourse,خطاب كلامي (كلام)
Disjunction,فصل
Diverticulitis,التهاب ردبي
DNA,"دنا - مختصر الحامض النووي دي أوكسي
ريبونوكلييك"
Dogma,عقيدة
Double-Slit Experiments,تجارب الشقوق المزدوجة
Down Quarks,كواركات سفلى
Download,تحميل ترحيلي
Down's Syndrome,متلازمة داون
Drafting program,برنامج تخطيط
Drivers,مسيارت
Drosophila,دروسوفيلا
Duality,ثنائية
Duchenne's Muscular Dystrophy,حثل دوتشين العضلي
Dyadic,ثنائي
Electromagnetic Waves,موجات كهرومغناطيسية
Electron Waves,موجات الإلكترون
Electronic clip board,لوحة كتابة إلكترونية مشبوكة
Electronic form (E form),إستمارة إلكترونية
Electronic interface card,بطاقة إلكترونية لعنصر التعامل
Electroweak Force/ Weak Force,قوة ضعيفة
"Elementary Particles /Particles,
Elementary",جسيمات أولية
Elements,عناصر
Embryo,جنين
Empiricism,مذهب حسي - تجريبي
Energy,طاقة
Enlightenment,تنوير
Entrepreneurs,متعهدي المشاريع
Entropy,أنتروبية
Environment,بيئة
Environmentalism,بيئية
Enzyme,إنزيم
Epistemology,إبستيمولوجيا
Equilibrium,اتازن
Equivalence Principle,مبدأ التكافؤ
Ergonomics,أرغونوميات
Essence,ماهية (الشيء)
Essentialism,مذهب ماهوي
Ethnic,إثني
Ethnocentrism,تمركز إثني
Euclidean Geometry,هندسة إقليدية (مستوية)
Euler-Beta-Function,دالة يولر بيتا
Event Horizon,أفق الحدث
Evolution,تطور
Excessive learning fault,خطأ فرط التعلم
Existential generalization,تعميم وجودي
Explication,شرح
Explicit switching,تحويل واضح
Extended Dimension,بعد ممتد
Extension/ denotation,ماصدق(الكلمة)
Extreme Black Holes,ثقوب سوداء قصوى
Eyeball interface,عنصر تعامل لمقلة العين
Fake intelligence fault,خطأ الذكاء الزائف
Falsification,تكذيب
Families of Elementary Particles,عائلات الجسيمات الأولية
Fashion,صرعة (موضة)
Feature overload fault,خطأ الحمل الازئد للخاصية
Fermions,فيرميونات
Fertilization,إخصاب
File,ملف
Final Theory / Ultimate Theory,نظرية نهائية
First Superstring Revolution,ثورة الأوتار الفائقة الأولى
Flat Space,فضاء مستوي
Flop Transitions,تحولات انقلابية (فجائية)
Fluidity,انسيابية مرونة
Flux,دفق تغير متواصل
Folder,حافظة
Force Charges,شحنات القوة
Force Particles,جسيمات القوة
Force-Free Motion,حركة حرة (من دون تأثير من قوى خارجية)
"Forces, Fundamental",قوى أساسية
Formal,صوري
Fossil,أحفورة
Frequency,تكرار
Frequency Wave,تردد الموجة
Frye Rule,قاعدة فاري
Function,دالة/وظيفة
Fusion,اندماج (انصهار)
Galaxies,مجرات
Garden peas,بسلة (بازيلاء)
Garden-Hose Universe,عالم خرطوم المياه
Gauge Symmetry,تناظر قياسي
Gender,جندر
Gene,جين
Genera,أجناس
General Theory of Relativity,نظرية النسبية العامة
Generation,جيل
Genetic Engineering,هندسة وراثية
Geneticist,وراثي
Genetics,علم الوراثة
Genome,جينوم
Genomics,جينوميا
Genotype,تركيب وراثي
Gentle-slope system,نظام الانحدار السلس
Genus,جنس
Germ cells,خلايا جرثومية
Gluinos,غلوينوات
Gluons,غليونات
Gradualists,تدريجيون
Grand Unification,توحيد أعظم
Graphic program,برنامج رسومات
Graphic user interface (GUI),واجهة تعامل المستخدم من خلال الأشكال
Gravitational Field,مجال الجاذبية
Gravitational Force,قوى الجاذبية
Gravitons,غارفيتونات
Ground,أساس
Group-ware,مبرمجات مجموعاتية
Haptic,تلامسي
Haptic interface,واجهة التعامل بالتلامس
Hardware,معدة الحاسوب
Header,ترويسة
Heavy String Modes,أنماط الأوتار الثقيلة
Hemophilia,مرض النزف
Herceptin,هيرسبتين
Heredity,وراثة
Hierarchy,تارتبية - ترتيب طبقي
"High Entropy, Low Entropy",إنتروبية مرتفعة، وانتروبية منخفضة
Higher-Dimensional Supergravity,جاذبيية فائقة كثيرة الأبعاد
Historicity,تاريخانية
Historicopeter,تاريخوكبتر
Holographic Principle,مبدأ هولوغرافي
Holography,"هولوغرافية، طريقة للتصوير المجسم بتقانة بصرية
خاصة"
Horizon Problem,معضلة الأفق
Horizontal hand off,تسليم وتسلم أفقي
Hox Genes,جينات هوكس
Human Life Expectancy,عمر متوقع للإنسان
Human servitude fault,خطأ عبودية البشر
Human-centric computing,حوسبة محورها الإنسان
Huntington's Chorea,رقص هانتنغتون
Hybrid,هجين
I.Q.,معامل الذكاء (م.ذ.)
Icon,أيقونة
Identity,هوية
Ideogram,كتابة برموز من صور (كالصينية)
Ideology,إيديولوجيا
If and Only if,شرط ضروري وكاف
Implicit switching,تحويل ضمني
Impredicative,غير تعريفي
Indiscernible,أشياء لا يمكن تمييزها
Induction,استقراء
Inference,استدلال
Inference,استدلال
Infinitesimal,متناهي الصغر
Inflationary Cosmology,كوسمولوجيا تضخمية
Info personality,هوية معلوماتية
Info-junk,لغو المعلومات
Information access fault,خطأ النفاذ إلى المعلومات
Information market place,ساحة سوق المعلومات
Infrared Radiation,أشعة تحت الحمراء
Inscriptions,كتابات منقوشة
Insulin,إنسولين
Intellect,عقل/ قدرة الفهم
Intelligence,ذكاء
Intelligent agents,عوامل ذكية
Intelligible,مدرك
Intension/ Connotation,مفهوم(الكلمة)
Intentional naming system,نظام التسمية القصدي
Inter - subjectivity,بين - ذاتية
Interconnection,إتصال بيني
Interference Patterns,أنساق التداخل
Internet protocol,بروتوكول الإنترنت
Inverted index,فهرس مقلوب
Investigation,استقصاء
Irrational,أصم
Jensenism,جينسينية
Kaluza-Klein Theory,نظرية كالواز – كلاين
Kinsey Report,تقرير كينساي
Klein-Gordon Equation,معادلة كلاين – غوردون
Laptops,حواسيب الحجر
Large Hadron Collider,معجل الهادرونات الكبير
Lexicographer,مؤلف المعجم، معجمي
Light Clocks,ساعات ضوئية
Light Paths,مسارات الضوء
Light String Modes,أنماط الأوتار الخفيفة
Light Waves,موجات الضوء
"Light, Speed of",سرعة الضوء
Light-Years,سنوات ضوئية
Lineland,أرض خطية
Links,حلقات ربط
Logical Positivism,مذهب الوضعية المنطقية
Loops of Strings,حلقات (أنشوطات) الأوتار
Lorentz Contraction,تقلص (انكماش) لورنس
Lumps of Energy,قطع (كتل أو قبس) من الطاقة
Magnetism,مغناطيسية
Mail handler,مناول بريد
Mammal,ثديي
Manifold,عديد
Manipulation,منابلة
Manual labor fault,خطأ الشغل اليدوي
Mapping,خرطنة
"Massachusetts Institute of Technology
(MIT)",معهد ماساتشوستس
Material Conditional,لزوم شرطي
Matrix,مصفوفة (شبكة منظمة)
Maxwell's Electromagnetic Theory,نظرية ماكسويل الكهرومغناطيسية
Meaning processor,معالج معني
Mechanism,ﺁلية
Mechanistic,ﺁلاتية
Megabyte,ميغابايت (مليون بايت)
Members,أعضاء
Mendelism,مندلية
Menu,قائمة خيارات
Messenger Particles,جسيمات المرسال
Meta data,بيانات فوقية
Metabolism,إيض
Metamorphoses,تحول
Meteorologists,علماء الأرصاد الجوية
Methodology,علم المناهج
Microprocessor,معالج دقيق
Microwaves,موجات ميكروية
Milky Way Galaxy,مجرة درب اللبانة
Mirror Manifolds,تحدب الماريا
Mirror Symmetry,تناظر المرﺁة (صورة المرﺁة)
Mitochondria,سبحيات (ميتوكوندريا)
Modality,جهة (منطقية)
Module,وحدة جزئية، عنصر أو مكون جزئي
Molecular,جزيئي
Molecular Biology,بيولوجيا جزيئية
Molecular or Compound (Proposition ),قضية مركبة
Molecules,جزيئات
Momentum,عزم
Morpheme,شكل
M-Theory,M – نظرية
Multimedia,تعدد الوسائط
Multiverse,عالم متعدد
Muons,ميونات
Mutation,طفرة
Myth,أسطورة
Natural Selection,انتخاب طبيعي
Neurobiologists,بيولوجيا الأعصاب
Neurobiology,بيولوجيا الأعصاب
Neutrinos,نيوترينوات
Neutron Stars,نجوم نيوترونية
Newton's Laws of Motion,قوانين الحركة لنيوتن
Newton's Universal Theory of Gravity,نظرية الجاذبية العالمية لنيوتن
Node,عقدة ( اتصالات)
Nomadic software,مبرمجات رحل
Nominalism,مذهب اسمي
Noncommutative Geometry,هندسة لاتبادلية
Non-Constant Velocity Motion,حركة متغيرة السرعة (غير ثابتة)
Notations,رموز (صيغ رمزية)
Nuclear Forces,قوى نووية
"Nuclei, of Atoms",أنوية الذرات
Nucleotide,نوتيدة
Occam’s Razor,مبضع أوكام
Oncogenes,جينات السرطنة
One-Branes,واحد- بارن(غشاء)
On-line,على الخط
Ontology,أنطولوجي/ أنطولوجيا (علم الوجود)
Opacity,عدم شفافية
Operator,عامل إجرائي
Orbifolding,طي المدار
Ordinary Vibrations of Strings,اهتزاز عادي للأوتار
Organelles,عضيات
Organism,كائن حي
Ostension,تأشير
Overload fault,خطأ الحمل الازئد
Paradigm,نموذج
Paraphrase,يصوغ بكلمات أخرى
Parthenogenesis,توالد بكري
Particle Accelerators,معجلات الجسيمات
P-Branes,P- بارن(غشاء)
Perceptive,مدرك حسي
Peripherals,وحدات أطراف
Periphery,طرف/ محيط
Personal computer (PC),حاسوب شخصي
Personal digital assistants (PDA),وسائل المساعدة الرقمية الشخصية
Perturbation Theory,نظرية اضطاربية
Phage,فاج
Phase Transitions,تحولات طورية
Phenotype,مظهر
Philology,علم فقه اللغة التاريخي والمقارن
Phlogiston,لاهوب/ فلوجيستون
Phlox,فلوكس (نبات)
Phoneme,وحدة نطق صغرى (مقطع)/ فونيم
Photinos,فوتينوات
Photoelectric Effect,ظاهرة (تأثير) كهروضوئية
Photons,فوتونات
Photosynthesis,تمثيل ضوئي
Physical Laws,قوانين فيزيائية
Physics,فيزياء
"Physics, Classical",فيزياء كلاسيكية (تقليدية)
"Physics, Field of",مجال الفيزياء
Plank Energy,طاقة بلانك
Plank Length,طول بلانك
Plank Mass,كتلة بلانك
Plank Tension,توتر (شد) بلانك
Plank Time,زمن بلانك
Plank's Constant,ثابت بلانك
Plug,قابس (قبسة)
Point Particles,جسيمات نقاط
Point-Particle Quantum\ Field Theory,نظرية مجال الكم للجسيمة النقطة
Polymorphism,بوليمورفية
Population,عشيرة
Posit,يضع (كفرض)
Postulate,مسلمة (مصادرة)
Pragmatism,مذهب براغماتي (مذهب المنفعة)
Predicate,محمول
Presuppose,يفترض
Primordial Nucleosynthesis,تخليق نووي بدائي (أولي)
Principia,مبادئ(كتاب)
Principle of Relativity,مبدأ النسبية
Probability,احتمال
Probability Waves,موجات الاحتمال
Probe Particle,جسيمات المسبار (جسيمات الاختبار)
Probing Sensitivity,حساسية الاختبار
Processor,معالج
"Progeny, Offspring",نسل
Proposition,قضية منطقية
Protein,بروتين
Protein cast,اسطوانة بروتينية
Protocol,بروتوكول
Punctuated Equilibrium,توازن متقطع
Purview,مدى
Quanta,كم (كوانتا)
Quantification,تسوير
Quantifier,سور
Quantitative,كمي
Quantum Field Theory,نظرية مجال الكم
Quantum Chromodynamics,كروموديناميكا كمية
Quantum Electrodynamics,كهروديناميكا كمية
Quantum Electroweak Theory,نظرية القوى الكهربية – الكمية الضعيفة
Quantum Foam,رغوة كمية
Quantum Geometry,هندسة كمية
Quantum Mechanical Revolution,ثورة ميكانيكا الكم
Quantum Mechanics,ميكانيا الكم
Quantum Smearing,مسح كمي (لطخ، بقع)
Quantum Tunneling,مرور في نفق الكم
Quantum Wavelength,طول الموجة الكمية
Quarks,كواركات
Quasars,كوازارات
Quotation,نص مقتبس
Race,سلالة
Radioactive Decay,تحلل إشعاعي
Random,عشوائي
Random Sample,عينة عشوائية
Ratchet fault,خطأ السقاطة
Rational,عقلاني
Rationalism,مذهب عقلي
Realism,مذهب واقعي
Reason,عقل
Reducibility,اختازل
Reduction ad absurdum,برهان الخلف (برهان نقض الفرض)
Reductionism,اختزالية
Reference,مرجع (واقعي)
Refutation,دحض
Regulative,تنظيمي
Reification,تشييء (تحويل إلى شيء مادي)
Reify,تشييء (جعل المجرد ماديا)
Relations,علاقات
Relativistic Quantum Field Theory,نظرية مجال الكم النسبي
Reproduction,تكاثر
Research engine,ﺁلة بحث
Resonance Patterns,أنساق رنينية
Retrospectively,استعادي
Retrovirus,فيروس ارتجاعي
Riemannian Geometry,هندسة ريمان
RNA,ر ن أ
Rotational Symmetry,تناظر دوارني
RSA,مفتاح ﺁر إس أي
SAMs,سامس (جزيئات لصق الأسطح)
Satellite,COBE كونية – إشعاعية
Scheme,مخطط
Screen scraper,ماسح الشاشة
Script,مخطوطة تسلسل (للأتمتة)
Second Law of Thermodynamics,قانون ثاني للديناميكا الحرارية
Second Superstring Revolution,ثورة الأوتار الفائقة الثانية
Segmentation,تقطيع
Segregation,توزيع حر
Seismometer,سيزمومتر
Selection,انتخاب
Selectrons,سيليكترونات
Semantic (s),دلالية/ علم المعاني (الدلالات)
Semiotic,متعلق بالعلامات
Sensor,مستشعر
Sequence,تتابع
Sequence,سلسل
Server,خادم(الحاسوب)
Sets,مجموعات
Sex,جنس
Singularity,تفرد (غرابة)
Slides maker,صانع الشرائح
Smart card,بطاقة ذكية
Snapdragon,أنف العجل (نبات)
Sneutrinos,سنيوترينوات
Socket,مقبس كهربائي/ كوبس
Software,مبرمجات - برمجيات
Software package,حزمة مبرمجات
Solar Eclipses,كسوفات شمسية
Somatic cells,خلايا جسدية
Sound Waves,موجات الصوت
"Sound, Speed of",سرعة الصوت
Space,فضاء (مكان)
Space-time,زمكان
"Space-time, Tearing of",تمزق الزمكان
"Space-time, Warping of",اعوجاج الزمكان
Speaker,جهاز متكلم
Special Theory of Relativity,نظرية النسبية الخاصة
Species,أنواع
Spectrum ware,مكون طيفي
Speculation,تأملات
Speech recognition,تمييز الكلام
Speech switch,محول كلام
Speech synthesis,تركيب الكلام
Speech understanding,فهم الكلام
Speed,سرعة
Spheres,أسطح الكرات(مكورة)
Spin,حركة مغزلية (سبين)
Spin doctor,خبير لف، خبير علاقة عامة
Spontaneous Generation,تولد ذاتي
Squarks,سكواركات
Standard Model of Cosmology,نموذج قياسي للكوسمولوجيا
Standard Model of Particle Physics,نموذج قياسي لفيزياء الجسيمات
Stanford-Binet test,اختبار ستانفورد – بينيه
Stars,نجوم
Strange Quark,كوارك غريب
Stratified,طبقي (منظم على صورة طبقات)
Stratified Sample,عينة طبقية
String Cosmology,كوسمولوجيا الأوتار
String Coupling Constant,ثابت ازدواج الوتر
String Theory,نظرية الأوتار
Strings,أوتار
Strong Force,قوة قوية
Strong Force Symmetry,تناظر القوة القوية
Sum over Paths,مجموع المسارات
Sun,شمس
Super Gravity,جاذبية فائقة
Superconducting Supercollider,مصادم فائق ذو التوصيل الفائق
Superpartners,شركاء (رفاق) فائقون
Superstring Theory,نظرية الأوتار الفائقة
Supersymmetric Quantum Field,مجال الكم فائق التناظر
Supersymmetric String Theory,نظرية الأوتار فائقة التناظر
Supersymmetry,تناظر فائق
Sweet Peas,جلبان
Syllogism,قياس منطقي
Symmetry,تناظر
Symmetry Breaking,كسر التناظر (إلغاء التناظر)
Syndrome,متلازمة
Synonym,مرادف
Synonym maps,خرائط مترادفات
Syntactic,علم النحو
Synthetic,تركيبية (قضية)
Synthetic camera,كاميرات تركيبية
System,نسق
Tachyons,تاكيونات
Tau-Neutrinos,نيوترينوات تاو (تاونيوترينوات)
Taus,تاوات
Taxonomy,تصنيف
Tay-Sachs disease,مرض التاي ساخس
Temperature of Black Holes,درجة حرارة الثقوب السوداء
Term,حد (منطقي)
Tetrad,رباعي
"Theories, Scientific",نظريات علمية
Theory of everything (T.O.E.),نظرية كل شيء
Three-Branes,ثلاثة بران(غشاء ثلاثي)
Time,زمان، زمن، وقت
Time Dilation,تمدد الزمن
"Time, Effect of Motion On",تأثير الحركة في الزمن
Top Quarks,كواركات القمة
Topology Changing Transitions,تحولات التغيارت الطوبولوجية
Torus,نتوء
Trait,صفة
Transcendental,تراتبي/ ترنسندنتالي (متعال)
Transformation,تحول
Translation,ترجمة
Transportation,إحالة/ نقل
Trapezoid,شبه منحرف
Trinary Star Systems,أنظمة النجوم الثلاثية
Twins,توائم
Two-Branes,اثنان بارن(غشاء ثنائي)
Type I String Theory,I نظرية الأوتار من النوع
Type IIA String Theory,IIA نظرية الأوتار من النوع
Type IIB String Theory,IIB نظرية الأوتار من النوع
Types,أنماط
Ultraviolet Light,ضوء فوق البنفسجي
Uncertainty principle,مبدأ عدم التيقن
Unicorn,أحادي القرن
Unified Field Theory,نظرية المجال الموحد
Unified resolver locator (URL),محدد موحد لعنوان الموقع
Uniform Vibration,تذبذب(اهتزاز) منتظم
Unintegrated systems fault,خطأ النظم غير المتكاملة
Universal (s),عميم/ شامل/ كليات
Universal Instantiation,تمثيل وجودي
Universe,عالم (كون)
Unwrapped Strings,أوتار غير الملتفة
Up-Quarks,كواركات أعلى
User friendly,سهولة الاستخدام
Valid,صحيحة (حجة)
Variation,تباين
Vertical hand off,تسليم وتسلم أرسي
Vibration Number,عدد الذبذبة
Video casette recorder (VDC),مسجل كاسيت فيديو
Virtual reality,واقع خائلي، واقع افتراضي
Virtual String Pairs,أزواج الأوتار المفترضة
W Boson,W بوزون
Waiting fault,خطأ الانتظار
Wall screen,شاشة جدارية
"Water, Waves of",موجات المياه
Wave Functions,دالات موجية
Wavelength,طول الموجة
Wave-Particle Duality,ثنائية الموجة – الجسيمة
Waves,موجات
Weak Gauge Bosons,بوزونات قياسية ضغيفة
Winding Energy of Strings,طاقة لف الأوتار (التفاف)
Winding Mode,أسلوب(شكل) دوارن(التفاف)
Winding Number,عدد الدوارن(التفاف)
World Sheet,غشاء عالمي
Wormholes,ثقب الدودة
Wound Strings/ wrapped strings,أوتار ملتفة
X Rays,أشعة X (السينية)
Z Boson,Z بوزون
Zero-Branes,صفر بران(غشاء)
