‘Syn’-Tax,نحوي متزامن
Expressive Function,وظيفة تعبيرية
Extended Projection Principle ( EPP ),مبدأ إسقاط موسع (م إ م)
Extra - Literary,أدبي حاف (من خارج الأدب)
Extra position,نقل الموقع
Extralinguistic,خارج لغوي
Extra-linguistic Factor,عامل لساني حاف/ من خارج اللسانيات (لغة)
Extraliterary Order,نظام أدبي حاف
Extrapolation,استقراء
Extrinsic,خارجي
Facilitation,تمهيد عصبي
Facultative Equivalence,تكافؤ اختياري(كلمة تكافئ أكثر من كلمة)
Fad,بدعة لمدة قصيرة
Failure - neurosis,عصاب (متلازمة) الفشل
Faithful Translation,ترجمة أمنية
Falsification,دحض
Family,عائلة
Family neurosis,عصاب أسري
Family romance,رواية أسرية
Fanfare,جعجعة/ احتفال رنان
Fantastic,عظيم
Fantastic Phantasmagoric Tales,حكايات غارئبية متحركة
Fantasy,هوام
Fashion,زي
Fate neurosis,عصاب المصير
Father complex,عقدة الأبوة
Faulty Equivalence,تكافؤ خاطئ
Faulty Function,وظيفة معيبة
Feature,معلم، ملمح
Feminism,نسوية
Fetish,صنم
Financial capital,رأس المال
Finite,منته
Finitude,محدودية
Fixation,تثبيت
Fledgling democracy,ديمقارطية ناشئة
Flight into illness,هروب في المرض
Fluctuations,تقلبات
Folktale,حكاية شعبية
Force,قوة
Foregrounding,تقريب
Foregrounding Stylistic,إبراز أسلوبي
Foreigner Talk,لغة الأجنبي
Foreignized Folktale,ترجمة مغربة
Foreignizing Strategy,استراتيجية التغريب
Form,شكل
Form/ Content,ثنائية الشكل/ المحتوى
Form/ Theme,ثنائية الشكل/ الموضوع
Formal Equivalence,تكافؤ شكلي
Formal Representation,تمثيل شكلي
Formal Semantics,دلالة الصورية
Formal Universal,جوامع شكلية
Formalism,شكلانية
Formalism of Forms,شكلانية الأشكال
Formulas,صيغ
Fractious citizens,مواطنون عنيدون
Fragmented Syntax,نحو متشظي
Framework,إطار نظري
Franchise,حق الانتخاب
Free association,تداع حر
Free energy - bound energy,طاقة حرة - طاقة مربوطة
Free Translation,ترجمة حرة
Free Verse,شعر حر
Freedom,حرية
Freedom House ratings,تقديرات دار الحرية
Fright,رعب/ رهبة
Frustration,إحباط
Function,وظيفة
Functional,وظيفي
Functional approach,مقاربة وظيفية
Functional determination,تحديد وظيفي
Functional equivalence,مكافئ وظيفي
Functional linguistics,لسانيات وظيفية
Functional phenomenon,ظاهرة وظيفية
Functional relevance,تعلق وظيفي
"Functional-relational of Equivalence
Postulate",فرضية وظـيفية عـلائقية للتكافؤ
Function-oriented Description,وصف ذو التوجه الوظيفي
Functions of Signs,وظائف إشارات
Fundamental rule,قاعدة أساسية
Fundamentalism,أصولية
Fusion - diffusion (of instincts),اتحاد - انفصال (النزوات)
Futuristic,مستقبلي
Futuristic Text,نص مستقبلي
Garden Paths,ممار تحدائق
Gated communities,جاليات مقولبة
Gay and Lesbian,شاذ وشاذة
Gender,نوع الجنس/ جنوسة
Generate,تولد
Generation,جيل
Generation of anxiety,تصعيد القلق/ توليد
Generative,توليدي
Genetic,جين/ جيني
Genital love,حب تناسلي
Genital stage or organization,مرحلة تناسلية/ أو تنظيم
Genitive,مضاف إليه، إضافي
Geolinguistic,لسانيات جغارفية/ جيولسانيات
Gerund,مصدر، اسم مشتق من فعل/ اسم (نحو)
Gerundive Constructions,تراكيب مصدرية
Gestalt-Like System,نسق شبه جشطالتي (صوري)
Global Proposition,قضية كلية
Global Scale,نطاق شامل
Globalization,عولمة
Glottalization,تهميز
Goal-Seeking System,نسق البحث عن الهدف
"Good object, Bad object",موضوع«طيب»/ موضوع«سيىء»
Governing Category,فصيلة عاملة
Government,حكومة/ عمل
Government-Binding Theory,نظرية العمل و الربط
Grammar,نحو، قواعد اللغة
Grammaticality,قواعدية /نحوية
Grapheme,وحدة خطية
Grass-roots,قواعد شعبية/ جذور
Ground of Difference,أرضية الاختلاف
Guilt feeling,شعور بالذنب
Handouts,صدقات
Harbingers,رواد مبشرون
Head Final Languages,لغات ذات رؤوس متأخرة
Head Initial Languages,لغات ذات رؤوس متقدمة
Hegemonic Code,شيفرة مهيمنة
Helplessness,عجز (حالة الـ )
Heritage,تارث
Hermeneutics,علم تأويل النصوص/ تأويلية
Heterogeneity,عدمتجانس
Heterogeneous territories,أقطار ذات انتماءات مختلفة
Heuristic,استكشافي
Hexameter,وزن سداسي
Hierarchy,نظام هرمي
Historical Grammar,نحو تاريخي
Historical Metalepsis,هيمنة تاريخية
Historicism,تاريخانية
History,تاريخ
Hit squad,شرذمة اغتيالات
Holocaust,محرقة
Home,منزل
Homelands,أوطان
Homology,تماثل
Homonym,مجانس لفظي
Homophone,أحادي الصوت
Homophony,مجانسة لفظية
Hospitalism,فصال
Howler,غلط فاحش
Human,إنساني
Human Rights,حقوق الإنسان
Humanism,إنسية (نزعة/ مذهب)
Humanistic,إنسي
Hypercathexis,توظيف مفرط
Hypnoid hysteria,هستيريا تنويمية
Hypnoid state,حالة تنويمية
Hypothetical Entity,كيان افتراضي
Hypothetical Invariant,ثابت افتراضي
Hysteria,هستيريا
Hysterogenic zone,منطقة مولدة للهستيريا
Iconic,إيقوني
Id,هو (ألـ- )
"Idea, presentation",تصور
Ideal ego,الأنا المثالي
Ideal Readers,قراء مثاليون
Idealization,مثلنة
Idealized path,المسلك المثالي
Ideational Content,محتوى فكري
Ideational representative,ممثل تصوري
Identification,تماه/ تعيين
Identification with the aggressor,تماه بالمعتدي
Identity,هوية
Ideogram,إيديوغرام
Ideolect,لهجة عليا
Ideolectal,أيديولهجي
Ideologicalization,أدلجة
Ideology,أيديولوجيا
Idiosyncratic,فرادي
Idiosyncratic Realization,تحقق متفرد
Illocutionary,تحقيقي، إنجازي
Image,صورة
Imaginary,خيالي
Imaginary Signifier,دال متخيل
Imagism,تصويرية (نزعة/ مذهب)
Imagistic,تصويري
Imago,صورة هوامية
Immediate constituent,مكون مباشر
Immediate Domination,هيمنة مباشرة
Immersion,إغماس
Impeachment,اتهام
Implication,مضمون
Impressionism,انطباعية (نزعة/ مذهب)
Impressionistic Sketch,مخطط انطباعي
Inadequacy,عدم وفاء
Inclusive Language,لغة شاملة
Incorporation,إدماج
Incumbents,أصحاب المناصب
Incursion,عصيان
Indefinite,غير معرف
Indeterminacy,لاتعين
Indexical,تأشيري
Indigenous,أصلي/ أهلي
Individual,فرد
Industry,صناعة
Ineptitude,عدم الكفاءة
Infantile amnesia,نسيان طفلي
Inferiority complex,عقدة الدونية
Inferiority feeling,شعور بالدونية
Infinitive,مصدري، صيغة مصدر الفعل
Inflection,صرفة (تغيير في مقام الصوت)
Influence Studies,دراسات التأثير
Information,معلومات
Infrastructure,بنية تحتية
Initial norm,معيار ابتدائي (للترجمة)
Initiator,مبادر
Innate,فطري/ سليقي
Innateness,فطرة/ سليقة
Innervation,تعصيب
Innovation,ابتكار/ تجديد
Insiders,مطلعون
Instinct,غريزة/ نزوة
Instinct to master,نزوة السطوة
Instincts of self - preservation,نزوات حفظ الذات
Instinctual component,مكون نزوي
Instinctual impulse,حركة نزوية
Instinctual representative,ممثل النزوة
Institutional logic,منطق مؤسسي
Institutional-communicative,مؤسسي - اتصالي (إطار)
Institutionalization,صياغة مؤسسية
Instrumentalist,ذرائعي
Instruments,صكوك/ أدوات
Insubstantial,واهن/ ضعيف
Insurgency,عصيان
Insurrection,عصيان مسلح
Intact kernel,نواة خالصة
Integration,توحيد
Intellectual,مثقف
Intellectual complex,مركب ذهني
Intellectualization,فكرنة
Intention,قصد
Intentional Fallacy,خداع القصد
Inter language Forms,أشكال متداخلة في ما بين اللغات
Interdependence,توافق
Inter-disciplinary,متكامل الاختصاص
Inter-disciplinary approaches,مقاربات تخصصية متكاملة
"Interest, ego interest",اهتمام/ اهتمام الأنا
Interethnic,بيئثني (إثني، بين الجماعات الإثنية)
Interference,تداخل
Interference Translation,تداخل ترجمي
Interim,مؤقت
Interlangua,بينية لغوية
Interlingual Translation,ترجمة بينية
Interlingual/ Interlanguage,بيلغوي(بين اللغات)
Interlinguistic,لسانية بينية
Interliterary relations,صلات أدبية متعالقة
Intermediate translation,ترجمة وسيطة
Internalization,استدخال
Interpellation,استجواب
Interpenterability,قابلية للاختراق
Interprectative aspect,اعتبار تفسيري
Interpretation,تأويل/ تفسير
Interpretative community,مجتمع مفسر
Interrelatedness,تعالق
Intersemiotic,سيميائي بيني
Intersemiotic translation,ترجمة سيمائية تبادلية
Intertextual,بينصي/ نصي بيني
Intertextuality,تناص
Inter-translatibility,قابلية متبادلة للترجمة
Intonational contours,منحنيات تنغيم
Intralingual translation,ترجمة لغوية أحادية
Intransitive,لازم
Intrasystemic relations,علاقة نسقية داخلية
Intratextual,نصي داخلي
Intratextuality,نسيج نص
Intricacy - disjunction,تشابك - انفكاك
Intrinsic,جوهري/ داخلي
Introjection,اجتياف
Introversion,انطواء
Intuition,حدس
Invariance,ثبات
Invariant Factor,عامل ثابت
Inventory,مخزون/ بيان مفصل
Inverse Linking,ربط معاكس
Irony,سخرية/ تهكم (خاصية تعبيرية)/ مفارقة
Irrational feature,سمة اللامعقول
Isolation,عزل
Isomorphism,تماثل
Italianization,طلينـة
Iterate,يتكرر
Jargon,رطانة (لغة مضطربة)/ لغة خاصة
Journeymen,عمال مهرة
Joviality,طرافة (خاصية تعبيرية)
Judgment of condemnation,حكم الإدانة
Junta,طغمة
Jurisdiction,نطاق سلطة الدولة
Justice,عدالة
Juxtaposition,تجاور
Kantian Universality,مبدأ الجامعية
Kernel,نواة
Kernel Structure,مبنى نووي
Key-Concept,مفهوم مفتاحي
Knowledge,معرفة
Label,عنونة/ علامة تصنيفية
Landing Site,محط
Language,لغة
Language and parole,لغة وكلام شفوي
Language attitude,مواقف اللغة
Language competition,تنافس لغوي
Language conflict,صراع لغوي
Language contact,اتصال لغوي
Language death,موت اللغة
Language degeneration,انحطاط اللغة/ اندثار اللغة
Language demise,توقف/ زوال اللغة
Language demography,ديموغارفيا اللغة
Language displacement,إزاحة اللغة/ انزياح اللغة
Language drift,انحرلف اللغة
Language faculty,ملكة لغوية
Language learning,تعلم اللغة
Language murder,قتل اللغة
Language planning,تخطيط لغوي
Language policy,سياسة لغوية
Language preservation,حفظ اللغة
Language replacement,استبدال اللغة
Language revitalization,إحياء اللغة
Language shift,تحول اللغة
