Anti-Intellectualism,نزعة معادية للفكر
Anti-Monopoly Law,قانون مناهضة الاحتكار
Antipolitics,مناهضة السياسة
Antislavery,مناهض للعبودية
Antistatist,مناهضة الدولة
Antithesis,تضاد/أطروحة مضادة
Antitrust Laws,قوانين مكافحة الاحتكار
Anxiety,قلق
Apartheid,نظام الفصل العنصري
Apollonian,أبولوني
Apostolic,رسولي
Appendage,ملحق/ ذيل
Apple Computer,حاسوب شخصي
Approach,مقرابة
Arbitrage,انتقال رؤوس الاموال
Arbitrariness,اعتباطية
Arbitration,تحكيم
Archaeologist,ﺁثاري
Archaic,أديان غابرة
Archbishop,رئيس الأساقفة
Archeology,علم الأثريات
Archetype,مثال أصلي (أو النموذج البدئي)
Area of Capture,دائرة الصيد
Argument,حجة/ برهان
Aristotelan -Thomist Synthesis,المستخلص الأرسطي التومائي
Armed Insurrection,تمرد مسلح
Armenian,أرمني
Art Nouveau,الفن الجديد
Articulate,يمفصل
Artificers,صناع مهرة
Artificial Man,كائن مصطنع
Artisan Castes,طوائف الصناع
Asceticism,زهدية
Asian mode of production,نمط ﺁسيوي للإنتاج
Assemblage,تجميع
Assembly Line,خط التجميع
Assets,أصول/ موجودات
Assimilation,استيعاب/إدماج
Associationist Psychology,سيكولوجية التداعي
Associative Democracy,ديمقراطية رابطية
Assumed Values,قيم مسلم بها
Assumptions,مسلمات/افتراضات
Astronomy,علم الفلك
Asynchrony,لاتزامن
Atheism,إلحاد
Atheist,ملحد
Atom,ذرة
Atomic Weight,وزن ذري
Atomization,تذرر
Attitudinal,مواقفي
Augustinian,أغسطيني
Austerity,تقشف
Australopithecus,أستارلوبيثيكوس/إنسان قرد
Autarchy,"حكم مطلق (أوتاركي)/ كفاية الجماعة قديما من
إنتاجها"
Authenticity,أصالة
Authoritarian,سلطوي
Authoritarianism,سلطوية
Authoritative,سلطوي
Authority,سلطة
Authorization,تفويض
"Authors, and Texts",مؤلفون و نصوص
Autistic,توحدي
Autobiography,سيرة ذاتية
Autochthonous,أصلي
Autocracy,حكم الفرد المطلق
Autogestion,أوتوجاستيون
"Automatic Leveling of Earnings in
Various Branches",إحداث تعادل أو تسوية ﺁلية في الكسب بين فروع الإنتاج المختلفة
Automation,أتمتة/ تسيير ذاتي
Autonomy,حكم ذاتي/ استقلال/ إستقلالية
Avant-garde,طليعة
Avesta,أفستا (كتاب الزرواستريين المقدس)
Awareness Bonding,ارتباط بالوعي
Azande,أزاندي من قبائل وسط و غرب أفريقيا
Bailiff,وكيل الأملاك (ناظر الدائرة)
Balance of Power,توازن القوى
Balance Sheet,ميازنية
Ballot Boxes,صناديق الاقتارع
Banality,غثاثة
Banaro,نظرية بانارو
"Band, Wagoning",التحاق بالركب
Bandits,عصابات الأشرار
Bank Rate,معدل الفائدة المصرفية
Bankruptcy,إفلاس
Banks of Issue,بنوك لها حق الإصدار
Baptist,معمداني
Baptist Church,كنيسة معمدانية
Bargaining Over Choice Sets,اتفاق على تشكيلة خيارات
Barter,مقايضة
Basic (Meaning),أساسي (معنى)
Basic Education,تعليم أساسي
Bax Britannica,سلم بريطاني
Bedoucracy,بدوقراطية
Behaviorism,مدرسة سلوكية/ نزعة سلوكية
Behaviour Parameters,معلمات سلوكية
Being,كينونة
Being in the World,كونه في العالم
Beliefs,معتقدات
Bellicose,مولع بالقتال
Beneficence,إحسان
Benign Competition,منافسة شريفة
Bible,كتاب مقدس
Biblical,كتبي (متعلق بالكتاب المقدس)
Big Bang,تغير كبير
Big Government,حكومة كبيرة
Big Other (A),اﻵخر الكبير
Bilateralism,ثنائية
Bill Dealers,سماسرة السندات
Bill of Exchange,كمبيالة
Bill of Rights,لائحة حقوق الإنسان
Biological Diversity,تنوع بيولوجي
Biological Resources,مصادر حيوية
Biology,بيولوجي (علم الأحياء)/علم الحياة / بيولوجيا
Bioprospecting,استقصاء حيوي
Biosphere,مجال حيوي/ محيط حيوي
Biotech,تقنية حيوية
Bishop,أسقف
Bismarck's Kulturkampf,نظرية بيسمارك حول النازع الثقافي
Black Hundreds,جماعة المئات السود الروسية
Black Ivory,العاج الأسود
Blocks,حواجز
Block-Wide Phenomenon,ظاهرة الشلل
Bloody Repressions,أعمال قمع دموية
Blueprint,مخطط تفصيلي
Boasting,تبجح وتباهي
Body Denial,إنكار الجسد
Body Politic,"دولة، بوصفها هيئة سياسية/ كيان سياسي (كونالشعب يشكل وحدة متماسكة تدير شؤونها بمعزل عن
الكيانات الأخرى)"
Body Tissues,أنسجة الجسم
Bonapartism,بونابرتية
Bond,سند
Bondsman,رقيق بالتعاقد
Book of Nativities,كتاب المواليد (المنسوب إلى زرواستر)
Book of Nature,كتاب الطبيعة
Book of Revelation,كتاب الرؤيا
Boondoggling,مازولة عمل ضئيل تافه
Borderless World,عالم بلا حدود
Born Again,مولود من جديد
Bound Labour,عمالة مقيدة
Bounties,منح حكومية
Bourgeois capitalism,رأسمالية بورجوازية
Brain Trust,هيئة خبارء
Brainpower Industries,صناعات ذات مقدرة عقلية
Brainstorming,فكرة بارعة مفاجئة
Brokerage,سمسرة
Bubble Economy,اقتصاد وهمي/ اقتصاد الفقاعة
Buddhism,بوذية
Budget,ميازنية
Budget Deficit,عجز موازنة الحكومة
Bureaucracy,بيروقراطية / روتين
Bureaucratic mode of production,نمط بيروقراطي للإنتاج
Bureaucratic reform,إصلاح بيروقراطي
Business Cycle / Trade Cycle,دورة اقتصادية
Business Cycles,دورات تجارية
Business Groups,أرباب التجارة والأعمال
Buying Power,قوى شرائية
Cadence,تناغم
Caesaropapism,قيصروبابوية
Calculating Individual,فرد مصلحي (هوبز)
Calendar,تقويم زمني (روزنامة)
Calibration,دوزنة (ضبط)
Call Centre,مركز اتصال
Caloric Theory of Heat,نظرية السيال الحراري
Calorie,سعرة، كالوري
Calvinism,كالفينية
Camp,تكلف
Campaign,حملة
Cannibalism,وحشية
Canon law,القانونالكنسي
Capacity – utilization,استخدام الطاقة
Capital,رأس المال
Capital / Output Ratio,معامل رأس المال/ الناتج
Capital Accumulation,تراكم رأس المال
Capital Augmenting,مزيد لرأس المال
Capital Construction,بناء رأسمالي
Capital Depreciation,اندثار رأس المال
Capital Formation,تكوين رأس المال
Capital Gains,مكاسب رأس مالية
Capital Goods,سلع رأس مالية
Capital Intensity,كثافة رأس المال
Capital Losses,خاسر رأس مالية
Capital Stock,مخزون رأس المال
Capital-intensive,كثيف الاستخدام لرأس المال
Capital-Intensive Agriculture,زراعة كثيفة رأس المال
Capitalism,رأسمالية
Capitalist Accumulation,تراكم رأسمالي
Capitalist Economy,اقتصاد رأسمالي
Capitalist Industry,صناعة رأسمالية
Capitalist Mode of Production,نمط الإنتاج الرأسمالي
Capitalist Practices,ممارسات رأسمالية
Capitalist Society,مجتمع رأسمالي
Capitalist Transformation,تحول رأسمالي
Capitalist World Market,سوق رأسمالي عالمي
Capitalistic Transformations,تحولات رأسمالية
Carlism,كارلية
Carolingian Magnets,"زعماء الكارولنجية التي حكمت في فرنسا وألمانيا بين
سنوات750 ـ 910"
Carrier,ناقل
Cartel (s),اتحاد المنتجين/ كارتل
Cartesian Method,النهج الديكارتي
Case study,حالة دارسية
Caste,"نظام طبقي جامد (كاست)/ طائفة (في نظام الطبقات
الاجتماعية المغلق)"
Caste System,نظام الطائفة
Castration,اخصاء
Casual,ظرفية/ عرضية/ اتفاقية
Catalist,محفز (وليس حافزا كما تذهب بعض الترجمات)
Categorial Imperative,فريضة منطقية
Category /Categories,فئة/ فئات
Catharist,كاتاري
Catharsis,تطهير
Cathode Rays,أشعة مهبطية
Catholic,كاثوليكية
Catholic Counter Reformation,إصلاح كاثوليكي مضاد
Catholic Scholasticism,المدرسة السكولاستية
Catholicism,كاثوليكية
Causalistic,غائي
Causes of Plants,أصول النبات (نقله إلى العربية بن البكوش المعصاري)
Cavernous Wombs,أرحام كهوفية
Cellular,خلوي
Cellular Phone,تلفون خلوي
Cellular Process,نظام تعدد الخلايا
Cellular Telephone,هاتف خلوي
Cellular-Network Organization,منظمة شبكية خلوية
Censorship,رقابة
Central and East European Upheavals,انتفاضات وسط وشرق أوروبا
Central Banks of Issue,بنوك مركزية لها حق الإصدار
Central Nervous System,نظام عصبي مركزي
Chancellery,منصب قاضي القضاة
Chaos,فوضى/ عماء/ خواء
Character Types,أنماط حروف
Characteristics,خصائص
Characterization,تحديد الخصائص
Characterizing,تمييز
Characters,أدوار
Characters of New Capitalism,أدوار رأسمالية جديدة
Charge Accounts,حسابات التسديد
Charisma,حضور/ جاذبية جماهيرية ﺁسرة/ موهبة
Charismatic,مواهبي
Chartism,ميثاقية/ حركة وثيقية
Chauvinism,نزعة التعصب القومي/ شوفينية
Checks and Balances,رقابة وتوازن
Chemical Affinity Theory,نظرية التآلف الكيميائي
Chemistry,علم الكيمياء
Chief Knowledge Officer,مدير معلومات رئيسي
Chiliasm,عقيدة ألفية
Chinese Century,قرن صيني
Christendom,العالم المسيحي
Christian Philosophical Synthesis,المستخلص المسيحي الفلسفي
Christianize,تنصير
Christology,خريستولوجيا
Chromolithography,طباعة ملونة
Chronicle,تاريخ الحروب
Church,كنيسة
Church Visible,كنيسة ظاهرية (لوثر)
Cipher,شيفرة
Circuit,دارة
Circular Argument,حجة الحلقة المفرغة
Circularity,حلقة مفرغة (تحصيل حاصل)
Circulating Capital,رأس المال المتداول
Circulating Currency,عملة متداولة
Citizenshipp,مواطنة
City-state (s),دولة المدينة/ دول - مدن
Civic,مواطني
Civic culture,ثقافة مواطنية
Civic Faith,عقيدة مدنية
Civic Movements,حركات مجتمع مدني
Civil Code,قانون مدني
Civil Constitution of Clergy,دستور مدني للإكليروس
Civil Democracy,ديمقراطية مدنية
Civil Disobedience,عصيان مدني
Civil Principles,مبادئ مدنية
Civil religion,الدين المدني
Civil society,مجتمع مدني
Civil War,حرب أهلية
Civilization Consciousness,وعي حضاري
Civitas Dei,مدينة ﷲ
Clan,عشيرة - فخذ من قبيلة
Clandestine Services,قداسات تقام سرا
Clash with Society,تصادم مع المجتمع
Class (es),طبقة اجتماعية حديثة/ طبقات
Class Alignments,تحالفات طبقية
Class Conflict,صراع طبقي
Class Consciousness,وعي طبقي
Class formation,تشكيل طبقي
Class Structure,بنية طبقية
Class Struggle,صراع طبقي
Classical Economists,اقتصاديون كلاسيكيون
Classification,تصنيف
Clean Business,نشاط أعمال نظيف
Clear Payments,يسدد الدفعات
Clearing house,مقاصة
Clergy,إكليروس
Clericalism,إكليريكية
Cliché,عبارة مبتذلة/ روسم (الكليشيه)
Clientelism,زبانة
Climax,ذروة
Cloning,استنساخ (كائنات حية)
Coalition,ائتلاف حاكم
Coalition government,حكومة ائتلافية
Cobweb,شكل عنكبوتي
Code of Conduct,رمز الموصل
Coercive Labour,عمل قسري
Coextensive,متساوي الامتداد
Cogito,كوجيتو
Cognitions,معارف
Cognitive,معرفي
Cold War,حرب باردة
Collaborative Alliances,تحالفات تعاونية
Collaborative Capitalism,رأسمالية تعاونية
Collage,تلصيق/ لصق (كولاج)
Collective Agriculture,زراعة جماعية
Collective Farms,مزارع جماعية
Collective security,أمن جمعي/ أمن جماعي
Collectivism,جماعية
Collectivist Conspiracy,مؤامرة جماعية
Collectivist School,المدرسة الجماعية
Collectivization,
Collocative Patterns,طرز تلازم
Colonial Exports,صادارتاستعمارية
Colonial mode,نمط استعماري
Colonial Trade,
Colonialism,كولونيالية/ استعمار
Colonists,مستوطنون
Colorization,استيطان
Combinations,تاركيب
Combining Weights,أوازنالاتحاد الكيميائي
Comédie humaine,كوميديا بشرية
Comedy,كوميديا
Comic Strip,قصة مسلسلة
Commenda,شاركة تجارية (القرونالوسطى)
Commensurate Justice,عدالة مناسبة
Commentary,تعليق
Commercial Agriculture,زراعة تجارية
Commercialization,"تصريف السلع/ تعامل تجاري/ إضفاء الصبغة
التجارية"
Commercialization of Agriculture,إضفاء الصبغة التجارية على الزراعة
Commissar,مفوض
Commission,تكليف/ تفويض
Commitment,التازم
Committee of Public Safety,لجنة السلامة العامة
Commodification,تسليع:أيجعل أو تحويل الشيء إلى سلعة
Commodified Relationship,علاقات مسلعة (بهيئة سلع)
Commoditization,تسليع
Commodity,سلعة
Commodity Exchange,
Commodity Fetishism,
Common Era,حقبة عامة/ مسيحية
Common Good,صالح عام
Common Parlance,تعبير دارجفي المحادثات العامة
Common Pedagogical Program,برنامج تعليمي مشترك
Common Welfare,رفاه عام
Commons,مجلس عموم/ مجلس النواب(في بريطانيا)/ أارضمشاع
Commonwealth,"جماعة سياسية (الكومنولث)/حكومة برلمانية (الحكومة
الإنجليزية 1661/1649)"
Communal,جماعي
Communal Association,تعايش بلدي
Communal Warfare,حرب طائفية
Commune,كومونة (تشكيل مصغر اجتماعي ـ اقتصادي)
Communication,اتصالات/ تواصل
Communication Gap,فجوة الاتصالات
Communication Technologies,تقنيات تواصل
Communicative,تواصلي
Communion sanctorum,الشركة المقدسة
Communism,شيوعية
Communist Dictatorship,دكتاتورية شيوعية
Communitarianism,جماعانية
Communities of Interest,مجموعات المصالح
Community,مجتمع/ جماعة/ متحد اجتماعي/ كومونة
Community Cult,عبادة جماعية
Community Development Programs,برامج تنمية المجتمع
Comparative,مقارن
Comparative Advantage,ميزة مقارنة/ ميزة نسبية
Compass,بوصلة
Compensation,تعويض/ مدفوعات، (وبخاصة مدفوعات الأجور)
Competition,منافسة
Competitive Advantage,ميزة تنافسية
Competitive Market,سوق تنافسية
Competitive Real Wage,أجر حقيقي تنافسي
Competitiveness,قدرة تنافسية
Complementarity,تكاملية/ تكامل
Complementary Alternation,تناوب المتتام
Complex,مجمع
Composition,تركيب
Compound,مركب
Comprador,وكيل تجاري
Compradorism,كومباردورية
Compression,"ضغط تقليص، (بدلا  من انضغاط وعلى سبيل
التخفيف لفظا )"
Compulsory Loan,قروض إجبارية
Compunction,ندم
Computer Simulation,تجربة يتم عملها باستعمال الحاسوب
Computing Equipment,معدات الحساب
Conations,دوافع فطرية
Concave Curve,منحنى مقعر
Concept,مفهوم/ تصور
Conception,مفهوم/تصور
Conceptual,مفهومي
Conceptual Reifications,المحسوسات المفهومية
Conceptualization,مفهمة
Concepualized Reality,مفهوم للواقع/ حقيقة مفاهيمية
Concessions,تنازلات (للتوصل إلى اتفاق أو تسوية) / امتيازات
Concordat,اتفاقية/ ميثاق
Conditioned,مشروط
Conditions of Infirmity,حالات الضعف
Condominium,ملكية مشتركة
Confessional state,دولة ذات نظام طائفي
Confessionalism,نظام طائفي
Confiscation,مصادرة
Conflict,نازع
Conformism,امتثالية
Confraternities,أخويات
Congregationalist Church,كنيسة أبرشية
Congress,مجلس
Conjugal,زواجي (رابطة الأسرة النووية)
Connections,سياقات / ترابطات
Connotatum,معنى إضافي
Conquestal mode of production,نمط فتحي للإنتاج
Conscious,واع
Consciousness,وعي
Consensus,إجماع
conservation,محافظية
Conservatism,نزعة محافظة
Conservative Modernization,تحديث محافظ
Conservative Revisionism,نزعة تحريفية محافظة
Consistence,اطرد، اتساق
Consociationalism,توافقية
Consolidated Balance Sheet,ميزانية مثبتة
Conspicuous Consumption,استهلاك مظهري
Constant,معطى
Constant Returns,ثبات الغلة
Constantinian Christendom,العالم المسيحي في عهد قسطنطين
Constitution,دستور
Constitutionalism,دستورية/ مبدأ دستوري
Constrained Trade,تجارة مقيدة
Consultative Status,وضعية استشارية
Consumer Goods,سلع استهلاكية
Consumerism,نزعة استهلاكية/ نمط استهلاكي
Consummation,اكتمال
Consumption,استهلاك
Consumption Goods,سلع استهلاكية
Contemporary,معاصر
Contemporary Environmentalists,أنصار البيئة المعاصرون
Content,مضمون
Contentment,قناعة/ رضا
Context,سياق
Continental Countries,بلدان أوروبية
Continental Laborer,عامل أوروبي
Contingency,طارئية/ عرضية
Contraband,تهريب
Contract,عقد
Contracting Out,تعاقد خارجي
Control,رقابة/ تحكم
Controlled Economy,اقتصاد موجه
Convention,معاهدة
Convergence,تقارب
Conversational Maxims,قواعد أساسية للمحادثة
Conversion to Islam - Islamization,أسلمة
Conviction,اقتناع
Cool Hunter,صياد هادئ
Cooperative Commonwealth of Labor,رابطة تعاونية عمالية
Cooperative Movement,حركة تعاونية
Co-Production,تشارك في الإنتاج
Copy Hold Acts,قوانين التملك بالالتزام
Core,نواة / مركز
Corn Laws,قوانين القمح
Corporate,شركات الأعمال أو قطاع الأعمال ككل
Corporate Brain,عقل أعمال
Corporate Community,مجتمع أعمال
Corporate Democracy,ديمقراطية تعاونية
Corporate Identity,هوية مؤسسية
Corporate Information Systems,أنظمة معلومات أعمال
Corporate Perestroike,إعادة بناء قطاع الأعمال
Corporate Performance,أداء الأعمال / أداء شركات الأعمال بوصفها قطاعا
Corporate Structure,هيكل قطاع الأعمال (أو شركة معينة منه)
Corporate-Client Participation,مشاركة بين الزبون و الشركة (أو شركات الأعمال)
Corporation (s),شركة ذات تنظيم موحد/ شركة تعاونية/ شركات
Corporatism,تشاركية/ مذهب التشارك
Corporative State,دولة تشاركية
Corpus,مجموع
Corpus Analysis,تحليل كمي
Corpus Juris Civilis of Justinian,مدونة جوستنيان (483-565 م)
Corpus Linguistics,ألسنية عينية
Corpuscle,جسيم
Corrosion of Character,تآكل الدور
Corruption,فساد
Cosmic Sacrality,قداسة كوني
Cosmopolitan,عدمي قومي (أممي)
Cosmopolitan Workforce,قوة عمل عالمية
Cosourcing,تفويض مشترك
Cost Effective,تكلفة فعالة
Cost of Living,أكلاف المعيشة
Cost transparency,شفافية التكلفة
Council,مجمع
Counterculture,ثقافة مضادة
Counterfeit,زيف
Counterrevolution,ثورة مضادة
Countervailing powers,قوى موازية
Couplet,دوبيت
Course of Isolation,سياسة الانعازل
Court of Request,محكمة المطالبات
Courtier,سمسار
Covenant of the League,ميثاق عصبة الأمم
Covenanted,ميثاقي
Covenanted religion,دين ميثاقي
Cowries,صدف(أصداف) استخدمت كعملة للتبادل التجاري
Craft Specialization,تخصص حرفي
Creative,خلاق
Creative Destruction,هدم بناء/ تدمير إبداعي
Creativity,إبداعية
Credit,ائتمان
Credit Money,مال مقترض
Creed,عقيدة/ مذهب
Crisis of Welfare State,أزمة دولة الرفاهية
Critical Analysis,تحليل نقدي
Critical Awareness,وعي نقدي
Critical Discourse Analysis,دراسة نقدية للخطاب
Critical Mass,كتلة نقدية [جمهور نقدي]
Critical Rationality,عقلانية نقدية
Critical Realism,واقعية نقدية
Critical Value,قيمة حرجة
Criticism,نزعة نقدية
Crony Capitalism,رأسمالية المحاسيب- المحسوبية
Cross,صليب
Cross Materialism,مادية مغالية
Cross the Ribicon,يتخذ قارار لا رجوع عنه
Cross-Cultural Understanding,تفاهم ثقافي بين الشعوب
Crusaders,صليبيون
Cryptoinflation,تضخم غير المرئي
Cubist,تكعيبي
Cubist Painting,الرسم التكعيبي
Cuius regio eius religio,لكل إقليم دينه
Cult,عبادة/ طائفة (أتباع مؤيدون لشخص أو لفكرة ما)
Cultivating Brotherhoods,أخويات زراعية
Cultural Capitalism,رأسمالية ثقافية
Cultural Characteristics,سمات ثقافية
Cultural Colonialism,كولونيالية ثقافية
Cultural Commerce,تجارة ثقافية
Cultural Creative,مبدع حضاري/ ثقافي
Cultural Diversity,تنوع ثقافي
Cultural Economy,اقتصاد ثقافي
Cultural Endowment,هبة أو ذخيرة ثقافية
Cultural Identity,هوية ثقافية
Cultural Production,إنتاج ثقافي
Cultural Provincialism,عصبية ثقافية محلية
Cultural Stratifications,تراصفات الثقافية
Cultural Synchronization,مزامنة ثقافية
Culture,ثقافة
Culture Industry,صناعة الثقافة
Culture of Non - violence,ثقافة اللاعنف
Curia,إدارة بابوية
Current Prices,أثمان جارية
Customization,تعديل أو تكييف
Customized Production,إنتاج ملائم للزبون
Customs,عادات
Cutting,تقطيع
Cybernetics,سيبرنيطيقا/ علم الضبط والاتصال العصبي
Cyberspace,مجال سايبري/فضاء سايبري
Cyberspace Commerce,تجارة المجال السايبري
Cyclical Convulsion,اضطارب دوري
Cynicism,كلبية
Cynics,كلبيون
Dandy,غندور
Dandyism,غندورية
Data,معطيات
Data Envelopment Analysis,تحليل محفظة البيانات
Databases,خزائن بيانات
De facto Confederation of City-States,كونفدرالية الأمر الواقع لدول المدن
Debt Instrument,أداة دين
Debt Management,إدارة المديونية
Decadence,انحطاط
Deceit,خداع
Decentralized,لامركزي
Decentralized Clusters,تشابكات غير مركزية
Decentralized Market,سوق لا مركزي
Deciphering,فك شيفرة
Decisionism,قرارية
Decision-making,صنع القرار
Declarative Sentence Type,نمط جملة تصريحية
Decollectivization,تفكيك الزراعة الجماعية
Deconstructionism,تفكيكية
Decorative Art,فن زخرفي
Decorum,لياقة
Deculturation,إجهاز على الثقافة
Deductive,استنتاجية
Deep integration,تكامل عميق
Deficit Position,وضعية عجز مالي
Deficit Spending,الإنفاق والوقوع بالعجز
Deflation,انكماش/ نقص في حجم العملة
Deforestation,زحرجة (إزالة الأحارج)
Dehumanization,لا أنسنة
Deicide,قتل الإله
Deism,ربوبية
Deity,إله/ ألوهية
Demagogic,غوغائي
Demands Saturation,إشباع الطلب
Demi Conductor Industry,صناعة شبه الموصلات
Demobilization,إلغاء التعبئة
Democratic Control,تحكم ديمقراطي
Democratic Enterprise,مشروع تجاري ديمقراطي
Democratic Participation,مشاركة ديمقراطية
Democratic Reform,إصلاح ديمقراطي
Democratization,دمقرطة
Demonization,شيطنة
Demoralization,انهيار خلقي
Demystification,نزع الوهم
Demythologizing,نزع الأسطرة
Denial,إنكار
Denial of the Self,نكارن الذات
Dēnkard,دينكرد (كتاب ديني زرواستري)
Denomination,طائفة
Denominationalism,طهرانية
Denominator,مقام
Denotatum,معنى أصلي
Denunciation,شجب
Department Store,متجر تنويعي
Depletion,استنزاف
Depopulation,نقص عدد السكان
Deposit,وديعة
Depreciation (of Capital),إهلاك رأس المال
Depression,كساد اقتصادي
Deprivatization,تعميم
Depth Psychology,علم نفس الأعماق
Deregulating Capital Markets,إزالة الموانع أمام حركة رأس المال
Deregulation,"إزالة المحددات/ حد من توجيه أو تدخل الدولة في
الشؤون الاقتصادية"
Derivative,مشتقة
Desacralized,منزوع القداسة
Description,وصف
Descriptive,وصفي
Desecularization,إلغاء العلمنة
Desertification,تصحر (أو تصحير)
Desiderata,أمنيات
De-skilling,تجرد من المهارة
Despotism,استبداد
Destination entertainment centers,مراكز التسلية المقصودة
Destructive Creation,إبداع تدميري
Detachment,انفصال
