%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
GAME OVER at level %d!,FIN DE JEU au niveau %d !,VERLOREN im Level %d!,انتهت اللعبة عند المستوى %d!
"Unstable Development Version

commit %s

Please test bugs against latest git master branch
before reporting them.","Version de développement instable

modification %s

Vérifiez les bogues sur la dernière version de la branche
master de git avant de les signaler.","Instabile Entwicklungsversion

Commit %s

Bitte prüfen Sie Fehler gegen den neuesten
git-master-Zweig, bevor Sie sie melden","إصدارة تطويرية غير مستقرة

إيداع %s

رجاء اختبر العلل على آخر تعديلات الفرع الرئيسي
في مستودع التطوير قبل الإبلاغ عنها."
A file named '%s' already exists.,Un fichier appelé « %s » existe déjà.,Eine Datei mit dem Namen »%s« ist bereits vorhanden.,يوجد فعلا ملف بالاسم %s.
A pixel on the screen represents an image pixel,Un pixel de l’écran représente un pixel de l’image,Ein Pixel auf dem Bildschirm repräsentiert ein Pixel des Bildes,البكسل على الشاشة يمثل بكسل في الصورة
Add to Selection,,,أضف إلى التحديد
Angle,Angle,,الزاوية
About,À propos,Info,عن
About GIMP,À propos de GIMP,Über GIMP,عن جمب
Access the image menu,Accéder au menu d’image,Auf das Bildmenü zugreifen,اذهب إلى قائمة الصورة
Action,Action,Aktion,إجراء
Action Search,Recherche d’action,Aktionssuche,ابحث في الإجراءات
Activate the focused image,Activer le focus sur image,Das fokussierte Bild aktivieren,نشّط الصورة التي في البؤرة
Activate the default edit action for this type of layer,Activer l’action de modification par défaut sur ce type de calque,Standard-Bearbeitungsaktion für diesen Ebenentyp aktivieren,نشّط أداة النصوص على هذه الطبقة
Active,Actif,Aktiv,المسار النشط
Active Controllers,Contrôleurs actifs,Aktive Steuerungen,الضابطات النشطة
Active Filters,Filtres actifs,Aktive Filter,المرشحات النشطة
Active channel,Canal actif,,القناة النشطة
Active layer,Calque actif,,الطبقة النشطة
Active levels,Niveaux actifs,Aktive Ebenen,المستويات النشطة
Active path,Chemin actif,,المسار النشط
Adaptive Supersampling,Sur-échantillonnage adaptatif,Anpassende Hochrechnung,نمذجة عالية تكيفية
Add '%s' to the list of active controllers,Ajouter « %s » à la liste des contrôleurs actifs,»%s« zur Liste der aktiven Steuerungen hinzufügen,أضف '%s' إلى قائمة الضابطات النشطة
Add '%s' to the list of active filters,Ajouter « %s » à la liste des filtres actifs,»%s« zur Liste der aktiven Filter hinzufügen,أضف '%s' إلى قائمة المرشحات النشطة
Add / Transform,Transformer,Hinzufügen/Transformieren,أضف \ حوّل
Add Alpha Channel,Ajouter un canal alpha,Alphakanal hinzufügen,أضِف قناة ألفا
Add Alpha Channel,Ajouter un canal alpha,Alphakanal hinzufügen,أضِف قناة شفافية
Add Anchor,Ajouter une ancre,Anker hinzufügen,أضِف مربط
Add Channel,Ajouter un canal,Kanal hinzufügen,أضِف قناة
Add Color to Colormap,Ajouter la couleur à la palette des couleurs,Farbe zur Palette hinzufügen,أضِف لونا إلى مخطط الألوان
Add Guide:,Ajouter un guide :,Hilfslinie hinzufügen:,أضِف دليلا:
Add Guides,Ajouter des guides,Hilfslinie hinzufügen,أضِف أدلة
Add Horizontal Guide,Ajouter un guide horizontal,Horizontale Hilfslinie hinzufügen,أضِف دليلا أفقيا
Add Layer Mask,,,أضِف قناع طبقة
Add Layer Mask...,,,أضِف قناع طبقة...
Add Layer,Ajouter un calque,Ebene hinzufügen,أضِف طبقة
Add Layer Mask,,,أضِف قناع طبقة
Add Layer Mask Dialog,Boîte de dialogue « Ajout d’un masque de calque »,Dialog zum Hinzufügen einer Ebenenmaske,أضِف قناع طبقة
Add Path,Ajouter un chemin,Pfad hinzufügen,أضِف مسارا
Add Sample Point,Ajouter un point d’échantillonnage,Prüfpunkt hinzufügen,أضِف نقطة عينة
Add Sample Point:,Ajouter un point d’échantillonnage :,Prüfpunkt hinzufügen:,أضِف عينة نقطة:
Add Stroke,Ajouter un tracé,Nachziehen,أضِف ضربة
Add Text Layer,Ajouter un calque de texte,Textebene hinzufügen,أضِف طبقة نصية
Add Vertical Guide,Ajouter un guide vertical,Vertikale Hilfslinie hinzufügen,أضِف دليلا رأسيا
Add a Mask to the Layer,,,أضِف قناعا إلى الصورة
Add a mask that allows non-destructive editing of transparency,,,أضِف قناعا يسمح بتعديل غير مدمّر للشفافية
Add a mask with last used values,,,أضف قناعًا بآخر القيم المستخدمة
Add all pixels with this color to the current selection,Ajoute tous les pixels de cette couleur à la sélection actuelle,Alle Bildpunkte mit dieser Farbe zur aktuellen Auswahl hinzufügen,أضف كل بكسل له هذا اللون إلى التحديد الحالي
Add an alpha channel to imported images,,,أضِف قناة شفافية الطبقة إلى التحديد الحالي
Add current background color,Ajoute la couleur d’arrière-plan actuelle,Die aktuelle Hintergrundfarbe einfügen,أضف لون الخلفية الحالي
Add current foreground color,Ajoute la couleur de premier plan actuelle,Die aktuelle Vordergrundfarbe einfügen,أضف لون المقدمة الحالي
Add layer,Ajouter un calque,Ebene hinzufügen,أضِف طبقة
Add layer mask,Ajouter un masque de calque,,أضِف قناع طبقة
Add path stroke,Ajouter un tracé de chemin,Nachgezogenen Pfad hinzufügen,أضِف سماكة مسار
Add path to selection,Ajouter le chemin à la sélection,,أضف المسار إلى التحديد
Add the current color to the color history,Ajouter la couleur actuelle à l’historique de couleur,Die aktuelle Farbe der Farbliste hinzufügen,أضِف اللون الحالي إلى تأريخ الألوان
Add the layer mask to the current selection,,,أضِف قناع الطبقة إلى التحديد الحالي
Add the layer's alpha channel to the current selection,Ajouter le canal alpha du calque à la sélection actuelle,Den Alphakanal der Ebene zur Auswahl hinzufügen,أضِف قناة شفافية الطبقة إلى التحديد الحالي
Add this channel to the current selection,Ajoute ce canal à la sélection actuelle,,أضف هذه القناة إلى التحديد الحالي
Add to palette,Ajouter à la palette,Zur Palette hinzufügen,أضِف إلى لوح الألوان
Add transparency information to the layer,Ajouter l’information de transparence au calque,Transparenzinformationen zur Ebene hinzufügen,أضف معلومات الشفافية إلى الطبقة
Addition,Addition,Addition,إضافة
Addition (l),Addition (a),Addition (v),إضافة
Addition (legacy),Addition (ancien),Addition (veraltet),إضافة
Additional Input Controllers,Contrôleurs d’entrée additionnels,Zusätzliche Eingabegeräte,متحكمات إدخال إضافية
Adjust Brightness and Contrast,Ajuster la luminosité et le contraste,Helligkeit und Kontrast anpassen,اضبط السطوع والتباين
Adjust Color Curves,Ajuster les courbes de couleur,Farbkurven korrigieren,اضبط منحنيات الألوان
Adjust Color Levels,Ajuster les niveaux de couleur,Farbwerte anpassen,اضبط مستويات الألوان
Adjust Selected Color,Ajuster la couleur sélectionnée,Gewählte Farbe bearbeiten,اضبط اللون المختار
Adjust all colors,Ajuster toutes les couleurs,Alle Farben bearbeiten,اضبط كل الألوان
Adjust brightness and contrast,Ajuster la luminosité et le contraste,Helligkeit und Kontrast anpassen,اضبط السطوع والتباين
Adjust color curves,Ajuster les courbes de couleur,Farbkurven korrigieren,اضبط منحنيات الألوان
Adjust color distribution,Ajuster la répartition des couleurs,Farbverteilung korrigieren,أداة توازن الألوان: اضبط توزيع الألوان
Adjust color levels,Ajuster les niveaux de couleur,Die Farbwerte des gewählten Bereichs bearbeiten,اضبط مستويات الألوان
"Adjust hue, saturation, and lightness","Ajuster la teinte, la saturation et la luminosité","Farbton, Sättigung und Helligkeit korrigieren",أداة الدرجة والتشبع: اضبط التدرج والتشبع والإضاءة
Adjust letter spacing,Ajuster l’espacement des lettres,Zeichenabstand anpassen,اضبط تباعد الحروف
Adjust levels for all channels automatically,Ajuster les niveaux de tous les canaux automatiquement,Werte automatisch anpassen,اضبط مستويات كل القنوات تلقائيا
Adjust levels perceptually,,,اضبط مستويات كل القنوات تلقائيا
Adjust line spacing,Ajuster l’espacement des lignes,Zeilenabstand anpassen,اضبط تباعد السطر
Adjust the image dimensions,Ajuste les dimensions de l’image,Bildabmessungen anpassen,اضبط أبعاد الصورة
Adjust the layer dimensions,Ajuster les dimensions du calque,Die Größe der Ebene anpassen,اضبط أبعاد الطبقة
Adjust the print resolution,Ajuste la définition d’impression,Die Druckauflösung anpassen,اضبط ميْز الطباعة
Adjust the zoom ratio so that the entire window is used,Ajuster le facteur de zoom pour que la fenêtre soit entièrement utilisée,"Die Vergrößerung so anpassen, dass das Fenster vollständig ausgefüllt ist",اضبط نسبة التقريب بحيث تُستخدم النافذة كلها
Adjust the zoom ratio so that the image becomes fully visible,Ajuster le facteur de zoom pour que l’image soit entièrement visible,"Die Bildgröße so anpassen, dass das Bild vollständig sichtbar ist",اضبط نسبة التقريب لتصبح الصورة ظاهرة بالكامل
Adjust the zoom ratio so that the selection fills the window,Ajuster le facteur de zoom pour que la fenêtre soit entièrement utilisée,"Die Vergrößerung so anpassen, dass die Auswahl das Fenster vollständig füllt",اضبط نسبة التقريب بحيث يملأ التحديد النافذة
Adjustment,Ajustement,Justierung,الضبط
Advanced Color Options,Options de couleur avancées,,الخيارات المتقدمة
Advanced options,Options avancées,Erweiterte Einstellungen,الخيارات المتقدمة
Affected Area  (%s),Région affectée (%s),Betroffener Bereich (%s),المنطقة المتأثرة (%s)
Airbrush,Aérographe,Sprühpistole,فرشاة هواء
Airbrush Flow: Set,Débit de l’aérographe : régler,Sprühpistolen-Fluss: Festlegen,فرشاة هواء
Airbrush Rate: Set,Taux de l’aérographe : régler,Sprühpistolen-Rate: Festlegen,فرشاة هواء
"Airbrush Tool: Paint using a brush, with variable pressure",Outil aérographe : peint à pression variable en utilisant une brosse,Sprühpistole: Mit einem Pinsel unter variablem Druck sprühen,أداة فرشاة الهواء: لون بفرشاة هواء مع ضغط متغير
Alpha to Selection,Alpha vers sélection,Auswahl aus Alphakanal,ألفا من التحديد
Alien Map,Psychédélique,,خريطة غريبة
Align,Alignement,Ausrichten,محاذاة
Align bottom of target,Aligner le bord inférieur de la cible,,حاذِ قاع الهدف
Align center of target,Aligner le centre de la cible,,حاذِ مركز الهدف
Align left edge of target,Aligner le bord gauche de la cible,,حاذِ الحافة اليسرى للهدف
Align middle of target,Aligner le milieu de la cible,,حاذِ وسط الهدف
Align right edge of target,Aligner le bord droit de la cible,,حاذِ الحافة اليمنى للهدف
Align top edge of target,Aligner le bord supérieur de la cible,,حاذِ الحافة العليا للهدف
Aligned,Aligné,Ausgerichtet,محاذى
Alignment,Alignement,Ausrichtung,المحاذاة
Alignment Tool: Align or arrange layers and other objects,Outil d’alignement : aligne ou arrange des calques ou d’autres objets,Ausrichten: Ebenen und andere Objekte anordnen und ausrichten,أداة المحاذاة: حاذ أو رتب الطبقات والكائنات الأخرى
All Channels,Tous les canaux,Alle Kanäle,كل القنوات
All XCF images,Toutes les images XCF,Alle XCF-Bilder,كل صور XCF
All export images,Toutes les images exportées,Alle Export-Bilder,كل صور التصدير
All files,,,كل الملفات
All files (*.*),Tous les fichiers (*.*),Alle Dateien (*.*),كل الملفات (*.*)
All images,,,كل الصور
All layers,Tous les calques,Alle Ebenen,كل الطبقات
All linked layers,,,كل الطبقات المربوطة
All visible layers,Tous les calques visibles,Alle sichtbaren Ebenen,كل الطبقات الظاهرة
Allow completely transparent regions to be filled,Permet aux régions complètement transparentes d’être remplies,Füllen von vollständig transparenten Bereichen zulassen,اسمح بملء المناطق الشفافة تماما
Allow completely transparent regions to be selected,Permet aux régions complètement transparentes d’être sélectionnables,Auswahl vollständig transparenter Bereiche erlauben,اسمح بتحديد المتطق الشفافة تماما
Allow growing,Autoriser l’agrandissement,Vergrößern zulassen,اسمح بالنمو
Allow resizing canvas by dragging cropping frame beyond image boundary,"Permet de redimensionner le canevas au-delà des limites de l’image, en faisant glisser le cadre de découpage",Vergrößern der Leinwand durch Ziehen des Zuschnittrahmens außerhalb der Grenzen des Bildes erlauben,اسمح بتغيير حجم رقعة الرسم بسحب إطار التقصير خارج حدود الصورة
Alpha,Alpha,Alpha,شفافية
Alpha component,Composant Alpha,Alpha-Komponente,المكوّن الشفاف
Alpha to Selection,Alpha vers sélection,Auswahl aus Alphakanal,الشفافية إلى التحديد
Amount,Quantité,Menge,المقدار
Amount of control points' influence,Taux d’influence des points de contrôle,Ausmaß des Einflusses der Kontrollpunkte,مقدار تأثير نقاط التحكم
"An image of the chosen size will use more memory than what is configured as ""Maximum Image Size"" in the Preferences dialog (currently %s).",,,"صورة بهذا الحجم ستستهلك ذاكرة أكثر من المحدد في ""أقصى حجم صورة"" في حوار التفضيلات (حاليا %s)."
Animation,Animation,Animation,حركة
Anchor Floating Selection,Ancrer la sélection flottante,Schwebende Auswahl verankern,ثبّت التحديد الحر
Anchor floating selection,Ancrer la sélection flottante,Schwebende Auswahl verankern,اربط التحديد الحر
Anchor the floating layer,Ancrer le calque flottant,Schwebende Ebene verankern,ثبّت الطبقة الحرة
Angle,Angle,Winkel,الزاوية
Angle:,Angle :,Winkel:,الزاوية:
Animate,Animation,Animation,حرّك
Another GIMP instance is already running.,Une autre instance de GIMP est déjà lancée.,Eine andere GIMP-Instanz wird bereits ausgeführt.,تعمل بالفعل سيرورة أخرى من جمب.
Anti erase,Anti-effacement,Gegen-Radieren,مضاد للمحو
Anti erase  (%s),Anti-effacement (%s),Un-Radieren (%s),مضاد المسح (%s)
Antialias,Lissage,,نعّم
Antialiasing,Lissage,Kanten glätten,التنعيم
Appearance,Apparence,Darstellung,المظهر
Apply Canvas,Appliquer le canevas,,طبّق رقعة الرسم
Apply Jitter,Appliquer fluctuation,Zittern hinzufügen,طبّق النفّاض
Apply Layer Mask,Appliquer le masque de calque,,طبّق قناع الطبقة
Apply Layer Mask,Appliquer le masque de calque,,طبّق قناع الطبقة
Apply Lens,Appliquer la lentille,,طبّق العدسة
Apply Threshold,Appliquer les seuils,Schwellwert anwenden,طبّق العتبة
Apply Lens...,Appliquer la lentille…,Lupeneffekt anwenden …,طبّق العدسة...
Apply a color profile to the image,Applique un profil de couleur à l’image,Ein Farbprofil auf das Bild anwenden,طبّق لاحة ألوان على الصورة
Apply layer mask,Appliquer le masque de calque,,طبّق قناع الطبقة
Apply stored FG/BG,Appliquer le PP/AP enregistré,Gespeicherte VG/HG-Farbe anwenden,طبق الخلفية أو الواجهة المحفوظة
Apply stored MyPaint brush,Appliquer la brosse MyPaint enregistrée,Gespeicherten MyPaint-Pinsel anwenden,طبّق فرشاة ماي پينت المحفوظة
Apply stored brush,Appliquer la brosse enregistrée,Gespeicherten Pinsel anwenden,طبّق الفرشاة المحفوظة
Apply stored dynamics,Appliquer la dynamique enregistrée,Gespeicherte Zeichendynamik anwenden,طبّق الحركيات المحفوظة
Apply stored font,Appliquer la police enregistrée,Gespeicherte Schrift anwenden,طبّق الخط المحفوظ
Apply stored gradient,Appliquer le dégradé enregistré,Gespeicherten Farbverlauf anwenden,طبّق التدرجات المحفوظة
Apply stored palette,Appliquer la palette enregistrée,Gespeicherte Palette anwenden,طبّق لوح الألوان المحفوظ
Apply stored pattern,Appliquer le motif enregistré,Gespeichertes Muster anwenden,طبّق الأنماط المحفوظة
Apply the effect of the layer mask and remove it,Appliquer l’effet du masque de calque et supprime le masque,,طبّق تأثير قناع الطبقة ثم احذفه
Are you sure you want to delete template '%s' from the list and from disk?,Voulez-vous vraiment supprimer le modèle « %s » de la liste et du disque ?,Möchten Sie die Vorlage »%s« wirklich aus der Liste und von der Festplatte löschen?,أمتأكد أنك تريد حذف القالب '%s' من القائمة ومن القرص؟
Are you sure you want to remove '%s' from the list and delete it on disk?,Voulez-vous vraiment supprimer « %s » de la liste et du disque ?,"Sind Sie sicher, dass »%s« aus der Liste entfernt und von der Festplatte gelöscht werden soll?",أمتأكد أنك تريد إزالة '%s' من القائمة وحذفه من القرص؟
Around center (%s),Autour du centre (%s),Um den Mittelpunkt (%s),أركان دائرية
Arrange Objects,Arranger les objets,Objekte anordnen,رتّب العناصر
As in Preferences,Comme dans les préférences,Den Einstellungen entsprechend,كما في التفضيلات
Ask what to do,Demander ce qu’il faut faire,Nachfragen,سؤال ماذا تصنع
Aspect Ratio,Proportions,Seitenverhältnis,نسبة الأبعاد
Aspect ratio,Proportions,Seitenverhältnis,نسبة الأبعاد
Assign,Attribuer,Zuweisen,حدد
Assign ICC Color Profile,Attribuer un profil de couleur ICC,ICC-Farbprofil zuweisen,حدد لاحة ألوان ICC
Assign a color profile to the image,Attribuer un profil de couleur à l’image,Dem Bild ein Farbprofil zuweisen,حدد لاحة ألوان للصورة
Assign an action to '%s',Assigner une action à « %s »,Eine Aktion mit »%s« verbinden,أسنِد الإجراء إلى '%s'
Assign color profile,Attribuer un profil colorimétrique,Farbprofil zuweisen,حدد لاحة ألوان
Attach Parasite,Attacher un parasite,Parasit anheften,أرفق طفيليا
Attach Parasite to Image,Attacher un parasite à l’image,Parasit an Bild anheften,أرفِق طفيليا بالصورة
Attach Parasite to Item,Attacher un parasite à l’élément,Parasit an Objekt anheften,أرفق طفيليا بالعنصر
Attach parasite,Attacher un parasite,Parasit zuweisen,أرفق طفيلي
"Attribute ""%s"" is invalid on <%s> element in this context",L’attribut « %s » sur l’élément <%s> n’est pas valide dans ce contexte,Attribut »%s« ist mit dem Element <%s> in diesem Kontext ungültig,"الخاصّة ""%s"" غير صالحة على العنصر <%s> في هذا السياق"
Author:,Auteur :,Autor:,المؤلف:
Auto,Auto,Auto,تلقائي
Auto Shrink,Réduction automatique,Automatisch schrumpfen,تقليص تلقائي
Auto Follow Active Image,Suivre automatiquement l’image active,Automatisch dem aktiven Bild folgen,اتبع تلقائيا الصورة النشطة
Auto-resize window,Auto-redimensionner la fenêtre,Fenstergröße automatisch anpassen,غيّر حجم النافذة تلقائيا
Autocrop image,Découpage automatique de l’image,Bild automatisch zuschneiden,قصّر الصورة تلقائيا
Autocrop layer,Découpage automatique du calque,Ebene automatisch zuschneiden,قصّر الطبقة تلقائيا
Automatic,,,تلقائي
Automatic contrast enhancement,Amélioration automatique du contraste,Automatische Kontrastverbesserung,تحسين تلقائي للتباين
Automatic white balance correction,Correction automatique de la balance des blancs,Automatischer Weißabgleich,تصحيح تلقائي للتوازن الأبيض
Automatically Detected,Détecté automatiquement,Automatisch bestimmen,مكتشف تلقائيا
Automatically shrink to the nearest rectangular shape in a layer,Réduit automatiquement à la forme rectangulaire la plus proche dans un calque,Automatisch auf die nächstgelegene rechteckige Form in einer Ebene schrumpfen,اكمش تلقائيًا لأقرب شكل مستطيل في الطبقة
Available Controllers,Contrôleurs disponibles,Verfügbare Steuerungen,الضابطات المتوفرة
Available Filters,Filtres disponibles,Verfügbare Filter,المرشحات المتوفرة
Available manuals...,Manuels disponibles…,Verfügbare Handbücher …,المرشحات المتوفرة
Axes,Axes,Achsen,المحاور
B:,B :,B:,الصندوق:
Background Color (Transparent),Couleur d’arrière-plan (transparent),Hintergrundfarbe (transparent),لون الخلفية (شفاف)
