%s — Private key,%s — Clé privée,%s — Geheimer Schlüssel,‏%s — مفتاح سري
%s — Public key,%s — Clé publique,%s — Öffentlicher Schlüssel,‏%s — مفتاح علني
%u:%u:%u,,,%Iu:%Iu:%Iu
Add user ID to %s,Ajouter un identifiant utilisateur à %s,Benutzerkennung hinzufügen zu: %s,أضف معرّف المستخدم إلى %s
Algorithm,Algorithme,Algorithmus,الخوارزمية
All JPEG files,Tous les fichiers JPEG,JPEG-Dateien,كل ملفات JPEG
All files,Tous les fichiers,Alle Dateien,كل الملفات
All image files,Tous les fichiers images,Alle Bilddateien,كل ملفات الصور
All key files,Tous les fichiers de clé,Schlüsseldateien,كل ملفات المفاتيح
Allows accessing this computer remotely,Autorise l’accès à distance à cet ordinateur,,يتيح الوصول لهذا الحاسوب عن بعد
Are you sure you want to delete the password keyring “%s”?,Voulez-vous vraiment supprimer le trousseau de mots de passe « %s » ?,,أمتأكد من رغبتك بحذف حلقة مفاتيح كلمات السر ”%s“؟
Are you sure you want to delete the password “%s”?,Voulez-vous vraiment supprimer le mot de passe « %s » ?,,أمتأكد من رغبتك بحذف كلمة السر ”%s“؟
Are you sure you want to delete the secure shell key “%s”?,Voulez-vous vraiment supprimer la clé de shell sécurisé « %s » ?,,أمتأكد من رغبتك في حذف مفتاح الصدفة الآمنة ”%s“؟
Are you sure you want to permanently delete %s?,Voulez-vous vraiment supprimer définitivement %s ?,,أمتأكد أنك تريد حذف %s نهائيا؟
Are you sure you want to permanently delete subkey %d of %s?,,,أمتأكدٌ أنّك تريد حذف المفتاح الفرعي %Id من %s نهائيًا؟
Are you sure you want to permanently delete the “%s” user ID?,Voulez-vous vraiment supprimer définitivement l’identifiant utilisateur %s ?,,أمتأكدٌ أنّك تريد حذف معرّف المستخدم ”%s“ نهائيا؟
Are you sure you want to remove the current photo from your key?,Voulez-vous vraiment supprimer la photo actuelle de votre clé ?,,أواثق من رغبتك في حذف الصورة الحالية من المفتاح؟
Armored PGP keys,Clés blindées PGP,E-Mail-sichere PGP-Schlüssel,مفاتيح PGP محصّنة
Authenticate,Authentification,Legitimieren,وثّق
Auto publish keys,Publication automatique des clés,Schlüssel automatisch veröffentlichen,انشر المفاتيح آليا
Auto retrieve keys,Récupération automatique des clés,Schlüssel automatisch abrufen,اجلب المفاتيح آليا
Automatically retrieve keys from key servers,Récupérer automatiquement les clés depuis les serveurs de clés,Schlüssel automatisch von den Schlüssel-Servern abrufen,اجلب المفاتيح آليا من خواديم المفاتيح
Automatically synchronize modified keys with key servers,Synchroniser automatiquement les clés modifiées avec les serveurs de clés,Veränderte Schlüssel automatisch mit den Schlüssel-Servern abgleichen,زامن المفاتيح المعدّلة آليا مع خواديم المفاتيح
By signing you indicate your trust that this key belongs to:,Votre signature atteste votre confiance que cette clé appartient à :,"Durch das Signieren bestätigen Sie, dass dieser Schlüssel der
folgenden Person gehört:",بالتوقيع تبيِّن أنك تثق في انتماء هذا المفتاح إلى:
Change,Modifier,Ändern,غيِّر
Create,Créer,Erstellen,أنشيء
Cancel,Annuler,,ألغِ
Cannot delete,Suppression impossible,,تعذّر الحذف
Can’t import key,Impossible d’importer la clé,,تعذّر استيراد المفتاح
Certificate,Certificat,Zertifikat,شهادة
Certificate request,Demande de certificat,Zertifikatanfrage,طلب شهادة
Certificates,Certificats,Zertifikate,الشّهادات
Certificates (DER encoded),Certificats (codage DER),Zertifikate (DER-enkodiert),الشّهادة (بترميز DER)
Certify,Certificat,Beglaubigen,اعتمد
Change Passphrase,Changer la phrase de passe,Passphrase ändern,غيّر عبارة السر
Change Passphrase,Changer la phrase de passe,Passphrase ändern,غيِّر عبارة السر
Change Password,Modifier le mot de passe,Passwort ändern,غيّر كلمة السر
Change password,Modifier le mot de passe,,غيّر كلمة السر
Choose Photo to Add to Key,Choisissez une photo à joindre à la clé,"Wählen Sie ein Foto aus, um es zum Schlüssel hinzuzufügen",اختر صورة لتُضاف إلى المفتاح
Choose Signing Key,,,اختر مفتاح التوقيع
Clipboard text,Texte du presse-papiers,Text der Zwischenablage,نص الحافظة
Comment,Commentaire,Kommentar,التعليق
Compromised,Compromise,Unsicher,معرّض للمخاطِر
Confirm Passphrase:,Confirmer la phrase de passe :,Passphrase bestätigen:,أكد عبارة السر:
Configure Key for Secure Shell…,Configurer la clé pour un shell sécurisé…,SSH-Schlüssel einrichten …,اضبط مفتاح الصدفة الآمنة…
Configuring Secure Shell Keys…,Configuration de clés de shell sécurisé…,SSH-Schlüssel werden eingerichtet …,اضبط مفاتيح الصدفة الآمنة…
Confirm new passphrase,Confirmer la nouvelle phrase de passe,Bestätigen Sie die neue Passphrase,أكِّد عبارة السر الجديدة
Confirm:,Confirmation :,Wiederholung:,أكِّد:
Connecting to: %s,Connexion à : %s,,يتصل بـ: %s
Contributions:,Contributions :,,المساهمات:
Copy,Copier,,انسخ
Could not display help: %s,,,تعذّر عرض المساعدة: %s
Couldn’t add item,Impossible d’ajouter l’élément,Eintrag konnte nicht hinzugefügt werden,تعذّر إضافة العنصر
Couldn’t add keyring,Impossible d’ajouter un trousseau,Schlüsselbund konnte nicht hinzugefügt werden,تعذّر إضافة حلقة مفاتيح
Couldn’t add photo,Impossible d’ajouter une photo,,تعذّر إضافة الصورة
Couldn’t add revoker,,,تعذّر إضافة الناقض
Couldn’t add subkey,,,تعذّر إضافة مفتاح فرعي
Couldn’t add user ID,Impossible d’ajouter l’identifiant utilisateur,Benutzerkennung konnte nicht hinzugefügt werden,تعذّر إضافة معرّف المستخدم
Couldn’t change authorization for key.,Impossible de modifier l’autorisation de la clé.,Die Legitimierung für den Schlüssel konnte nicht geändert werden.,تعذّر تغيير سماحية المفتاح.
Couldn’t change expiry date,Impossible de modifier la date d’expiration,Das Ablaufdatum konnte nicht geändert werden,تعذّر تغيير تاريخ الانتهاء
Couldn’t change keyring password,Impossible de modifier le mot de passe du trousseau,Das Schlüsselbund-Passwort konnte nicht geändert werden,تعذّر تغيير كلمة سر حلقة المفاتيح
Couldn’t change passphrase for key.,Impossible de modifier la phrase de passe de la clé.,Die Passphrase des Schlüssels konnte nicht geändert werden.,تعذّر تغيير عبارة سر المفتاح.
Couldn’t change password.,Impossible de modifier le mot de passe.,Das Passwort konnte nicht geändert werden.,تعذّر تغيير كلمة السر.
Couldn’t change primary photo,Impossible de modifier la photo principale,Das primäre Foto konnte nicht geändert werden,تعذّر تغيير الصورة الأوّلية
Couldn’t change primary user ID,Impossible de modifier l’identifiant utilisateur principal,Die primäre Benutzerkennung konnte nicht geändert werden,تعذّر تغيير معرّف المستخدم الأوليّ
Couldn’t communicate with %s: %s,Impossible de communiquer avec %s : %s,Verbindung mit »%s« fehlgeschlagen: %s,تعذّر التواصل مع %s:‏ %s
Couldn’t communicate with server “%s”: %s,,,تعذّر التواصل مع الخادوم ”%s“:‏ %s
Couldn’t configure Secure Shell keys on remote computer.,Impossible de configurer des clés de shell sécurisé sur l’ordinateur distant.,,تعذّر إعداد مفتاح الصدفة الآمنة على الحاسوب البعيد.
Couldn’t create certificate request,Impossible de créer la demande de certificat,Zertifikatanfrage konnte nicht erstellt werden,تعذّر إنشاء طلب الشهادة
Couldn’t delete,Suppression impossible,,تعذّر الحذف
Couldn’t delete photo,Impossible de supprimer la photo,,تعذّر حذف الصورة
Couldn’t delete subkey,Impossible de supprimer la sous-clé,,تعذّر حذف المفتاح الفرعي
Couldn’t delete user ID,Impossible de supprimer l’identifiant utilisateur,,تعذر حذف معرّف المستخدم
Couldn’t export data,Impossible d’exporter les données,,تعذّر تصدير البيانات
Couldn’t export key,Impossible d’exporter la clé,Schlüssel konnte nicht exportiert werden,تعذّر تصدير المفتاح
Couldn’t export keys,Impossible d’exporter les clés,,تعذّر تصدير المفاتيح
Couldn’t generate PGP key,Impossible de générer la clé PGP,Der PGP-Schlüssel konnte nicht erzeugt werden,تعذّر توليد مفتاح PGP
Couldn’t generate Secure Shell key,Impossible de générer la clé de shell sécurisé,Der SSH-Schlüssel konnte nicht erzeugt werden,تعذّر توليد مفتاح صدفة آمنة
Couldn’t generate private key,Impossible de générer la clé privée,Geheimer Schlüssel konnte nicht erstellt werden,تعذّر توليد المفتاح السري
Couldn’t import key: %s,Impossible d’importer la clé : %s,Schlüssel konnte nicht importiert werden: %s,تعذّر استيراد المفتاح: %s
Couldn’t load newly generated Secure Shell key,Impossible de charger la clé de shell sécurisé nouvellement créée,Der neu erzeugte SSH-Schlüssel konnte nicht geladen werden,تعذّر توليد مفتاح صدفة آمنة
Couldn’t lock,Impossible de verrouiller,Sperren nicht möglich,تعذّر الإيصاد
Couldn’t prepare photo,Impossible de préparer la photo,,تعذّر تجهيز الصورة
Couldn’t publish keys to server,Impossible de publier les clés vers le serveur,Schlüssel konnte nicht zum Server übertragen werden,تعذر نشر المفاتيح على الخادوم
Couldn’t rename key.,Impossible de renommer la clé.,Schlüssel konnte nicht umbenannt werden.,تعذّر تغيير اسم المفتاح.
Couldn’t resolve address: %s,,,تعذّر حل العنوان: %s
Couldn’t retrieve keys from server: %s,Impossible de récupérer les clés depuis le serveur : %s,Schlüssel konnte nicht vom Server abgerufen werden: %s,تعذّر الحصول على المفاتيح من الخادوم: %s
Couldn’t revoke subkey,Impossible de révoquer la sous-clé,Unterschlüssel konnte nicht widerrufen werden,تعذّر نقض المفتاح الفرعي
Couldn’t save certificate request,Impossible d’enregistrer la demande de certificat,Zertifikatanfrage konnte nicht gespeichert werden,تعذّر حفظ طلب الشهادة
Couldn’t set default keyring,Impossible de définir le trousseau par défaut,Das Standard-Schlüsselbund konnte nicht gesetzt werden,تعذّر تحديد حلقة المفاتيح المبدئية
Couldn’t set description.,Impossible de définir la description.,Die Beschreibung konnte nicht gespeichert werden.,تعذّر وضع وصف.
Couldn’t sign key,Impossible de signer la clé,Schlüssel konnte nicht signiert werden,تعذّر توقيع المفتاح
Couldn’t unlock,Impossible de déverrouiller,Entsperren nicht möglich,تعذّر الفتح
Couldn’t unlock keyring,Impossible de déverrouiller le trousseau,,تعذّر فتح حلقة المفاتيح
Create,Créer,,أنشئ
Create a certificate request file for this key,Créer un fichier de demande de certificat pour cette clé,,أنشئ ملف طلب شهادة لهذا المفتاح
Create a certificate request file.,Créer un fichier de demande de certificat.,,أنشئ ملف طلب شهادة.
Create a new private key,Créer une nouvelle clé privée,Einen neuen geheimen Schlüssel erzeugen,أنشئ مفتاحًا سريا جديدًا
Create the new user ID,Créer le nouvel identifiant utilisateur,Neue Benutzerkennung anlegen,أنشئ معرّف مستخدم جديد
Created,Créée le,Erzeugt,تاريخ الإنشاء
Created on,Créé le,Erzeugt am,تاريخ الإنشاء
Created:,,,تاريخ الإنشاء:
Creating Secure Shell Key,Création d’une clé de shell sécurisé,SSH-Schlüssel wird erstellt,يجري إنشاء مفتاح صدفة آمنة
Custom,Personnalisé,Benutzerdefiniert,مخصّص
DSA,DSA,DSA,DSA
DSA (sign only),DSA (signature seule),DSA (nur signieren),‏DSA (توقيع فقط)
DSA ElGamal,DSA et ElGamal,DSA Elgamal,خوارزمية الجمل للتوقيع الإلكتروني
Data to be imported,Données à importer,,البيانات التي ستُستورَد
Date,,,التاريخ
Dates,,,التّواريخ
Dates:,,,التّواريخ:
Day,,,اليوم
Day of month part of the lower date limit,,,جزء اليوم من تاريخ الحد الأدنى
Day of month part of the upper date limit,,,جزء اليوم من تاريخ الحد الأقصى
Decryption failed. You probably do not have the decryption key.,Le déchiffrement a échoué. Vous ne disposez probablement pas de la clé de déchiffrement.,Die Entschlüsselung ist gescheitert. Vermutlich fehlt Ihnen der dazugehörige Schlüssel.,فشل استخراج التعمية. ؤبما لا تملك مفتاح التعمية.
Delete,Supprimer,Löschen,احذف
Delete Password,Supprimer le mot de passe,,احذف كلمة السر
Delete SSH Key,,,احذف مفتاح الصدغة الآمنة
Delete this certificate or key,Détruire ce certificat ou cette clé,,احذف هذه الشهادة أو المفتاح
Description,Description,Beschreibung,الوصف
Details,Détails,Details,التفاصيل
Disabled,Désactivée,Deaktiviert,معطل
Display flags,,,اعرض الشارات
Displayed date and/or time properties,,,خصائص التاريخ و/أو الوقت المعروضة
Displayed day of month,,,يوم الشهر المعروض
Displayed hour,,,الساعة المعروضة
Displayed minute,,,الدقيقة المعروضة
Displayed month,,,الشهر المعروض
Displayed second,,,الثانية المعروضة
Displayed year,,,السنة المعروضة
"Double click on a key to inspect it, or click the import button to import it into your local keyring.","Double-cliquez sur une clé pour l’examiner, ou cliquez sur le bouton d’importation pour l’importer dans votre trousseau de clés local.","Klicken Sie doppelt auf einen Schlüssel, um ihn zu betrachten, oder klicken Sie auf den Importieren-Knopf, um ihn zu Ihrem Schlüsselbund hinzuzufügen.",انقر نقرًا مزدوجًا على المفتاح لفحصه، أو انقر على زر الاستيراد لاستيراده إلى حلقة مفاتيحك المحلية.
Dropped text,Texte déposé,Eingefügter Text,النص المُفلت
ECDSA,ECDSA,ECDSA,ECDSA
ED25519,ED25519,,ED25519
Expiration Date,Date d’expiration,Ablaufdatum,تاريخ انتهاء الصلاحية
ElGamal,ElGamal,ElGamal,الجمل
ElGamal (encrypt only),ElGamal (chiffrement seul),ElGamal (nur verschlüsseln),الجمل (تعمية فقط)
Encrypt,Chiffrement,Verschlüsseln,عمِّ
Encryption Type,Type de chiffrement,Verschlüsselungs-Typ,نوع التعمية
Encryption Type:,,,نوع التعمية:
Encryption key password,Mot de passe de clé de chiffrement,Verschlüsselungs-Passwort,كلمة سر مفتاح تعمية
Enter Key Passphrase,Saisissez la phrase de passe de la clé,Geben Sie die Passphrase des Schlüssels ein,أدخل عبارة سر المفتاح
Enter PIN or password for: %s,Saisissez le code PIN ou le mot de passe pour : %s,Geben Sie die PIN oder das Passwort ein für: %s,ادخل كلمة السر أو رمز PIN ل‍: %s
Enter new passphrase,Saisissez la nouvelle phrase de passe,Geben Sie eine neue Passphrase ein,أدخل عبارة سر جديدة
Enter new passphrase for “%s”,Saisissez la nouvelle phrase de passe pour « %s »,Geben Sie eine neue Passphrase für »%s« ein,أدخل عبارة سر جديدة لـ”%s“
Enter passphrase,Saisissez la phrase de passe,Geben Sie die Passphrase ein,أدخل عبارة السر
Enter passphrase for “%s”,Saisissez la phrase de passe pour « %s »,Geben Sie die Passphrase für »%s« ein,أدخل عبارة سر ”%s“
Enter the date directly,Saisissez directement la date,Geben Sie das Datum direkt ein,أدخِل التاريخ مباشرة
Enter the new passphrase again: %s,Saisissez encore une fois la nouvelle phrase de passe pour : %s,Geben Sie die neue Passphrase erneut ein: %s,أدخل عبارة السر الجديدة مرة أخرى: %s
Enter the new passphrase for: %s,Saisissez la nouvelle phrase de passe pour : %s,Geben Sie eine neue Passphrase ein für: %s,أدخل عبارة السر الجديدة لـ: %s
Enter the old passphrase for: %s,Saisissez l’ancienne phrase de passe pour : %s,Geben Sie die alte Passphrase ein für: %s,أدخل عبارة السر القديمة لـ: %s
Enter the passphrase for your new key twice.,Saisissez deux fois la phrase de passe pour votre nouvelle clé.,Geben Sie die Passphrase des neuen Schlüssels zweimal ein.,أدخل عبارة السر لمفتاحك الجديد مرتين.
Enter the time directly,,,أدخل الوقت مباشرة
Enter your Secure Shell passphrase:,Saisissez votre phrase de passe du shell sécurisé :,Passphrase für Secure Shell (SSH):,عبارة سر لمفتاح الصدفة الآمنة:
Error changing password,Erreur lors de la modification du mot de passe,Fehler beim Ändern des Passworts,خطأ في تغيير كلمة السر
Error deleting the SSH key.,Erreur de suppression de la clé SSH.,,خطأ في حذف مفتاح الصدفة الآمنة.
Error deleting the password.,Erreur lors de la suppression du mot de passe.,,خطأ في حذف كلمة السر.
Expiration Date:,,,تاريخ الانتهاء:
Expire,,,انهِ صلاحيّته
Expired,,,منتهي الصلاحية
Expires,Expire,Läuft ab,تاريخ انتهاء الصلاحية
Expires:,,,تنتهي صلاحيته:
Expiry: %s,Expiration : %s,Ablaufdatum: %s,انتهاء الصلاحية: %s
Export,Exporter,Exportieren,صدِّر
Export the certificate,Exporte le certificat,,صدّر الشهادة
Exporting data,Exportation de données,Daten werden exportiert,يصدّر البيانات
Export…,Exporter…,Exportieren …,صدِّر…
Failed to export certificate,L’exportation du certificat a échoué,,فشل تصدير الشهادة
Filter,Filtrer,Filter,رشّح
Filter items:,Filtrer les éléments :,Einträge filtern:,رشّح العناصر:
Find Remote Keys,Chercher des clés distantes,Entfernte Schlüssel suchen,اعثر على مفاتيح بعيدة
Fingerprint,Empreinte,Fingerabdruck,البصمة
Fingerprint:,,,البصمة:
For help contact your system administrator or the administrator of the key server.,,,اتصل بمدير نظامك أو بمدير خادوم المفاتيح لتحصل على مساعدة.
Full,Complète,Vollkommen,كاملة
Full Name,Nom complet,Vollständiger Name,الاسم الكامل
Fully,Complète,,كاملة
GNOME Online Accounts password,Mot de passe GNOME Online Accounts,Passwort für GNOME-Online-Konten,كلمة سر حسابات جنوم على الإنترنت
GNOME Web password,Mot de passe GNOME Web,Passwort für GNOME Web,كلمة سر «وِب جنوم»
GPG key,Clé GPG,GPG-Schlüssel,مفتاح GPG
Generate a new key,Générer une nouvelle clé,Einen neuen Schlüssel erzeugen,ولِّد مفتاحًا جديدًا
Generate a new subkey,Générer une nouvelle sous-clé,Einen neuen Unterschlüssel erzeugen,ولِّد مفتاح فرعي جديد
Generating key,Génération de clé,Schlüssel wird erstellt,يجري توليد المفتاح
GnuPG keys,Clés GnuPG,GnuPG-Schlüssel,مفاتيح GnuPG
GnuPG: default keyring directory,GnuPG : répertoire par défaut du trousseau,GnuPG: Vorgegebener Ordner für den Schlüsselbund,‏GnuPG: دليل حلقة المفاتيح المبدئي
Go to next photo,Aller à la photo suivante,,إذهب إلى الصورة التالية
Go to previous photo,Aller à la photo précédente,,إذهب إلى الصورة السابقة
Good,,,جيّد
Google Chrome password,Mot de passe Google Chrome,Passwort für Google Chrome,كلمة سر جوجل كروم
HTTP Key Server,Serveur de clés HTTP,HTTP-Schlüssel-Server,خادوم مفاتيح HTTP
Height (in pixels) of the window.,Hauteur (en pixels) de la fenêtre.,Höhe des Fensters (in Pixeln).,ارتفاع النّافذة (بالبكسل).
Height of the window,Hauteur de la fenêtre,Höhe des Fensters,ارتفاع النّافذة
Host:,Hôte :,,المستضيف:
Hour,,,الساعة
Hour part of the lower time limit,,,جزء الساعة من تاريخ الحد الأدنى
Hour part of the upper time limit,,,جزء الساعة من تاريخ الحد الأقصى
How carefully have you checked this key?,Avec quelle précaution avez-vous vérifié cette clé ?,Wie sorgfältig haben Sie den Schlüssel überprüft?,ما مدى حرصك عند فحص هذا المُفتاح؟
How others will see this signature:,Comment les autres verront cette signature :,,كيف سيرى الآخرون هذا التوقيع:
I can revoke this signature at a later date.,Je peux révoquer cette signature à une date ultérieure.,Ich möchte diese Signatur zu einem anderen Zeitpunkt widerrufen können.,يمكنني نقض هذا التوقيع في وقت لاحق.
I trust signatures from “%s” on other keys,,,أثِق بتوقيع ”%s“ على المفاتيح الأخرى
I understand that all items will be permanently deleted.,Je comprends que tous les éléments vont être supprimés définitivement.,,أفهم أن كل العناصر ستحذف للأبد.
I understand that this key will be permanently deleted.,Je comprends que cette clé sera supprimée définitivement.,,أفهم أن هذا المفتاح سيحذف للأبد.
I understand that this secret key will be permanently deleted.,Je comprends que cette clé secrète sera supprimée définitivement.,,أفهم أن هذا المفتاح السري سيحذف للأبد.
ID,,,المعرّف
IM account password for,Mot de passe du compte de messagerie instantanée pour,Sofortnachrichten-Passwort für,كلمة سر حساب المراسلة الفورية
If key never expires,Si la clé n’a pas une durée de vie limitée,Wenn der Schlüssel nie abläuft,إذا كان المفتاح لا ينتهي أبدًا
"If there is a computer you want to use this key with, you can set up that computer to recognize your new key.","Si vous savez déjà que vous allez utiliser cette clé pour un ordinateur précis, vous pouvez le configurer maintenant pour qu’il reconnaisse cette nouvelle clé.","Falls es bereits einen Rechner gibt, für den Sie diesen Schlüssel nutzen möchten, können Sie den Rechner jetzt so einrichten, dass er Ihren neuen Schlüssel erkennt.",إذا كان هناك حاسوب ترغب في استعمال هذا المفتاح معه، يمكنك ضبط ذلك الحاسوب ليتعرّف على مفتاحك الجديد.
"If you believe that the person that owns this key is “%s”, sign this key:",,,إذا كنت تثق في أن الشخص الذي يمتلك هذا المفتاح هو ”%s“، وقّع هذا المفتاح:
"If you no longer trust that “%s” owns this key, revoke your signature:",,,إذا لم تعد تثق في أن ”%s“ يمتلك هذا المفتاح، انقض توقيعك:
Import,Importer,Importieren,استورد
Import Key,Importer une clé,Schlüssel importieren,استورد مفتاح
Import failed,Échec de l’importation,,فشل الاستيراد
Import from file…,Importer depuis un fichier…,Aus einer Datei importieren …,استورد من ملف…
Importing data,Importation de données,Daten werden importiert,يستورد البيانات
Importing key. Enter passphrase,Importation de la clé. Saisissez la phrase de passe,Schlüssel wird importiert. Geben Sie die Passphrase ein,يستورد المفتاح. أدخل عبارة السر
Importing key: %s,Importation de la clé : %s,Schlüssel importieren: %s,استيراد المفتاح: %s
Indicate Trust:,,,بيِّن الثقة:
Instant messaging password,Mot de passe de messagerie instantanée,Passwort für Sofortnachrichten,كلمة سر التراسل الفوري
Invalid expiry date,Date d’expiration non valide,Ungültiges Ablaufdatum,تاريخ انتهاء غير سليم
Invalid key data (missing UIDs). This may be due to a computer with a date set in the future or a missing self-signature.,Données de clé non valide (UID manquant). Cela peut provenir d’une date d’un ordinateur configurée dans le futur ou d’une auto-signature manquante.,"Ungültige Schlüsseldaten (Benutzerkennungen fehlen). Dies kann auf einen Rechner, dessen Systemdatum in der Zukunft liegt oder auf eine fehlende Selbstsignatur zurückzuführen sein.",بيانات غير صالحة (تفتقد UID). قد يكون هذا بسبب حاسوب ضُبط تاريخه إلى تاريخ مستقبلي أو لفقد التوقيع الذاتي.
Item Properties,Propriétés de l’élément,Eigenschaften des Eintrags,خصائص العنصر
Key,Clé,Schlüssel,مفتاح
Key Comment,Commentaire de la clé,Schlüssel-Kommentar,تعليق المُفتاح
Key Data,Données de la clé,Schlüsseldaten,بيانات المفتاح
Key ID,Identifiant de la clé,Schlüsselkennung,معرّف المفتاح
Key ID:,,,معرّف المفتاح:
Key Length,Longueur de la clé,,طول المفتاح
Key Name,Nom de la clé,Schlüsselname,اسم المفتاح
Key Names and Signatures,,,أسماء المفاتيح و التوقيعات
Key Server Type:,Type de serveur de clés :,,نوع خادوم المفاتيح:
Key Servers,,,خواديم المفاتيح
Key Servers:,,,خواديم المفاتيح:
Key Length:,,,طول المفتاح:
Key Strength (bits),Force de la clé (bits),Schlüssellänge (bits),شدة المفتاح (بالبِتات)
Key Strength (bits):,Force de la clé (bits) :,,شدة المفتاح (ثنائيات):
Key Type:,Type de la clé :,,نوع المفتاح:
Key has been compromised,La clé a été compromise,Schlüssel ist nicht mehr sicher,لقد تعرّض هذا المفتاح للخطر
Key has been superseded,La clé a été remplacée,Schlüssel wurde ersetzt,أُلغِي المفتاح
Key import succeeded,Clé importée avec succès,Schlüssel wurde erfolgreich importiert,نجح استيراد المفتاح
Key is no longer used,La clé n’est plus utilisée,Schlüssel wird nicht mehr verwendet,لم يعد هذا المفتاح مًستخدما بعد الآن
Key storage password,Mot de passe d’enregistrement de clé,Passwort zum Speichern von Schlüsseln,كلم سر مخزن مفاتيح
Keyring is locked,Le trousseau est verrouillé,Schlüsselbund ist gesperrt,حلقة المفاتيح موصدة
Keyring is unlocked,,Schlüsselbund ist entsperrt,حلقة المفاتيح مفتوحة
