
%(uri)s link to %(file)s,lien %(uri)s vers %(file)s,%(uri)s Link auf %(file)s,%s وصلة لـ %s
%.2f kilobytes,%.2f kilooctets,%.2f Kilobytes,%.2f كيلوبايت
%.2f megabytes,%.2f mégaoctets,%.2f Megabytes,%.2f ميغابايت
%s default voice,voix par défaut %s,%s Standardstimme,%s صوت افتراضي
%s link,lien %s,%s Link,%s وصلة
%s panel,,,%s لوحة
%s screen,,,%s شاشة
Enable non-spacing diacritical keys,Activer les touches diacritiques de non-espacement,Diakritische Tasten sprechen,تفعيل مفاتيح التصفح
Enabled,,,تفعيل الحدود
Enabled,Activée,Aktiviert,تفعيل الحدود
End of row.,Fin de la ligne.,Zeilenende.,نهاية الصف.
End of table,Fin du tableau,Tabellen Ende,%d من الجداول
Enter choice:,,,أدخل الإختيار:
Entering flat review.,Activation du curseur de balayage.,Die Übersicht betreten.,دخول وخروج نمط المراجعة الثابتة.
"Entering learn mode.  Press any key to hear its function.  To get a list of Orca shortcuts, press the Orca modifier plus H twice quickly. To view the documentation, press F1. To exit learn mode, press the escape key.",,,الدخول إلى نمط التعلم. اضغط أي زر لسماع وظيفته. للخروج اضغط على ESC.
Enters and exits flat review mode.,,,دخول وخروج نمط المراجعة الثابتة.
Enters learn mode.  Press escape to exit learn mode.,,,يدخل نمط التعلم. اضغط ESC للخروج.
Enters list shortcuts mode.  Press escape to exit list shortcuts mode.,,,يدخل نمط التعلم. اضغط ESC للخروج.
Exiting learn mode.,Fin du mode d’apprentissage.,Lernmodus wird verlassen.,الخروج من نمط التعلم.
Exiting list shortcuts mode.,,,الخروج من نمط التعلم.
F 11,,,ف 11
F 12,,,ف 12
Find,Recherche,Suchen,اجد
Find Options,Options de recherche,Suchoptionen,جد خيارات
Finished loading %s.,Chargement de %s terminé.,Laden von %s abgeschlossen.,انتهى تحميل %s.
Finished loading.,Chargement terminé.,Laden abgeschlossen.,انتهى التحميل
First name,,,الاسم الأول
Flagged,,,معَلّّم
Force use of option,Force l’utilisation de l’option,Verwendung der Option erzwingen,أجبر على استخدام الخيار
France French Grade 1,Français degré 1,Frankreich-Französisch Grad 1,الفرنسية الفرنسية الدرجة 2
France French Grade 2,Français degré 2,Frankreich-Französisch Grad 2,الفرنسية الفرنسية باختصارات
Function,,,الوظيفة
Gecko is controlling the caret.,,,يتحكّم جيكو في المؤشر.
General,Général,Allgemein,عام
German Grade 0,Allemand degré 0,Deutsche Basisschrift,الألمانية الدرجة 0
German Grade 1,Allemand degré 1,Deutsche Vollschrift,الألمانية الدرجة 1
German Grade 2,Allemand degré 2,Deutsche Kurzschrift,الألمانية الدرجة 2
Global Voice Settings,Paramètres globaux pour la voix,Globale Sprachausgabe-Einstellungen,إعدادات الصوت:
Go to bookmark.,,,اذهب إلى علامة الموقع.
Go to next bookmark location.,,,اذهب إلى علامة الموقع التالية
Go to previous bookmark location.,,,اذهب إلى علامة الموقع السابقة
Goes down one cell.,,,إلى الخلية نحو الأسفل.
Goes left one cell.,,,إلى الخلية نحو اليسار.
Goes right one cell.,,,إلى الخلية نحو اليمين.
Goes to next anchor.,,,يذهب للمربط التالي.
Goes to next blockquote.,,,إذهب إلى الإقتباس التالي.
Goes to next button.,,,يذهب للزر التالي.
Goes to next character.,,,إلى الحرف التالي.
Goes to next check box.,,,يذهب لمربع الإختيار التالي.
Goes to next combo box.,,,يذهب لمربع تحرير و سرد التالي.
Goes to next entry.,,,يذهب للمُدخل التالي.
Goes to next form field.,,,إذهب إلى المجال التالي.
Goes to next heading at level %d.,,,يذهب للترويسة التالية عند المستوى %d.
Goes to next heading.,,,إلى العنوان التالي.
Goes to next landmark.,,,يذهب للمعْلم التالي.
Goes to next large object.,,,إلى الكائن الكبير التالي.
Goes to next line.,,,إلى السطر التالي.
Goes to next list item.,,,الى عنصر القائمة التالي.
Goes to next list.,,,إلى القائمة التالية.
Goes to next live region.,,,يذهب للمنطقة الحية إلى الةسطر التالي.
Goes to next paragraph.,,,يذهب للفقرة التالية.
Goes to next radio button.,,,يذهب لزر الراديو التالي.
Goes to next separator.,,,يذهب للفقرة التالية.
Goes to next table.,,,إذهب إلى الإقتباس التالي.
Goes to next unvisited link.,,,الى الوصلة غير المزارة التالية.
Goes to next visited link.,,,إذهب إلى الرابط المزار التالي.
Goes to next word.,,,إلى الكلمة التالية.
Goes to previous anchor.,,,يذهب للمربط السابق.
Goes to previous blockquote.,,,إذهب إلى الإقتباس السابق.
Goes to previous button.,,,يذهب للزر السابق.
Goes to previous character.,,,إلى الحرف السابق.
Goes to previous check box.,,,يذهب لمربع الاختيار السابق.
Goes to previous combo box.,,,يذهب لمربع تحرير و سرد السابق.
Goes to previous entry.,,,يذهب للمُدخل السابق.
Goes to previous form field.,,,إذهب إلى المجال السابق.
Goes to previous heading at level %d.,,,يذهب للترويسة السابقة عند المستوى %d.
Goes to previous heading.,,,إلى العنوان السابق.
Goes to previous landmark.,,,يذهب للمعْم السابق.
Goes to previous large object.,,,الى الكائن الكبير التالي.
Goes to previous line.,,,إلى الكلمة السابق.
Goes to previous list item.,,,الى عنصر القائمة السابق.
Goes to previous list.,,,إلى القائمة السابقة.
Goes to previous live region.,,,يذهب للمنطقة الحية السابقة.
Goes to previous paragraph.,,,يذهب للفقرة السابقة.
Goes to previous radio button.,,,يذهب لزر الراديو السابق.
Goes to previous separator.,,,يذهب للفقرة السابقة.
Goes to previous table.,,,إذهب إلى الجدول السابق.
Goes to previous unvisited link.,,,الى الوصلة غير المزارة السابقة.
Goes to previous visited link.,,,إذهب إلى الرابط المزار السابق.
Goes to previous word.,,,إلى الكلمة السابقة.
Goes to the beginning of the line.,,,يذهب لبداية السطر.
Goes to the bottom of the file.,,,يذهب لأسفل الملف.
Goes to the end of the line.,,,يذهب لنهاية السطر.
Goes to the first cell in a table.,,,إلى الخلية الأولى في الجدول
Goes to the last cell in a table.,,,إلى الخلية الأخيرة في الجدول
Goes to the last live region which made an announcement.,,,راجع إعلانات المنطقة الحية.
Goes to the next object.,,,يذهب للكائن التالي.
Goes to the previous object.,,,يذهب للكائن السابق.
Goes to the top of the file.,,,يذهب لأعلى الملف.
Goes up one cell.,,,إلى الخلية نحو الأعلى.
Goodbye.,,,وداعا.
Greek Grade 1,Grec degré 1,Griechisch Grad 1,اليونانية الدرجة 1
Heading,En-têtes,Überschrift,ترويسة
Hindi Grade 1,Hindi degré 1,Hindi Grad 1,الهندية الدرجة 1
Hungarian Grade 1,Hongrois degré 1,Ungarisch Grad 1,اللاتيفية بدون اختصارات
Hyperlink,Hyperlien,Link,وصله
Hyperlink Indicator,Indicateur d’hyperlien,Link-Braillemarkierung,مؤشر الروابط
I ACUTE,,,I حاد
I CIRCUMFLEX,,,I علامة
I GRAVE,,,I شديد
I UMLAUT,,,I نقطتين
ISO level 3 shift,,,ISO عالي المستوى 3
Icon panel,Volet d’icônes,Symbolleiste,لوحة الإيقونات
Increases the speech pitch.,,,يزيد قوة الحديث.
Increases the speech rate.,,,يزيد تردد الحديث.
Italian Grade 1,Italien degré 1,Italienisch Grad 1,الإيطالية الدرجة 1
Key Binding,Raccourci,Tastenkombination,ارتباط المفتاح
Key Bindings,Raccourcis clavier,Tastenkombinationen,المفاتيح المربوطة
Key Echo,,,صدى المفتاح
Key binding deleted. Press enter to confirm.,Raccourci supprimé. Appuyez sur Entrée pour confirmer.,"Tastenkombination wurde gelöscht. Drücken Sie Eingabe, um zu bestätigen.",حُذف ارتباط المفتاح. إضغط إدخال للتأكيد.
Key captured: %s. Press enter to confirm.,Touche capturée : %s. Appuyez sur Entrée pour confirmer.,"Aufgezeichnete Tastenkombination %s. Drücken Sie Eingabe, um zu bestätigen.",تم ادخال مفتاح: %s. اضغط مفتاح الرجوع للتأكيد.
Key echo set to sentence.,,,تفعيل الصدى بالجملة
Key echo set to word.,,,إلى الكلمة التالية.
Keyboard Layout,Agencement du clavier,Tastaturlayout,تخطيط لوحة المفاتيح
LEVEL %d,NIVEAU %d,EBENE %d,المستوى %d
Latvian Grade 1,Lituanien degré 1,Lettisch Grad 1,اللاتيفية بدون اختصارات
Learn mode.  Press escape to exit.,Mode d’apprentissage. Appuyez sur Échap pour quitter.,Lernmodus. Drücken Sie zum Verlassen die Escape-Taste.,نسق التعلم. اضغط  ESC للخروج.
License Agreement Accept button now has focus.,,,زر قبول اتفاقيه له التركيز الآن.
Line,Ligne,Zeile,خط
Line Down,Ligne en bas,Linie Unten,خط أسفل
Line Left,Ligne à gauche,Linie Links,يسار خط
Line Right,Ligne à droite,Linie Rechts,يمين خط
Line Up,Ligne en haut,Linie Oben,خط أعلى
Live region support is off,La prise en charge des zones dynamiques est désactivée,Unterstützung für dynamische Bereiche ist ausgeschaltet,دعم المنطقة الحية متوقف
Live regions monitoring off,Surveillance des zones dynamiques désactivée,Überwachung der dynamischen Bereiche ist ausgeschaltet,مراقبة المناطق الحية متوقفة
Live regions monitoring on,Surveillance des zones dynamiques activée,Überwachung der dynamischen Bereiche ist eingeschaltet,مراقبة المناطق الحية تعمل
Loading.  Please wait.,Chargement en cours. Veuillez patienter.,Es wird geladen. Bitte warten.,يجري التحميل. الرجاء الإنتظار.
Most,La plupart,Die meisten,معظم
Mark in braille,Marquer en braille,Markierung in Braille,اكتب ببرايل
Marks the beginning of a text selection.,,,يذهب لبداية السطر.
Marks the end of a text selection.,,,يذهب لنهاية السطر.
Match entire word only,Mots entiers seulement,Nur vollständige Wörter berücksichtigen,طابِق كامل الكلمة فقط
Message from chat room %s,Message du salon de discussion %s,Nachricht aus Chatraum %s,رسال من غرفة المحادثة %s
Meta2,Meta2,Meta2,ميتا2
Minimum length of matched text:,Longueur minimale du texte correspondant :,Minimale Länge der Trefferübereinstimmung:,الطول الأقصى للنص المطابَق:
Misspelled word:,,,كلمة مهجأة خاطئا:
Misspelled word: %s,Mot mal orthographié : %s,Falsch geschriebenes Wort: %s,كلمة مهجأة خاطئا:%s
Modified,Modifié,Geändert,مُعدَّل
Monitor live regions.,,,راقب المناطق الحية.
Move down one,Déplacer vers le bas,Eins nach unten verschieben,انقل إلى أسفل بواحد
Move up one,Déplacer vers le haut,Eins nach oben verschieben,انقل إلى أعلى بواحد
Move to bottom,Déplacer tout en bas,Nach unten verschieben,انقل إلى أسفل
Move to top,Déplacer tout en haut,Nach oben verschieben,انقل إلى أعلى
Move to cell,,,انقل إلى خلية
Moves flat review to the beginning of the next line.,,,ينقل المراجعة المسطحة إلى بداية السطر التالي.
Moves flat review to the beginning of the previous line.,,,ينقل المراجعة المسطحة إلى بداية السطر السابق
Moves flat review to the bottom left.,,,ينقل المراجعة المسطحة إلى أسفل اليسار.
Moves flat review to the end of the line.,,,ينقل المراجعة المسطحة إلى نهاية الخط.
Moves flat review to the end position.,,,ينقل المراجعة المسطحة إلى الموقع النهائي.
Moves flat review to the home position.,,,ينقل المراجعة المسطحة إلى الموقع الأولي.
Moves flat review to the next character.,,,ينقل المراجعة المسطحة إلى الحرف التالي.
Moves flat review to the next item or word.,,,ينقل المراجعة المسطحة إلى الكلمة التالية.
Moves flat review to the previous character.,,,ينقل المراجعة المسطحة إلى الحرف السابق.
Moves flat review to the previous item or word.,,,ينقل المراجعة المسطحة إلى الكلمة او العنصر السابق.
Moves flat review to the word above the current word.,,,ينقل المراجعة المسطحة إلى الكلمة فوق الحالية.
Moves flat review to the word below the current word.,,,ينقل المراجعة المسطحة إلى الكلمة التي تحت الكلمة الحالية.
N TILDE,,,N تلدة
Nesting level %d,Niveau d’imbrication %d,Ebene %d,مستوى التفريع %d
Netherlands Dutch Grade 1,Néerlandais degré 1,Niederlande-Niederländisch Grad 1,الألمانية الهولندية بدون اختصارات
New chat tab %s,Nouvel onglet de discussion %s,Neuer Chat-Reiter %s,لسان محادثة جديد %s
No application has focus.,Aucune application n’est active.,Keine Anwendung besitzt den Fokus.,لا يوجد تطبيق نشط
No appointments,,,لا مواعيد
No files found.,Aucun fichier trouvé.,Keine Dateien gefunden.,لم يتم العثور على ملفات
No focus,Aucun focus,Kein Fokus,لا تركيز
No landmark found.,Il n’y a aucun point de repère.,Keinen Orientierungspunkt gefunden.,لا معالم.
No more anchors.,,,لا مرابط أخرى.
No more blockquotes.,Plus aucun bloc de citation.,Keine weiteren Zitate.,لا قطع أخرى.
No more buttons.,Plus aucun bouton.,Keine weiteren Knöpfe.,لا أزرار أخرى.
No more check boxes.,Plus aucune case à cocher.,Keine weiteren Ankreuzfelder.,لا مربعات إختيار أخرى.
No more combo boxes.,Plus aucune liste déroulante.,Keine weiteren kombinierten Auswahlfelder.,لا مربعات تحرير و سرد أخرى.
No more entries.,Plus aucune zone de saisie.,Keine weiteren Eingabefelder.,لا مدخلات أخرى.
No more form fields.,Plus aucun champ de formulaire.,Keine weiteren Formularfelder.,لا مجالات أخرى.
No more headings at level %d.,Plus aucun en-tête au niveau %d.,Keine weiteren Überschriften der Ebene %d.,لا عناوين أخرى عند المستوى %d.
No more headings.,Plus aucun en-tête.,Keine weiteren Überschriften.,لا عناوين أخرى.
No more large objects.,Plus aucun objet important.,Keine weiteren größeren Objekte.,لا كائنات كبيرة أخرى.
No more list items.,Plus aucun élément de liste.,Keine weiteren Listeneinträge.,لا عناصر قائمة أخرى.
No more lists.,Plus aucune liste.,Keine weiteren Listen.,لا قوائم أخرى.
No more live regions.,Plus aucune zone dynamique.,Keine weiteren dynamischen Bereiche.,لا مناطق حية أخرى.
No more paragraphs.,Plus aucun paragraphe.,Keine weiteren Absätze.,لا فقرات أخرى.
No more radio buttons.,Plus aucun bouton radio.,Keine weiteren Auswahlknöpfe.,لا أزرار راديو أخرى.
No more separators.,Plus aucun séparateur.,Keine weiteren Trenner.,لا فقرات أخرى.
No more tables.,Plus aucun tableau.,Keine weiteren Tabellen.,لا جداول أخرى.
No more unvisited links.,Plus aucun lien non visité.,Keine weiteren nicht besuchten Links.,لا روابط غير مزارة أخرى.
No more visited links.,Plus aucun lien visité.,Keine weiteren besuchten Links.,لا روابط مزارة أخرى.
No notification messages,Aucun message de notification,Keine Benachrichtigungen,اشعار  %s
No servers available.,,,لا وجود لنوادل.
No voices available.,,,لا وجود لأصوات.
Non-uniform,Non uniforme,Nicht einheitlich,غير متسق
None,Aucun,Keine,لا شيء
Norwegian Grade 0,Norvégien degré 0,Norwegisch Grad 0,النرويجية الدرجة 0
Norwegian Grade 1,Norvégien degré 1,Norwegisch Grad 1,النرويجية الدرجة 1
Norwegian Grade 2,Norvégien degré 2,Norwegisch Grad 2,النرويجية الدرجة 2
Norwegian Grade 3,Norvégien degré 3,Norwegisch Grad 3,النرويجية الدرجة 3
Not found,Non trouvé,Nicht gefunden,لم يتم العثور على ملفات
Not in a table.,Pas dans un tableau.,Nicht in einer Tabelle.,ليس في جدول.
Note that the Scroll Down button has to be pressed numerous times.,,,لاحظ أنه يجب ضغط زر التمرير السفلي عدة مرات.
Notification,Notification,Benachrichtigung,اشعار  %s
Notification %s,,,اشعار  %s
O ACUTE,,,O حاد
O CIRCUMFLEX,,,O علامة
O GRAVE,,,O شديد
O STROKE,,,O خط
O TILDE,,,O تلدة
O UMLAUT,,,O نقطتين
Only speak changed lines during find,Lire uniquement les lignes changées durant la recherche,Nur unterschiedliche Zeilen während der Suche vorlesen,انطق بالأسطر المختلفة فقط عند البحث
Opens the Orca Find dialog.,,,لفتح مربع حوار الإيجاد الخاص بأوركا.
Orca,,,أوركا
Orca Find Dialog,,,مربع حوار إيجاد أوركا
Orca Preferences,,,خيارات أوركا
Orca Preferences for %s,,,تفضيلات أوركا لـ %s
Orca Screen Reader,Lecteur d’écran Orca,Orca-Bildschirmleser,قارئ الشاشة و المكبّر أوركا
Orca Modifier Key(s):,,,المفاتيح المغيّرة لأوركا:
Orca is controlling the caret.,,,يتحكّم أوركا بالمؤشر.
Orca user settings reloaded.,,,تم إعادة تحميل خصائص المستخدم لأوركا.
Page Navigation,Navigation à travers la page,Seitennavigation,تصفح الصفحة
Paints and prints the visible zones in the active window.,,,يرسم و يطبع  المناطق المرئية في النافذة النشطة.
Pans the braille display to the left.,,,عرض البرايل الى اليسار.
Pans the braille display to the right.,,,عرض البرايل الى اليمين.
Passes the next command on to the current application.,,,يمرر الأمر التالي إلى التطبيق الحالي.
Performs left click on current flat review item.,,,أداء نقر الزر الأيسر على عنصر المراجعة المُسطح.
Performs right click on current flat review item.,,,أداء نقر الزر الأيمن على عنصر المراجعة المُسطح.
Performs the basic where am I operation.,,,يؤدي عملية أين أنا الاساسية.
Performs the detailed where am I operation.,,,يقوم بعملية أين أنا المفصّلة.
Phonetically speaks the current flat review character.,,,ينطق بحرف المراجعة المسطحة الحالي.
Phonetically spells the current flat review item or word.,,,يهجئ عنصر أو كلمة المراجعة المسطحة صوتيا.
Phonetically spells the current flat review line.,,,يهجأ خط المراجعة المسطحة الحالي صوتيا.
Phrase found.,,,الجملة موجودة
Phrase not found,,,الجملة غير موجودة
Pitch:,Hauteur :,Tonhöhe:,درجة:
Please enter y or n.,,,تفعيل البرايل؟ ادخل y أو n:
Polish Grade 1,Polonais degré 1,Polnisch Grad 1,البولندية الدرجة 1
Portuguese Grade 1,Portugais degré 1,Portugiesisch Grad 1,البرتغالية الدرجة 1
Present Unless,Prononcé sauf si,Ausgeben außer,موجود إلا إذا
Present last notification message.,,,يزيد مستوى التكبير.
Presentation Wizard,,,مرشد العرض التقديمي
Presents the contents of the input line.,,,يتكلم بمحتويات السطر.
Press Tab and Return to terminate.,,,اضغط زر تاب و الإدخال للإنهاء.
Press alt+f6 to give focus to child windows.,,,اضغط مفتاح القوائم زائد f6 لتنشيط النوافذ الفرعية
"Press space to expand, and use up and down to select an item.",,,اضغط مسطرة المسافات لإظهار الخيارات واستخدم الأسهم الرأسية لتحديد أحد العناصر
Press space to toggle.,,,اضغط مسطرة المسافات لتغيير حالة مربع الاختيار
Prevent use of option,Empêche l’utilisation de l’option,Verwendung der Option verhindern,امنع استخدام الخيار
Print the known running applications,Affiche les applications lancées connues,Bekannte Programme ausgeben,اطبع التطبيقات المعروفة المشغلة
Prints a debug listing of all known applications to the console where Orca is running.,,,يطبع تنقيح حول كل التطبيقات المعروفة أين يوجد أوركا
Prints debug information about the ancestry of the object with focus.,,,يطبع معلومات التنقيح حول أصل الكائن الحاصل على  التركيز.
Prints debug information about the application with focus.,,,طبع الأخطاء البرمجية حول التطبيق الحالي
Profile could not be loaded: %s,Le profil n’a pas pu être chargé : %s,Profil kann nicht geladen werden: %s,لا يمكن حفظ العلامات المرجعية
Progress Bar Updates,Mises à jour des barres de progression,Aktualisierungen von Fortschrittsanzeigen,انطق بتحديث عمود التقدم
Progress bar %d.,Barre de progression %d.,Fortschrittsanzeige %d.,عمود التقدم %d.
Pronunciation,Prononciation,Aussprache,التلفظ
