
Envelope,Enveloppe,Umschlag,مظروف
A10,A10,A10,A10
A1×3,A1×3,A1×3,A1×3
A1×4,A1×4,A1×4,A1×4
A2,A2,A2,A2
A2×3,A2×3,A2×3,A2×3
A2×4,A2×4,A2×4,A2×4
A2×5,A2×5,A2×5,A2×5
A3,A3,A3,A3
A3 Extra,A3 Extra,A3 Extra,‮‪A3‬ أكبر
A3×3,A3×3,A3×3,A3×3
A3×4,A3×4,A3×4,A3×4
A3×5,A3×5,A3×5,A3×5
A3×6,A3×6,A3×6,A3×6
A3×7,A3×7,A3×7,A3×7
A4,A4,A4,A4
A4 Extra,A4 Extra,A4 Extra,‏‪A4‬ أكبر
A4 Tab,A4 Tab,A4 Tab,‏‪A4‬ لوحي
A4×3,A4×3,A4×3,A4×3
A4×4,A4×4,A4×4,A4×4
A4×5,A4×5,A4×5,A4×5
A4×6,A4×6,A4×6,A4×6
A4×7,A4×7,A4×7,A4×7
A4×8,A4×8,A4×8,A4×8
A4×9,A4×9,A4×9,A4×9
A5,A5,A5,A5
A5 Extra,A5 Extra,A5 Extra,‏‪A5‬ أكبر
A6,A6,A6,A6
A7,A7,A7,A7
A8,A8,A8,A8
A9,A9,A9,A9
At:,À :,Um:,في:
About,À propos,Info,عنْ
About %s,À propos de %s,Info zu %s,عنْ %s
Above-base Forms,Formes supérieures,Formen über der Grundlinie,أشكال فوق القاعدة
Above-base Mark Positioning,Positionnement supérieur de diacritique,Diakritika-Positionierung über der Grundlinie,تموضع الحركات فوق القاعدة
Above-base Substitutions,Substitutions supérieures,Ersetzungen über der Grundlinie,استبدالات فوق القاعدة
Access All Alternates,Activer toutes les variantes,Auf alle Alternativen zugreifen,الوصول لكل البدائل
Accessed,Accédé,Zugegriffen,آخر وصول
Action,Action,Aktion,إجراء
Activate,Activer,Aktivieren,نشِّط
Activates the cell,,,يُنشّط الخلية
Activates the color,Active la couleur,Aktiviert die Farbe,يُنشّط اللون
Activates the entry,Active l’entrée,Aktiviert den Eintrag,يُنشّط المدخلة
Activates the expander,Active l’icône d’extension,Aktiviert den Ausklapper,يُنشّط المُوسّع
Activities,Activités,Aktivitäten,أنشطة
Add Cover Page,Ajout d’une page de couverture,Deckblatt hinzufügen,أضِف صفحة غلاف
Add a new bookmark,Ajoute un nouveau signet,Neues Lesezeichen hinzufügen,أضف علامة جديدة
Address,Adresse,Adresse,عنوان
Adjusts the volume,,,يضبط الصوت
Adlam,,,أدلام
Advanced,Avancé,Erweitert,متقدّم
After,Après,Hinten,بعد
Ahom,,,آهام
Akhands,Akhands,Akhands,محارف أخند
All sheets,Toutes les pages,Alle Seiten,كل الورقات
Alpha,,,ألفا
Alt,Alt,Alt,Alt
Alternate Annotation Forms,Formes d’annotation alternatives,Alternative Formen für Anmerkungen,أشكال تعليق بديلة
Alternate Half Widths,Variantes de demi-largeurs,Alternative Halbbreiten,بدائل نصف العرض
Alternate Vertical Half Metrics,Demi-métriques verticales alternatives,Alternative vertikale Halbmetriken,مقاسات نصفية رأسية بديلة
Alternate Vertical Metrics,Métriques verticales alternatives,Alternative vertikale Metriken,مقاسات رأسية بديلة
Alternative Fractions,Fractions alternatives,Alternative Brüche,كسور بديلة
Aluminum 1,,,ألومنيوم 1
Aluminum 2,,,ألومنيوم 2
Always on Top,,,دائما في القمّة
Amharic (EZ+),,,أمهري (‬‪EZ+‬‬)
Anatolian Hieroglyphs,,,هيروغليفي أناضولي
Animals & Nature,Animaux et nature,Natur und Tiere,حيوانات و طبيعة
Any Printer,N’importe quelle imprimante,Beliebiger Drucker,أي طابعة
AppleTalk,AppleTalk,AppleTalk,AppleTalk
Application,Application,Anwendung,تطبيق
Application menu,,,قائمة التطبيق
Arabic,Arabe,,عربي
Arch A,Arch A,Arch A,Arch A
Arch B,Arch B,Arch B,Arch B
Arch C,Arch C,Arch C,Arch C
Arch D,Arch D,Arch D,Arch D
Arch E,Arch E,Arch E,Arch E
Are you sure you want to permanently delete “%s”?,Voulez-vous réellement supprimer « %s » de manière permanente ?,"Sind Sie sicher, dass Sie »%s« dauerhaft löschen wollen?",أمتأكد من أنك تريد حذف ”%s“ نهائيا؟
Armenian,Arménien,,أرمني
Artistic License 2.0,Licence artistique 2.0,Artistic License 2.0,الرخصة الفنية 2.0
Artwork by,,,جمَّلَهُ
AudioLowerVolume,Volume plus faible,Lautstärke senken,خفض الصوت
AudioMedia,Média audio,AudioMedia,وسائط الصوت
AudioMicMute,Sourdine volume micro,Mikrofon stumm schalten,غلق صوت الميكروفون
AudioMute,Sourdine volume,Stumm schalten,غلق الصوت
AudioNext,Morceau suivant,Nächster Titel,الصوتي التالي
AudioPause,Pause,Aufnahme pausieren,إلباث الصوت
AudioPlay,Démarrage lecture,Wiedergabe starten,تشغيل الصوتيات
AudioPrev,Morceau précédent,Vorheriger Titel,الصوتي السابق
AudioRaiseVolume,Volume plus fort,Lautstärke erhöhen,رفع الصوت
AudioRecord,Enregistrement,Aufnahme starten,تسجيل الصوت
AudioRewind,Lecture en arrière,Zurück spulen,تدوير الصوت
AudioStop,Arrêt lecture,Wiedergabe stoppen,إيقاف الصوتيات
Authentication,Authentification,Legitimation,الاستيثاق
Authentication is required on %s,Authentification nécessaire pour %s,Der Zugriff auf %s erfordert Legitimation,الاستيثاق مطلوب على %s
Authentication is required to get a file from %s,Authentification nécessaire pour obtenir un fichier de %s,Der Zugriff auf eine Datei von %s erfordert Legitimation,الاستيثاق مطلوب لجلب الملف من %s
Authentication is required to get attributes of a job,Authentification nécessaire pour obtenir les attributs d’une tâche d’impression,Das Auslesen von Attributen eines Druckauftrags erfordert Legitimation,الاستيثاق مطلوب لجلب خصائص المهمة
Authentication is required to get attributes of a printer,Authentification nécessaire pour obtenir les attributs d’une imprimante,Das Auslesen von Attributen eines Druckers erfordert Legitimation,الاستيثاق مطلوب لجلب خصائص الطابعة
Authentication is required to get attributes of job “%s”,Authentification nécessaire pour obtenir les attributs de la tâche « %s »,Das Auslesen von Attributen des Druckauftrags »%s« erfordert Legitimation,الاستيثاق مطلوب لجلب خصائص المهمة ”%s“
Authentication is required to get attributes of printer %s,Authentification nécessaire pour obtenir les attributs de l’imprimante %s,Das Auslesen von Attributen des Druckers %s erfordert Legitimation,الاستيثاق مطلوب لجلب خصائص الطابعة %s
Authentication is required to get default printer of %s,Authentification nécessaire pour obtenir l’imprimante par défaut de %s,Das Feststellen des Vorgabedruckers auf %s erfordert Legitimation,الاستيثاق مطلوب لمعرفة طابعة %s المبدئية
Authentication is required to get printers from %s,Authentification nécessaire pour obtenir les imprimantes de %s,Das Auslesen von Druckern auf %s erfordert Legitimation,الاستيثاق مطلوب لمعرفة طابعات %s
Authentication is required to print a document on %s,Authentification nécessaire pour imprimer un document sur %s,Das Drucken eines Dokuments auf %s erfordert Legitimation,الاستيثاق مطلوب لطبع مستند على %s
Authentication is required to print document “%s”,Authentification nécessaire pour imprimer le document « %s »,Das Drucken des Dokuments »%s« erfordert Legitimation,الاستيثاق مطلوب لطبع المستند ”%s“
Authentication is required to print document “%s” on printer %s,Authentification nécessaire pour imprimer le document « %s » sur l’imprimante %s,Das Drucken des Dokuments »%s« auf Drucker %s erfordert Legitimation,الاستيثاق مطلوب لطبع المستند ”%s“ على الطابعة %s
Authentication is required to print this document,Authentification nécessaire pour imprimer ce document,Das Drucken dieses Dokuments erfordert Legitimation,الاستيثاق مطلوب لطبع هذا المستند
Authentication is required to print this document on printer %s,Authentification nécessaire pour imprimer ce document sur l’imprimante %s,Das Drucken dieses Dokuments auf Drucker %s erfordert Legitimation,الاستيثاق مطلوب لطبع هذا المستند على الطابعة %s
Auto Select,Sélection automatique,Automatische Auswahl,اختيار تلقائي
Available Protocols,Protocoles disponibles,Verfügbare Protokolle,البروتوكولات المتاحة
Avestan,,,أفستاني
B0,B0,B0,B0
B1,B1,B1,B1
B10,B10,B10,B10
B2,B2,B2,B2
B3,B3,B3,B3
B4,B4,B4,B4
B5,B5,B5,B5
B5 Extra,B5 Extra,B5 Extra,‏‪B5‬ أكبر
B6,B6,B6,B6
B6/C4,B6-C4,B6/C4,B6/C4
B7,B7,B7,B7
B8,B8,B8,B8
B9,B9,B9,B9
BSD 2-Clause License,Licence BSD à 2 clauses,BSD 2-Clause Lizenz,رخصة BSD ثنائية البنود
Back,En arrière,Zurück,خلف
BackSpace,Retour arrière,Löschen,BackSpace
Backslash,Barre oblique inverse,Backslash,Backslash
Balinese,,,باليني
Bamum,,,باموم
Bassa,,,باسّا
Batak,,,باتاك
Battery,Batterie,Batterie,البطارية
Before:,Avant :,Bevor:,قبل:
Before,Avant,Vorne,قبل
Begin,Début,Pos1,Begin
Below-base Forms,Formes inférieures,Formen unter der Grundlinie,أشكال تحت القاعدة
Below-base Mark Positioning,Positionnement inférieur de diacritique,Diakritika-Positionierung unter der Grundlinie,تموضع الحركات تحت القاعدة
Below-base Substitutions,Substitutions inférieures,Ersetzungen unter der Grundlinie,استبدالات تحت القاعدة
Bengali,,,بنغالي
Best Fit,,,أفضل ملاءمة
Billing Info,Informations de facturation,Abrechnungsinfo,معلومات الدفع
Black,Noir,Schwarz,أسود
Blocking on issue,Interruption à cause d’un problème,Blockiert wegen Problem,متعطّل بسبب مشكلة
Body & Clothing,Corps et vêtements,Körper und Bekleidung,جسم و ملابس
Bopomofo,,,بوبوموفو
Bottom Bin,Bac inférieur,Unterer Bin,السلة السفلية
Bottom to top,De bas en haut,Unten nach oben,من الأسفل للأعلى
"Bottom to top, left to right","Du bas vers le haut, de gauche à droite","Unten nach oben, links nach rechts",من الأسفل للأعلى، ومن اليسار لليمين
"Bottom to top, right to left","Du bas vers le haut, de droite à gauche","Unten nach oben, rechts nach links",من الأسفل للأعلى، ومن اليمين لليسار
Bourne Again Shell,Shell Bourne Again,Bourne-Again-Shell,صدفة برن ثانيا
Bourne Shell,Shell Bourne,Bourne-Shell,صدفة برن
Brahmi,,,برهمي
Braille,,,بريل
Broadway,,,برودواي
Broadway display type not supported: %s,Type d’affichage Broadway non pris en charge : %s,Broadway-Bildtyp nicht unterstützt: »%s«,نوع عرض برودواي غير مدعوم: %s
Bubble,Bulle,Blase,فقاعة
Buginese,,,بوجيني
Buhid,,,بوهيدي
Butter,,,زبدي
COLORS,,,ألوان
Collate,Rassembler,Zusammentragen,صفحة بصفحة
Credits,,,إشادات
Current Page,Page actuelle,Aktuelle Seite,الصفحة الحالية
Customize,,,خصّص
Cache file created successfully.,Fichier de cache écrit avec succès.,Cache-Datei wurde erfolgreich erstellt.,تم إنشاء ملف الخزن (Cache) بنجاح.
Calculator,Calculatrice,Taschenrechner,الحاسبة
Canadian Aboriginal,,,سكان كندا الأصليين
Cancel,Annuler,Abbrechen,ألغِ
Cannot change to folder because it is not local,,,تعذّر الانتقال إلى المجلّد لأنه غير محلي
Cannot create a file under %s as it is not a folder,Impossible de créer un fichier dans %s car ce n’est pas un dossier,"Datei in %s konnte nicht erstellt werden, weil dies kein Ordner ist",تعذّر إنشاء ملف داخل %s لأنه ليس مجلدا
Cannot create file as the filename is too long,Impossible de créer le fichier car le nom de fichier est trop long,"Datei kann nicht erstellt werden, weil der Dateiname zu lang ist",تعذّر إنشاء الملف لأن اسمه طويل جدًا
Cannot end process with PID %d: %s,Impossible de terminer le processus ayant le PID %d : %s,Prozess mit Kennung %d kann nicht abgewürgt werden: %s,تعذّر إنهاء العملية ذات المعرف %d:‏ %s
Cannot kill process with PID %d. Operation is not implemented.,Impossible de tuer le processus ayant le PID %d. L’opération n’est pas implémentée.,Prozess mit Kennung %d kann nicht abgewürgt werden. Operation ist nicht implementiert.,تعذّر قتل العملية ذات المعرّف %d. أمر غير مدعومة.
Cannot provide contents as %s,Impossible de fournir le contenu comme %s,Inhalt kann nicht als %s bereitgestellt werden,لا يمكن توفير المحتوى بنوع %s
Cannot provide contents as “%s”,Impossible de fournir le contenu comme « %s »,Inhalt kann nicht als »%s« bereitgestellt werden,لا يمكن توفير المحتوى بنوع ”%s“
Cannot read from empty clipboard.,Impossible de lire depuis un presse-papiers vide.,Aus einer leeren Zwischenablage kann nicht gelesen werden.,لا يمكن القراءة من حافظة خالية.
Capital Spacing,Espacement des majuscules,Spationierung von Großbuchstaben,تباعد الحروف الكبيرة
Caps Lock is on,Verr. maj. est activé,Feststelltaste ist aktiviert,زر الحروف العالية مفعّل
Capture,Capture,Erfassen,التقط
Carian,,,كاريان
Case-Sensitive Forms,Formes sensibles à la casse,Groß-/Kleinschreibungsabhängige Formen,أشكال حساسة للحالة
Caucasian Albanian,,,ألباني قوقازي
Cedilla,,,سيدلّا
Center Bin,Bac central,Mittlerer Bin,السلة المتوسطة
Centered CJK Punctuation,Ponctuation CJC centrée,Zentrierte CJK-Interpunktion,علامات ترقيم ص‌ي‌ك الموسّطة
Chakma,,,شاكما
Cham,,,تشام
Chameleon,,,حرباء
Character Variants,,,تنويعات الحروف
Cherokee,,,شيروكي
Chocolate,,,شوكولاتة
Choukei 2 Envelope,Enveloppe Choukei 2,Choukei 2-Umschlag,مظروف Choukei 2
Choukei 3 Envelope,Enveloppe Choukei 3,Choukei 3-Umschlag,مظروف  Choukei 3
Choukei 4 Envelope,Enveloppe Choukei 4,Choukei 4-Umschlag,مظروف Choukei 4
Choukei 40 Envelope,Enveloppe Choukei 40,Choukei 40-Umschlag,مظروف Choukei 40
Classified,Classifié,Klassifiziert,مصنّف
Click,Cliquer,Klick,نقر
Clicks the button,Clique sur le bouton,Klickt auf den Knopf,ينقر الزر
Clicks the menuitem,,,ينقر على عنصر القائمة
Clipboard manager could not store selection.,Le gestionnaire du presse-papiers n’a pas pu stocker la sélection.,Die Zwischenablagenverwaltung konnte die Auswahl nicht speichern.,تعذّر على مدير الحافظة حفظ التحديد.
Close,Fermer,Schließen,أغلق
Connect,Se connecter,Verbinden,اتّصل
Color,Couleur,Farbe,اللون
Color Name,,,اسم اللون
Color Plane,,,مجال الألوان
Color management unavailable,Gestion de la couleur non disponible,Farbverwaltung ist nicht verfügbar,إدارة الألوان غير متاحة
Color: %s,Couleur : %s,Farbe: %s,اللون: %s
Command Line,,,سطر الأوامر
Composited,Composé,Zusammengesetzt,مُركّب
Computer,Ordinateur,Rechner,الحاسوب
Connect,Se connecter,Verbinden,اتّصل
Confidential,Confidentiel,Vertraulich,سرّي
Conjunct Form After Ro,Forme conjointe après Ro,Verbundene Form nach Ro,أشكال متصلة بعد رو
Conjunct Forms,Formes conjointes,Verbundene Formen,أشكال متصلة
Connect As,Se connecter comme,Verbinden als,اتّصل ك‍
Connect to Server,Connexion à un serveur,Mit Server verbinden,اتصل بخادوم
Contextual Alternates,Alternatives contextuelles,Kontextbedingte Alternativen,بدائل سياقية
Contextual Ligatures,Ligatures contextuelles,Kontextbedingte Ligaturen,اقترانات سياقية
Contextual Swash,Formes calligraphiques contextuelles,Kontextbedingter Zierbuchstabe,ذيول زخرفية سياقية
Convert to PS level 1,Convertir en PS niveau 1,Zu PS Level 1 konvertieren,حوّل إلى بوستسكربت المستوى ١
Convert to PS level 2,Convertir en PS niveau 2,Zu PS Level 2 konvertieren,حوّل إلى بوستسكربت المستوى ٢
Copies:,Copies :,Kopien:,نُسَخ:
Copies,Copies,Kopien,نُسَخْ
Coptic,,,قبطي
Copy,Copier,,انسخ
Copy URL,,,انسخ المسار
Copy Link Address,Copier l’adresse du lien,Verknüpfungsadresse kopieren,انسخ عنوان الوصلة
Copy Location,,,انسخ الموقع
Could not clear list,,,تعذّر مسح القائمة
Could not read the contents of %s,Impossible de lire le contenu de %s,Inhalt von %s konnte nicht gelesen werden,تعذّرت قراءة محتويات %s
Could not read the contents of the folder,Impossible de lire le contenu du dossier,Inhalt des Ordners konnte nicht gelesen werden,تعذّرت قراءة محتويات المجلّد
Could not remove item,,,تعذّر حذف عنصر
Could not rename %s back to %s: %s.,Impossible de renommer à nouveau %s en %s : %s,»%s« konnte nicht zurück in »%s« umbenannt werden: %s.,تعذّر تغيير اسم %s إلى %s: %s.
Could not rename %s to %s: %s,Impossible de renommer « %s » en %s : %s,»%s« konnte nicht in »%s« umbenannt werden: %s,تعذّر تغيير اسم %s إلى %s: %s
"Could not rename %s to %s: %s, removing %s then.","Impossible de renommer %s en %s : %s, suppression de %s.",»%s« konnte nicht in »%s« umbenannt werden: %s; »%s« wird deswegen entfernt.,تعذّر تغيير اسم %s إلى %s: %s، سيُحذف %s إذن.
Could not select file,Impossible de sélectionner le fichier,Datei konnte nicht ausgewählt werden,تعذّر اختيار الملف
Could not send the search request,Impossible d’envoyer la requête de recherche,Die Suchanfrage konnte nicht gestellt werden,تعذّر إرسال طلب البحث
Could not show link,Impossible d’afficher le lien,Verknüpfung konnte nicht angezeigt werden,تعذّر إظهار الوصلة
Create Folder,Créer un dossier,Ordner anlegen,أنشئ مجلّدًا
Create a custom color,,,أنشئ لونًا مخصّصًا
Created by,Créé par,Erstellt von,أنشئه
Credits,Crédits,Mitwirkende,إشادات
Ctrl,Ctrl,Strg,Ctrl
Cut,Couper,Ausschneiden,قصّ
Cuneiform,,,مسماري
Cursive Positioning,Positionnement cursif,Kursive Positionierung,تموضع متصل
Cursor Size,Taille de curseur,Zeigergröße,حجم المؤشر
Cursor Theme,Thème de curseur,Zeiger-Thema,سِمة المؤشر
Custom,Personnalisée,Benutzerdefiniert,لون مخصّص
Custom %s×%s,Personnalisé %s×%s,Benutzerdefiniert %s×%s,مخصص %s×‏%s
Custom License,Licence personnalisée,Eigene Lizenz,ترخيص مخصّص
Custom Size %d,Taille personnalisée %d,Benutzerdefinierte Größe %d,مقاس مخصّص %Id
Custom color,,,لون مخصص
Custom color %d: %s,Couleur personnalisée %d : %s,Benutzerdefinierte Farbe %d: %s,اللون المخصص %d: %s
Custom size,Taille personnalisée,Benutzerdefinierte Größe,مقاس مخصصّ
Customize,Personnaliser,Anpassen,خصّص
Customizes the color,Personnalise la couleur,Passt die Farbe an,يُخصص اللون
Cut,Couper,,قصّ
Cypriot,,,قبرصي
Cyrillic,Cyrillique,,سريلي
Cyrillic (Transliterated),,,سريلي (بحروف لغة أخرى)
DL Envelope,Enveloppe DL,DL-Umschlag,مظروف DL
Dai-pa-kai,Dai-pa-kai,Dai-pa-kai,Dai-pa-kai
Dark Aluminum 1,,,ألومنيوم داكن 1
Dark Aluminum 2,,,ألومنيوم داكن 2
Dark Butter,,,زبدي داكن
Dark Chameleon,,,حرباء داكنة
Dark Chocolate,,,شوكولاتة داكن
Dark Gray,,,أسود داكن
Dark Orange,Orange foncé,Dunkles Orange,برتقالي داكن
Dark Plum,,,برقوقي داكن
Dark Scarlet Red,,,أحمر قرمزي داكن
Dark Sky Blue,,,أزرق سماوي داكن
Darker Gray,,,أسود أدْكن
Decrease Indent,,,اخفض المحاذاة
Decreases the volume,,,يخفض الصوت
Default,Par défaut,Standard,المبدئي
Default Application,,,التطبيق المبدئي
Default Widget,,,الودجة المبدئية
Delete,Supprimer,Entf,Delete
Denominators,Dénominateurs,Nenner,مقامات
Deseret,,,ديزرت
Desktop,Bureau,Schreibtisch,سطح المكتب
Devanagari,,,ديفاناجاري
"Dialog is locked.
Click to make changes","La boîte de dialogue est verrouillée.
Cliquez pour faire des modifications","Dialog ist gesperrt.
Klicken Sie für
Änderungen","المربع الحواري مُوصَد.
انقر للسماح بالتغييرات"
"Dialog is unlocked.
Click to prevent further changes","La boîte de dialogue est déverrouillée.
Cliquez pour éviter des modifications futures","Dialog ist entsperrt.
Klicken Sie, um Ände-
rungen zu verhindern","المربع الحواري غير مُوصَد.
انقر لمنع أي تغييرات"
Disconnect,Déconnecter,Trennen,اقطع الاتصال
Discretionary Ligatures,Ligatures facultatives,Bedingte Ligaturen,اقترانات اختيارية
Dismiss,,,ارفض
Display,Affichage,Anzeige,العرض
Distances,Distances,Abstände,المسافات
Do use the Wintab API [default],,,لا تستخدم Wintab API [مبدئي]
Do you want to use GTK+ Inspector?,,,هل تريد استخدام فاحص جتك+؟
Documented by,Documenté par,Dokumentation von,وثّقه
Domain:,Domaine :,Domäne:,النطاق:
Don’t batch GDI requests,,,لا ترسل طلبات GDI دفعة واحدة
Don’t check for the existence of index.theme,Ne pas vérifier l’existence du fichier index.theme,Nicht auf Existenz von index.theme überprüfen,لا تتحقق من وجود index.theme
Don’t include image data in the cache,Ne pas inclure de données d’image dans le cache,Bilddaten nicht in Cache einbinden,لا تضع بيانات الصور في المخزن
Don’t show this message again,Ne plus afficher ce message,Diese Meldung nicht mehr anzeigen,لا تعرض هذه الرسالة مرة أخرى
Don’t use the Wintab API for tablet support,,,لا تستخدم Wintab API لدعم اللوحة
Dormant,,,خاملة
Dotless Forms,Formes isolées,Punktlose Formen,أشكال غير منقوطة
Down,Bas,Runter,Down
Down Path,,,المسار السفلي
Edit,,,تحرير
Egyptian Hieroglpyhs,,,هيروغليفي مصري
Eject,Éjection,Auswerfen,أخرج
Elbasan,,,إلباسان
Element <%s> not allowed at toplevel,L’élément <%s> n’est pas autorisé au premier niveau,Element »%s« ist in der obersten Ebene nicht erlaubt,العنصر <%s> غير مسموح به في المستوى الأعلى
Element <%s> not allowed inside <%s>,L’élément <%s> n’est pas autorisé à l’intérieur de <%s>,Element »%s« ist innerhalb von »%s« nicht erlaubt,العنصر <%s> غير مسموح به داخل <%s>
Embed GhostScript fonts only,Inclure uniquement les polices GhostScript,Nur GhostScript-Schriften einbinden,ادمج خطوط غوست‌سكربت فقط
Enabled,Activé,Aktiviert,مفعّل
End,Fin,Ende,End
Enter Location,Saisir un emplacement,Geben Sie den Ort an,اكتب موقعًا
Enter location,,,اكتب موقعًا
Enter location or URL,Saisir un emplacement ou un URL,Ort oder Adresse angeben,اكتب موقعًا أو مسارًا
Enter server address…,Saisir l’adresse du serveur…,Serveradresse eingeben …,أدخل عنوان الخادوم…
Error,,,عُطل
Error creating print preview,Erreur lors de la création de l’aperçu,Fehler beim Erzeugen der Druckvorschau,حدث خطأ أثناء إنشاء معاينة الطباعة
Error from StartDoc,Erreur de StartDoc,Fehler von StartDoc,خطأ من StartDoc
Error parsing commandline options: %s,Erreur lors de l’analyse des options de la ligne de commande : %s,Fehler beim Verarbeiten der Befehlszeilenoptionen: %s,خطأ في تحليل خيارات سطر الأوامر: %s
Escape,Échap.,Esc,Escape
Ethiopic,,,اثيوبي
European edp,Edp européen,Europäisches edp,‏edp أوروبي
Even sheets,Pages paires,Gerade Seiten,الورقات الزوجية
Executive,Executive,Executive,تنفيذي
Expand or contract,,,يمدد أو يقلّص
Expert Forms,Formes expertes,Experten-Formen,أشكال متخصصة
Explorer,Navigateur,Dateiverwaltung,المستعرض
Face Down Bin,Bac à face vers le bas,Bin nach unten,سلة الوجه الأسفل
Face Up Bin,Bac à face vers le haut,Bin nach oben,سلة الوجه الأعلى
Failed to load icon,,,فشل تحميل الأيقونة
Failed to open file %s : %s,Impossible d’ouvrir le fichier « %s » : %s,Datei %s konnte nicht geöffnet werden: %s,فشل فتح الملف %s : %s
Failed to rewrite header,Impossible de réécrire l’en-tête,Header konnte nicht überschrieben werden,فشلت إعادة كتابة الترويسة
Failed to start GNOME Software,Impossible de lancer la liste des logiciels GNOME,Starten von GNOME Software schlug fehl,فشل بدأ برمجيات جنوم
Failed to write cache file: %s,Impossible d’écrire dans le fichier de cache : %s,Cache-Datei konnte nicht gespeichert werden: %s,فشلت الكتابة في الملف: %s
Failed to write folder index,Impossible d’écrire l’index du dossier,Ordner-Index konnte nicht geschrieben werden,فشلت كتابة فهرس المجلدات
Failed to write hash table,Impossible d’écrire dans la table de hachage,Hash-Tabelle konnte nicht geschrieben werden,فشلت كتابة جدول التلبيد
Failed to write header,Impossible d’écrire l’en-tête,Header konnte nicht geschrieben werden,فشلت كتابة الترويسة
Fan-Fold European,Fan-Fold européen,Endlospapier Europäisch,طية مروحة أوروبي
Fan-Fold German Legal,Legal Fan-Fold allemand,Endlospapier Deutsch-Legal,طية مروحة ألماني قانوني
Fan-Fold US,Fan-Fold US,Endlospapier Amerikanisch,طية مروحة أمريكي
Favorite files,,,الملفات المفضلة
File,Fichier,Datei,ملف
File System,,,نظام ملفات
File System Root,,,جذر نظام الملفات
File Transfer Protocol,Protocole de transfert de fichier,File Transfer Protocol,بروتوكول نقل الملفات
File names cannot contain “/”,Les noms de fichiers ne peuvent pas contenir « / »,Dateinamen dürfen »/« nicht enthalten,لا يُسمح أن يحتوي اسم الملف الرمز ”/“.
File names should not begin with a space,Les noms de fichiers ne devraient pas commencer par une espace,Dateinamen sollten nicht mit einem Leerzeichen beginnen,لا يُستحسن أن تبدأ أسماء الملفات بمسافة
File names should not end with a space,Les noms de fichiers ne devraient pas se terminer par une espace,Dateinamen sollten nicht mit einem Leerzeichen enden,لا يُستحسن أن تنتهي أسماء الملفات بمسافة
File names starting with a “.” are hidden,Les noms de fichiers commençant par « . » sont masqués,"Dateinamen, die mit ».« beginnen, sind verborgen",الملفات التي تبدأ بالرمز ”.“ مخفية
File not found: %s,Fichier introuvable : %s,Datei nicht gefunden: %s,الملفّ غير موجود: %s
Files,,,ملفات
Final Glyph on Line Alternates,Variantes de dernier glyphe de ligne,Alternativen zur finalen Glyphe einer Zeile,بدائل آخر محرف في السطر
Find and Replace,,,ابحث واستبدِل
Finished,Terminé,Abgeschlossen,ينهي
Finished with error,Terminé avec une erreur,Abgeschlossen mit Fehler,تم مع خطأ
Finishing,Finalisation,Nachbearbeitung,يجري الإنهاء
