(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
A separator icon which can be added multiple times,Un séparateur qui peut être inséré plusieurs fois,"Ein Trenner, der mehrmals hinzugefügt werden kann",أيقونة فاصل يمكن إضافته عدة مرات
A suitable panel could not be found. The applet has been removed instead.,Aucun panneau adéquat n'a pu être trouvé. L’applet a donc été supprimé.,Eine geeignete Leiste konnte nicht gefunden werden. Das Applet wurde stattdessen entfernt.,لا يمكن العثور على شريط مناسب. تمت إزالة البريمج بدلاً من ذلك.
A third of the screen,Un tiers de l'écran,Ein Drittel des Bildschirms,ثلث الشاشة
"A tween chooser has as value a string, which you can pass as transition to Tweener.addTween()","La valeur de ce ""Tween Chooser"" est une chaîne que vous pouvez passer comme transition à Tweener.addTween()","Ein tween-Auswähler, hat als Wert eine Zeichenkette, die Sie als Übergang zu Tweener.addTween() übergeben können",اختيار tween له قيمه كسلسلة، والتي يمكنك تمريرها كتحويل إلى Tweener.addTween()
A user with the name '%s' already exists.,Le nom d'utilisateur '%s' existe déjà.,Ein Benutzer mit dem Namen »%s« existiert bereits.,يوجد بالفعل مستخدم باسم'%s'.
A visual representation of the workspaces,Représentation visuelle des espaces de travail,Eine visuelle Darstellung der Arbeitsflächen,التمثيل المرئي لمساحات العمل
AC adapter,Adaptateur secteur,Netzteil,محول التيار المتردد
About,À propos,Über,حول
About...,À propos…,Über …,حول...
Acceleration,Accélération,Beschleunigung,التسريع
Acceleration time,Temps d'accélération,Beschleunigungszeit,وقت التسارع
Acceptance delay,Délai d'acceptation,Eingabeverzögerung,تأخير القبول
Access removable drives,Accédez aux périphériques amovibles,Zugriff auf Wechseldatenträger,الوصول إلى محركات الأقراص القابلة للإزالة
Access the documents you recently opened,Accédez aux fichiers récents,Zugriff auf zuletzt benutzte Dokumente,الوصول إلى المستندات التي تم فتحها مؤخرًا
Access your favorite files,Accédez à vos fichiers favoris,Zugriff auf favorisierte Dateien,الوصول إلى ملفاتك المفضلة
Accessibility,Accessibilité,Barrierefreiheit,إتاحة
Accessibility applet,Applet d’accessibilité,Barrierefreiheitsregler,بريمج سهولة الوصول
Account Type,Type de compte,Kontotyp,نوع الحساب
Account details,Détails du compte,Kontodetails,تفاصيل الحساب
Action on middle click,Action du clic milieu,Aktion bei Mittelklick,الإجراء عند النقر الأوسط
Action on title bar double-click,Action du double-clic sur la barre de titre,Aktion beim Doppelklick auf Titelleiste,إجراء النقر المزدوج على شريط العناوين
Action on title bar middle-click,Action du clic milieu sur la barre de titre,Aktion beim Mittelklick auf die Titelleiste,إجراء النقر الأوسط على شريط العناوين
Action on title bar right-click,Action du clic droit sur la barre titre,Aktion beim Rechtsklick auf die Titelleiste,إجراء النقر الأيمن على شريط العناوين
Action on title bar with mouse scroll,Action sur la barre de titre avec le défilement de la souris,Aktion beim Mausrollen auf der Titelleiste,الإجراء على شريط العنوان مع تمرير الفأرة
Actions,Actions,Aktionen,الإجراءات
Activate expo on hover,Activer le mode Expo au survol,Arbeitsflächenübersicht beim Darüberbewegen aktivieren.,تنشيط Expo عند التحويم
Activate scale on hover,Activer la mise à l'échelle au survol,Fensterübersicht beim Darüberbewegen aktivieren.,تنشيط التحجيم عند التحويم
Activate window menu,Activer le menu fenêtre,Fenstermenü aktivieren,تنشيط قائمة النافذة
Activation delay (ms),Délai d'activation (ms),Aktivierungsverzögerung (ms),تأخر التفعيل (بالميلي ثانية)
Activation mode,Mode d'activation,Aktivierungsmodus,وضع التنشيط
Activation of network connection failed,Échec d'activation de connexion réseau,Aktivierung der Netzwerkverbindung ist fehlgeschlagen,فشل تنشيط اتصال الشبكة
Adaptive,Adaptative,Anpassungsfähig,متكيّف
Add,Ajouter,Hinzufügen,أضِف
Add Application,Ajouter une application,Anwendung hinzufügen,إضافة تطبيق
Add Folder,Ajouter un dossier,Ordner hinzufügen,أضِف مجلد
Add Startup Program,Ajouter un programme à lancer au démarrage,Startprogramm hinzufügen,إضافة برنامج بدء التشغيل
Add a new panel,Ajouter un nouveau panneau,Neue Leiste hinzufügen,أضف شريط جديدة
Add a new workspace,Ajouter un nouvel espace de travail,Neue Arbeitsfläche hinzufügen,إضافة مساحة عمل أخرى
Add custom shortcut,Ajout de raccourci personnalisé,Eigene Tastenkombination erstellen,إضافة اختصار مخصص
Add new entry,Ajouter une nouvelle entrée,Neuen Eintrag hinzufügen,أضِف إدخال جديد
Add new folder,Ajouter un nouveau dossier,Neuen Ordner hinzufügen,أضف مجلد جديد
Add new panel,Ajouter un nouveau panneau,Neue Leiste hinzufügen,إضافة شريط جديد
Add or remove users and groups,Ajouter ou supprimer des utilisateurs et des groupes,Benutzer und Gruppen hinzufügen oder entfernen,أضِف أو أزِل المستخدمين والمجموعات
Add some space between your other applets,Ajoutez de l'espace entre applets,Etwas Platz zwischen den anderen Applets einfügen,إضافة بعض المساحة بين التطبيقات الأخرى الخاصة بك
Add to Autostart,Ajouter au démarrage automatique,Zum Autostart hinzufügen,أضف إلى التشغيل التلقائي
Add to desktop,Ajouter au bureau,Zum Schreibtisch hinzufügen,أضف إلى سطح المكتب
Add to favorites,Ajouter aux favoris,Zu den Favoriten hinzufügen,أضف إلى المفضلة
Add to panel,Ajouter au panneau,Zur Leiste hinzufügen,أضف إلى الشريط
Add/Edit Launcher,"Ajouter, modifier un lanceur",Starter hinzufügen/bearbeiten,اضف/حرِّر المشغل
Add/Remove,"Ajouter, supprimer",Hinzufügen/Entfernen,أضِف/أزِل
Address,Adresse,Adresse,العنوان
Adjust opacity,Ajuster l'opacité,Deckkraft anpassen,ضبط العتامة
Adjust this to increase or decrease the width of this spacer,Ajuster cette option pour augmenter ou diminuer la largeur de ce séparateur,"Vergrößern oder verkleinern, um die Größe des Abstandshalters anzupassen",اضبط هذا لزيادة أو إنقاص عرض هذا الفاصل
Administration,Administration,Systemverwaltung,الإدارة
Administrator,Administrateur,Systemverwalter,إداري
Advanced settings...,Paramètres avancés….,Erweiterte Einstellungen …,اعدادات متقدمة
Alert when a key is accepted,Avertir quand une touche est acceptée,"Signalisieren, wenn eine Taste akzeptiert wird",التنبيه عند قبول مفتاح
Alert when a key is pressed,Avertir quand une touche est pressée,"Signalisieren, wenn eine Taste gedrückt wird",التنبيه عند الضغط على مفتاح
Alert when a key is rejected,Avertir quand une touche est rejetée,"Signalisieren, wenn eine Taste abgelehnt wird",التنبيه عند رفض مفتاح
Alert when a modifier key is pressed,Alerter si une touche de modification est enfoncée,"Signalisieren, wenn eine Hilfstaste gedrückt wird",التنبيه عند الضغط على مفتاح التبديل
All Applications,Toutes les applications,Alle Anwendungen,كل التطبيقات
All day,Journée entière,Ganztägig,طوال اليوم
All windows,Toutes les fenêtres,Alle Fenster,كل النوافذ
Allow cycling through workspaces,Permettre le déplacement circulaire entre les espaces de travail,Weiterschalten durch die Arbeitsflächen erlauben,السماح بالتجوال عبر مساحات العمل
Allow dragging of launchers,Autoriser le déplacement des lanceurs,Das Ziehen von Startern erlauben,السماح بسحب منصات الإطلاق
Allow floating clock and album art widgets,Autoriser l'horloge flottante et les pochettes d'album,Schwebende Uhr und Albumbild-Widgets erlauben,السماح بأدوات الساعة العائمة والغلاف الفني للألبوم
Allow keyboard shortcuts,Autoriser les raccourcis-clavier,Tastenkombinationen erlauben,السماح باختصارات لوحة المفاتيح
Allow shortcuts like volume-control and media keys to be used on the lock screen,Autoriser les touches telles que le contrôle du volume ou les touches de lecture multimédia,Benutzung von Tastenkombinationen wie Lautstärkeregelung und Medientasten auf dem Sperrbildschirm erlauben,السماح باستخدام الاختصارات مثل التحكم في مستوى الصوت ومفاتيح الوسائط على شاشة القفل
Allow the menu to animate on open and close,Autoriser les effets d'animation lors de l'ouverture et de la fermeture du menu,Dem Menü erlauben beim Öffnen und Schließen zu animieren,السماح للقائمة بالتحريك عند الفتح والإغلاق
Allow the pointer to pass through the edges of panels,Permettre au pointeur de traverser les bords des panneaux,"Dem Zeiger erlauben, über die Ränder der Leisten hindurchzugehen",السماح للمؤشر بالمرور عبر حواف الأشرطة
Allow theme to determine font size,Utiliser la taille définie par le thème,"Dem Thema erlauben, die Schriftgröße zu bestimmen.",اسمح للشكل الاساسي (theme) بتغير حجم الخط
Allows path entry in the menu search box.,Permet la recherche de chemins de fichiers.,Ermöglicht die Pfadeingabe im Suchfeld des Menüs.,يسمح بإدخال المسار في مربع بحث القائمة.
Alt-Tab,Alt-Tab,Alt-Tab,Alt-Tab
Alt-Tab switcher style,Style du sélecteur Alt-Tab,Stil des Alt-Tab-Umschalters,أسلوب محول Alt-Tab
Always,Toujours,Immer,دائما
Always show all batteries,Toujours afficher toutes les batteries,Immer alle Akkus anzeigen,اعرض دائمًا جميع البطاريات
Always show panel,Toujours afficher le panneau,Leiste immer anzeigen,عرض الشريط دائماً
Always show the clock,Toujours afficher l’horloge,Die Uhr immer anzeigen,عرض الساعة دائمًا
Amount of space in pixels,Espace en pixels,Größe des Zwischenraums in Pixeln,مقدار المساحة بالبكسل
"An applet to access your account details, switch users and quickly logout or power off the computer","Un applet pour accéder aux détails de votre compte, changer d'utilisateur ou fermer rapidement la session et éteindre l’ordinateur","Ein Applet für den Zugriff auf Ihre Kontodetails, den Wechsel des Benutzers und das schnelle Abmelden oder Ausschalten des Rechners",بريمج للوصول إلى تفاصيل حسابك، التبديل بين المستخدمين وسرعة تسجdل الخروج أو إيقاف تشغيل الكمبيوتر
An applet which hosts all the system tray icons,Une applet qui regroupe toutes les icônes de la zone de notification,"Ein Applet, das alle Benachrichtigungsfeldsymbole beherbergt",التطبيق المصغر يستضيف جميع أيقونات صينية النظام
An applet which hosts all the system tray icons for applications which use XAppStatusIcons,Un applet qui regroupe toutes les icônes de la zone de notification pour les applications qui utilisent XAppStatusIcons,"Ein Applet, das alle Symbole der Systemleiste für Anwendungen enthält, welche XAppStatusIcons verwenden.",بريمج يستضيف جميع أيقونات علبة النظام للتطبيقات التي تستخدم XAppStatusIcons
An error occurred during the installation of %s. Please report this incident to its developer.,Une erreur est survenue lors de l'installation de %s. Veuillez rapporter cet incident à son développeur.,Ein Fehler ist bei der Installation von %s aufgetreten. Bitte melden Sie diesen Vorfall dem Entwickler.,حدث خطأ أثناء تثبيت %s. الرجاء الإبلاغ عن هذة الحادثة إلى مطورها.
An error occurred while trying to access the server. Please try again in a little while.,Une erreur est survenue lors de la tentative d'accès au serveur. Veuillez réessayer un peu plus tard.,"Beim Versuch, auf den Server zuzugreifen, ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal.",حدث خطأ أثناء محاولة الوصول إلى الخادم. يرجى المحاولة مرة أخرى بعد قليل.
An error occurred. Your password was not changed.,Une erreur s'est produite. Votre mot de passe n'a pas été modifié.,Ein Fehler ist aufgetreten. Ihr Passwort wurde nicht geändert.,حدث خطأ. لم يتم تغيير كلمة المرور الخاصة بك.
Animate thumbnails,Animer les vignettes,Vorschaubilder animieren,تحريك المصغرات
Animation settings,Paramètres d'animation,Animationseinstellungen,إعدادات الحركة
Animation type,Type d'animation,Animationstyp,نوع الحركة
Antialiasing,Anticrénelage,Kantenglättung,مكافح التعرج
Antialiasing makes on screen text smoother and easier to read,L'anticrénelage rend le texte à l'écran plus lisse et plus facile à lire,Durch Kantenglättung wird der Text auf dem Bildschirm glatter und einfacher zu lesen,مكافح التعرج يجعل النص على الشاشة أكثر سلاسة وأسهل للقراءة
Appearance,Apparence,Erscheinungsbild,المظهر
Applet width in the panel,Largeur de l’applet dans le panneau,Appletbreite in der Leiste,عرض البريمج في الشريط
Applets,Applets,Applets,البريمجات
Application,Application,Anwendung,تطبيق
Application Buttons,Boutons d'applications,Anwendungsknöpfe,أزرار التطبيقات
Application name,Nom de l'application,Anwendungsname,اسم التطبيق
Applications,Applications,Anwendungen,التطبيقات
Applications icon size,Taille d’icône des applications,Symbolgröße der Anwendungen,حجم أيقونة التطبيقات
Apply the monitor move option to all windows,Appliquer les options de changement d'écran à toutes les fenêtres,Die Bildschirmverschiebeoption auf alle Fenster anwenden,قم بتطبيق خيار نقل الشاشة على جميع النوافذ
Apps inhibiting power management:,Applis qui désactivent la gestion de l’alimentation :,"Apps, die die Energieverwaltung unterdrücken:",تطبيقات تمنع إدارة الطاقة:
Are you sure you want to completely remove %s?,Voulez-vous supprimer %s complètement ?,"Sind Sie sicher, dass Sie %s vollständig entfernen wollen?",هل تريد بالتأكيد إزالة %s بالكامل؟
Are you sure you want to delete all items from the trash?,Voulez-vous supprimer tous les éléments de la corbeille ?,"Sind Sie sicher, dass Sie alle Dateien aus dem Papierkorb löschen möchten?",هل تريد بالتأكيد حذف جميع العناصر من سلة المهملات؟
Are you sure you want to permanently delete %s and all the files associated with this user?,Voulez-vous irrémédiablement supprimer %s et tous les fichiers associés à cet utilisateur ?,"Sind Sie sicher, dass Sie %s und alle zu diesem Benutzer gehörigen Dateien dauerhaft löschen möchen?",هل تريد بالتأكيد حذف %s وجميع الملفات المرتبطة بهذا المستخدم نهائيًا؟
Are you sure you want to permanently delete %s?,Voulez-vous irrémédiablement supprimer %s ?,"Sind Sie sicher, dass Sie %s dauerhaft löschen möchen?",هل أنت متأكد من حذف %s نهائياً؟
Are you sure you want to remove '%s'?,Voulez-vous supprimer « %s » ?,"Sind Sie sicher, dass Sie »%s« entfernen möchten?",هل انت متأكّد من إزالة '%s'؟
Are you sure you want to remove this panel?,Voulez-vous supprimer ce panneau ?,"Sind Sie sicher, dass Sie diese Leiste entfernen möchten?",هل أنت متأكد أنك تريد حذف هذا الشريط؟
"Are you sure you want to remove workspace ""%s""?",Voulez-vous supprimer l’espace de travail « %s » ?,"Sind Sie sicher, dass Sie die Arbeitsfläche »%s« entfernen wollen?","هل تريد بالتأكيد إزالة مساحة العمل ""%s""؟"
Are you sure you want to restore all settings to default?,Voulez-vous restaurer tous les paramètres à leur valeur par défaut ?,"Sind Sie sicher, dass Sie alle Einstellungen auf die Vorgaben zurücksetzen wollen?",هل تريد بالتأكيد استعادة كل الإعدادات إلى الوضع الافتراضي؟
Ask,Demander,Fragen,اسأل
Ask for a custom message when locking the screen from the menu,Demander un message personnalisé lors du verrouillage de l'écran à partir du menu,Beim Sperren des Bildschirms über das Menü nach einer eigenen Nachricht fragen,طلب رسالة مخصصة عند قفل الشاشة من القائمة
Ask what to do,Demander ce qu'il faut faire,"Nachfragen, was geschehen soll",اسأل عما يجب فعله
At the bottom of the screen,En bas de l'écran,Am unteren Bildschirmrand,في الجزء السفلي من الشاشة
At the top of the screen,En haut de l'écran,Am oberen Bildschirmrand,في الجزء العلوي من الشاشة
Attach dialog windows to the parent window,Attacher les boîtes de dialogue à leur fenêtre mère,Dialogfenster an das aktuelle Fenster anheften,إرفاق نوافذ الحوار إلى النافذة الرئيسية
Auto %s,Auto %s,Automatisch %s,تلقائي %s
Auto Ethernet,Ethernet automatique,Automatisches Ethernet,إيثرنت تلقائي
Auto bluetooth,Auto bluetooth,Automatisches Bluetooth,بلوتوث تلقائي
Auto broadband,Auto haut débit,Automatisches Breitband,النطاق العريض التلقائي
Auto dial-up,Auto ligne commutée,Automatische Einwahl,الطلب التلقائي
Auto hide panel,Cacher le panneau automatiquement,Leiste automatisch ausblenden,إخفاء تلقائي للشريط
Auto wireless,Auto Wi-Fi,Automatisches Funknetzwerk,لاسلكي تلقائي
Auto-hide panel,Cacher le panneau automatiquement,Leiste automatisch ausblenden,إخفاء تلقائي للشريط
Automatically raise focused windows,Monter automatiquement les fenêtres ciblées,Fokussierte Fenster automatisch im Vordergrund anzeigen,جمع النوافذ المركزة تلقائيا
Away message,Message d'absence,Abwesenheitsnachricht,الرسالة البعيدة
BGR,BVR,BGR,BGR
Back to all settings,Retourner à la liste de tous les paramètres systèmes,Zurück zu allen Einstellungen,العودة إلى جميع الإعدادات
Background Settings,Fonds d'écran,Hintergrundeinstellungen,إعدادات الخلفية
Background color,Couleur d’arrière-plan,Hintergrundfarbe,لون الخلفية
Backgrounds,Fonds d'écran,Hintergrundbilder,الخلفيات
Backlight brightness,Luminosité du rétroéclairage,Helligkeit der Hintergrundbeleuchtung,سطوع الشاشة
Balance,Balance,Balance,التوازن
Basic controls for the Cinnamon slideshow,Contrôlez le diaporama,Basissteuerung der Cinnamon-Diaschau,عناصر التحكم الأساسية لعرض شرائح سينامُن
Batteries,Batteries,Akkus,البطاريات
Battery,Batterie,Akku,البطارية
Battery almost full,La batterie est presque pleine,Akku fast voll,البطارية ممتلئة تقريبًا
Battery full,La batterie est pleine,Akku ist voll,البطارية ممتلئة
Battery good,Le niveau de la batterie est satisfaisant,Akku ist gut,البطارية جيدة
Behavior,Comportement,Verhalten,السلوك
Black and White,Noir et blanc,Schwarz/Weiß,أسود وأبيض
Blink speed:,Vitesse de clignotement :,Blinkgeschwindigkeit:,سرعة الوميض:
Blu-ray video disc,disque vidéo Blu-ray,Blu-ray-Video,قرص فيديو Blu-ray
Bluetooth,Bluetooth,Bluetooth,البلوتوث
Blur effect,Effet de flou,Verwischeneffekt,التأثير الضبابي
Blur windows when peeking at the desktop,Rendre les fenêtres floues lors de la visualisation du bureau,Bei Vorschau auf den Schreibtisch die Fenster verwischen,ضبابية النوافذ عند النظرة الخاطفة على سطح المكتب
Border and header,Bordure et entête,Umrandung und Kopfzeile,الحدود والترويسة
Border only,Bordure uniquement,Nur Umrandung,الحدود فقط
Bottom Zone,Zone du bas,unterer Bereich,الاسفل
Bottom half,Moitié inférieure,Untere Hälfte,النصف السفلي
Bounce Keys,Rebonds de touches,Tastenanschlagfunktion,مفاتيح الارتداد
Bounce keys,Touches rebond,Tastenanschlagfunktion,مفاتيح الارتداد
Brightness,Luminosité,Helligkeit,السطوع
Brightness level when inactive,Niveau de luminosité en inactivité,Helligkeitswert bei Inaktivität,مستوى السطوع عند عدم النشاط
Bring windows which require attention to the current workspace,Mettre les fenêtres qui nécessitent une attention dans l'espace de travail actuel,"Fenster, welche die Aufmerksamkeit erfordern, auf die aktuelle Arbeitsfläche holen",جلب النوافذ التي تتطلب الانتباه إلى مساحة العمل الحالية
Browse,Parcourir,Durchsuchen,تصفّح
Browse for more pictures...,Parcourir d’autres photos ou images…,Nach weiteren Bildern suchen …,تصفح لمزيد من الصور...
Browse...,Parcourir…,Durchsuchen …,تصفح...
Button label,Étiquette des boutons,Knopfbeschriftung,تسمية الزر
Buttons,Boutons,Knöpfe,الأزرار
Buttons layout,Disposition des boutons,Knopfanordnung,أشكال الأزرار
Calculator,Calculatrice,Taschenrechner,الة حاسبة
Calendar,Calendrier,Kalender,التقويم
Cancel,Annuler,Abbrechen,إلغاء
Cancel All Jobs,Annuler toutes les tâches d'impression,Alle Aufträge abbrechen,ألغ كافة المهام
Cancel Job,Annuler la tâche,Auftrag abbrechen,ألغ المهمة
Cancel all jobs,Annuler toutes les tâches,Alle Aufträge abbrechen,ألغ كافة المهام
Cannot create the launcher at this location.  Add to the desktop instead?,Impossible de créer le lanceur dans cet emplacement. Voulez-vous plutôt l’ajouter au bureau ?,Der Starter kann nicht an diesem Ort erstellt werden. Stattdessen zum Schreibtisch hinzufügen?,لا يمكن إنشاء منصة الإطلاق في هذا الموقع. أضِف إلى سطح المكتب بدلا من ذلك؟
Categories,Catégories,Kategorien,الفئات
Categories icon size,Taille d’icône des catégories,Symbolgröße der Kategorien,حجم أيقونة الفئات
Caution low UPS,"Attention, le niveau de l’onduleur est faible",Achtung: geringer USV-Ladezustand,تحذير مزود الطاقة اللامنقطعة منخفض
"Caution low UPS, %s remaining","Attention, le niveau de l’onduleur est faible, il reste %s","Achtung: geringer USV-Ladezustand, %s verbleibend","تحذير مزود الطاقة اللامنقطعة منخفض, %s المتبقي"
"Caution low battery, %s remaining",Attention le niveau de la batterie est faible. Il reste %s,"Achtung: geringer Akkuladezustand, %s verbleibend",تحذير البطارية منخفضة، %s المتبقي
Cell phone,Téléphone portable,Mobiltelefon,الهاتف الخلوي
Cellphone,Téléphone portable,Mobiltelefon,الهاتف الخلوي
Center Zone,Zone centrale,mittlerer Bereich,الوسط
Center window in screen,Centrer la fenêtre sur l'écran,Fenster auf dem Bildschirm zentrieren,النافذة في وسط الشاشة
Centered,Centré,Zentriert,توسيط
Certain applets do not allow multiple instances or were at their max number of instances so were not copied,Certains applets ne permettent pas plusieurs instances ou ont atteint leur nombre maximal. Ils n’ont pas été copiés,Bestimmte Applets lassen mehrere Instanzen nicht zu oder haben ihre maximale Anzahl an Instanzen erreicht und wurden deshalb nicht kopiert,بعض التطبيقات لا تسمح بمثيلات متعددة أو كانت في أقصى عدد لمثيلاتها لذلك لم يتم نسخها
Change,Modifier,Ändern,تغيير
Change Password,Changer le mot de passe,Passwort ändern,تغيير كلمة المرور
Change categories on hover,Changer de catégorie au survol de la souris,Beim Darüberbewegen Kategorie ändern,تغيير الفئات عند التمرير
Change the opacity of windows when peeking at the desktop,Changer l'opacité des fenêtres lors de la visualisation du bureau,Die Deckkraft der Fenster während der Schreibtischvorschau ändern,تغيير عتامة النوافذ عند النظر إلى سطح المكتب
Change your desktop's background,Changer le fond d'écran de votre bureau,Schreibtischhintergrund ändern,تغيير خلفية سطح المكتب الخاص بك
Change your user preferences and password,Changez vos préférences utilisateur et votre mot de passe,Kontoeinstellungen und Passwort ändern,تغيير تفضيلات المستخدم وكلمة المرور الخاصة بك
Changing the sound volume,Modification du volume sonore,Lautstärke wird geändert,تغيير حجم الصوت
Charging,En charge,Ladevorgang,جاري الشحن
Charging - %d %s %d %s until fully charged,En charge - %d %s %d %s avant chargement complet,Ladevorgang - %d %s %d %s bis vollständig geladen,جاري الشحن - %d %s %d %s حتى الشحن الكامل
Charging - %s until fully charged,En charge - %s avant chargement complet,Ladevorgang - %s bis vollständig geladen,جاري الشحن - %s حتى الشحن الكامل
Charging - fully charged,En charge - complètement chargée,Ladevorgang - vollständig geladen,الشحن - مشحونة بالكامل
Check connectivity,Vérifier la connectivité,Verbindung überprüfen,تفحص الاتصال
Check frequency,Fréquence de vérification,Überprüfungsintervall,تحقق من التردد
"Check that network connections can reach the Internet. This makes it possible to detect captive portals, but also generates periodic network traffic.",Vérifier que la réseau soit connecté à Internet. Cela permet la détection des portails captifs mais génère aussi périodiquement du trafic sur le réseau.,"Überprüft, ob eine Netzwerkverbindung mit dem Internet besteht. Dies ermöglicht die Erkennung von Captive-Portalen, erzeugt aber auch regelmäßigen Netzwerkverkehr.",تحقق من إمكانية وصول اتصالات الشبكة إلى الإنترنت. هذا يجعل من الممكن الكشف عن البوابات المقيدة، ولكن أيضًا يولد حركة مرور دورية للشبكة.
"Check this to always show multiple batteries in the panel, regardless of whether one of them is marked primary.","Cochez cette option pour toujours afficher les batteries multiples dans le panneau, qu’une d’entre elles soit définie comme primaire ou non.","Aktivieren Sie diese Option, um immer mehrere Akkus in der Leiste anzuzeigen, unabhängig davon, ob einer von ihnen als primär markiert ist.",حدد هذا لإظهار عدة بطاريات دائمًا في اللوحة، بغض النظر عما إذا كانت إحداها تحمل علامة أساسية.
Check this to define a custom format for the date in the calendar applet.,Cochez cette case pour définir votre propre format de date dans l’applet du calendrier.,"Aktivieren, um ein individuelles Datumsformat für die Kalenderanwendung festzulegen.",تحقق من هذا لتحديد تنسيق مخصص للتاريخ في بريمج التقويم.
Check this to define a custom format for the time in the clock desklet.,Cochez cette case pour définir un format personnalisé de l'heure dans le desklet horloge.,"Aktivieren, um ein eigenes Format für die Zeitanzeige im Uhren-Desklet festzulegen.",تحقق من هذا لتحديد تنسيق مخصص للوقت في التطبيق المكتبي للساعة.
Check this to display events in the calendar.,Activez cette option pour afficher les événements dans le calendrier.,"Aktivieren, um Termine im Kalender anzuzeigen.",إجعل هذا في الأحداث المعروضة في التقويم.
Check this to ignore transient notifications.,Cochez cette case pour ignorer les notifications transitoires.,"Auswählen, um vorübergehende Benachrichtigungen zu ignorieren",تحقق من هذا لتجاهل الإشعارات العابرة.
Check this to show the tray even when there are no new notifications.,Cochez cette case pour afficher l'espace de notification même quand il n'y a aucune nouvelle notification.,"Auswählen, um das Benachrichtigungsfeld auch anzuzeigen, wenn keine Benachrichtigungen vorhanden sind.",تحديد هذا لعرض الصينية حتى في حالة عدم وجود إخطارات جديدة.
Check this to show week numbers in the calendar.,Cochez cette case pour afficher les numéros de semaine dans le calendrier.,"Aktivieren, um Wochennummern im Kalender anzuzeigen.",تحديد هذا لإظهار أرقام الأسبوع في التقويم.
Check this to specify a custom icon and label,Cocher ceci pour spécifier une icône et une étiquette personnalisées,"Auswählen, um ein angepasstes Symbol und Bezeichnung festzulegen.",حدد هنا لاختيار رمز مخصص وعنوان
