English Term,Arabic Term,Description
"International bandwidth utilization","استخدام النطاق الترددي الدولي","هو مؤشر يتم قياسه على النحو التالي: استخدام النطاق الترددي الدولي = ((∑_(i=1)^(i=n)〖PBWi) ÷〗 n )÷CL حيث: I يمثل كل يوم يتم خلاله قياس ذروة عرض النطاق الترددي. N=20 يمثل أكثر 20 يوماً ازدحاماً في الشهر PBWi= ذروة عرض النطاق الترددي لليوم i (بالميغابايت/ثانية) CL: السعة القصوى للرابط المقاس (بالميغابايت / ثانية)"
"Reception of Marketing Text Messages","استقبال الرسائل النصية التسويقية","هي مرحلة استقبال المرخص له للرسائل النصية التسويقية من مشترك خدمة الرسائل بهدف إرسالها لمشترك الهاتف المتحرك."
"Listen Before Talk","استمع قبل أن تتكلم","هي آلية يقوم من خلالها الجهاز بتقييم حالة خلو القناة قبل استخدامها."
"Domain Name","اسم النطاق أو ""اسم نطاق انترنت""","تعني السلسلة الأبجدية الرقمية المصاحبة لمصادر الإنترنت المفصلة في طلبي التعليقات رقم 1034 ورقم 1035، وطلبات تعليق أخرى ذات صلة؛"
"Variant","اسم متماثل","تعني دالتان U-label يمكن اعتبارهما متماثلتين. اسم متماثل لاسم النطاق ما هو الأسم الذي تعتبره الإدارة متشابه بشكل يثير الحيرة لمستخدمي اسم النطاق و تكون الأسماء النتماثلة مرتبطة باسم نطاق اساسي."
"“امارات. (dotEmarat) Domain Name” or “امارات. (dotEmarat) Arabic Domain Name”","اسم نطاق .امارات","تعني أي اسم نطاق عربي ينتهي باللاحقة العربية "".امارات"" والتي يتم تمثيلها باللاحقة ""xn—mgbaam7a8h"" بصيغة الآسكي (ASCII)."
"Primary امارات. (dotEmarat) Arabic Domain Name","اسم نطاق .امارات أساسي","تعني اسم نطاق مسجل في قاعدة بيانات السجل وترتبط به أسماء متماثلة؛"
"Internationalized Domain Name","اسم نطاق دولي","هو اسم نطاق يحتوي على أحرف من محارف غير الأحرف الستة وعشرون (26) للأبجدية اللاتينية (من a الى z) ويمكن أن يحتوي اسم نطاق دولي على أحرف لاتينية بعلامات التشكيل أو على أحرف من محارف ولغات أخرى غير اللاتينية."
"Arabic Script Domain Name","اسم نطاق عربي","تعني اسم نطاق يتكون من دالات جميعها تعتمد على النصوص العربية."
"Active Prepaid subscription","اشتراك الدفع المسبق النشط","هو اشتراك مدفوع مسبقاً تم استخدامه مرة واحدة على الأقل في الأشهر الثلاثة الماضية لإجراء مكالمة أو تلقيها أو القيام بنشاط غير صوتي مثل إرسال أو قراءة رسالة نصية قصيرة أو الوصول إلى الإنترنت."
"Mobile-cellular telephone subscription","اشتراك الهاتف المتحرك","يشير هذا إلى جميع الاشتراكات الهاتف المتحرك التي تقدم اتصالات صوتية ويمكن تقسيمها حسب نوع العقد إلى اشتراك الدفع الآجل واشتراك الدفع المسبق."
"Postpaid mobile-cellular telephone subscription","اشتراك الهاتف المتحرك آجل الدفع","يشير إلى اشتراك الهاتف المتحرك حيث يتم إصدار فاتورة للمشترك بعد استخدامه لخدمات الهاتف المتحرك في نهاية كل شهر. يتم توفير خدمة الدفع الآجل وفق اتفاق مسبق مع مشغل شبكة الهاتف المتحرك."
"Prepaid mobile-cellular telephone subscription","اشتراك الهاتف المتحرك مسبق الدفع","يشير هذا إلى اشتراكات الهاتف المتحرك التي يتم تعبئة أرصدتها. في هذا الاشتراك، يقوم المستخدمون، بشراء مجموعات من وقت الاستخدام مقدماً بدلاً من دفع رسوم شهرية مستمرة (فاتورة)."
"Accreditation","اعتماد","تعني تصرفات شخص معين ووجوده الفعلي في وضع يلبي متطلبات الاعتماد واعتماده كمسجل من قبل إدارة أسماء نطاق الإنترنت، وتحمل كل صيغ كلمة ""يعتمد"" أو ""معتمد"" نفس جوهر المعنى."
"Type Approval","اعتماد النوعية","الإجراءات التي تتبعها الهيئة لتصريح أجهزة الاتصالات اللاسلكية والسلكية الطرفية قبل طرحها في اسواق الدولة"
"Provisional Accreditation","اعتماد مؤقت","تعني اعتماد مسجل بغرض اختبار قابلية التسجيل بشكل متبادل بين نظام المسجل ونظام السجل."
"Narrow Band Direct Printing","الإبراق ضيق النطاق بطباعة مباشرة","يقصد بها خدمة الإبراق البحرية على النحو المنصوص عليه في التوصية رقم ITU-R M.688"
"International Telecommunication Union","الاتحاد الدولي للاتصالات","يقصد به الوكالة المتخصصة التابعة للأمم المتحدة والتي تتعامل مع شؤون الاتصالات وتكنولوجيا المعلومات"
"IoT-specific Connectivity","الاتصال الخاص بخدمات إنترنت الأشياء","تعني التوصيلات المسؤولة عن إرسال أو بث أو تحويل أو استقبال البيانات المتعلقة بإنترنت الأشياء عن طريق وسائل توفرها شبكة اتصالات تغطي مساحة واسعة."
"Voice Over IP","الاتصال الصوتي عبر بروتوكول الإنترنت","معروف أيضاً باسم المهاتفة عبر بروتوكول الإنترنت، هو طريقة ومجموعة من التقنيات لتوصيل الاتصالات الصوتية و الوسائط المتعددة عبر شبكات بروتوكول الإنترنت ، مثل الإنترنت."
"Fixed Wireless Access","الاتصال اللاسلكي الثابت","هي طريقة لتوصيل المشترك بشبكة الاتصالات (على سبيل المثال للوصول إلى الإنترنت عريض النطاق أو خدمات الهاتف) باستخدام بديل لاسلكي للكابلات النحاسية التقليدية."
"Electronic Communications","الاتصالات الإلكترونية","تعني الاتصالات التي تنتقل باستخدام شبكة الاتصالات إلى العنوان الإلكتروني."
"GMPCS","الاتصالات الشخصية العالمية المتنقلة عبر الأقمار الصناعية","يقصد بها الاتصالات الشخصية العالمية المتنقلة عبر الأقمار الصناعية (لائحة المحطات الارضية)"
"Digital Enhanced Cordless Telecommunications","الاتصالات اللاسلكية الرقمية المعززة","يقصد به الاتصالات اللاسلكية الرقمية المعززة وفقاً للمعهد الأوروبي لمعايير الاتصالات السلكية واللاسلكية."
"Wireless Avionics Intra-Communications","الاتصالات اللاسلكية لإلكترونيات الطيران داخل الطائرة","يقصد بها الاتصالات الراديوية بين المكونات اللاسلكية المدمجة في الطائرة كجزء من الشبكة الحصرية المغلقة المطلوبة لتشغيل الطائرة والمستخدمة فقط من أجل تطبيقات السلامة."
"International Mobile Telecommunication","الاتصالات المتنقلة الدولية","يقصد بها الاتصالات المتنقلة الدولية بحسب الأطر التنظيمية والتقنية للاتحاد الدولي للاتصالات"
"Mobile Communication on-board aircraft","الاتصالات المتنقلة على متن الطائرة","ويقصد بها الأنظمة الراديوية المثبتة في الطائرة والتي ترسل الاتصالات اللاسلكية الخاصة بالمستخدم النهائي إلى الشبكات المتنقلة العامة."
"Authorized Wireless Equipment","الأجهزة اللاسلكية المصرحة","الأجهزة اللاسلكية التي يجب الحصول على تصريح الطيف الترددي قبل تشغيلها أو استخدامها في الدولة."
"Low Power Device","الأجهزة ذات القدرة المنخفضة","يقصد بها الأجهزة التي تعمل في الترددات المحددة بموجب اللائحة التنظيمية الصادرة عن الهيئة بشأن أجهزة النطاق الواسع جداً والأجهزة قصيرة المدى، ولكنها تستخدم مستويات طاقة أعلى متفق عليها."
"Dynamic Frequency Selection","الاختيار الديناميكي للتردد","هو مخطط تخصيص محدد لشبكة LAN اللاسلكية ، والمعروف باسم Wi-Fi. إنه مصمم لمنع التداخل الكهرومغناطيسي مع الاستخدامات الأخرى لنطاق التردد C الذي سبق شبكة Wi-Fi ، مثل الرادار العسكري واتصالات الأقمار الصناعية ورادار الطقس."
"Administration","الإدارة المختصة","يقصد بها أي إدارة حكومية (سواء كانت في دولة الإمارات العربية المتحدة أو في دولة عضوه بالاتحاد الدولي للاتصالات (ITU)) مسؤولة عن الوفاء بالالتزامات المنصوص عليها في دستور الاتحاد الدولي للاتصالات واتفاقيته وفي اللوائح التنظيمية الإدارية."
"Multiple Input Multiple Output","الإدخال المتعدد والإخراج المتعدد","هي تقنية للاتصالات اللاسلكية الهوائية يتم فيها استخدام هوائيات متعددة في كل من المصدر (جهاز الإرسال) والوجهة (جهاز الاستقبال)."
"Land Parcel","الأراضي","يقصد بها أية منطقة أو قطعة أو كتلة أو تخصيص من الأرض في الدولة تم الحصول عليها من قبل المرخص له التابع للهيئة والتي يمكن للمرخص له التابع للهيئة من خلالها جني المنفعة التجارية عن طريق الأنشطة مثل بيع أو تأجير الأراضي ويجب استثناء أية منطقة أو قطعة أو كتلة أو تخصيص من الأرض ممنوحة إلى المرخص له التابع للهيئة بموجب أحكام المرسوم بقانون اتحادي رقم (1) لسنة 1991 بشأن مؤسسة الإمارات للاتصالات أو أحكام المرسوم بقانون اتحادي رقم (3) لسنة 2003 بشأن تنظيم قطاع الاتصالات وتعديلاته أو أي حكم في رخصة الاتصالات العامة للمرخص له التابع للهيئة بشأن الدخول إلى الأراضي واستخدامها."
"Private Lands","الأراضي الخاصة","أية أرض مملوكة أو ممنوحة أو مؤجرة لأي شخص غير الجهات الحكومية."
"Public Lands","الأراضي العامة","جميع الأراضي التي تقع تحت سيطرة أو ملكية أية جهة حكومية باستثناء الأراضي الخاصة."
"Wireless Transmission","الإرسال اللاسلكي","إرسال أو استقبال طاقة إلكترومغناطيسية يمكن استخدامها لنقل المعلومات أو الرسائل أو الأصوات أو الصور المرئية أو لتشغيل أو السيطرة على الآلات والأجهزة."
"Secondary Basis","الأساس الثانوي","خدمة الاتصالات الراديوية التي لن تتسبب في تداخل ضار لمحطات الخدمات الأساسية، ولا يمكنها المطالبة بالحماية من التداخل الضار من محطات الخدمات الأساسية. وتظهر هذه الخدمة بحروف صغيرة في الخطة الوطنية للطيف الترددي."
"Questionnaire","الاستبيان","أداة تنظيمية تحتوي على أسئلة تم طرحها من قبل الهيئة لكي يتم الإجابة عليها من قبل الجهات المعنية في مرحلة تقصي الحقائق أو الاستفسارات الأخرى."
"Utilization","الاستخدام","ذلك الجزء من مصادر الأرقام الموجودة في الخدمة مع المشتركين والذي يُعبر عنه بنسبة مئوية من مصادر الأرقام المخصصة لهما. ويشمل مصادر الأرقام الموجودة في الخدمة األرقام التالية: • الأرقام المستخدمة من قبل المشتركين؛ • الأرقام المنقولة إلى مرخص له آخر؛ • الأرقام المستعملة لخدمة معينة والتي أعطيت صفة ""خارج الخدمة مؤقتا"" لمدة 3 أشهر كحد أقصى؛ • الأرقام التي تم سحبها من االستعمال من قبل أحد المشتركين لأي سبب كان والتي تم تحديد أنها غير قابلة للاستعمال مرة أخرى لمدة أقصاها 6 شهور لتجنب المكالمات المزعجة إلى مشترك جديد من قبل عملاء يحاولون خطأ استعمال الرقم للاتصال بالمشترك السابق."
"Personal Use","الاستخدام الشخصي","حيازة جهاز اتصالات لغرض الاستخدام الشخصي فقط، وعدم طرحه في السوق."
"All Call Query","الاستعلام عن المكالمات","الوظيفة التي يتمكن بموجبها المرخص لهم من طلب نسخة من قاعدة البيانات المركزية من أجل تحديد الأرقام المنقولة"
"Price (s)","الأسعار","يُقصد بها التعرفة والرسوم التي يفرضها المرخص لهم وكذلك أي شروط أو مؤهلات أخرى مرتبطة بشراء أو استخدام أو استهلاك الخدمة والتي قد تكون مرتبطة بهذه التعرفة والرسوم."
"Subscribe","الاشتراك","يعني الخيار المتاح لمشترك الهاتف المتحرك لإبداء موافقته على تلقي الرسائل النصية التسويقية."
"Inactive Subscription","الاشتراك غير النشط","اشتراك مدفوع مقدماً لا يتم استخدامه مرة واحدة على الأقل في الأشهر الثلاثة الماضية لإجراء مكالمة أو تلقيها أو القيام بنشاط غير صوتي مثل إرسال أو قراءة رسالة نصية قصيرة أو الوصول إلى الإنترنت."
"Non-Ionizing radiations","الإشعاعات غير المؤينة","تشير إلى أي نوع من الإشعاع الكهرومغناطيسي لا يحتوي على طاقة كافية لإزالة الإلكترون بالكامل من ذرة أو جزيء. أمثلة على مصادر الإشعاع غير المؤين هي ؛ المتحرك / الهواتف ، راديو AM و FM ، خط كهرباء ، ميكروويف."
"Regulatory Framework","الإطار التنظيمي","الأدوات التنظيمية الصادرة من قبل الهيئة من وقت لآخر بما في ذلك أية تعديلات تطرأ عليها."
"Regulatory Instruments","الأطر التنظيمية","يعني أي إطار تنظيمي صادرة عن الهيئة ضمن اختصاصاتها وتشمل دون الحصر، الأنظمة، وقرارات المخالفات، والتعليمات، والإرشادات، والتوصيات والسياسات المنظمة."
"Parties","الأطراف","أطراف اتفاقية أو نزاع بموجب هذه الأنظمة – أحد الطرفين هو المرخص له والطرف الآخر مالك الأرض - بشكل مشترك ""الأطراف"" وبشكل فردي ""الطرف""."
"Advertisement","الإعلان","الإعلانات المباشرة أو غیر المباشرة أو الأنشطة التسويقية أو الترويجية أو العلامات التجارية أو أي نشاط آخر یكون له نفس التأثير أو تأثير مشابه والذي یتم للترويج لمنتج أو خدمة أو شخص ما للمستهلكين."
"Comparative Advertising","الإعلانات المقارنة","الإعلانات التي تقوم بأي شكل من الأشكال (صراحة أو ضمنياً) على تحديد المنافس أو المنتج أو الخدمة التي یوفرھا المنافس."
"Fiber optics","الألياف البصرية","هي التكنولوجيا المستخدمة لنقل المعلومات كنبضات ضوئية عبر خيوط من الألياف المصنوعة من الزجاج أو البلاستيك عبر مسافات طويلة."
"Fiber to the Home","الألياف الضوئية إلى المنازل ( FTTH)","يُطلق عليه أيضاً اسم ""الألياف الضوئية إلى المباني"" (FTTP) لأنه عبارة عن اتصال ألياف ضوئية بنسبة 100٪ مع كابلات ألياف ضوئية مثبتة على أطراف متصلة مباشرة بالمنازل والمباني السكنية والشركات."
"Fiber to the Curb","الألياف إلى الرصيف (FTTC)","هو اتصال ألياف جزئي لأن الكابلات الضوئية تمتد إلى الرصيف بالقرب من المنازل والشركات وتحمل الكابلات النحاسية الإشارات من الرصيف إلى بقية الطريق."
"Internet","الإنترنت","يقصد به مجموعة من الشبكات المتصلة ببعضها البعض باستخدام بروتوكول الإنترنت الذي يتيح لها العمل كشبكة افتراضية واحدة ضخمة. والمتوفرة لخدمة عموم الناس في كافة أنحاء العالم."
"Regulated Activities","الأنشطة المنظمة","تشغيل شبكة اتصالات عامة أو تزويد المشتركين بخدمات الاتصالات وجميع الأنواع الأخرى من النشاطات التي يحددها مجلس الإدارة بموجب أحكام القانون."
"Inductive Systems","الأنظمة الحثية","هي أنظمة اتصالات كهرومغناطيسية تقوم على تحريك المغناطيس لتوليد تيار حثي وذلك لغرض الإرسال والاستقبال لاتصالات قريبة المدى في الترددات المنخفضة."
"Aeronautical Radio Systems","الأنظمة الراديوية للطيران","يقصد بها جميع أجهزة الراديو في الطائرة والتي تكون ضرورية لأغراض الاتصالات والملاحة والمراقبة."
"Over The Air (Remote Provisioning)","البث على الهواء/ البث عن بعد","يعني القدرة على تغيير ملف وحدة تعريف المشترك عن بعد في أي وحدة تعريف مشترك مستخدمة دون الحاجة لإدخال أي تغيير مادي على وحدة تعريف المشترك ذاتها."
"Search and Rescue","البحث والإنقاذ","يُقصد بهما أنشطة البحث عن الأشخاص المنكوبين أو المعرضين لخطر داهم وتقديم العون والمساعدات لهم."
"Software as a Service","البرمجيات كخدمة","هي طريقة لتقديم التطبيقات عبر الإنترنت - كخدمة. بدلاً من تثبيت البرامج وصيانتها، تمكن الوصول إليها ببساطة عبر الإنترنت والتحرر من إدارة البرامج والأجهزة المعقدة."
"Personal Data","البيانات الشخصية","تعني أية معلومات تتعلق بأي شخص طبيعي معرف أو قابل للتعريف ؛ علماً بأن مصطلح ""شخص طبيعي معرف"" يعني أي شخص يمكن تعريفه، بصورة مباشرة أو غير مباشرة، وخصوصاً من خلال الرجوع إلى أي مُعرف مثل الاسم ورقم التعريف وبيانات الموقع وأي معرف على الإنترنت وكذلك من خلال الرجوع إلى عامل أو أكثر من العوامل التي تتعلق بالهوية المادية أو النفسية أو الجينية أو العقلية أو الاقتصادية أو الثقافية أو الاجتماعية لذلك الشخص الطبيعي - راجع أيضاً ""معلومات المشترك"""
"Metadata","البيانات الوصفية","مجموعة من البيانات التي تصف وتعطي معلومات حول بيانات الأخرى."
"Pay as you go data","البیانات بنظام الدفع حسب الاستخدام","أي خدمة أو نظام مقدم من المرخص له یتم بموجبه احتساب رسوم على استھلاك البیانات حین استخدامھا بحیث یتناسب المبلغ الذي یحصله المرخص له مع حجم البیانات المستخدمة من قبل المستھلك. ملاحظة: في سیاق ھذه الأنظمة، یجب أن یكون pay as you go أو الدفع حسب الاستخدام أو PAYG للمصطلح نفس المعاني المحددة في أنظمة الدفع المسبق (حیث یتم خصم رسوم البیع بالتجزئة حال نشوئھا من الرصید المدفوع مسبقا) وفي أنظمة الدفع الآجل (حیث یتم تحصیل الرسوم في وقت ما بعد نشوئھا وفقا لدورة إصدار الفواتیر المحددة للمستھلك المعني)."
"Affiliate","التابع","يقصد به فيما يتعلق بالمرخص له، أي جهة قانونية أخرى مسيطرة أو يسيطر عليها بطريقة مباشرة أو غير مباشرة من قبل المرخص له، أو تحت سيطرة مشتركة مباشرة أو غير مباشرة مع المرخص له"
"Renewal","التجديد","تعني فيما يتعلق بترخيص اسم النطاق تجديد ذلك الترخيص لمدة ترخيص اسم نطاق أخرى."
"Address Harvesting","التجميع العشوائي للعناوين","يعني تجميع العناوين الإلكترونية والحصول عليها عن طريق البرمجيات والأدوات والتقنيات أو وسائل أخرى لإنشاء العناوين."
"Supervisory Control and Data Acquisition","التحكم الإشرافي وتحصيل البيانات","يعني أنظمة تُستخدم لمراقبة العملية والتحكم فيها، بما في ذلك جمع البيانات في الوقت الحقيقي من موقع بعيد بغية التحكم في الأجهزة والظروف. وتُستخدم هذه الأنظمة في محطات توليد الكهرباء، فضلاً عن تكرير النفط والغاز، والاتصالات، ووسائل النقل، ومراقبة المياه والنفايات."
"Adaptive Power Control","التحكم في القدرة التكيفية","يقصد به التحكم التكيُّفي في القدرة/ التحكم التلقائي في القدرة."
"Transmit Power Control","التحكم في قدرة الإرسال","يقصد به تقنية يجري فيها التحكم في قدرة مخرجات المرسِل مما يؤدي إلى خفض التداخل مع الأنظمة الأخرى."
"Online storage","التخزين على الإنترنت","• تقييم جودة التجربة المرتبطة بسرعة التحميل والرفع من العديد من خدمات تخزين الملفات المشهورة على الإنترنت. • الاختبارات التي يتم إجراؤها على خدمات التخزين الحقيقية على الإنترنت مثل Dropbox وBox وGoogle Drive وMicrosoft OneDrive) في الدولة التي يستخدمها المستخدمون النهائيون باستخدام البروتوكولات الحقيقية التي يستخدمها هذا الإجراء (مثل HTTP عبر TLS لتحميل ورفع المحتوى على حد سواء)"
"Assignment (s)","التخصيص","تعني ترخيص تعطيه الهيئة إلى محطة راديوية لتستعمل تردد راديوي محدد أو قناة راديوية محددة، وفقا لشروط خاصة"
"Custom Release","التخليص الجمركي (الإفراج الجمركي)","إذن رسمي يصدر من الهيئة وموجه للجهات الجمركية في الدولة للإفراج عن شحنة أجهزة الاتصالات المستوردة."
"Harmful Interference","التداخل الضار","يقصد به التداخل الذي يتسبب في تدني أو إعاقة عمل خدمة الاتصالات الراديوية أو قطعها بشكل متكرر."
"ILS-Glide Path","التراصف الراديوي مع الانحدار (ILS-Glide Path)","يقصد به نظام للإرشاد الرأسي، مدمج في نظام الهبوط بالأجهزة، يبين انحراف الطائرة الراسي عن مسار هبوطها الأمثل."
"ILS-Localizer","التراصف الراديوي مع المدرج (ILS-Localizer)","يقصد به نظام للإرشاد الأفقي، مدمج في نظام الهبوط بالأجهزة، يبين انحراف الطائرة الأفقي عن مسار هبوطها الأمثل وفق محور مدرج الهبوط."
"Ship Radio License","الترخيص الراديوي للسفينة","يقصد به التصريح الصادر عن الهيئة وذلك للسماح بتشغيل جميع الأجهزة الراديوية على متن السفينة والتي تكون ضرورية لأغراض الاتصالات والملاحة والمراقبة."
"Aircraft Radio License","الترخيص الراديوي للطائرة","يقصد به التصريح الصادر عن الهيئة وذلك للسماح بتشغيل جميع الأجهزة الراديوية في الطائرة والتي تكون ضرورية لأغراض الاتصالات والملاحة والمراقبة."
"License","الترخيص أو الرخصة","أداة تنظيمية تصدر من الهيئة بموجب أحكام قانون الاتصالات ولائحته التنفيذية يتم السماح بموجب أحكامها وشروطها للمرخص له مباشرة أي من الأنشطة المنظمة. يمكن للرخصة أن تكون من نوع فردية أو فئوية."
"Radio Frequency","التردد الراديوي","يقصد بها ترددات الموجات الكهرومغناطيسية التي تقع في النطاق الذي يمتد من 3 كيلوهرتز إلى 3000 جيجاهرتز."
